order_id,order_date,region,category,revenue,cogs
ORD-10000,2025-12-11,APAC,Electronics,199.78,117.49
ORD-10001,2025-11-08,EU,Home,476.34,273.85
ORD-10002,2025-11-02,EU,Apparel,371.36,125.63
ORD-10003,2025-12-18,EU,Electronics,307.36,205.63
ORD-10004,2025-11-18,NA,Electronics,94.89,50.04
ORD-10005,2025-11-16,EU,Toys,94.88,42.27
ORD-10006,2025-11-15,NA,Home,47.88,28.85
ORD-10007,2025-11-09,LATAM,Toys,435.76,175.59
ORD-10008,2025-12-18,EU,Apparel,308.54,178.15
ORD-10009,2025-11-07,EU,Apparel,359.87,113.68
ORD-10010,2025-12-14,EU,Home,29.88,19.0
ORD-10011,2025-12-18,NA,Electronics,485.56,232.71
ORD-10012,2025-12-28,NA,Apparel,419.57,232.73
ORD-10013,2025-12-05,EU,Electronics,121.92,47.37
ORD-10014,2025-11-06,NA,Apparel,107.28,61.24
ORD-10015,2025-12-08,EU,Home,108.03,65.78
ORD-10016,2025-11-28,NA,Toys,166.04,81.24
ORD-10017,2025-11-03,EU,Apparel,271.88,148.74
ORD-10018,2025-11-02,NA,Electronics,227.33,109.69
ORD-10019,2025-11-06,EU,Apparel,159.79,105.08
ORD-10020,2025-11-14,EU,Electronics,313.69,156.58
ORD-10021,2025-11-15,NA,Toys,86.96,55.37
ORD-10022,2025-12-03,EU,Home,160.23,99.43
ORD-10023,2025-12-09,NA,Apparel,195.85,90.91
ORD-10024,2025-11-02,APAC,Toys,238.91,93.66
ORD-10025,2025-12-06,NA,Home,396.88,183.53
ORD-10026,2025-11-13,APAC,Electronics,115.84,73.04
ORD-10027,2025-12-16,NA,Home,266.83,104.34
ORD-10028,2025-12-12,NA,Toys,304.36,155.15
ORD-10029,2025-12-15,NA,Electronics,42.3,26.33
ORD-10030,2025-12-05,EU,Apparel,311.62,137.55
ORD-10031,2025-11-27,NA,Electronics,101.85,56.72
ORD-10032,2025-11-15,NA,Toys,51.22,20.4
ORD-10033,2025-11-29,NA,Home,475.47,163.42
ORD-10034,2025-12-08,NA,Electronics,483.5,298.68
ORD-10035,2025-11-18,EU,Apparel,408.03,138.56
ORD-10036,2025-12-22,NA,Electronics,166.21,67.91
ORD-10037,2025-12-26,NA,Toys,66.88,42.94
ORD-10038,2025-11-01,LATAM,Home,348.43,152.82
ORD-10039,2025-12-19,NA,Toys,231.27,159.4
ORD-10040,2025-12-22,APAC,Toys,78.58,54.37
ORD-10041,2025-11-11,NA,Electronics,257.68,104.96
ORD-10042,2025-12-15,EU,Home,36.51,11.55
ORD-10043,2025-11-28,LATAM,Electronics,456.47,265.68
ORD-10044,2025-11-22,APAC,Electronics,144.21,69.28
ORD-10045,2025-11-18,EU,Apparel,338.01,115.03
ORD-10046,2025-11-10,APAC,Toys,169.62,98.89
ORD-10047,2025-11-14,APAC,Toys,269.63,84.25
ORD-10048,2025-12-19,NA,Home,282.42,183.03
ORD-10049,2025-11-22,EU,Home,108.73,38.65
ORD-10050,2025-11-07,EU,Toys,485.4,170.34
ORD-10051,2025-11-06,NA,Home,392.06,145.17
ORD-10052,2025-11-25,EU,Toys,470.96,322.19
ORD-10053,2025-11-07,NA,Electronics,449.52,259.49
ORD-10054,2025-11-23,APAC,Electronics,306.99,190.5
ORD-10055,2025-12-25,EU,Toys,462.5,212.31
ORD-10056,2025-11-23,EU,Electronics,62.48,27.15
ORD-10057,2025-12-09,EU,Electronics,114.07,44.92
ORD-10058,2025-11-17,NA,Home,41.71,20.53
ORD-10059,2025-12-22,NA,Toys,176.16,91.73
