return_id,order_id,return_date,refund_amount
RET-50000,ORD-10059,2026-01-04,176.16
RET-50001,ORD-16650,2025-12-24,62.61
RET-50002,ORD-14402,2025-12-19,138.01
RET-50003,ORD-10218,2026-01-19,331.82
RET-50004,ORD-12841,2025-12-06,382.05
RET-50005,ORD-14622,2025-12-14,90.41
RET-50006,ORD-16116,2025-12-15,336.27
RET-50007,ORD-16065,2025-12-08,401.1
RET-50008,ORD-14410,2025-12-12,56.84
RET-50009,ORD-15284,2025-11-28,240.97
RET-50010,ORD-11888,2025-12-19,368.7
RET-50011,ORD-11003,2025-12-20,371.47
RET-50012,ORD-11034,2026-01-10,56.94
RET-50013,ORD-16812,2025-12-28,26.15
RET-50014,ORD-17912,2025-12-25,278.0
RET-50015,ORD-16460,2025-11-13,147.31
RET-50016,ORD-12207,2025-12-05,432.0
RET-50017,ORD-16165,2026-01-10,254.7
RET-50018,ORD-12213,2025-12-15,482.15
RET-50019,ORD-10741,2026-01-08,164.66
RET-50020,ORD-11324,2025-11-18,488.42
RET-50021,ORD-17206,2025-12-25,141.33
RET-50022,ORD-14749,2025-12-20,405.15
RET-50023,ORD-10471,2025-12-11,485.54
RET-50024,ORD-13639,2025-12-28,119.62
RET-50025,ORD-16390,2025-12-17,62.31
RET-50026,ORD-12730,2026-01-13,378.77
RET-50027,ORD-16155,2025-12-07,35.59
RET-50028,ORD-14902,2025-11-13,79.16
RET-50029,ORD-13217,2025-12-13,20.96
RET-50030,ORD-12564,2026-01-22,213.38
RET-50031,ORD-17435,2026-01-01,450.44
RET-50032,ORD-17164,2025-12-10,361.34
RET-50033,ORD-15011,2025-12-16,359.17
RET-50034,ORD-14924,2025-11-30,43.81
RET-50035,ORD-15036,2026-01-06,316.25
RET-50036,ORD-11096,2025-12-19,125.83
RET-50037,ORD-17793,2026-01-07,333.09
RET-50038,ORD-10462,2025-11-26,378.1
RET-50039,ORD-10965,2025-11-13,190.72
RET-50040,ORD-11168,2025-12-15,23.07
RET-50041,ORD-11988,2025-12-05,229.69
RET-50042,ORD-17921,2025-12-04,361.79
RET-50043,ORD-14066,2025-12-03,80.46
RET-50044,ORD-13288,2025-12-26,452.85
RET-50045,ORD-11622,2025-12-26,289.9
RET-50046,ORD-10616,2025-12-06,49.32
RET-50047,ORD-13941,2026-01-04,451.02
RET-50048,ORD-13766,2025-11-27,306.12
RET-50049,ORD-12531,2025-12-09,417.67
RET-50050,ORD-14816,2025-12-30,456.42
RET-50051,ORD-13044,2025-12-29,374.18
RET-50052,ORD-12276,2025-11-14,376.93
RET-50053,ORD-11311,2025-12-10,449.51
RET-50054,ORD-10537,2025-12-16,138.73
RET-50055,ORD-17425,2026-01-03,196.5
RET-50056,ORD-10121,2025-12-10,450.12
RET-50057,ORD-13145,2025-12-13,196.86
RET-50058,ORD-11493,2025-12-30,55.13
RET-50059,ORD-14876,2025-12-19,308.45
RET-50060,ORD-16347,2025-11-26,490.4
RET-50061,ORD-17102,2025-12-10,480.33
RET-50062,ORD-12197,2026-01-02,434.99
RET-50063,ORD-15250,2025-12-29,205.3
RET-50064,ORD-10761,2025-12-17,169.63
RET-50065,ORD-14639,2025-11-20,409.73
RET-50066,ORD-11664,2025-12-03,496.24
RET-50067,ORD-17386,2025-12-15,65.47
