customer_id,event_date,event_type
U01,2025-04-15,feature_use
U01,2025-07-12,feature_use
U02,2025-05-01,feature_use
U02,2025-08-03,page_view
U03,2025-05-20,feature_use
U03,2025-07-13,page_view
U04,2025-04-25,feature_use
U04,2025-08-02,page_view
U05,2025-06-10,page_view
U05,2025-08-12,feature_use
U06,2025-05-15,feature_use
U06,2025-07-16,page_view
U07,2025-05-10,cancellation_request
U08,2025-05-10,feature_use
U08,2025-08-05,page_view
U09,2025-06-01,feature_use
U09,2025-09-22,page_view
U10,2025-07-10,page_view
U10,2025-09-19,feature_use
U11,2025-06-15,feature_use
U11,2025-09-12,page_view
U12,2025-07-01,page_view
U12,2025-09-15,feature_use
U13,2025-07-05,feature_use
U14,2025-09-25,page_view
U14,2025-09-30,feature_use
U15,2025-08-20,page_view
U15,2025-09-28,feature_use
U16,2025-06-20,feature_use
U16,2025-09-05,page_view
U19,2025-05-01,feature_use
U19,2025-09-05,cancellation_request
