creative_id,advertiser_id,creative_format,bid_cpm
C001,ADV008,interstitial,12.2
C002,ADV008,interstitial,1.91
C003,ADV018,video,12.45
C004,ADV014,interstitial,3.34
C005,ADV007,video,5.15
C006,ADV019,video,2.46
C007,ADV016,interstitial,8.63
C008,ADV009,video,1.04
C009,ADV003,banner,0.88
C010,ADV013,video,14.09
C011,ADV013,interstitial,3.3
C012,ADV008,video,4.63
C013,ADV004,video,0.79
C014,ADV017,video,13.51
C015,ADV004,interstitial,5.44
C016,ADV017,interstitial,7.77
C017,ADV017,banner,11.04
C018,ADV002,native_card,1.43
C019,ADV017,interstitial,9.71
C020,ADV007,banner,9.7
C021,ADV012,video,3.32
C022,ADV013,interstitial,2.32
C023,ADV001,video,7.11
C024,ADV007,interstitial,7.2
C025,ADV009,interstitial,14.7
C026,ADV007,interstitial,14.99
C027,ADV001,interstitial,7.05
C028,ADV004,native_card,6.23
C029,ADV011,video,1.51
C030,ADV014,banner,10.08
C031,ADV015,interstitial,11.18
C032,ADV015,interstitial,0.99
C033,ADV018,video,3.13
C034,ADV009,native_card,7.88
C035,ADV010,interstitial,14.12
C036,ADV019,banner,4.82
C037,ADV011,interstitial,14.65
C038,ADV001,native_card,14.2
C039,ADV019,interstitial,6.63
C040,ADV009,banner,0.85
C041,ADV008,interstitial,1.98
C042,ADV004,interstitial,1.8
C043,ADV013,native_card,6.06
C044,ADV016,banner,13.52
C045,ADV011,interstitial,5.02
C046,ADV001,video,8.33
C047,ADV019,native_card,5.0
C048,ADV017,interstitial,2.57
C049,ADV019,video,1.89
C050,ADV019,interstitial,14.76
