pageview_id,creative_id,position_in_feed,loaded_ts_ms,first_render_ts_ms,total_visible_ms,max_viewport_pct,avg_viewport_pct,uninterrupted_visible_ms,refresh_count,is_sticky,is_preload,click_occurred,click_ts_ms,time_to_click_ms,credited_click
TR00000,C002,1,1038,4832,3029,37.4,37.4,3029,0,0,0,1,16966,9105,0
TR00000,C004,2,4018,3408,3968,24.6,21.8,2820,0,0,0,1,16966,5566,0
TR00000,C023,3,5096,4419,292,20.2,20.2,292,0,0,0,1,16966,12255,0
TR00000,C027,4,6512,1633,17948,94.1,94.1,17948,0,1,0,1,16966,2615,1
TR00000,C039,5,3547,3272,5513,50.6,38.0,2965,0,0,0,1,16966,51,0
TR00000,C047,6,2868,1888,2874,65.6,65.6,2874,0,0,0,1,16966,12204,0
TR00000,C049,7,1210,2099,13793,95.4,95.4,13793,0,1,0,1,16966,1074,0
TR00001,C001,1,1361,1634,2199,25.2,25.2,2199,0,0,0,1,5620,1787,0
TR00001,C002,2,1647,361,8303,90.8,90.8,8303,0,1,0,1,5620,3044,1
TR00001,C017,3,2876,0,3558,45.7,45.7,3558,0,0,1,1,5620,2062,0
TR00001,C018,4,2570,3950,1664,85.8,85.8,1664,0,0,0,1,5620,6,0
TR00001,C019,5,413,297,2888,73.3,51.8,1506,3,0,0,1,5620,3010,0
TR00001,C028,6,2010,749,6403,65.5,65.5,6403,3,1,0,1,5620,1532,0
TR00001,C036,7,2639,1723,6755,94.7,94.7,6755,0,1,0,1,5620,2858,0
TR00001,C042,8,499,3711,3321,60.9,60.9,3321,0,0,0,1,5620,1412,0
TR00002,C013,1,3328,2499,5569,87.7,78.4,3074,0,0,0,1,7110,951,1
TR00002,C017,2,1132,4337,3036,62.9,62.9,3036,0,0,0,1,7110,263,0
TR00002,C028,3,3124,193,4184,70.9,47.6,1439,3,0,0,1,7110,2153,0
TR00002,C029,4,1270,1725,4816,81.0,65.0,2791,0,0,0,1,7110,2217,0
TR00002,C048,5,2230,3580,2011,33.2,33.2,2011,0,0,0,1,7110,1519,0
TR00003,C005,1,1857,5387,3761,50.4,50.4,3761,0,0,0,1,13878,4730,1
TR00003,C021,2,484,628,3988,50.7,42.9,1950,2,0,0,1,13878,15,0
TR00003,C035,3,1927,2075,4874,36.6,27.1,2966,0,0,0,1,13878,2516,0
TR00003,C042,4,2041,3274,2958,53.1,53.1,2958,0,0,0,1,13878,7646,0
TR00004,C004,1,6116,403,2707,60.3,39.9,2165,2,0,0,0,-1,-1,0
TR00004,C005,2,5275,3463,4891,96.4,60.2,3497,0,0,0,0,-1,-1,0
TR00004,C032,3,1987,4383,7362,98.0,63.6,3813,0,0,0,0,-1,-1,0
TR00004,C039,4,2447,1143,16057,60.7,60.7,16057,0,1,0,0,-1,-1,0
TR00004,C048,5,2368,2213,13089,97.4,97.4,13089,0,1,0,0,-1,-1,0
TR00005,C004,1,3542,1777,10189,67.3,64.0,3767,0,0,0,1,10377,3478,1
TR00005,C027,2,2032,3777,6449,70.0,56.5,3305,0,0,0,1,10377,2425,0
TR00005,C028,3,1649,2179,10685,72.9,72.9,10685,0,1,0,1,10377,2487,0
TR00005,C033,4,704,2116,6910,84.2,68.0,3495,0,0,0,1,10377,4252,0
TR00006,C017,1,534,3885,1580,98.3,48.7,1298,0,0,0,0,-1,-1,0
TR00006,C018,2,2120,1883,1797,93.7,93.7,1797,0,0,0,0,-1,-1,0
TR00006,C031,3,5093,3700,3451,96.8,96.8,3451,0,0,0,0,-1,-1,0
TR00006,C032,4,2990,2329,10620,77.3,77.3,10620,0,1,1,0,-1,-1,0
TR00006,C047,5,2971,603,3307,55.9,53.0,2900,0,0,0,0,-1,-1,0
TR00007,C009,1,556,295,2810,99.5,48.6,1541,2,0,0,0,-1,-1,0
TR00007,C014,2,1150,2694,4295,78.7,75.7,2832,0,0,0,0,-1,-1,0
TR00007,C016,3,2332,2539,6935,76.7,64.6,3879,0,0,0,0,-1,-1,0
TR00007,C030,4,762,2391,5793,78.3,73.7,3596,0,0,0,0,-1,-1,0
TR00007,C036,5,376,2096,7441,82.8,82.8,7441,0,1,0,0,-1,-1,0
TR00007,C037,6,2238,404,4120,94.6,65.8,2271,1,0,0,0,-1,-1,0
TR00007,C042,7,2831,482,9398,77.4,77.4,9398,0,1,0,0,-1,-1,0
TR00007,C050,8,1214,274,838,92.8,92.8,838,0,0,0,0,-1,-1,0
TR00008,C016,1,2635,1955,6250,95.2,85.0,3352,0,0,0,0,-1,-1,0
TR00008,C017,2,1998,508,5949,78.3,63.8,3246,0,0,0,0,-1,-1,0
TR00008,C027,3,1824,0,3010,59.7,59.7,3010,0,0,1,0,-1,-1,0
