pageview_id,segment_start_ms,segment_end_ms,avg_scroll_speed
TR00000,0,1215,39.9
TR00000,1215,2131,18.0
TR00000,2131,4976,395.7
TR00000,4976,7254,293.5
TR00000,7254,12072,42.2
TR00000,12072,16095,57.5
TR00000,16095,19998,60.8
TR00001,0,33,222.0
TR00001,33,114,26.1
TR00001,114,4159,28.6
TR00001,4159,4298,270.7
TR00001,4298,6739,123.1
TR00001,6739,7359,58.9
TR00001,7359,7842,52.7
TR00001,7842,8887,382.8
TR00002,0,1362,166.4
TR00002,1362,1369,48.1
TR00002,1369,3153,61.3
TR00002,3153,6227,18.7
TR00002,6227,7212,106.7
TR00002,7212,10094,392.0
TR00003,0,618,26.4
TR00003,618,4879,159.4
TR00003,4879,4881,21.0
TR00003,4881,7283,26.0
TR00003,7283,7728,30.9
TR00003,7728,8585,429.0
TR00003,8585,11636,232.1
TR00003,11636,13427,48.0
TR00003,13427,13748,150.6
TR00003,13748,14655,68.6
TR00003,14655,16009,378.6
TR00004,0,3277,267.5
TR00004,3277,3747,260.4
TR00004,3747,4720,51.9
TR00004,4720,4893,338.8
TR00004,4893,8070,20.2
TR00004,8070,8442,42.0
TR00004,8442,12433,35.9
TR00004,12433,18830,12.1
TR00005,0,1193,4.0
TR00005,1193,3581,395.4
TR00005,3581,3912,288.9
TR00005,3912,5851,429.4
TR00005,5851,9146,63.8
TR00005,9146,12722,16.3
TR00005,12722,13408,54.0
TR00005,13408,15843,474.9
TR00006,0,5491,141.9
TR00006,5491,5648,435.3
TR00006,5648,7263,41.6
TR00006,7263,7300,106.7
TR00006,7300,7578,456.1
TR00006,7578,10537,429.8
TR00006,10537,14808,435.5
TR00006,14808,15691,9.6
TR00007,0,1107,450.8
TR00007,1107,1155,354.0
TR00007,1155,2683,27.8
TR00007,2683,6506,33.6
TR00007,6506,8179,58.7
TR00007,8179,9756,303.3
TR00007,9756,11457,27.3
TR00008,0,2040,178.1
TR00008,2040,4833,275.6
TR00008,4833,6802,167.7
TR00008,6802,7134,54.2
TR00008,7134,7203,132.8
TR00008,7203,8945,155.0
TR00008,8945,9251,259.7
TR00008,9251,11347,33.0
TR00009,0,4109,326.7
TR00009,4109,5666,59.2
TR00009,5666,9802,15.4
TR00009,9802,13357,174.7
TR00009,13357,13606,21.1
TR00009,13606,17062,56.8
TR00010,0,580,24.4
TR00010,580,790,93.0
TR00010,790,1647,60.1
TR00010,1647,2234,41.9
TR00010,2234,3249,385.4
TR00010,3249,3937,10.8
TR00010,3937,5177,228.2
TR00010,5177,8778,25.3
TR00010,8778,10191,306.7
TR00010,10191,11476,393.2
TR00010,11476,13149,34.0
TR00011,0,2955,318.1
TR00011,2955,3784,48.0
TR00011,3784,10363,405.4
TR00011,10363,10384,355.5
TR00011,10384,13198,396.2
TR00011,13198,13781,370.7
TR00011,13781,14601,60.5
TR00011,14601,14631,66.6
TR00011,14631,16680,45.0
TR00012,0,369,425.2
TR00012,369,490,92.0
TR00012,490,5858,100.9
TR00012,5858,7295,18.3
TR00012,7295,7804,17.7
TR00012,7804,9013,70.2
TR00012,9013,9406,417.2
TR00013,0,2542,57.8
TR00013,2542,8306,15.3
TR00013,8306,8818,8.8
TR00013,8818,10384,330.4
TR00013,10384,13700,475.3
TR00013,13700,14275,80.3
TR00014,0,613,28.6
TR00014,613,2691,21.0
TR00014,2691,5541,365.6
TR00014,5541,7318,12.3
TR00014,7318,9629,48.8
TR00014,9629,15141,33.5
TR00014,15141,15388,43.0
TR00014,15388,15623,469.0
TR00015,0,807,29.3
TR00015,807,1347,44.5
TR00015,1347,2576,423.7
TR00015,2576,4468,63.0
TR00015,4468,5440,28.5
TR00015,5440,5524,8.7
TR00015,5524,8738,60.1
TR00015,8738,16069,359.5
TR00015,16069,17503,36.1
TR00015,17503,19585,142.1
TR00016,0,2489,62.6
TR00016,2489,3449,296.7
TR00016,3449,3907,52.3
TR00016,3907,13910,188.7
TR00016,13910,14793,124.0
TR00016,14793,16432,33.9
TR00016,16432,17098,167.5
TR00016,17098,18033,29.3
TR00016,18033,18161,11.0
TR00017,0,171,14.8
TR00017,171,1535,398.3
TR00017,1535,5108,389.1
TR00017,5108,7396,224.9
TR00017,7396,10874,9.5
TR00017,10874,11370,61.4
TR00017,11370,13691,16.6
TR00017,13691,16567,36.9
TR00017,16567,16864,403.9
TR00017,16864,19422,53.3
TR00018,0,1410,473.9
TR00018,1410,1488,31.9
TR00018,1488,2136,58.9
TR00018,2136,3410,194.3
TR00018,3410,4796,399.1
TR00018,4796,4860,6.4
TR00018,4860,4954,58.1
TR00018,4954,5165,140.0
TR00018,5165,5651,46.9
TR00018,5651,8133,63.2
TR00019,0,2152,13.2
TR00019,2152,2431,293.8
TR00019,2431,3370,59.8
TR00019,3370,3923,25.7
TR00019,3923,10153,27.3
TR00019,10153,10385,44.6
TR00019,10385,11245,358.9
TR00019,11245,12309,360.8
TR00020,0,464,15.2
TR00020,464,3055,36.4
TR00020,3055,3274,331.5
TR00020,3274,5979,13.2
TR00020,5979,6527,69.8
TR00020,6527,8210,52.5
TR00020,8210,8781,8.1
TR00020,8781,10503,393.9
TR00020,10503,11895,374.9
TR00020,11895,12049,251.6
TR00020,12049,12799,18.3
TR00021,0,604,12.5
TR00021,604,701,56.7
TR00021,701,973,8.1
TR00021,973,2642,4.1
TR00021,2642,2804,44.7
TR00021,2804,4153,255.9
TR00021,4153,4712,65.3
TR00021,4712,6771,35.0
TR00021,6771,7402,1.2
TR00021,7402,8763,274.4
TR00021,8763,9698,22.9
TR00021,9698,10312,198.9
TR00022,0,46,5.3
TR00022,46,65,435.9
TR00022,65,110,22.9
TR00022,110,332,181.3
TR00022,332,1049,355.5
TR00022,1049,1065,29.1
TR00022,1065,1129,79.7
TR00022,1129,5289,17.2
TR00022,5289,6529,215.7
TR00022,6529,6856,42.9
TR00022,6856,7216,376.3
TR00023,0,2441,12.5
TR00023,2441,6155,29.0
TR00023,6155,6227,477.3
TR00023,6227,6456,416.7
TR00023,6456,7872,415.3
TR00023,7872,10348,442.5
TR00024,0,642,169.4
TR00024,642,2343,60.0
TR00024,2343,3150,152.5
TR00024,3150,4033,63.8
TR00024,4033,4799,287.5
TR00024,4799,5966,208.1
TR00024,5966,7912,98.4
TR00024,7912,7950,168.0
TR00024,7950,8732,30.6
TR00024,8732,9921,31.9
TR00024,9921,10094,40.5
TR00025,0,182,26.2
TR00025,182,1594,30.9
TR00025,1594,2002,1.8
TR00025,2002,7566,18.4
TR00025,7566,8846,414.8
TR00025,8846,8934,48.2
TR00025,8934,9641,494.9
TR00025,9641,10778,218.9
TR00026,0,1610,471.7
TR00026,1610,5202,61.0
TR00026,5202,7388,14.5
TR00026,7388,8304,7.5
TR00026,8304,9615,215.3
TR00026,9615,11310,471.4
TR00026,11310,12273,174.6
TR00027,0,3833,319.6
TR00027,3833,4485,44.6
TR00027,4485,6871,13.0
TR00027,6871,8263,54.6
TR00027,8263,8513,135.8
TR00027,8513,9589,19.1
TR00027,9589,10720,61.9
TR00027,10720,12112,24.7
TR00028,0,565,38.9
TR00028,565,1647,237.0
TR00028,1647,3121,396.9
TR00028,3121,3728,32.9
TR00028,3728,4413,401.5
TR00028,4413,4737,260.0
TR00028,4737,4892,43.6
TR00028,4892,5335,63.2
TR00028,5335,5476,181.6
TR00028,5476,7120,452.9
TR00029,0,1367,294.3
TR00029,1367,5815,24.1
TR00029,5815,10256,49.9
TR00029,10256,10376,394.8
TR00029,10376,11255,193.8
TR00029,11255,11419,446.2
TR00029,11419,12103,158.1
TR00029,12103,14046,65.5
TR00030,0,170,52.3
TR00030,170,1774,492.0
TR00030,1774,2741,39.4
TR00030,2741,8438,28.7
TR00030,8438,8969,5.8
TR00030,8969,9066,354.4
TR00030,9066,9958,245.0
TR00030,9958,16248,27.4
TR00030,16248,17086,93.5
TR00030,17086,17656,463.9
TR00030,17656,17954,0.6
TR00030,17954,18187,38.7
TR00031,0,402,1.2
TR00031,402,513,400.0
TR00031,513,2494,393.7
TR00031,2494,3402,22.8
TR00031,3402,3726,199.8
TR00031,3726,4885,349.7
TR00031,4885,6282,150.2
TR00031,6282,6586,1.7
TR00031,6586,7161,0.1
TR00031,7161,8382,39.8
TR00031,8382,8565,372.7
TR00032,0,2946,8.8
TR00032,2946,4484,169.5
TR00032,4484,6349,89.0
TR00032,6349,7388,364.8
TR00032,7388,8715,126.7
TR00032,8715,9458,366.9
TR00032,9458,10298,16.3
TR00032,10298,11097,55.8
TR00033,0,1799,315.1
TR00033,1799,4484,150.0
TR00033,4484,4851,58.6
TR00033,4851,7166,274.3
TR00033,7166,10283,242.3
TR00033,10283,11730,227.4
TR00033,11730,13248,189.6
TR00033,13248,13595,40.6
TR00033,13595,16168,42.4
TR00033,16168,16751,263.6
TR00034,0,404,399.6
TR00034,404,615,287.6
TR00034,615,1162,23.9
TR00034,1162,3566,330.6
TR00034,3566,4175,268.5
TR00034,4175,6393,297.0
TR00034,6393,10933,25.2
TR00035,0,2512,17.3
TR00035,2512,2915,45.5
TR00035,2915,4053,455.7
TR00035,4053,4474,55.9
TR00035,4474,6306,52.4
TR00035,6306,9649,245.3
TR00035,9649,10782,473.3
TR00035,10782,13922,259.8
TR00035,13922,18755,145.1
TR00035,18755,19080,348.1
TR00036,0,899,52.1
TR00036,899,1276,387.0
