pageview_id,creative_id,interval_start_ms,interval_end_ms,avg_viewport_pct
TR00000,C002,4832,7861,37.4
TR00000,C004,3408,6228,20.6
TR00000,C004,10252,11400,24.6
TR00000,C023,4419,4711,20.2
TR00000,C027,1633,19581,94.1
TR00000,C039,3272,6237,50.6
TR00000,C039,14367,16915,23.4
TR00000,C047,1888,4762,65.6
TR00000,C049,2099,15892,95.4
TR00001,C001,1634,3833,25.2
TR00001,C002,361,8664,90.8
TR00001,C017,0,3558,45.7
TR00001,C018,3950,5614,85.8
TR00001,C019,297,1054,61.4
TR00001,C019,2700,3065,73.3
TR00001,C019,5150,5410,60.1
TR00001,C019,7124,8630,40.3
TR00001,C028,749,7152,65.5
TR00001,C036,1723,8478,94.7
TR00001,C042,3711,7032,60.9
TR00002,C013,2499,4030,83.2
TR00002,C013,7097,8061,41.0
TR00002,C017,4337,7373,62.9
TR00002,C028,193,520,35.9
TR00002,C028,2983,4422,70.9
TR00002,C028,5110,6331,30.5
TR00002,C028,8066,9263,40.4
TR00002,C029,1725,3750,43.0
TR00002,C029,6536,9327,81.0
TR00002,C048,3580,5591,33.2
TR00002,C013,3153,6227,87.7
TR00003,C005,5387,9148,50.4
TR00003,C021,628,1096,43.2
TR00003,C021,6282,8232,36.6
TR00003,C021,12293,13863,50.7
TR00003,C035,2075,3983,36.6
TR00003,C035,8396,11362,21.0
TR00003,C042,3274,6232,53.1
TR00004,C004,403,736,60.3
TR00004,C004,6642,8807,34.9
TR00004,C004,13137,13346,59.0
TR00004,C005,3463,4857,96.4
TR00004,C005,13336,16833,45.8
TR00004,C032,4383,7932,98.0
TR00004,C032,13515,17328,31.6
TR00004,C039,1143,17200,60.7
TR00004,C048,2213,15302,97.4
TR00005,C004,1777,5544,60.3
TR00005,C004,11009,13855,64.8
TR00005,C027,3777,6921,42.4
TR00005,C027,9497,12802,70.0
TR00005,C028,2179,12864,72.9
TR00005,C033,2116,5531,84.2
TR00005,C033,11134,14629,52.1
TR00005,C004,9146,12722,67.3
TR00006,C017,3885,4167,98.3
TR00006,C017,7890,9188,37.9
TR00006,C018,1883,3680,93.7
TR00006,C031,3700,7151,96.8
TR00006,C032,2329,12949,77.3
TR00006,C047,603,3503,55.9
TR00006,C047,11464,11871,32.4
TR00007,C009,295,581,99.5
TR00007,C009,4009,4992,60.8
TR00007,C009,8109,9650,31.4
TR00007,C014,2694,4157,69.8
TR00007,C014,8028,10860,78.7
TR00007,C016,2539,5595,49.3
TR00007,C016,6546,10425,76.7
TR00007,C030,2391,4588,78.3
TR00007,C030,7230,10826,70.9
TR00007,C036,2096,9537,82.8
TR00007,C037,404,2253,94.6
TR00007,C037,6118,8389,42.3
TR00007,C042,482,9880,77.4
TR00007,C050,274,1112,92.8
TR00008,C016,1955,5307,76.2
TR00008,C016,7367,10265,95.2
TR00008,C017,508,3754,78.3
TR00008,C017,6984,9687,46.3
TR00008,C027,0,3010,59.7
TR00008,C029,2800,5249,29.6
TR00008,C037,2968,5188,31.1
TR00009,C033,62,2018,52.3
TR00009,C033,9546,11379,72.7
TR00009,C034,4245,6499,77.2
TR00009,C034,9418,11377,72.0
TR00009,C042,3162,4761,77.3
TR00009,C042,10320,11188,20.2
TR00009,C048,595,4081,38.8
TR00009,C033,5666,9802,72.2
TR00010,C001,1456,4211,49.9
TR00010,C001,9116,12114,51.0
TR00010,C009,92,1963,32.4
TR00010,C009,8182,9522,41.8
TR00010,C013,2788,6300,87.6
TR00010,C013,9833,12773,37.9
TR00010,C029,3668,5809,35.2
TR00011,C001,215,784,66.0
TR00011,C001,4411,4916,86.5
TR00011,C001,9171,10628,31.1
TR00011,C001,13710,14330,40.5
TR00011,C003,6765,7916,65.1
TR00011,C028,486,15699,77.0
TR00011,C033,414,1761,35.1
TR00011,C033,5840,7178,30.6
TR00011,C033,12363,13074,53.9
TR00011,C036,1629,5115,90.5
TR00011,C048,2251,5193,54.1
TR00011,C048,11990,13078,73.2
TR00012,C010,2137,4466,34.4
TR00012,C010,6719,8546,98.0
TR00012,C015,2713,5213,56.4
TR00012,C017,2111,5162,29.1
TR00012,C026,1048,1478,39.5
TR00012,C026,7016,8524,63.8
TR00012,C032,1778,4341,83.2
TR00012,C039,267,3382,95.6
TR00012,C045,875,2628,89.3
TR00012,C045,6026,8084,41.6
TR00012,C049,2124,2918,23.0
TR00012,C049,5337,6829,83.1
TR00013,C002,333,782,92.4
TR00013,C002,3939,5129,32.7
TR00013,C002,8306,8802,88.3
TR00013,C002,10910,11738,65.0
TR00013,C026,2403,11962,96.8
TR00013,C049,509,2143,61.8
TR00013,C049,8246,10071,23.3
TR00013,C050,1620,3749,72.7
TR00013,C050,10560,12783,47.8
TR00014,C004,183,13669,98.6
TR00014,C007,1478,2279,37.3
TR00014,C007,5861,6847,98.2
TR00014,C007,11130,13462,80.4
TR00014,C020,385,1997,77.1
TR00014,C036,2904,4995,72.4
TR00014,C036,10010,11325,70.4
TR00014,C037,928,2509,29.7
TR00014,C039,5312,6544,47.2
TR00014,C050,560,2022,73.5
TR00015,C003,9128,11585,69.0
TR00015,C005,2821,4379,85.6
TR00015,C005,10923,14068,92.0
TR00015,C012,1596,2296,62.2
TR00015,C012,13582,16720,28.9
TR00015,C022,2133,14864,96.3
TR00015,C039,3698,5926,22.7
TR00015,C039,10686,11841,39.2
TR00016,C001,1628,5533,38.0
TR00016,C001,13287,15369,71.9
TR00016,C018,3912,5590,20.9
TR00016,C018,13166,13985,30.1
TR00016,C021,639,16931,62.4
TR00016,C024,2592,4465,89.8
TR00016,C025,350,702,45.2
TR00016,C025,12652,13397,54.0
TR00016,C030,8059,10011,20.5
TR00016,C046,443,3711,37.1
TR00016,C048,3992,6618,99.6
TR00016,C048,12870,13754,49.3
TR00017,C001,842,2358,56.0
TR00017,C008,1772,4019,46.5
TR00017,C008,12774,14641,56.8
TR00017,C011,1618,18334,96.9
TR00017,C021,8348,9272,76.1
TR00017,C023,5716,7208,20.6
TR00017,C025,1102,3178,88.2
TR00017,C025,13942,15083,41.9
TR00017,C032,3046,6121,53.3
TR00017,C050,1301,5157,45.1
TR00017,C050,13557,14874,69.7
TR00018,C004,1359,1748,31.7
TR00018,C009,592,2179,74.7
TR00018,C009,4825,7323,89.3
TR00018,C015,0,3961,67.2
TR00018,C050,3716,6437,29.0
TR00019,C014,690,3108,77.1
TR00019,C014,8133,8593,37.6
TR00019,C015,2048,4218,77.5
TR00019,C015,8871,11591,71.4
TR00019,C023,5302,5526,84.9
TR00019,C028,0,6030,58.2
TR00019,C036,673,1087,85.7
TR00019,C036,9060,10387,61.1
TR00019,C041,885,2841,35.1
TR00019,C041,3194,4989,40.8
TR00019,C041,6246,6840,43.0
TR00019,C041,9558,11943,50.2
TR00019,C049,2295,5977,44.3
TR00019,C049,6963,8891,23.7
TR00020,C003,712,2548,26.3
TR00020,C003,6985,8249,40.0
TR00020,C019,2813,3948,88.5
TR00020,C019,6697,7498,23.5
TR00020,C027,1530,3247,80.8
TR00020,C027,8237,11902,43.3
TR00020,C035,6020,8401,75.2
TR00020,C048,972,2830,49.4
TR00020,C048,7441,8611,77.4
TR00020,C049,1023,3012,65.4
TR00020,C049,6542,7021,53.0
TR00021,C005,1814,3073,87.8
TR00021,C005,6478,8386,36.3
TR00021,C014,372,1333,81.9
TR00021,C014,3411,4481,34.2
TR00021,C014,5915,7686,49.7
TR00021,C014,8086,9094,83.9
TR00021,C036,1607,3167,60.5
TR00021,C036,7647,8711,53.6
TR00021,C040,2678,3562,75.1
TR00021,C044,928,3648,22.8
TR00021,C044,6091,6909,23.9
TR00021,C048,2462,3354,40.7
TR00021,C048,6193,9324,95.8
TR00022,C004,1024,1853,33.4
TR00022,C004,3782,5736,38.8
TR00022,C012,807,5970,89.1
TR00022,C014,3185,4119,79.8
TR00022,C022,88,2467,94.0
TR00022,C022,3777,4305,49.6
TR00022,C026,3515,6537,72.9
TR00022,C032,794,6811,96.4
TR00022,C033,535,3045,54.6
TR00022,C033,4491,6866,73.9
TR00022,C045,1173,2257,47.4
TR00023,C008,885,1917,24.6
TR00023,C022,325,2561,50.5
TR00023,C022,6619,10248,27.7
TR00023,C027,1098,4149,25.4
TR00023,C027,6395,6657,90.0
TR00023,C039,2960,3560,26.4
TR00024,C001,1111,3213,84.1
TR00024,C001,6860,9779,52.1
TR00024,C007,1993,3194,67.8
TR00024,C016,3551,4656,93.3
TR00024,C028,3975,6523,57.2
TR00024,C032,173,8277,87.4
TR00024,C039,1657,4027,40.3
TR00024,C039,5839,6823,34.8
TR00024,C040,69,875,84.2
TR00024,C040,7465,9750,36.2
TR00025,C003,5224,7667,51.5
TR00025,C007,381,4140,59.8
TR00025,C007,7430,10041,54.2
TR00025,C023,0,3474,23.1
TR00025,C028,1197,2324,98.7
TR00025,C029,37,450,54.6
TR00025,C029,3140,5096,59.8
TR00025,C029,5976,7704,74.9
TR00025,C029,8550,9183,49.9
TR00025,C030,377,1774,93.5
TR00025,C030,3395,5094,59.9
TR00025,C030,5769,7405,32.7
TR00025,C030,8645,10474,52.4
TR00025,C031,1951,8343,79.9
TR00025,C032,1405,2260,33.7
TR00026,C002,2049,2430,67.1
TR00026,C006,565,2000,76.1
TR00026,C006,9127,11477,27.9
TR00026,C021,301,2381,67.3
TR00026,C021,7704,11026,82.3
TR00026,C032,765,4141,78.6
TR00026,C032,7812,11670,30.9
TR00026,C033,2501,5572,25.6
TR00026,C035,450,11834,84.2
TR00026,C037,2957,5348,59.0
TR00026,C037,7144,9542,59.9
TR00027,C005,585,2233,24.4
TR00027,C014,1814,3759,99.0
TR00027,C017,2668,3254,24.5
TR00027,C017,7952,8893,72.0
TR00027,C025,648,11348,82.9
TR00027,C042,4699,8045,23.6
TR00027,C045,492,3190,49.0
TR00027,C045,6596,10073,68.8
TR00027,C048,2478,4182,99.1
TR00028,C001,781,6862,98.5
TR00028,C007,795,3267,21.5
TR00028,C030,318,1836,63.6
TR00028,C030,5125,5760,35.9
TR00028,C031,0,3135,43.7
TR00028,C050,1004,6789,74.2
TR00029,C004,516,4049,77.2
TR00029,C017,505,799,30.4
TR00029,C019,583,2550,91.2
TR00029,C019,10050,13761,34.9
TR00029,C022,2436,12691,81.2
TR00029,C026,717,940,68.2
TR00029,C026,4295,5244,86.5
TR00029,C026,7764,9105,46.0
TR00029,C026,10946,12921,70.3
TR00029,C029,1129,3711,22.0
TR00029,C029,7572,8560,86.8
TR00029,C037,2644,12074,93.7
TR00029,C044,240,1336,99.6
TR00029,C044,3672,6112,94.7
TR00029,C044,7950,8326,75.2
TR00029,C044,11502,12277,56.4
TR00030,C011,4537,6898,99.6
TR00030,C011,12290,12680,72.5
TR00030,C019,3631,16929,75.2
TR00030,C021,2436,16868,84.3
TR00030,C033,382,2839,71.5
TR00030,C033,7901,9990,64.8
TR00030,C033,13891,14864,37.9
TR00030,C040,3848,6021,69.9
TR00031,C008,346,2233,58.9
TR00031,C008,5977,7908,56.7
TR00031,C014,633,6760,99.8
TR00031,C023,1261,3627,47.4
TR00031,C023,6107,7400,23.1
TR00031,C028,1543,2397,36.9
TR00031,C028,6343,7382,58.0
TR00031,C036,2688,4747,20.3
TR00031,C044,195,3310,20.1
TR00031,C047,390,2659,73.3
TR00031,C047,6308,8033,88.2
TR00032,C010,1134,3637,78.8
TR00032,C011,4249,7845,30.4
TR00032,C012,0,2458,51.8
TR00032,C017,3343,6583,77.4
TR00032,C020,5332,6609,23.5
TR00032,C029,2140,9820,75.6
TR00032,C030,3743,6644,23.7
TR00032,C050,2798,3089,54.2
TR00033,C007,1468,16081,98.0
TR00033,C013,1442,12991,98.1
TR00033,C016,2219,5713,37.6
TR00033,C016,10412,11921,79.9
TR00033,C017,3108,4423,29.7
TR00033,C029,6721,8942,33.6
TR00033,C035,0,1741,56.1
TR00034,C001,170,3291,87.6
TR00034,C001,6403,9683,26.0
TR00034,C014,2479,3434,24.6
TR00034,C017,443,9097,93.0
TR00034,C033,1649,2516,30.5
TR00034,C033,6371,7376,56.2
TR00034,C037,82,2432,34.5
TR00034,C037,7121,7771,99.9
TR00035,C009,742,14579,67.1
TR00035,C038,59,2213,45.4
TR00035,C038,6178,6591,81.8
TR00035,C038,10597,12582,58.5
TR00035,C038,15383,17660,53.0
TR00035,C044,1802,5552,24.8
TR00035,C046,6502,10072,60.2
TR00035,C048,6707,6925,37.5
TR00036,C002,242,2537,92.3
TR00036,C002,5218,7262,35.1
TR00036,C002,11039,12482,71.7
TR00036,C004,1231,3527,85.6
TR00036,C004,5415,6830,49.9
TR00036,C004,10984,11989,86.7
TR00036,C012,809,2127,71.0
TR00036,C012,7943,8771,66.8
TR00036,C036,0,6477,81.6
TR00036,C040,221,2340,23.6
TR00036,C040,10393,11393,47.8
TR00036,C040,3443,8436,66.6
TR00037,C006,0,3727,25.7
TR00037,C023,1205,1642,98.0
TR00037,C023,6283,8540,97.4
TR00037,C030,0,2834,85.5
TR00037,C032,4111,8052,71.5
TR00038,C003,1242,2092,51.9
TR00038,C003,4269,4858,56.1
TR00038,C004,867,5671,86.7
TR00038,C012,132,1123,37.7
TR00038,C012,3713,5506,37.8
TR00038,C019,1331,3384,45.2
TR00038,C019,4832,5779,31.4
TR00038,C026,2888,6885,92.3
TR00038,C043,2432,5946,37.6
TR00039,C003,3086,3725,51.0
TR00039,C003,8060,11577,98.0
TR00039,C021,593,1430,82.9
TR00039,C021,5921,8414,96.1
TR00039,C021,10070,12265,77.2
TR00039,C030,665,12972,89.5
TR00039,C039,895,4121,70.5
TR00039,C039,10507,11568,74.2
TR00039,C041,5905,9581,27.7
TR00039,C044,6,528,98.2
TR00039,C044,10114,11009,39.8
TR00040,C004,747,1644,60.7
TR00040,C004,6513,7776,47.7
TR00040,C005,3875,6742,43.6
TR00040,C008,1143,2906,68.0
TR00040,C009,1597,8155,95.2
TR00040,C018,949,2735,72.8
TR00040,C018,4790,5857,37.7
TR00040,C031,1214,2867,91.6
TR00040,C031,5237,7060,37.4
TR00040,C032,9,2614,21.6
TR00041,C004,1445,3121,47.8
TR00041,C004,6053,6470,87.4
TR00041,C018,495,4311,79.0
TR00041,C019,1352,1878,77.4
TR00041,C019,5805,9398,29.7
TR00041,C022,1152,2961,64.4
TR00041,C022,5745,6812,83.3
TR00041,C026,1797,3303,47.2
TR00041,C026,5156,6656,88.1
TR00041,C029,821,3081,27.9
TR00041,C036,1935,4721,37.5
TR00041,C044,702,9567,65.0
TR00042,C007,87,1161,43.2
TR00042,C007,3551,4335,56.3
TR00042,C019,1378,4435,78.3
TR00042,C024,1077,1901,68.4
TR00042,C024,3794,5021,39.0
TR00042,C039,383,1068,44.8
TR00042,C039,1797,2031,60.0
TR00042,C039,3085,3846,51.8
TR00042,C039,4615,5567,48.1
TR00042,C045,971,1588,86.3
TR00042,C045,3719,4470,80.0
TR00042,C048,563,1233,55.2
TR00042,C048,2056,2758,31.3
TR00042,C048,4211,5131,41.7
TR00043,C003,1676,5317,58.9
TR00043,C003,6177,8205,53.4
TR00043,C010,121,10795,80.6
TR00043,C011,561,3287,71.6
TR00043,C011,6719,7275,59.1
TR00043,C019,2752,3980,47.4
TR00043,C019,7171,9515,64.1
TR00043,C021,4594,6797,94.0
TR00043,C031,1099,2342,28.1
TR00043,C034,775,1824,42.4
TR00043,C034,3378,3861,97.4
TR00043,C034,5616,7256,67.2
TR00043,C034,8658,10345,89.2
TR00043,C048,1093,2135,82.6
TR00043,C048,3756,4916,79.6
TR00043,C048,8367,9997,73.6
TR00044,C005,4675,7134,24.6
TR00044,C007,2039,3422,65.9
TR00044,C007,9802,12476,53.7
TR00044,C010,3593,4361,34.5
TR00044,C010,10656,13478,81.7
TR00044,C013,2001,5843,86.2
TR00044,C013,9370,10317,34.1
TR00044,C019,762,12986,97.5
TR00044,C041,1534,3764,30.4
TR00044,C041,6638,8724,44.6
TR00044,C041,11210,13244,77.9
TR00044,C046,781,14382,68.3
