account_id,current_segment,billing_currency,monthly_recurring_revenue,signup_date,status,is_test_account
ACC00001,mid_market,USD,1596.03,2024-04-24,active,False
ACC00002,smb,EUR,259.59,2023-08-09,active,False
ACC00003,mid_market,USD,3426.28,2023-10-26,active,False
ACC00004,mid_market,USD,3315.32,2018-09-13,active,False
ACC00005,mid_market,USD,390.02,2020-08-08,active,False
ACC00006,mid_market,GBP,1678.11,2023-03-23,active,False
ACC00007,smb,USD,181.39,2022-01-11,active,False
ACC00008,enterprise,EUR,27127.87,2018-01-15,active,False
ACC00009,enterprise,USD,8165.82,2021-12-21,active,False
ACC00010,smb,USD,120.94,2023-08-19,active,False
ACC00011,mid_market,USD,3702.26,2023-10-20,active,False
ACC00012,smb,USD,335.01,2020-09-08,active,False
ACC00013,mid_market,EUR,3151.82,2019-08-27,active,False
ACC00014,smb,USD,356.44,2020-03-02,active,False
ACC00015,mid_market,EUR,3178.08,2020-01-28,active,False
ACC00016,smb,USD,271.57,2020-06-04,active,False
ACC00017,smb,USD,364.85,2020-02-11,active,False
ACC00018,smb,USD,339.7,2021-03-14,active,False
ACC00019,enterprise,USD,8041.28,2018-04-15,active,False
ACC00020,smb,USD,103.56,2019-12-05,active,False
ACC00021,smb,EUR,81.76,2020-03-15,active,False
ACC00022,smb,USD,157.88,2019-01-27,active,False
ACC00023,smb,EUR,202.09,2024-02-22,active,False
ACC00024,smb,USD,88.62,2022-09-23,active,False
ACC00025,smb,USD,395.75,2024-05-20,active,False
ACC00026,smb,EUR,187.93,2021-12-06,active,False
ACC00027,smb,USD,112.15,2018-10-08,active,False
ACC00028,smb,USD,271.9,2024-05-01,active,False
ACC00029,smb,USD,275.88,2021-03-16,active,False
ACC00030,mid_market,EUR,803.06,2022-10-16,active,False
ACC00031,enterprise,USD,14717.43,2020-09-01,active,False
ACC00032,mid_market,USD,1331.52,2021-06-17,active,False
ACC00033,smb,USD,112.86,2021-06-04,active,False
ACC00034,smb,USD,363.85,2019-12-29,active,False
ACC00035,mid_market,USD,291.26,2021-11-18,active,False
ACC00036,smb,USD,107.29,2023-02-19,active,False
ACC00037,mid_market,USD,387.83,2018-02-21,active,False
ACC00038,enterprise,GBP,20221.4,2018-12-01,active,False
ACC00039,mid_market,USD,2432.03,2023-11-23,active,False
ACC00040,mid_market,USD,3934.92,2021-12-26,active,False
ACC00041,mid_market,USD,1981.26,2024-10-24,active,False
ACC00042,smb,USD,120.02,2022-03-26,active,False
ACC00043,smb,USD,354.15,2022-07-29,active,False
ACC00044,smb,USD,266.89,2024-04-16,active,False
ACC00045,enterprise,EUR,13457.18,2022-08-16,active,False
ACC00046,mid_market,USD,167.47,2020-04-22,active,False
ACC00047,smb,USD,200.57,2021-09-11,active,False
ACC00048,mid_market,EUR,3102.99,2019-08-26,active,False
ACC00049,enterprise,GBP,21664.49,2020-05-04,active,False
ACC00050,smb,USD,292.91,2022-10-05,active,False
ACC00051,smb,USD,177.15,2019-01-16,active,False
ACC00052,smb,USD,334.93,2022-09-14,active,False
ACC00053,mid_market,USD,1528.77,2022-02-01,active,False
ACC00054,mid_market,GBP,1169.85,2020-02-28,active,False
ACC00055,mid_market,GBP,3388.95,2018-04-25,active,False
ACC00056,mid_market,EUR,3343.74,2022-12-07,active,False
ACC00057,smb,USD,282.43,2023-10-09,active,False
ACC00058,smb,USD,318.62,2023-02-10,active,False
ACC00059,smb,USD,137.96,2020-12-11,active,False
ACC00060,smb,USD,233.55,2022-07-29,active,False
ACC00061,smb,USD,347.82,2020-11-26,active,False
ACC00062,enterprise,GBP,29636.82,2020-07-04,active,False
ACC00063,mid_market,USD,2332.42,2020-04-16,active,False
ACC00064,mid_market,USD,1551.77,2019-06-23,active,False
ACC00065,smb,USD,188.63,2024-10-13,active,False
ACC00066,smb,USD,263.01,2022-08-30,active,False
ACC00067,smb,USD,166.57,2019-03-24,active,False
ACC00068,smb,USD,285.25,2024-01-21,active,False
ACC00069,smb,USD,187.99,2019-01-22,active,False
ACC00070,mid_market,USD,3865.34,2022-02-26,active,False
ACC00071,smb,USD,297.32,2019-02-28,active,False
ACC00072,enterprise,EUR,33809.06,2020-07-12,active,False
ACC00073,smb,USD,202.47,2022-08-11,active,False
ACC00074,mid_market,USD,153.56,2024-12-28,active,False
ACC00075,enterprise,GBP,20772.98,2024-12-10,active,False
ACC00076,smb,USD,385.77,2024-04-08,active,False
ACC00077,smb,USD,173.07,2019-08-25,active,False
ACC00078,mid_market,GBP,1814.81,2018-08-28,active,False
ACC00079,mid_market,USD,3524.03,2024-05-03,active,False
ACC00080,smb,USD,224.17,2024-06-17,active,False
ACC00081,mid_market,EUR,1217.5,2019-12-14,active,False
ACC00082,smb,USD,179.01,2018-02-19,active,False
ACC00083,smb,USD,123.51,2022-07-15,active,False
ACC00084,smb,USD,307.64,2018-07-14,active,False
ACC00085,mid_market,USD,2150.46,2018-04-14,active,False
ACC00086,enterprise,GBP,32494.99,2024-07-23,active,False
ACC00087,enterprise,USD,35263.86,2021-06-20,active,False
ACC00088,smb,USD,188.57,2018-10-14,active,False
ACC00089,smb,USD,313.06,2022-08-01,active,False
ACC00090,smb,USD,258.71,2020-08-01,active,False
ACC00091,smb,USD,399.76,2021-10-02,active,False
ACC00092,smb,USD,338.79,2024-04-16,active,False
ACC00093,smb,USD,353.86,2019-08-31,active,False
ACC00094,smb,EUR,141.79,2022-07-11,active,False
ACC00095,smb,USD,267.63,2023-10-19,active,False
ACC00096,smb,USD,262.63,2020-12-19,active,False
ACC00097,enterprise,GBP,37814.86,2024-10-15,active,False
ACC00098,smb,USD,309.74,2021-02-19,active,True
ACC00099,mid_market,USD,2510.57,2021-03-19,active,False
ACC00100,smb,USD,241.2,2024-03-10,active,False
ACC00101,smb,USD,315.34,2022-06-14,active,False
ACC00102,mid_market,USD,1946.87,2024-01-30,active,False
ACC00103,smb,USD,116.96,2023-07-14,active,False
ACC00104,smb,EUR,375.15,2022-12-26,active,False
ACC00105,smb,USD,162.83,2019-09-10,active,False
ACC00106,mid_market,USD,3007.81,2020-10-16,active,False
ACC00107,smb,USD,101.53,2024-01-19,active,False
ACC00108,mid_market,USD,163.39,2022-04-24,active,False
ACC00109,enterprise,EUR,13214.63,2019-12-18,active,False
ACC00110,smb,USD,248.52,2020-04-16,active,False
ACC00111,mid_market,USD,257.24,2023-06-07,active,False
ACC00112,smb,USD,334.71,2019-04-01,active,False
