customer_id,segment,monthly_recurring_revenue,signup_date,status,is_test_account
CUST00001,smb,245.78,2019-04-20,active,False
CUST00002,smb,193.16,2023-05-30,active,False
CUST00003,smb,104.02,2020-04-29,active,False
CUST00004,smb,397.11,2021-10-08,active,False
CUST00005,enterprise,13592.76,2024-05-11,active,False
CUST00006,smb,161.7,2019-04-25,active,False
CUST00007,smb,155.49,2020-12-28,active,False
CUST00008,smb,370.54,2019-03-23,active,False
CUST00009,mid_market,3243.8,2021-01-21,active,False
CUST00010,smb,226.35,2020-02-09,active,False
CUST00011,mid_market,3857.35,2024-05-28,active,False
CUST00012,smb,96.89,2020-02-14,active,False
CUST00013,smb,365.97,2022-04-19,active,False
CUST00014,smb,99.34,2018-12-16,active,False
CUST00015,smb,205.16,2021-03-11,active,False
CUST00016,mid_market,972.82,2023-11-04,active,False
CUST00017,smb,399.67,2022-09-14,active,False
CUST00018,enterprise,37260.46,2019-12-24,active,False
CUST00019,smb,267.14,2024-10-20,active,False
CUST00020,smb,149.71,2023-08-13,active,False
CUST00021,smb,168.57,2020-10-25,active,False
CUST00022,mid_market,2238.54,2024-10-24,active,False
CUST00023,smb,183.29,2019-04-24,active,False
CUST00024,smb,86.82,2020-04-28,active,False
CUST00025,smb,290.0,2024-07-06,active,False
CUST00026,mid_market,2762.97,2024-10-15,active,False
CUST00027,smb,369.38,2023-10-05,active,False
CUST00028,enterprise,23259.33,2019-05-04,active,False
CUST00029,mid_market,1903.07,2019-07-13,active,False
CUST00030,smb,243.69,2022-07-13,active,False
CUST00031,smb,142.3,2018-05-24,active,False
CUST00032,smb,280.17,2024-12-08,active,False
CUST00033,mid_market,3264.11,2024-08-03,active,False
CUST00034,mid_market,1291.08,2023-08-29,active,False
CUST00035,smb,181.88,2024-10-10,active,False
CUST00036,mid_market,3576.96,2019-08-11,active,False
CUST00037,mid_market,2417.7,2024-03-02,active,False
CUST00038,smb,250.19,2019-10-20,active,False
CUST00039,mid_market,3111.71,2018-11-06,active,False
CUST00040,smb,264.93,2019-11-02,active,False
CUST00041,smb,102.27,2023-06-04,active,False
CUST00042,smb,337.27,2024-08-07,active,False
CUST00043,smb,375.31,2022-04-14,active,False
CUST00044,mid_market,970.49,2019-09-20,active,False
CUST00045,smb,118.8,2022-03-16,active,False
CUST00046,smb,304.63,2021-07-26,active,False
CUST00047,mid_market,2734.32,2021-08-16,active,False
CUST00048,mid_market,2024.05,2020-06-13,active,False
CUST00049,smb,252.56,2018-12-21,active,False
CUST00050,mid_market,3050.68,2020-07-12,active,False
CUST00051,mid_market,2414.32,2024-03-25,active,False
CUST00052,enterprise,12486.03,2020-11-09,active,False
CUST00053,smb,108.62,2018-02-23,active,False
CUST00054,smb,220.43,2020-05-31,active,False
CUST00055,smb,375.32,2021-03-24,active,False
CUST00056,smb,258.49,2022-03-14,active,False
CUST00057,smb,194.63,2022-06-28,active,False
CUST00058,smb,370.79,2020-12-23,active,False
CUST00059,mid_market,2043.62,2019-01-01,active,False
CUST00060,mid_market,2429.27,2021-02-01,active,False
CUST00061,smb,117.28,2018-01-09,active,False
CUST00062,smb,315.97,2021-07-17,active,False
CUST00063,smb,304.1,2021-02-11,active,False
CUST00064,smb,334.16,2020-06-29,active,False
CUST00065,smb,184.06,2022-08-19,active,False
CUST00066,smb,219.54,2023-04-13,active,False
CUST00067,smb,133.87,2019-11-06,active,False
CUST00068,mid_market,3886.42,2021-07-10,active,False
CUST00069,enterprise,10754.48,2021-07-26,active,False
CUST00070,smb,287.68,2021-07-25,active,False
CUST00071,mid_market,3056.82,2020-10-27,active,False
CUST00072,smb,130.48,2019-06-21,active,False
CUST00073,smb,196.9,2019-03-15,active,False
CUST00074,mid_market,938.01,2018-03-20,active,False
CUST00075,enterprise,25811.46,2018-05-14,active,False
CUST00076,mid_market,3983.8,2023-08-31,active,False
CUST00077,mid_market,2175.63,2018-06-28,active,False
CUST00078,smb,396.8,2023-12-27,active,False
CUST00079,smb,120.39,2024-04-10,active,False
CUST00080,smb,205.59,2019-09-09,active,False
CUST00081,smb,368.63,2021-02-06,active,False
CUST00082,smb,360.54,2020-07-09,active,False
CUST00083,smb,183.55,2020-10-03,active,False
CUST00084,mid_market,2971.55,2020-07-04,active,False
CUST00085,enterprise,36357.13,2020-05-25,active,False
CUST00086,enterprise,32540.08,2022-10-15,active,False
CUST00087,smb,281.11,2020-11-20,active,False
CUST00088,smb,128.82,2019-04-24,active,False
CUST00089,mid_market,1033.61,2020-08-26,active,False
CUST00090,smb,276.68,2024-11-06,active,False
CUST00091,mid_market,2400.88,2024-11-29,active,False
CUST00092,smb,156.17,2018-06-08,active,False
CUST00093,smb,173.69,2022-01-11,active,False
CUST00094,mid_market,2054.68,2024-10-24,active,False
CUST00095,mid_market,2385.67,2019-05-11,active,False
CUST00096,smb,204.88,2018-06-25,active,False
CUST00097,mid_market,2039.33,2019-06-26,active,False
CUST00098,enterprise,11703.45,2020-03-22,active,False
CUST00099,mid_market,3569.89,2024-07-17,active,False
CUST00100,smb,274.93,2019-10-03,active,False
CUST00101,smb,126.75,2020-04-28,active,False
CUST00102,smb,215.64,2019-10-26,active,False
CUST00103,mid_market,2133.49,2020-09-27,active,False
CUST00104,smb,272.2,2024-12-17,active,False
CUST00105,smb,274.84,2018-08-03,active,False
CUST00106,smb,286.47,2021-03-17,active,False
CUST00107,smb,303.33,2022-04-19,active,False
CUST00108,mid_market,1130.73,2018-11-02,active,False
CUST00109,enterprise,17757.51,2018-04-24,active,False
CUST00110,smb,85.55,2024-11-15,active,False
CUST00111,smb,225.49,2019-11-20,active,False
CUST00112,mid_market,2174.18,2019-09-13,active,False
CUST00113,mid_market,3149.85,2020-06-10,active,False
CUST00114,smb,133.48,2018-07-05,active,False
CUST00115,mid_market,2820.78,2019-01-11,active,False
CUST00116,smb,178.14,2018-03-03,active,False
CUST00117,smb,202.21,2021-09-29,active,False
CUST00118,smb,310.17,2021-03-30,active,False
CUST00119,smb,102.9,2019-12-02,active,False
CUST00120,smb,189.69,2024-06-05,active,False
CUST00121,smb,205.22,2020-02-20,active,False
CUST00122,smb,309.04,2018-02-13,active,False
CUST00123,enterprise,14375.18,2018-09-12,active,False
CUST00124,smb,383.17,2023-01-28,active,False
CUST00125,enterprise,39928.38,2021-09-24,active,False
CUST00126,smb,342.05,2019-10-28,active,False
CUST00127,mid_market,1759.08,2019-09-25,active,False
CUST00128,mid_market,2924.37,2019-07-14,active,False
CUST00129,mid_market,1066.07,2020-12-14,active,False
CUST00130,smb,358.81,2022-12-04,active,False
CUST00131,mid_market,2451.18,2022-06-20,active,False
CUST00132,smb,136.46,2023-03-27,active,False
CUST00133,smb,184.77,2018-04-16,active,False
CUST00134,mid_market,3362.38,2021-11-29,active,False
CUST00135,smb,358.47,2023-05-08,active,False
CUST00136,enterprise,24630.83,2019-06-01,active,False
CUST00137,smb,233.7,2022-01-29,active,False
CUST00138,smb,320.24,2018-01-17,active,False
CUST00139,smb,344.38,2024-05-14,active,False
CUST00140,enterprise,32475.1,2023-02-28,active,False
CUST00141,smb,203.02,2022-05-12,active,False
CUST00142,smb,285.42,2022-03-13,active,False
CUST00143,smb,354.36,2022-09-09,active,False
CUST00144,smb,128.56,2020-12-16,active,False
CUST00145,smb,204.2,2024-10-07,active,False
CUST00146,mid_market,981.18,2019-06-30,active,False
CUST00147,mid_market,2108.41,2023-09-03,active,False
CUST00148,smb,327.13,2023-05-02,active,False
CUST00149,smb,143.05,2023-11-11,active,False
CUST00150,enterprise,25340.39,2018-07-01,active,False
CUST00151,smb,91.71,2021-02-11,active,False
CUST00152,smb,367.25,2022-07-01,active,False
CUST00153,mid_market,3424.02,2022-05-01,active,False
CUST00154,smb,247.81,2022-10-26,active,False
CUST00155,mid_market,3058.52,2022-06-10,active,False
CUST00156,smb,113.25,2019-07-25,active,False
CUST00157,mid_market,3504.67,2023-10-18,active,False
CUST00158,smb,308.88,2021-05-20,active,False
CUST00159,smb,118.39,2024-10-17,active,False
CUST00160,smb,393.82,2021-08-22,active,False
CUST00161,mid_market,872.1,2021-10-05,active,False
CUST00162,smb,281.12,2022-02-20,active,False
CUST00163,mid_market,1349.62,2024-02-05,active,False
CUST00164,enterprise,31016.24,2024-04-22,active,False
CUST00165,smb,102.53,2022-02-03,active,False
CUST00166,mid_market,1059.52,2021-10-28,active,False
CUST00167,smb,229.21,2018-05-20,active,False
CUST00168,smb,398.08,2018-06-22,active,False
CUST00169,mid_market,1684.85,2023-02-26,active,False
CUST00170,smb,276.01,2020-05-31,active,False
CUST00171,mid_market,2459.52,2021-01-21,active,False
CUST00172,smb,349.48,2022-05-26,active,False
CUST00173,mid_market,1723.49,2019-07-22,active,False
CUST00174,smb,257.58,2020-05-01,active,False
CUST00175,mid_market,3842.0,2018-04-20,active,False
CUST00176,enterprise,18642.75,2023-05-17,active,False
CUST00177,smb,220.61,2021-07-23,active,False
CUST00178,smb,364.42,2019-05-01,active,False
CUST00179,smb,186.4,2022-03-04,active,False
CUST00180,smb,201.82,2019-01-01,active,False
CUST00181,smb,177.32,2023-06-19,active,False
CUST00182,smb,339.05,2019-08-14,active,False
CUST00183,smb,377.72,2019-11-22,active,False
CUST00184,mid_market,2819.52,2024-02-18,active,False
CUST00185,smb,279.56,2023-03-15,active,False
CUST00186,smb,204.8,2022-10-07,active,False
CUST00187,mid_market,839.95,2022-03-19,active,False
CUST00188,enterprise,13566.0,2021-08-22,active,False
CUST00189,smb,127.18,2019-05-06,active,False
CUST00190,mid_market,1170.82,2020-02-07,active,False
CUST00191,smb,289.3,2024-09-26,active,False
CUST00192,mid_market,1236.32,2024-06-05,active,False
CUST00193,mid_market,1074.03,2023-01-31,active,False
CUST00194,smb,202.43,2024-03-21,active,False
CUST00195,mid_market,1596.87,2023-08-18,active,False
CUST00196,mid_market,1266.75,2020-10-17,active,True
CUST00197,smb,126.76,2023-01-03,active,False
CUST00198,smb,161.99,2023-04-08,active,False
CUST00199,mid_market,2517.92,2018-12-20,active,False
CUST00200,mid_market,3225.91,2024-05-24,active,False
CUST00201,smb,352.89,2021-06-14,active,False
CUST00202,smb,320.45,2020-03-11,active,False
CUST00203,smb,281.03,2021-04-26,active,False
CUST00204,mid_market,3704.4,2020-04-20,active,False
CUST00205,enterprise,24631.58,2020-04-29,active,False
CUST00206,mid_market,2826.74,2021-10-27,active,False
CUST00207,mid_market,2117.19,2024-12-24,active,False
CUST00208,smb,184.76,2020-11-09,active,False
CUST00209,mid_market,1861.48,2019-07-03,active,False
CUST00210,smb,127.46,2023-05-01,active,False
CUST00211,smb,334.91,2020-01-24,active,False
CUST00212,smb,97.72,2021-10-04,active,False
CUST00213,mid_market,2958.99,2019-10-10,active,False
CUST00214,smb,356.63,2019-06-26,active,False
CUST00215,smb,239.18,2019-10-07,active,False
CUST00216,smb,102.46,2020-06-29,active,False
CUST00217,mid_market,2170.94,2024-09-08,active,False
CUST00218,mid_market,1898.33,2022-09-12,active,False
CUST00219,smb,395.37,2022-11-14,active,False
CUST00220,mid_market,3012.05,2018-05-17,active,False
CUST00221,mid_market,3108.35,2018-01-28,active,False
CUST00222,smb,245.06,2020-05-24,active,False
CUST00223,smb,307.01,2024-03-18,active,False
CUST00224,smb,311.22,2018-02-11,active,False
CUST00225,mid_market,1012.35,2023-05-13,active,False
CUST00226,smb,151.23,2023-09-30,active,False
CUST00227,enterprise,8414.96,2019-12-12,active,False
CUST00228,smb,243.14,2018-10-27,active,False
CUST00229,smb,360.26,2019-01-28,active,False
CUST00230,mid_market,2750.57,2018-07-17,active,False
CUST00231,mid_market,2400.66,2023-11-27,active,False
CUST00232,smb,376.31,2023-07-04,active,False
CUST00233,smb,135.11,2022-09-16,active,False
