date,currency,usd_rate
2025-01-01,EUR,1.036762
2025-01-01,GBP,1.248757
2025-01-01,USD,1.0
2025-01-02,EUR,1.033955
2025-01-02,GBP,1.251292
2025-01-02,USD,1.0
2025-01-03,EUR,1.038986
2025-01-03,GBP,1.248494
2025-01-03,USD,1.0
2025-01-06,EUR,1.040015
2025-01-06,GBP,1.256192
2025-01-06,USD,1.0
2025-01-07,EUR,1.033341
2025-01-07,GBP,1.253847
2025-01-07,USD,1.0
2025-01-08,EUR,1.035518
2025-01-08,GBP,1.250133
2025-01-08,USD,1.0
2025-01-09,EUR,1.039648
2025-01-09,GBP,1.252383
2025-01-09,USD,1.0
2025-01-10,EUR,1.039092
2025-01-10,GBP,1.257691
2025-01-10,USD,1.0
2025-01-13,EUR,1.040395
2025-01-13,GBP,1.260183
2025-01-13,USD,1.0
2025-01-14,EUR,1.03886
2025-01-14,GBP,1.264895
2025-01-14,USD,1.0
2025-01-15,EUR,1.043745
2025-01-15,GBP,1.268761
2025-01-15,USD,1.0
2025-01-16,EUR,1.044046
2025-01-16,GBP,1.260669
2025-01-16,USD,1.0
2025-01-17,EUR,1.042821
2025-01-17,GBP,1.256412
2025-01-17,USD,1.0
2025-01-20,EUR,1.046029
2025-01-20,GBP,1.253069
2025-01-20,USD,1.0
2025-01-21,EUR,1.044934
2025-01-21,GBP,1.262124
2025-01-21,USD,1.0
2025-01-22,EUR,1.042172
2025-01-22,GBP,1.258998
2025-01-22,USD,1.0
2025-01-23,EUR,1.045797
2025-01-23,GBP,1.261046
2025-01-23,USD,1.0
2025-01-24,EUR,1.043032
2025-01-24,GBP,1.261014
2025-01-24,USD,1.0
2025-01-27,EUR,1.048181
2025-01-27,GBP,1.26332
2025-01-27,USD,1.0
2025-01-28,EUR,1.046414
2025-01-28,GBP,1.2682
2025-01-28,USD,1.0
2025-01-29,EUR,1.046632
2025-01-29,GBP,1.265675
2025-01-29,USD,1.0
2025-01-30,EUR,1.045946
2025-01-30,GBP,1.265226
2025-01-30,USD,1.0
2025-01-31,EUR,1.051259
2025-01-31,GBP,1.262813
2025-01-31,USD,1.0
2025-02-03,EUR,1.048371
2025-02-03,GBP,1.261232
2025-02-03,USD,1.0
2025-02-04,EUR,1.048242
2025-02-04,GBP,1.266048
2025-02-04,USD,1.0
2025-02-05,EUR,1.048987
2025-02-05,GBP,1.268218
2025-02-05,USD,1.0
2025-02-06,EUR,1.051753
2025-02-06,GBP,1.27525
2025-02-06,USD,1.0
2025-02-07,EUR,1.05189
2025-02-07,GBP,1.270175
2025-02-07,USD,1.0
2025-02-10,EUR,1.052563
2025-02-10,GBP,1.273815
2025-02-10,USD,1.0
2025-02-11,EUR,1.053163
2025-02-11,GBP,1.269284
2025-02-11,USD,1.0
2025-02-12,EUR,1.057995
2025-02-12,GBP,1.26754
2025-02-12,USD,1.0
2025-02-13,EUR,1.052179
2025-02-13,GBP,1.268966
2025-02-13,USD,1.0
2025-02-14,EUR,1.052469
2025-02-14,GBP,1.270462
2025-02-14,USD,1.0
2025-02-17,EUR,1.05227
2025-02-17,GBP,1.281106
2025-02-17,USD,1.0
2025-02-18,EUR,1.056399
2025-02-18,GBP,1.271438
2025-02-18,USD,1.0
2025-02-19,EUR,1.058236
2025-02-19,GBP,1.277903
2025-02-19,USD,1.0
2025-02-20,EUR,1.055684
2025-02-20,GBP,1.272465
2025-02-20,USD,1.0
2025-02-21,EUR,1.054423
2025-02-21,GBP,1.279542
2025-02-21,USD,1.0
2025-02-24,EUR,1.055017
