account_id,segment,valid_from,valid_to
ACC00001,Mid-Market,2020-01-01,
ACC00002,SMB,2020-01-01,
ACC00003,Mid-Market,2020-01-01,
ACC00004,Mid-Market,2020-01-01,
ACC00005,SMB,2020-01-01,2025-03-31
ACC00005,Mid-Market,2025-04-01,
ACC00006,Mid-Market,2020-01-01,
ACC00007,SMB,2020-01-01,
ACC00008,Enterprise,2020-01-01,
ACC00009,Enterprise,2020-01-01,
ACC00010,SMB,2020-01-01,
ACC00011,Mid-Market,2020-01-01,
ACC00012,SMB,2020-01-01,
ACC00013,Mid-Market,2020-01-01,
ACC00014,SMB,2020-01-01,
ACC00015,Mid-Market,2020-01-01,
ACC00016,SMB,2020-01-01,
ACC00017,SMB,2020-01-01,
ACC00018,SMB,2020-01-01,
ACC00019,Enterprise,2020-01-01,
ACC00020,SMB,2020-01-01,
ACC00021,SMB,2020-01-01,
ACC00022,SMB,2020-01-01,
ACC00023,SMB,2020-01-01,
ACC00024,SMB,2020-01-01,
ACC00025,SMB,2020-01-01,
ACC00026,SMB,2020-01-01,
ACC00027,SMB,2020-01-01,
ACC00028,SMB,2020-01-01,
ACC00029,SMB,2020-01-01,
ACC00030,Mid-Market,2020-01-01,
ACC00031,Enterprise,2020-01-01,
ACC00032,Mid-Market,2020-01-01,
ACC00033,SMB,2020-01-01,
ACC00034,SMB,2020-01-01,
ACC00035,SMB,2020-01-01,2025-03-31
ACC00035,Mid-Market,2025-04-01,
ACC00036,SMB,2020-01-01,
ACC00037,SMB,2020-01-01,2025-03-31
ACC00037,Mid-Market,2025-04-01,
ACC00038,Enterprise,2020-01-01,
ACC00039,Mid-Market,2020-01-01,
ACC00040,Mid-Market,2020-01-01,
ACC00041,Mid-Market,2020-01-01,
ACC00042,SMB,2020-01-01,
ACC00043,SMB,2020-01-01,
ACC00044,SMB,2020-01-01,
ACC00045,Enterprise,2020-01-01,
ACC00046,SMB,2020-01-01,2025-03-31
ACC00046,Mid-Market,2025-04-01,
ACC00047,SMB,2020-01-01,
ACC00048,Mid-Market,2020-01-01,
ACC00049,Enterprise,2020-01-01,
ACC00050,SMB,2020-01-01,
ACC00051,SMB,2020-01-01,
ACC00052,SMB,2020-01-01,
ACC00053,Mid-Market,2020-01-01,
ACC00054,Mid-Market,2020-01-01,
ACC00055,Mid-Market,2020-01-01,
ACC00056,Mid-Market,2020-01-01,
ACC00057,SMB,2020-01-01,
ACC00058,SMB,2020-01-01,
ACC00059,SMB,2020-01-01,
ACC00060,SMB,2020-01-01,
ACC00061,SMB,2020-01-01,
ACC00062,Enterprise,2020-01-01,
ACC00063,Mid-Market,2020-01-01,
ACC00064,Mid-Market,2020-01-01,
ACC00065,SMB,2020-01-01,
ACC00066,SMB,2020-01-01,
ACC00067,SMB,2020-01-01,
ACC00068,SMB,2020-01-01,
ACC00069,SMB,2020-01-01,
ACC00070,Mid-Market,2020-01-01,
ACC00071,SMB,2020-01-01,
ACC00072,Enterprise,2020-01-01,
ACC00073,SMB,2020-01-01,
ACC00074,SMB,2020-01-01,2025-03-31
ACC00074,Mid-Market,2025-04-01,
ACC00075,Enterprise,2020-01-01,
ACC00076,SMB,2020-01-01,
ACC00077,SMB,2020-01-01,
ACC00078,Mid-Market,2020-01-01,
ACC00079,Mid-Market,2020-01-01,
ACC00080,SMB,2020-01-01,
ACC00081,Mid-Market,2020-01-01,
ACC00082,SMB,2020-01-01,
ACC00083,SMB,2020-01-01,
ACC00084,SMB,2020-01-01,
ACC00085,Mid-Market,2020-01-01,
ACC00086,Enterprise,2020-01-01,
ACC00087,Enterprise,2020-01-01,
ACC00088,SMB,2020-01-01,
ACC00089,SMB,2020-01-01,
ACC00090,SMB,2020-01-01,
ACC00091,SMB,2020-01-01,
ACC00092,SMB,2020-01-01,
ACC00093,SMB,2020-01-01,
ACC00094,SMB,2020-01-01,
ACC00095,SMB,2020-01-01,
ACC00096,SMB,2020-01-01,
ACC00097,Enterprise,2020-01-01,
ACC00098,SMB,2020-01-01,
ACC00099,Mid-Market,2020-01-01,
ACC00100,SMB,2020-01-01,
ACC00101,SMB,2020-01-01,
ACC00102,Mid-Market,2020-01-01,
ACC00103,SMB,2020-01-01,
ACC00104,SMB,2020-01-01,
ACC00105,SMB,2020-01-01,
ACC00106,Mid-Market,2020-01-01,
ACC00107,SMB,2020-01-01,
ACC00108,SMB,2020-01-01,2025-03-31
ACC00108,Mid-Market,2025-04-01,
ACC00109,Enterprise,2020-01-01,
ACC00110,SMB,2020-01-01,
ACC00111,SMB,2020-01-01,2025-03-31
ACC00111,Mid-Market,2025-04-01,
ACC00112,SMB,2020-01-01,
ACC00113,SMB,2020-01-01,
ACC00114,Mid-Market,2020-01-01,
ACC00115,SMB,2020-01-01,
ACC00116,SMB,2020-01-01,
ACC00117,SMB,2020-01-01,2025-03-31
ACC00117,Mid-Market,2025-04-01,
ACC00118,SMB,2020-01-01,
ACC00119,SMB,2020-01-01,
ACC00120,SMB,2020-01-01,
ACC00121,SMB,2020-01-01,
ACC00122,SMB,2020-01-01,
ACC00123,SMB,2020-01-01,
ACC00124,SMB,2020-01-01,
ACC00125,Mid-Market,2020-01-01,
ACC00126,SMB,2020-01-01,
ACC00127,SMB,2020-01-01,
ACC00128,SMB,2020-01-01,
ACC00129,Mid-Market,2020-01-01,
ACC00130,SMB,2020-01-01,
ACC00131,SMB,2020-01-01,
ACC00132,SMB,2020-01-01,
ACC00133,Mid-Market,2020-01-01,
ACC00134,SMB,2020-01-01,
ACC00135,SMB,2020-01-01,
ACC00136,Mid-Market,2020-01-01,
ACC00137,SMB,2020-01-01,
ACC00138,SMB,2020-01-01,
ACC00139,SMB,2020-01-01,
ACC00140,SMB,2020-01-01,
ACC00141,SMB,2020-01-01,
ACC00142,SMB,2020-01-01,2025-03-31
ACC00142,Mid-Market,2025-04-01,
ACC00143,SMB,2020-01-01,
ACC00144,Mid-Market,2020-01-01,
ACC00145,SMB,2020-01-01,
ACC00146,SMB,2020-01-01,
ACC00147,SMB,2020-01-01,
ACC00148,SMB,2020-01-01,
ACC00149,Enterprise,2020-01-01,
ACC00150,SMB,2020-01-01,
ACC00151,SMB,2020-01-01,
ACC00152,Mid-Market,2020-01-01,
ACC00153,SMB,2020-01-01,
ACC00154,SMB,2020-01-01,
ACC00155,SMB,2020-01-01,
ACC00156,SMB,2020-01-01,
ACC00157,SMB,2020-01-01,2025-03-31
ACC00157,Mid-Market,2025-04-01,
ACC00158,SMB,2020-01-01,2025-03-31
ACC00158,Mid-Market,2025-04-01,
ACC00159,SMB,2020-01-01,
ACC00160,SMB,2020-01-01,
ACC00161,SMB,2020-01-01,
ACC00162,Mid-Market,2020-01-01,
ACC00163,SMB,2020-01-01,2025-03-31
ACC00163,Mid-Market,2025-04-01,
ACC00164,Mid-Market,2020-01-01,
ACC00165,Enterprise,2020-01-01,
ACC00166,SMB,2020-01-01,
ACC00167,SMB,2020-01-01,2025-03-31
ACC00167,Mid-Market,2025-04-01,
ACC00168,SMB,2020-01-01,
ACC00169,SMB,2020-01-01,
ACC00170,SMB,2020-01-01,
ACC00171,SMB,2020-01-01,
ACC00172,SMB,2020-01-01,
ACC00173,SMB,2020-01-01,
ACC00174,SMB,2020-01-01,
ACC00175,Enterprise,2020-01-01,
ACC00176,SMB,2020-01-01,
ACC00177,SMB,2020-01-01,
ACC00178,Mid-Market,2020-01-01,
ACC00179,Mid-Market,2020-01-01,
ACC00180,SMB,2020-01-01,
ACC00181,Enterprise,2020-01-01,
ACC00182,Enterprise,2020-01-01,
ACC00183,SMB,2020-01-01,
ACC00184,Mid-Market,2020-01-01,
ACC00185,SMB,2020-01-01,
ACC00186,SMB,2020-01-01,2025-03-31
ACC00186,Mid-Market,2025-04-01,
ACC00187,SMB,2020-01-01,
ACC00188,Mid-Market,2020-01-01,
ACC00189,Mid-Market,2020-01-01,
ACC00190,SMB,2020-01-01,
ACC00191,SMB,2020-01-01,
ACC00192,SMB,2020-01-01,
ACC00193,Mid-Market,2020-01-01,
ACC00194,Mid-Market,2020-01-01,
ACC00195,Mid-Market,2020-01-01,
ACC00196,Enterprise,2020-01-01,
ACC00197,Mid-Market,2020-01-01,
ACC00198,SMB,2020-01-01,
ACC00199,Mid-Market,2020-01-01,
ACC00200,SMB,2020-01-01,
ACC00201,SMB,2020-01-01,2025-03-31
ACC00201,Mid-Market,2025-04-01,
ACC00202,SMB,2020-01-01,
