ticket_id,account_id,opened_date,status,category
TKT000001,ACC00001,2025-06-01,closed,feature_request
TKT000002,ACC00002,2025-06-15,closed,data_loss
TKT000003,ACC00005,2025-01-25,open,technical_issue
TKT000004,ACC00006,2025-04-30,pending,access_management
TKT000005,ACC00007,2025-03-20,closed,technical_issue
TKT000006,ACC00007,2025-06-28,open,billing
TKT000007,ACC00008,2025-02-08,open,billing
TKT000008,ACC00009,2025-04-28,closed,billing
TKT000009,ACC00010,2025-06-18,open,integration_error
TKT000010,ACC00012,2025-01-06,pending,technical_issue
TKT000011,ACC00012,2025-01-20,closed,feature_request
TKT000012,ACC00013,2025-04-28,closed,data_loss
TKT000013,ACC00013,2025-03-03,open,performance
TKT000014,ACC00015,2025-02-23,closed,billing
TKT000015,ACC00018,2025-01-18,closed,access_management
TKT000016,ACC00020,2025-03-03,closed,feature_request
TKT000017,ACC00020,2025-03-15,closed,data_loss
TKT000018,ACC00021,2025-06-17,open,technical_issue
TKT000019,ACC00022,2025-04-19,closed,integration_error
TKT000020,ACC00022,2025-03-06,closed,performance
TKT000021,ACC00024,2025-05-28,closed,feature_request
TKT000022,ACC00024,2025-06-21,closed,technical_issue
TKT000023,ACC00025,2025-02-19,closed,technical_issue
TKT000024,ACC00025,2025-01-24,closed,access_management
TKT000025,ACC00026,2025-04-26,open,performance
TKT000026,ACC00027,2025-02-23,open,integration_error
TKT000027,ACC00028,2025-05-05,closed,technical_issue
TKT000028,ACC00028,2025-06-29,closed,feature_request
TKT000029,ACC00031,2025-04-26,closed,technical_issue
TKT000030,ACC00034,2025-01-10,closed,access_management
TKT000031,ACC00034,2025-05-22,pending,access_management
TKT000032,ACC00034,2025-01-20,closed,access_management
TKT000033,ACC00036,2025-01-15,closed,performance
TKT000034,ACC00037,2025-03-27,pending,billing
TKT000035,ACC00039,2025-02-28,open,billing
TKT000036,ACC00039,2025-01-08,pending,data_loss
TKT000037,ACC00039,2025-04-13,closed,access_management
TKT000038,ACC00041,2025-02-04,closed,feature_request
TKT000039,ACC00043,2025-04-20,closed,performance
TKT000040,ACC00043,2025-03-09,closed,performance
TKT000041,ACC00044,2025-01-06,pending,billing
TKT000042,ACC00049,2025-05-22,pending,performance
TKT000043,ACC00050,2025-05-14,closed,access_management
TKT000044,ACC00051,2025-03-30,pending,data_loss
TKT000045,ACC00052,2025-01-02,closed,performance
TKT000046,ACC00053,2025-03-23,closed,billing
TKT000047,ACC00053,2025-04-07,open,integration_error
TKT000048,ACC00053,2025-06-09,closed,access_management
TKT000049,ACC00055,2025-03-07,pending,data_loss
TKT000050,ACC00055,2025-04-22,open,performance
TKT000051,ACC00055,2025-02-09,closed,integration_error
TKT000052,ACC00057,2025-03-06,closed,billing
TKT000053,ACC00058,2025-01-21,open,access_management
TKT000054,ACC00059,2025-04-20,closed,billing
TKT000055,ACC00060,2025-06-29,closed,access_management
TKT000056,ACC00060,2025-01-24,closed,access_management
TKT000057,ACC00061,2025-06-26,open,feature_request
TKT000058,ACC00063,2025-06-16,closed,feature_request
TKT000059,ACC00066,2025-01-16,open,integration_error
TKT000060,ACC00067,2025-05-22,closed,data_loss
TKT000061,ACC00072,2025-03-04,closed,integration_error
TKT000062,ACC00072,2025-03-03,closed,billing
TKT000063,ACC00073,2025-03-23,open,feature_request
TKT000064,ACC00076,2025-03-29,closed,feature_request
TKT000065,ACC00076,2025-06-03,closed,performance
TKT000066,ACC00077,2025-03-25,closed,data_loss
TKT000067,ACC00077,2025-02-20,open,access_management
TKT000068,ACC00080,2025-04-24,open,feature_request
TKT000069,ACC00080,2025-06-15,closed,data_loss
TKT000070,ACC00082,2025-01-26,open,integration_error
TKT000071,ACC00082,2025-06-07,closed,integration_error
TKT000072,ACC00083,2025-03-01,closed,billing
TKT000073,ACC00083,2025-01-12,closed,billing
TKT000074,ACC00084,2025-03-01,open,feature_request
TKT000075,ACC00084,2025-03-30,closed,access_management
TKT000076,ACC00088,2025-03-24,open,technical_issue
TKT000077,ACC00088,2025-01-01,open,access_management
TKT000078,ACC00090,2025-06-29,open,integration_error
TKT000079,ACC00091,2025-03-11,open,data_loss
TKT000080,ACC00091,2025-06-14,closed,data_loss
TKT000081,ACC00091,2025-06-17,open,integration_error
TKT000082,ACC00092,2025-06-01,open,data_loss
TKT000083,ACC00093,2025-06-20,closed,performance
TKT000084,ACC00094,2025-06-19,open,data_loss
TKT000085,ACC00095,2025-03-30,open,data_loss
TKT000086,ACC00096,2025-06-22,open,feature_request
TKT000087,ACC00097,2025-01-04,open,technical_issue
TKT000088,ACC00100,2025-01-18,closed,billing
TKT000089,ACC00101,2025-03-30,closed,billing
TKT000090,ACC00101,2025-03-01,open,data_loss
TKT000091,ACC00101,2025-05-01,open,access_management
TKT000092,ACC00102,2025-06-13,open,data_loss
TKT000093,ACC00104,2025-01-24,open,integration_error
TKT000094,ACC00105,2025-02-12,closed,performance
TKT000095,ACC00105,2025-05-23,open,access_management
TKT000096,ACC00107,2025-04-14,open,billing
TKT000097,ACC00108,2025-03-28,open,technical_issue
TKT000098,ACC00110,2025-03-05,open,performance
TKT000099,ACC00110,2025-04-11,open,data_loss
TKT000100,ACC00110,2025-04-01,closed,data_loss
TKT000101,ACC00112,2025-02-08,open,access_management
TKT000102,ACC00113,2025-05-09,closed,access_management
TKT000103,ACC00113,2025-04-27,closed,data_loss
TKT000104,ACC00113,2025-02-24,open,data_loss
TKT000105,ACC00116,2025-06-07,closed,feature_request
TKT000106,ACC00116,2025-02-04,closed,access_management
TKT000107,ACC00118,2025-05-02,closed,data_loss
TKT000108,ACC00119,2025-01-15,closed,data_loss
TKT000109,ACC00120,2025-05-10,closed,technical_issue
TKT000110,ACC00120,2025-01-09,closed,technical_issue
TKT000111,ACC00123,2025-01-24,pending,integration_error
