invitation_id,contact_id,wave,sent_date,channel
INV0000001,CON000001,2025-01,2025-01-04,email
INV0000002,CON000002,2025-01,2025-01-05,email
INV0000003,CON000003,2025-01,2025-01-05,email
INV0000004,CON000004,2025-01,2025-01-03,email
INV0000005,CON000005,2025-01,2025-01-03,email
INV0000006,CON000006,2025-01,2025-01-02,email
INV0000007,CON000007,2025-01,2025-01-03,email
INV0000008,CON000008,2025-01,2025-01-05,email
INV0000009,CON000009,2025-01,2025-01-05,email
INV0000010,CON000010,2025-01,2025-01-05,email
INV0000011,CON000011,2025-01,2025-01-03,email
INV0000012,CON000012,2025-01,2025-01-05,phone_ivr
INV0000013,CON000013,2025-01,2025-01-01,email
INV0000014,CON000014,2025-01,2025-01-05,email
INV0000015,CON000015,2025-01,2025-01-05,email
INV0000016,CON000016,2025-01,2025-01-04,email
INV0000017,CON000017,2025-01,2025-01-04,email
INV0000018,CON000018,2025-01,2025-01-01,email
INV0000019,CON000019,2025-01,2025-01-03,email
INV0000020,CON000020,2025-01,2025-01-05,email
INV0000021,CON000021,2025-01,2025-01-01,email
INV0000022,CON000022,2025-01,2025-01-01,email
INV0000023,CON000023,2025-01,2025-01-02,email
INV0000024,CON000024,2025-01,2025-01-05,email
INV0000025,CON000025,2025-01,2025-01-01,email
INV0000026,CON000026,2025-01,2025-01-05,email
INV0000027,CON000027,2025-01,2025-01-01,email
INV0000028,CON000028,2025-01,2025-01-01,phone_ivr
INV0000029,CON000029,2025-01,2025-01-03,email
INV0000030,CON000030,2025-01,2025-01-03,email
INV0000031,CON000031,2025-01,2025-01-04,email
INV0000032,CON000032,2025-01,2025-01-01,email
INV0000033,CON000033,2025-01,2025-01-02,email
INV0000034,CON000034,2025-01,2025-01-04,email
INV0000035,CON000035,2025-01,2025-01-01,email
INV0000036,CON000036,2025-01,2025-01-05,email
INV0000037,CON000037,2025-01,2025-01-02,email
INV0000038,CON000038,2025-01,2025-01-03,email
INV0000039,CON000039,2025-01,2025-01-01,email
INV0000040,CON000040,2025-01,2025-01-03,email
INV0000041,CON000041,2025-01,2025-01-03,email
INV0000042,CON000042,2025-01,2025-01-01,email
INV0000043,CON000043,2025-01,2025-01-03,phone_ivr
INV0000044,CON000044,2025-01,2025-01-05,email
INV0000045,CON000045,2025-01,2025-01-02,email
INV0000046,CON000046,2025-01,2025-01-03,email
INV0000047,CON000047,2025-01,2025-01-03,email
INV0000048,CON000048,2025-01,2025-01-05,email
INV0000049,CON000049,2025-01,2025-01-03,email
INV0000050,CON000050,2025-01,2025-01-05,email
INV0000051,CON000051,2025-01,2025-01-03,email
INV0000052,CON000052,2025-01,2025-01-05,email
INV0000053,CON000053,2025-01,2025-01-05,email
INV0000054,CON000054,2025-01,2025-01-04,email
INV0000055,CON000055,2025-01,2025-01-02,email
INV0000056,CON000056,2025-01,2025-01-02,email
INV0000057,CON000057,2025-01,2025-01-02,email
INV0000058,CON000058,2025-01,2025-01-01,email
INV0000059,CON000059,2025-01,2025-01-02,email
INV0000060,CON000060,2025-01,2025-01-02,email
INV0000061,CON000061,2025-01,2025-01-01,email
INV0000062,CON000062,2025-01,2025-01-05,email
INV0000063,CON000063,2025-01,2025-01-01,phone_ivr
INV0000064,CON000064,2025-01,2025-01-03,email
INV0000065,CON000065,2025-01,2025-01-04,email
INV0000066,CON000066,2025-01,2025-01-04,email
INV0000067,CON000067,2025-01,2025-01-01,email
INV0000068,CON000068,2025-01,2025-01-03,email
INV0000069,CON000069,2025-01,2025-01-04,email
INV0000070,CON000070,2025-01,2025-01-02,email
INV0000071,CON000071,2025-01,2025-01-02,phone_ivr
INV0000072,CON000072,2025-01,2025-01-01,email
INV0000073,CON000073,2025-01,2025-01-04,email
INV0000074,CON000074,2025-01,2025-01-01,email
INV0000075,CON000075,2025-01,2025-01-01,email
INV0000076,CON000076,2025-01,2025-01-03,email
INV0000077,CON000077,2025-01,2025-01-05,email
INV0000078,CON000078,2025-01,2025-01-01,email
INV0000079,CON000079,2025-01,2025-01-01,email
INV0000080,CON000080,2025-01,2025-01-04,email
INV0000081,CON000081,2025-01,2025-01-05,email
INV0000082,CON000082,2025-01,2025-01-01,email
INV0000083,CON000083,2025-01,2025-01-05,phone_ivr
INV0000084,CON000084,2025-01,2025-01-02,email
INV0000085,CON000085,2025-01,2025-01-03,email
INV0000086,CON000086,2025-01,2025-01-05,phone_ivr
INV0000087,CON000087,2025-01,2025-01-02,email
INV0000088,CON000088,2025-01,2025-01-05,email
INV0000089,CON000089,2025-01,2025-01-04,email
INV0000090,CON000090,2025-01,2025-01-02,email
INV0000091,CON000091,2025-01,2025-01-01,email
INV0000092,CON000092,2025-01,2025-01-02,email
INV0000093,CON000093,2025-01,2025-01-04,email
INV0000094,CON000094,2025-01,2025-01-04,email
INV0000095,CON000095,2025-01,2025-01-02,email
INV0000096,CON000096,2025-01,2025-01-02,email
INV0000097,CON000097,2025-01,2025-01-03,email
INV0000098,CON000098,2025-01,2025-01-04,phone_ivr
INV0000099,CON000099,2025-01,2025-01-01,email
INV0000100,CON000100,2025-01,2025-01-05,email
INV0000101,CON000101,2025-01,2025-01-03,email
INV0000102,CON000102,2025-01,2025-01-04,email
INV0000103,CON000103,2025-01,2025-01-02,email
INV0000104,CON000104,2025-01,2025-01-05,email
INV0000105,CON000105,2025-01,2025-01-02,phone_ivr
INV0000106,CON000106,2025-01,2025-01-01,email
INV0000107,CON000107,2025-01,2025-01-03,phone_ivr
INV0000108,CON000108,2025-01,2025-01-01,email
INV0000109,CON000109,2025-01,2025-01-01,email
INV0000110,CON000110,2025-01,2025-01-02,phone_ivr
INV0000111,CON000111,2025-01,2025-01-05,email
INV0000112,CON000112,2025-01,2025-01-02,email
INV0000113,CON000113,2025-01,2025-01-03,email
INV0000114,CON000114,2025-01,2025-01-05,email
INV0000115,CON000115,2025-01,2025-01-01,email
INV0000116,CON000116,2025-01,2025-01-01,email
INV0000117,CON000117,2025-01,2025-01-02,email
INV0000118,CON000118,2025-01,2025-01-04,phone_ivr
INV0000119,CON000119,2025-01,2025-01-03,email
INV0000120,CON000120,2025-01,2025-01-02,email
INV0000121,CON000121,2025-01,2025-01-01,email
INV0000122,CON000122,2025-01,2025-01-04,email
INV0000123,CON000123,2025-01,2025-01-01,email
INV0000124,CON000124,2025-01,2025-01-02,email
INV0000125,CON000125,2025-01,2025-01-01,email
INV0000126,CON000126,2025-01,2025-01-05,email
INV0000127,CON000127,2025-01,2025-01-02,email
INV0000128,CON000128,2025-01,2025-01-05,email
INV0000129,CON000129,2025-01,2025-01-05,email
INV0000130,CON000130,2025-01,2025-01-05,email
INV0000131,CON000131,2025-01,2025-01-04,email
INV0000132,CON000132,2025-01,2025-01-05,email
INV0000133,CON000133,2025-01,2025-01-04,email
INV0000134,CON000134,2025-01,2025-01-05,email
INV0000135,CON000135,2025-01,2025-01-01,email
INV0000136,CON000136,2025-01,2025-01-05,email
INV0000137,CON000137,2025-01,2025-01-03,email
INV0000138,CON000138,2025-01,2025-01-04,email
INV0000139,CON000139,2025-01,2025-01-02,phone_ivr
INV0000140,CON000140,2025-01,2025-01-03,email
INV0000141,CON000141,2025-01,2025-01-05,email
INV0000142,CON000142,2025-01,2025-01-03,email
INV0000143,CON000143,2025-01,2025-01-02,email
INV0000144,CON000144,2025-01,2025-01-05,email
INV0000145,CON000145,2025-01,2025-01-02,phone_ivr
INV0000146,CON000146,2025-01,2025-01-03,email
INV0000147,CON000147,2025-01,2025-01-04,email
INV0000148,CON000148,2025-01,2025-01-04,email
INV0000149,CON000149,2025-01,2025-01-03,email
INV0000150,CON000150,2025-01,2025-01-05,email
INV0000151,CON000151,2025-01,2025-01-02,email
INV0000152,CON000152,2025-01,2025-01-02,email
INV0000153,CON000153,2025-01,2025-01-05,email
INV0000154,CON000154,2025-01,2025-01-05,email
INV0000155,CON000155,2025-01,2025-01-02,email
INV0000156,CON000156,2025-01,2025-01-01,email
INV0000157,CON000157,2025-01,2025-01-04,email
INV0000158,CON000158,2025-01,2025-01-01,phone_ivr
INV0000159,CON000159,2025-01,2025-01-03,email
INV0000160,CON000160,2025-01,2025-01-04,email
INV0000161,CON000161,2025-01,2025-01-04,email
INV0000162,CON000162,2025-01,2025-01-05,email
INV0000163,CON000163,2025-01,2025-01-03,email
INV0000164,CON000164,2025-01,2025-01-01,email
