response_id,invitation_id,response_date,score,primary_theme
RESP0000001,INV0000003,2025-01-06,8,
RESP0000002,INV0000006,2025-01-09,10,
RESP0000003,INV0000007,2025-01-06,7,
RESP0000004,INV0000011,2025-01-06,2,mobile_app_performance
RESP0000005,INV0000012,2025-01-07,8,
RESP0000006,INV0000013,2025-01-08,8,
RESP0000007,INV0000014,2025-01-05,3,customer_support_speed
RESP0000008,INV0000017,2025-01-05,8,
RESP0000009,INV0000018,2025-01-06,9,
RESP0000010,INV0000021,2025-01-06,8,
RESP0000011,INV0000024,2025-01-05,9,
RESP0000012,INV0000026,2025-01-09,10,
RESP0000013,INV0000027,2025-01-10,1,mobile_app_performance
RESP0000014,INV0000031,2025-01-11,9,
RESP0000015,INV0000033,2025-01-04,9,
RESP0000016,INV0000042,2025-01-05,2,mobile_app_performance
RESP0000017,INV0000048,2025-01-06,5,onboarding_experience
RESP0000018,INV0000049,2025-01-05,8,
RESP0000019,INV0000050,2025-01-07,9,
RESP0000020,INV0000051,2025-01-10,7,
RESP0000021,INV0000053,2025-01-08,2,mobile_app_performance
RESP0000022,INV0000062,2025-01-11,1,pricing_transparency
RESP0000023,INV0000069,2025-01-11,9,
RESP0000024,INV0000077,2025-01-06,10,
RESP0000025,INV0000079,2025-01-08,0,onboarding_experience
RESP0000026,INV0000080,2025-01-12,8,
RESP0000027,INV0000084,2025-01-07,10,
RESP0000028,INV0000085,2025-01-10,10,
RESP0000029,INV0000086,2025-01-09,10,
RESP0000030,INV0000090,2025-01-09,9,
RESP0000031,INV0000091,2025-01-08,10,
RESP0000032,INV0000095,2025-01-07,1,
RESP0000033,INV0000097,2025-01-03,7,
RESP0000034,INV0000098,2025-01-10,10,
RESP0000035,INV0000099,2025-01-05,5,reporting_accuracy
RESP0000036,INV0000102,2025-01-08,9,
RESP0000037,INV0000103,2025-01-08,9,
RESP0000038,INV0000105,2025-01-08,6,mobile_app_performance
RESP0000039,INV0000108,2025-01-06,6,onboarding_experience
RESP0000040,INV0000109,2025-01-09,9,
RESP0000041,INV0000110,2025-01-06,1,pricing_transparency
RESP0000042,INV0000119,2025-01-09,7,
RESP0000043,INV0000122,2025-01-03,5,mobile_app_performance
RESP0000044,INV0000123,2025-01-12,9,
RESP0000045,INV0000129,2025-01-04,10,
RESP0000046,INV0000136,2025-01-06,10,
RESP0000047,INV0000138,2025-01-06,2,mobile_app_performance
RESP0000048,INV0000143,2025-01-06,9,
RESP0000049,INV0000144,2025-01-07,8,
RESP0000050,INV0000145,2025-01-07,9,
