log_id,customer_id,event_date,event_time,created_at,event_type,event_category,feature_area,device_type,browser,session_duration_seconds,ip_country,event_source
LOG-0000001,CUST-01674,2024-05-04,15:18:31,2024-05-04,admin_action,user_action,Reporting,Desktop,Firefox,728,Germany,mobile_app
LOG-0000002,CUST-01674,2024-05-05,22:49:54,2024-05-07,webhook_delivery,system_generated,Integrations,Server,,0,Germany,web
LOG-0000003,CUST-01674,2024-06-09,15:25:57,2024-06-11,integration_health_check,system_generated,Integrations,Server,,0,Brazil,api
LOG-0000004,CUST-01674,2023-11-13,21:58:13,2023-11-16,integration_health_check,system_generated,Billing,Server,,0,Canada,api
LOG-0000005,CUST-01674,2023-07-30,23:20:02,2023-07-30,report_export,user_action,Dashboard,Mobile,Edge,1894,Canada,web
LOG-0000006,CUST-01674,2024-05-19,01:24:47,2024-05-22,account_provisioning_sync,system_generated,Platform,Server,,0,India,web
LOG-0000007,CUST-01674,2023-12-22,19:25:02,2023-12-24,report_export,user_action,Integrations,Desktop,Edge,1815,Australia,mobile_app
LOG-0000008,CUST-01674,2024-02-20,05:49:40,2024-02-21,login,user_action,Collaboration,Desktop,Edge,1880,Canada,web
LOG-0000009,CUST-01674,2023-08-29,07:47:48,2023-08-30,api_call,user_action,Dashboard,Desktop,Edge,145,Germany,web
LOG-0000010,CUST-01674,2023-08-12,19:20:29,2023-08-12,feature_use,user_action,Collaboration,Tablet,Safari,186,India,mobile_app
LOG-0000011,CUST-01674,2024-04-09,10:58:28,2024-04-10,report_export,user_action,Admin Settings,Mobile,Edge,2463,Germany,web
LOG-0000012,CUST-01674,2024-03-23,07:57:03,2024-03-24,feature_use,user_action,Billing,Desktop,Safari,228,Singapore,web
LOG-0000013,CUST-01674,2024-03-31,21:01:54,2024-03-31,report_export,user_action,Collaboration,Desktop,Firefox,1143,United States,web
LOG-0000014,CUST-01674,2023-08-12,09:43:55,2023-08-15,file_upload,user_action,Data Import,Mobile,Safari,2768,Germany,web
LOG-0000015,CUST-01674,2023-09-13,10:00:44,2023-09-15,feature_use,user_action,Reporting,Mobile,Safari,481,Australia,web
LOG-0000016,CUST-01674,2023-08-25,22:41:15,2023-08-25,integration_health_check,system_generated,Billing,Server,,0,United Kingdom,mobile_app
LOG-0000017,CUST-01674,2024-03-02,02:06:41,2024-03-04,scheduled_report_sync,system_generated,Platform,Server,,0,United Kingdom,web
LOG-0000018,CUST-01674,2023-11-08,13:37:32,2023-11-11,integration_health_check,system_generated,Billing,Server,,0,Australia,mobile_app
LOG-0000019,CUST-01674,2024-04-17,20:45:15,2024-04-18,webhook_delivery,system_generated,Integrations,Server,,0,Australia,web
LOG-0000020,CUST-01674,2024-02-02,20:16:26,2024-02-04,scheduled_report_sync,system_generated,Platform,Server,,0,Australia,web
LOG-0000021,CUST-01674,2024-03-29,15:49:11,2024-03-30,account_provisioning_sync,system_generated,Integrations,Server,,0,Australia,mobile_app
LOG-0000022,CUST-01674,2023-11-21,20:02:28,2023-11-22,webhook_delivery,system_generated,Integrations,Server,,0,Australia,mobile_app
LOG-0000023,CUST-04887,2023-10-12,09:40:14,2023-10-12,scheduled_report_sync,system_generated,Billing,Server,,0,Brazil,web
LOG-0000024,CUST-04887,2023-10-12,13:03:07,2023-10-14,auto_data_backup,system_generated,Billing,Server,,0,United States,mobile_app
LOG-0000025,CUST-04887,2023-12-15,23:56:59,2023-12-15,auto_data_backup,system_generated,Integrations,Server,,0,Canada,mobile_app
LOG-0000026,CUST-04887,2024-05-11,11:02:28,2024-05-14,feature_use,user_action,Admin Settings,Desktop,Safari,914,United Kingdom,web
LOG-0000027,CUST-04887,2024-02-07,02:26:54,2024-02-09,admin_action,user_action,Billing,Desktop,Edge,2742,Brazil,web
LOG-0000028,CUST-04887,2023-11-29,17:03:26,2023-12-01,dashboard_view,user_action,Dashboard,Mobile,Chrome,1207,India,web
LOG-0000029,CUST-04887,2023-09-17,14:31:17,2023-09-19,feature_use,user_action,API,Desktop,Edge,1721,Australia,partner_integration
LOG-0000030,CUST-04887,2024-05-31,11:47:46,2024-06-02,report_export,user_action,Admin Settings,Desktop,Safari,19,Germany,web
LOG-0000031,CUST-04887,2024-06-03,18:35:12,2024-06-03,integration_health_check,system_generated,Billing,Server,,0,Brazil,web
LOG-0000032,CUST-04887,2023-09-05,23:31:44,2023-09-07,report_export,user_action,API,Tablet,Chrome,3347,Australia,api
LOG-0000033,CUST-04887,2024-06-01,13:36:39,2024-06-01,account_provisioning_sync,system_generated,Integrations,Server,,0,Canada,mobile_app
LOG-0000034,CUST-04887,2024-04-21,08:24:55,2024-04-24,admin_action,user_action,Reporting,Desktop,Chrome,1121,India,mobile_app
LOG-0000035,CUST-04887,2024-03-21,04:31:40,2024-03-23,api_call,user_action,API,Desktop,Safari,3566,Germany,web
LOG-0000036,CUST-04887,2024-03-12,01:08:37,2024-03-12,api_call,user_action,Billing,Desktop,Safari,2515,Singapore,web
LOG-0000037,CUST-04887,2024-04-17,04:17:03,2024-04-18,login,user_action,Data Import,Tablet,Firefox,562,Germany,mobile_app
LOG-0000038,CUST-04887,2024-02-16,23:38:25,2024-02-18,account_provisioning_sync,system_generated,Billing,Server,,0,India,mobile_app
LOG-0000039,CUST-04887,2023-08-29,07:32:13,2023-08-31,account_provisioning_sync,system_generated,Billing,Server,,0,Australia,web
