signup_id,customer_id,signup_date,signup_status,channel,plan_id,initial_seats,promo_code,sales_rep,campaign_code,is_self_serve,trial_length_days,signup_source_system,created_at
SGN-000001,CUST-01674,2023-07-28,Confirmed,Self-Serve Trial,Growth,68,,,,False,30,CRM-Salesforce,2023-07-28
SGN-000002,CUST-04887,2023-07-10,Confirmed,Organic Web,Professional,175,,,,True,0,CRM-HubSpot,2023-07-11
SGN-000003,CUST-04676,2023-07-16,Confirmed,Partner Referral,Enterprise,227,,REP-028,CMP-0041,True,30,CRM-HubSpot,2023-07-17
SGN-000004,CUST-01251,2023-07-15,Confirmed,Self-Serve Trial,Growth,37,WELCOME10,REP-021,,True,0,CRM-Salesforce,2023-07-15
SGN-000005,CUST-04607,2023-07-26,Confirmed,Paid Ads,Starter,100,,,CMP-0101,False,0,CRM-HubSpot,2023-07-27
SGN-000006,CUST-05652,2023-07-27,Confirmed,Self-Serve Trial,Growth,223,,REP-005,,False,30,CRM-Salesforce,2023-07-27
SGN-000007,CUST-00758,2023-07-04,Confirmed,Direct Sales,Starter,74,,,,False,30,CRM-Salesforce,2023-07-04
SGN-000008,CUST-00752,2023-07-13,Confirmed,Partner Referral,Growth,211,,REP-026,CMP-0239,True,0,CRM-HubSpot,2023-07-14
SGN-000009,CUST-01519,2023-07-28,Confirmed,Paid Ads,Enterprise Plus,75,,REP-045,,True,14,CRM-HubSpot,2023-07-29
SGN-000010,CUST-03313,2023-07-03,Confirmed,Paid Ads,Professional,122,,REP-012,CMP-0131,False,30,CRM-HubSpot,2023-07-04
SGN-000011,CUST-03075,2023-07-26,Confirmed,Event/Conference,Enterprise,173,,REP-008,,False,0,CRM-Salesforce,2023-07-27
SGN-000012,CUST-00480,2023-07-11,Confirmed,Direct Sales,Enterprise Plus,201,,REP-034,,True,14,CRM-Salesforce,2023-07-11
SGN-000013,CUST-04871,2023-07-22,Confirmed,Direct Sales,Starter,213,,REP-001,,False,14,CRM-HubSpot,2023-07-23
SGN-000014,CUST-04719,2023-07-10,Confirmed,Partner Referral,Enterprise,30,,REP-056,,True,14,CRM-Salesforce,2023-07-11
SGN-000015,CUST-02992,2023-07-17,Confirmed,Organic Web,Starter,122,,REP-002,,False,0,CRM-Salesforce,2023-07-17
SGN-000016,CUST-01224,2023-07-18,Confirmed,Partner Referral,Starter,191,,REP-030,,True,30,CRM-Salesforce,2023-07-19
SGN-000017,CUST-02248,2023-07-08,Confirmed,Partner Referral,Starter,179,,REP-044,CMP-0281,True,14,CRM-HubSpot,2023-07-09
SGN-000018,CUST-04811,2023-07-21,Confirmed,Self-Serve Trial,Growth,73,,REP-036,,False,14,CRM-Salesforce,2023-07-22
SGN-000019,CUST-02375,2023-07-04,Confirmed,Partner Referral,Professional,235,,REP-006,,False,14,CRM-Salesforce,2023-07-04
SGN-000020,CUST-00268,2023-07-01,Confirmed,Partner Referral,Growth,68,,,,False,30,CRM-Salesforce,2023-07-01
SGN-000021,CUST-04901,2023-07-21,Confirmed,Self-Serve Trial,Enterprise,215,,,,False,0,CRM-Salesforce,2023-07-21
SGN-000022,CUST-00519,2023-07-17,Confirmed,Self-Serve Trial,Growth,222,,REP-052,,False,30,CRM-Salesforce,2023-07-17
SGN-000023,CUST-02849,2023-07-19,Confirmed,Organic Web,Enterprise,224,,REP-050,,False,0,CRM-Salesforce,2023-07-19
SGN-000024,CUST-05244,2023-07-08,Confirmed,Organic Web,Starter,212,,,,True,30,CRM-HubSpot,2023-07-09
SGN-000025,CUST-05637,2023-07-02,Confirmed,Organic Web,Starter,141,WELCOME10,REP-002,,True,30,CRM-Salesforce,2023-07-02
SGN-000026,CUST-02218,2023-07-24,Confirmed,Partner Referral,Starter,161,WELCOME10,,,True,30,CRM-HubSpot,2023-07-24
