subscription_id,signup_id,customer_id,plan_id,start_date,end_date,mrr_amount,billing_cycle,cancellation_reason,renewal_count,discount_pct,payment_method,auto_renew
SUB-000001,SGN-002316,CUST-00001,Enterprise,2023-12-24,,6373.01,Annual,,2,0.0,Wire Transfer,True
SUB-000002,SGN-001949,CUST-00002,Professional,2023-11-25,,9259.54,Monthly,,2,0.05,Wire Transfer,True
SUB-000003,SGN-000887,CUST-00003,Starter,2023-09-24,,3115.12,Monthly,,8,0.1,ACH,True
SUB-000004,SGN-002187,CUST-00004,Growth,2023-12-27,,10846.3,Annual,,6,0.15,Wire Transfer,True
SUB-000005,SGN-000765,CUST-00005,Starter,2023-08-10,,798.72,Monthly,,6,0.0,Wire Transfer,True
SUB-000006,SGN-003123,CUST-00006,Growth,2023-01-21,,6630.66,Monthly,,3,0.0,Credit Card,True
SUB-000007,SGN-000997,CUST-00007,Starter,2023-09-23,,5071.77,Annual,,6,0.05,Wire Transfer,False
SUB-000008,SGN-002699,CUST-00008,Enterprise,2023-05-26,,9422.36,Monthly,,8,0.0,Credit Card,True
SUB-000009,SGN-001182,CUST-00009,Starter,2023-09-27,,8112.18,Monthly,,0,0.0,Wire Transfer,True
SUB-000010,SGN-001845,CUST-00010,Enterprise,2023-11-24,,8088.84,Annual,,1,0.1,Invoice,True
SUB-000011,SGN-000201,CUST-00011,Enterprise Plus,2023-07-04,,9391.75,Annual,,9,0.05,Wire Transfer,False
SUB-000012,SGN-004801,CUST-00012,Starter,2023-06-10,,5457.76,Annual,,8,0.1,ACH,True
SUB-000013,SGN-000792,CUST-00013,Enterprise,2023-08-03,,9894.0,Monthly,,8,0.1,Invoice,False
SUB-000014,SGN-000145,CUST-00014,Growth,2023-07-22,,7050.07,Annual,,8,0.0,Wire Transfer,True
SUB-000015,SGN-002058,CUST-00015,Growth,2023-12-04,,11643.76,Monthly,,4,0.0,Wire Transfer,True
SUB-000016,SGN-005594,CUST-00016,Starter,2023-01-14,,4248.89,Annual,,4,0.05,Invoice,True
SUB-000017,SGN-000049,CUST-00017,Growth,2023-07-09,,8676.4,Monthly,,1,0.15,Invoice,True
SUB-000018,SGN-000744,CUST-00018,Enterprise,2023-08-10,,11869.42,Annual,,9,0.0,Wire Transfer,True
SUB-000019,SGN-001308,CUST-00019,Growth,2023-10-29,,3850.68,Annual,,6,0.15,Credit Card,True
SUB-000020,SGN-002282,CUST-00020,Professional,2023-12-02,,5338.29,Monthly,,6,0.0,Credit Card,True
SUB-000021,SGN-000897,CUST-00021,Growth,2023-09-16,,3175.68,Annual,,7,0.0,Wire Transfer,False
SUB-000022,SGN-000040,CUST-00022,Growth,2023-07-21,,7106.57,Monthly,,5,0.0,Invoice,False
SUB-000023,SGN-005156,CUST-00023,Starter,2022-09-07,,1498.93,Annual,,3,0.1,ACH,True
