customer_id,age_band,region,segment
R01,18-29,Urban,smb
R02,18-29,Urban,smb
R03,18-29,Urban,smb
R04,18-29,Urban,smb
R05,18-29,Urban,smb
R06,18-29,Urban,smb
R07,18-29,Urban,smb
R08,18-29,Urban,corp
R09,18-29,Urban,corp
R10,18-29,Urban,corp
R11,18-29,Urban,corp
R12,18-29,Urban,corp
R13,18-29,Urban,corp
R14,18-29,Urban,corp
R15,18-29,Urban,corp
R16,18-29,Rural,smb
R17,18-29,Rural,corp
R18,30-49,Urban,smb
R19,30-49,Urban,smb
R20,30-49,Urban,corp
R21,30-49,Urban,corp
R22,30-49,Rural,smb
R23,30-49,Rural,corp
R24,30-49,Rural,corp
R25,50+,Urban,smb
R26,50+,Urban,corp
R27,50+,Rural,smb
R28,50+,Rural,corp
R29,50+,Rural,corp
R30,,,corp
R31,50+,Urban,corp
R32,50+,Urban,corp
R33,30-49,Rural,smb
R34,30-49,Rural,smb
R35,18-29,Urban,corp
R36,18-29,Urban,corp
R37,18-29,Urban,smb
R38,18-29,Urban,smb
