customer_id,response_date,score,weight,survey_type,flag
R01,2025-04-25,10,0.4,relationship,verified
R01,2025-05-30,10,0.4,relationship,verified
R01,2025-07-10,10,0.4,relationship,verified
R02,2025-01-15,6,0.4,relationship,verified
R02,2025-04-12,10,0.4,relationship,verified
R02,2025-06-08,4,3.0,relationship,verified
R02,2025-07-01,10,0.4,relationship,verified
R03,2025-02-08,10,0.4,relationship,verified
R03,2025-05-15,10,0.4,relationship,verified
R03,2025-06-22,9,0.4,relationship,verified
R04,2025-04-30,9,0.4,relationship,verified
R04,2025-06-17,10,0.4,relationship,verified
R04,2025-07-09,9,0.4,relationship,verified
R05,2025-05-04,10,0.4,relationship,verified
R05,2025-07-12,10,0.4,relationship,verified
R06,2025-04-22,9,0.4,relationship,verified
R06,2025-06-14,9,0.4,relationship,verified
R07,2025-05-19,10,0.4,relationship,verified
R07,2025-07-08,10,0.4,relationship,verified
R08,2025-04-18,9,0.4,relationship,verified
R08,2025-05-26,9,0.4,relationship,verified
R08,2025-07-04,9,0.4,relationship,verified
R09,2025-06-25,10,0.4,relationship,verified
R10,2025-04-10,8,0.4,relationship,verified
R10,2025-06-20,6,3.5,relationship,verified
R10,2025-07-13,10,0.4,relationship,verified
R11,2025-04-08,6,0.4,relationship,verified
R11,2025-07-11,10,0.4,relationship,verified
R12,2025-05-23,10,0.4,relationship,verified
R13,2025-06-01,9,0.4,relationship,verified
R13,2025-07-05,9,0.4,relationship,verified
R14,2025-05-12,10,0.4,relationship,verified
R14,2025-06-30,10,0.4,relationship,verified
R15,2025-04-15,7,0.4,relationship,verified
R15,2025-06-22,10,0.4,relationship,verified
R15,2025-07-14,10,0.4,relationship,verified
R16,2025-05-08,10,1.5,relationship,verified
R16,2025-06-29,6,1.5,relationship,verified
R17,2025-06-12,6,1.5,relationship,verified
R17,2025-07-06,6,1.5,relationship,verified
R18,2025-04-20,9,1.0,relationship,verified
R18,2025-06-15,4,4.0,relationship,verified
R18,2025-07-08,9,1.0,relationship,verified
R19,2025-05-26,9,1.0,relationship,verified
R19,2025-07-02,7,1.0,relationship,verified
R20,2025-06-04,7,1.0,relationship,verified
R21,2025-04-25,7,1.0,relationship,verified
R21,2025-06-08,6,1.0,relationship,verified
R22,2025-02-20,10,2.0,relationship,verified
R22,2025-04-22,4,2.0,relationship,verified
R22,2025-05-30,3,2.0,relationship,verified
R22,2025-07-04,3,2.0,relationship,verified
R22,2025-06-25,10,2.0,transactional,verified
R23,2025-05-13,3,2.0,relationship,verified
R23,2025-07-01,4,2.0,relationship,verified
R23,2025-06-30,10,2.0,transactional,verified
R24,2025-06-18,4,2.0,relationship,verified
R25,2025-05-02,8,1.0,relationship,verified
R25,2025-06-15,10,1.0,relationship,verified
R25,2025-07-13,4,3.5,relationship,verified
R26,2025-06-26,5,1.0,relationship,verified
R27,2025-06-10,2,2.0,relationship,verified
R27,2025-07-05,1,2.0,relationship,verified
R27,2025-07-08,9,2.0,transactional,verified
R28,2025-04-24,1,2.0,relationship,verified
R28,2025-06-30,2,2.0,relationship,verified
R28,2025-07-12,10,2.0,transactional,verified
R29,2025-05-30,3,2.0,relationship,verified
R29,2025-07-11,3,2.0,relationship,verified
R30,2025-04-05,10,1.0,relationship,verified
R30,2025-05-22,10,1.0,relationship,verified
R30,2025-06-28,10,1.0,relationship,verified
R01,2025-07-12,2,0.4,relationship,pilot
R03,2025-07-13,1,0.4,relationship,pilot
R05,2025-07-14,2,0.4,relationship,pilot
R10,2025-07-14,1,0.4,relationship,unverified
R14,2025-07-13,2,0.4,relationship,unverified
R31,2025-07-14,4,2.5,relationship,verified
R31,2025-07-14,10,1.0,relationship,verified
R32,2025-07-13,10,1.0,relationship,verified
R32,2025-07-13,9,1.0,relationship,verified
R33,2025-07-14,10,1.0,relationship,verified
R33,2025-07-14,10,1.5,relationship,verified
R34,2025-07-13,4,1.5,relationship,verified
R34,2025-07-13,6,0.5,relationship,verified
R35,2025-07-08,4,1.0,relationship,verified
R35,2025-07-13,4,1.0,relationship,verified
R36,2025-07-09,6,1.0,relationship,verified
R36,2025-07-14,4,1.0,relationship,verified
R37,2025-07-10,6,1.0,relationship,verified
R37,2025-07-14,4,1.0,relationship,verified
R38,2025-07-09,6,1.0,relationship,verified
R38,2025-07-14,6,1.0,relationship,verified
