zone_id,queue_start,queue_end
1,2024-01-01,2024-01-01 08:00:00
1,2024-01-08,2024-01-08 08:00:00
1,2024-01-15,2024-01-15 08:00:00
1,2024-01-22,2024-01-22 08:00:00
1,2024-01-29,2024-01-29 08:00:00
132,2024-02-05,2024-02-05 08:00:00
132,2024-02-12,2024-02-12 08:00:00
132,2024-02-19,2024-02-19 08:00:00
132,2024-02-26,2024-02-26 08:00:00
132,2024-03-04,2024-03-04 08:00:00
138,2024-03-11,2024-03-11 08:00:00
138,2024-03-18,2024-03-18 08:00:00
138,2024-03-25,2024-03-25 08:00:00
138,2024-04-01,2024-04-01 08:00:00
138,2024-04-08,2024-04-08 08:00:00
132,2024-03-25,
138,2024-03-20,
