driver_id,fleet_type,home_borough
1,hybrid,Brooklyn
2,premium,Brooklyn
3,premium,Brooklyn
4,premium,Bronx
5,premium,Brooklyn
6,hybrid,Queens
7,standard,Bronx
8,hybrid,Bronx
9,premium,Queens
10,premium,Brooklyn
11,standard,Brooklyn
12,standard,Manhattan
13,premium,Bronx
14,standard,Queens
15,standard,Manhattan
16,standard,Brooklyn
17,hybrid,Queens
18,hybrid,Brooklyn
19,premium,Brooklyn
20,standard,Queens
21,premium,Manhattan
22,premium,Brooklyn
23,premium,Bronx
24,premium,Manhattan
25,premium,Manhattan
26,hybrid,Queens
27,standard,Brooklyn
28,hybrid,Brooklyn
29,standard,Manhattan
30,hybrid,Bronx
31,standard,Bronx
32,hybrid,Queens
33,hybrid,Manhattan
34,hybrid,Brooklyn
35,hybrid,Queens
36,premium,Queens
37,hybrid,Bronx
38,standard,Bronx
39,standard,Brooklyn
40,premium,Brooklyn
41,premium,Bronx
42,hybrid,Manhattan
43,hybrid,Manhattan
44,hybrid,Queens
45,standard,Bronx
46,standard,Queens
47,hybrid,Brooklyn
48,premium,Manhattan
49,standard,Queens
50,standard,Brooklyn
51,premium,Brooklyn
52,premium,Manhattan
53,standard,Queens
54,hybrid,Manhattan
55,hybrid,Bronx
56,standard,Brooklyn
57,hybrid,Brooklyn
58,standard,Queens
59,premium,Bronx
60,hybrid,Manhattan
61,premium,Manhattan
62,standard,Brooklyn
63,hybrid,Brooklyn
64,premium,Queens
65,premium,Brooklyn
66,standard,Bronx
67,standard,Brooklyn
68,premium,Bronx
69,hybrid,Manhattan
70,standard,Brooklyn
71,hybrid,Manhattan
72,standard,Bronx
73,hybrid,Bronx
74,hybrid,Brooklyn
75,hybrid,Manhattan
76,hybrid,Queens
77,standard,Bronx
78,premium,Queens
79,premium,Queens
80,standard,Queens
81,premium,Manhattan
82,premium,Manhattan
83,premium,Bronx
84,standard,Bronx
85,hybrid,Manhattan
86,standard,Queens
87,premium,Brooklyn
88,standard,Brooklyn
89,premium,Bronx
90,hybrid,Manhattan
91,premium,Queens
92,hybrid,Brooklyn
93,standard,Manhattan
94,standard,Manhattan
95,premium,Bronx
96,premium,Brooklyn
97,premium,Manhattan
98,premium,Manhattan
99,standard,Queens
100,hybrid,Queens
101,premium,Queens
102,premium,Queens
103,standard,Queens
104,standard,Manhattan
105,hybrid,Manhattan
106,premium,Brooklyn
107,premium,Bronx
108,hybrid,Queens
109,premium,Queens
110,premium,Bronx
111,hybrid,Bronx
112,standard,Bronx
113,standard,Queens
114,premium,Bronx
115,premium,Bronx
116,premium,Manhattan
117,standard,Queens
118,hybrid,Queens
119,premium,Bronx
120,standard,Queens
121,standard,Manhattan
122,standard,Brooklyn
123,premium,Queens
124,premium,Manhattan
125,hybrid,Queens
126,standard,Queens
127,premium,Manhattan
128,hybrid,Manhattan
129,standard,Manhattan
130,standard,Brooklyn
131,premium,Queens
132,premium,Brooklyn
133,premium,Bronx
134,standard,Brooklyn
135,premium,Brooklyn
136,hybrid,Manhattan
137,standard,Queens
138,standard,Queens
139,hybrid,Manhattan
140,premium,Brooklyn
141,premium,Manhattan
142,standard,Manhattan
143,hybrid,Manhattan
144,hybrid,Queens
145,standard,Brooklyn
146,hybrid,Queens
147,premium,Manhattan
148,premium,Manhattan
149,standard,Bronx
150,premium,Queens
151,hybrid,Bronx
152,hybrid,Brooklyn
153,standard,Manhattan
154,standard,Queens
155,hybrid,Brooklyn
156,premium,Manhattan
157,premium,Bronx
158,premium,Manhattan
159,premium,Bronx
160,premium,Manhattan
161,standard,Manhattan
162,hybrid,Brooklyn
163,standard,Brooklyn
164,premium,Manhattan
165,hybrid,Brooklyn
166,premium,Queens
167,hybrid,Bronx
168,hybrid,Bronx
169,premium,Brooklyn
170,premium,Brooklyn
171,standard,Bronx
172,premium,Queens
173,premium,Bronx
174,standard,Queens
175,standard,Bronx
176,hybrid,Bronx
177,premium,Queens
178,premium,Brooklyn
179,hybrid,Brooklyn
180,premium,Manhattan
181,premium,Queens
182,premium,Bronx
183,hybrid,Manhattan
184,premium,Manhattan
185,premium,Brooklyn
186,hybrid,Brooklyn
187,standard,Queens
188,premium,Manhattan
189,standard,Bronx
190,premium,Bronx
191,standard,Bronx
192,premium,Queens
193,hybrid,Bronx
194,hybrid,Queens
195,hybrid,Manhattan
196,hybrid,Bronx
197,hybrid,Manhattan
198,premium,Manhattan
199,hybrid,Manhattan
200,premium,Brooklyn
201,standard,Manhattan
202,premium,Queens
203,premium,Queens
204,hybrid,Brooklyn
205,premium,Queens
206,hybrid,Manhattan
207,premium,Manhattan
208,premium,Brooklyn
209,hybrid,Queens
210,hybrid,Queens
211,standard,Queens
212,hybrid,Queens
213,standard,Bronx
214,hybrid,Queens
215,hybrid,Bronx
216,hybrid,Bronx
217,standard,Queens
218,hybrid,Bronx
219,standard,Bronx
220,standard,Manhattan
221,hybrid,Manhattan
222,premium,Bronx
223,hybrid,Manhattan
224,hybrid,Manhattan
225,premium,Queens
226,standard,Queens
227,hybrid,Brooklyn
228,hybrid,Manhattan
229,premium,Manhattan
230,hybrid,Bronx
231,standard,Manhattan
232,hybrid,Bronx
233,premium,Manhattan
234,hybrid,Manhattan
235,hybrid,Brooklyn
236,premium,Bronx
237,hybrid,Manhattan
238,hybrid,Queens
239,standard,Queens
240,standard,Brooklyn
241,premium,Manhattan
242,hybrid,Brooklyn
243,standard,Queens
244,standard,Queens
245,standard,Brooklyn
246,premium,Brooklyn
247,premium,Manhattan
248,premium,Bronx
249,standard,Brooklyn
250,hybrid,Manhattan
251,premium,Manhattan
252,premium,Queens
253,hybrid,Bronx
254,premium,Manhattan
255,standard,Bronx
256,premium,Brooklyn
257,premium,Bronx
258,hybrid,Brooklyn
259,premium,Manhattan
260,premium,Queens
261,premium,Brooklyn
262,standard,Bronx
263,standard,Bronx
264,standard,Queens
265,standard,Brooklyn
266,standard,Brooklyn
267,hybrid,Queens
268,premium,Brooklyn
269,hybrid,Manhattan
270,premium,Brooklyn
271,premium,Queens
272,premium,Brooklyn
273,premium,Bronx
274,premium,Manhattan
275,standard,Queens
276,standard,Brooklyn
277,standard,Queens
278,premium,Manhattan
279,hybrid,Brooklyn
280,standard,Queens
281,standard,Brooklyn
282,hybrid,Brooklyn
283,hybrid,Brooklyn
284,premium,Manhattan
285,standard,Queens
286,premium,Brooklyn
287,premium,Bronx
288,hybrid,Queens
289,hybrid,Queens
290,hybrid,Queens
291,standard,Manhattan
292,standard,Manhattan
293,hybrid,Manhattan
294,premium,Bronx
295,premium,Queens
296,standard,Queens
297,premium,Brooklyn
298,premium,Manhattan
299,premium,Manhattan
300,hybrid,Queens
301,standard,Brooklyn
302,standard,Manhattan
303,standard,Brooklyn
304,hybrid,Bronx
305,premium,Brooklyn
306,hybrid,Manhattan
307,standard,Queens
308,hybrid,Brooklyn
309,standard,Bronx
310,standard,Brooklyn
311,hybrid,Brooklyn
312,hybrid,Brooklyn
313,standard,Bronx
314,hybrid,Brooklyn
315,hybrid,Brooklyn
316,premium,Brooklyn
317,hybrid,Queens
318,standard,Bronx
319,hybrid,Manhattan
320,premium,Manhattan
321,premium,Manhattan
322,hybrid,Brooklyn
323,premium,Bronx
324,premium,Bronx
325,premium,Brooklyn
326,standard,Brooklyn
327,standard,Queens
328,hybrid,Bronx
329,hybrid,Brooklyn
330,standard,Manhattan
331,hybrid,Manhattan
332,hybrid,Manhattan
333,hybrid,Queens
334,hybrid,Manhattan
335,premium,Bronx
336,premium,Bronx
337,premium,Manhattan
338,hybrid,Brooklyn
339,standard,Brooklyn
340,hybrid,Bronx
341,hybrid,Manhattan
342,premium,Queens
343,standard,Brooklyn
344,hybrid,Bronx
345,premium,Bronx
346,hybrid,Manhattan
347,premium,Queens
348,standard,Brooklyn
349,standard,Queens
350,hybrid,Queens
351,premium,Queens
352,premium,Bronx
353,premium,Brooklyn
354,hybrid,Queens
355,premium,Bronx
356,standard,Brooklyn
357,standard,Queens
358,premium,Brooklyn
359,premium,Queens
360,premium,Queens
361,premium,Queens
362,standard,Brooklyn
363,standard,Queens
364,hybrid,Manhattan
365,hybrid,Bronx
366,premium,Manhattan
367,premium,Bronx
368,hybrid,Manhattan
369,standard,Brooklyn
370,hybrid,Queens
371,hybrid,Brooklyn
372,standard,Manhattan
373,premium,Brooklyn
374,premium,Brooklyn
375,standard,Brooklyn
376,premium,Manhattan
377,standard,Brooklyn
378,premium,Manhattan
379,premium,Manhattan
380,premium,Manhattan
381,hybrid,Brooklyn
382,standard,Manhattan
383,premium,Brooklyn
384,standard,Bronx
385,hybrid,Manhattan
386,standard,Bronx
387,hybrid,Queens
388,hybrid,Manhattan
389,premium,Queens
390,hybrid,Bronx
391,standard,Brooklyn
392,standard,Queens
393,premium,Manhattan
394,standard,Brooklyn
395,hybrid,Bronx
396,premium,Manhattan
397,premium,Queens
398,premium,Queens
399,premium,Manhattan
400,standard,Queens
401,hybrid,Bronx
402,hybrid,Bronx
403,standard,Bronx
404,standard,Queens
405,hybrid,Brooklyn
406,standard,Queens
407,premium,Brooklyn
408,premium,Queens
409,hybrid,Queens
410,standard,Queens
411,hybrid,Queens
412,premium,Bronx
413,standard,Bronx
414,premium,Bronx
415,standard,Bronx
416,standard,Queens
417,standard,Bronx
418,hybrid,Bronx
419,hybrid,Queens
420,standard,Brooklyn
421,premium,Bronx
422,standard,Queens
423,hybrid,Queens
424,hybrid,Bronx
425,standard,Brooklyn
426,standard,Queens
427,standard,Bronx
428,hybrid,Bronx
429,hybrid,Queens
430,premium,Queens
431,hybrid,Manhattan
432,premium,Brooklyn
433,hybrid,Brooklyn
434,hybrid,Bronx
435,standard,Manhattan
436,hybrid,Queens
437,premium,Queens
438,standard,Brooklyn
439,hybrid,Brooklyn
440,standard,Bronx
441,hybrid,Manhattan
442,premium,Queens
443,standard,Brooklyn
444,hybrid,Manhattan
445,hybrid,Queens
446,premium,Manhattan
447,premium,Manhattan
448,hybrid,Bronx
449,premium,Manhattan
450,standard,Bronx
451,standard,Manhattan
452,premium,Manhattan
453,standard,Brooklyn
