dispatch_id,driver_id,service_month,pickup_zone_id,offered_trip_ts
1,714,2024-02,162,2024-02-10 19:37:05
2,6191,2024-02,230,2024-02-04 22:31:59
3,5236,2024-03,230,2024-03-26 21:13:16
4,3511,2024-02,236,2024-02-05 18:59:29
5,3464,2024-01,249,2024-01-26 03:26:54
6,6868,2024-01,170,2024-01-14 13:43:16
7,688,2024-03,262,2024-03-29 08:25:22
8,5579,2024-02,48,2024-02-15 21:49:37
9,1612,2024-02,161,2024-02-01 15:44:17
10,754,2024-02,93,2024-02-04 13:25:06
11,4212,2024-03,249,2024-03-24 16:50:21
12,7805,2024-02,170,2024-02-13 21:13:22
13,5886,2024-01,13,2024-01-20 13:17:12
14,6089,2024-03,211,2024-03-28 08:10:13
15,5740,2024-03,162,2024-03-12 21:12:01
16,6288,2024-03,142,2024-03-20 17:03:30
17,4106,2024-02,90,2024-02-08 15:10:10
18,1025,2024-02,170,2024-02-11 12:47:19
19,6718,2024-03,231,2024-03-31 03:58:14
20,3603,2024-02,142,2024-02-28 13:42:45
21,4003,2024-02,234,2024-02-09 12:37:09
22,2967,2024-01,262,2024-01-04 07:57:50
23,1461,2024-01,48,2024-01-30 13:57:37
24,7414,2024-01,50,2024-01-18 18:50:10
25,6252,2024-02,142,2024-02-05 07:37:32
26,5151,2024-01,90,2024-01-04 09:44:36
27,3219,2024-03,237,2024-03-22 21:50:59
28,6582,2024-01,238,2024-01-13 16:25:53
29,4363,2024-01,237,2024-01-18 08:00:52
30,3547,2024-01,90,2024-01-27 14:16:44
31,3604,2024-02,142,2024-02-14 10:23:35
32,1818,2024-02,186,2024-02-18 13:46:13
33,737,2024-01,43,2024-01-16 11:05:49
34,4437,2024-03,186,2024-03-27 13:31:02
35,7103,2024-03,79,2024-03-17 01:49:12
36,511,2024-02,236,2024-02-05 14:28:07
37,6866,2024-03,238,2024-03-23 13:45:33
38,6621,2024-03,236,2024-03-27 19:18:51
39,2214,2024-02,232,2024-02-24 16:17:19
40,5053,2024-01,239,2024-01-02 15:37:48
41,1322,2024-03,162,2024-03-16 23:06:33
42,6064,2024-02,232,2024-02-29 18:28:34
43,5604,2024-02,158,2024-02-07 22:47:18
44,2836,2024-03,163,2024-03-04 16:46:53
45,544,2024-01,148,2024-01-13 18:34:22
46,7765,2024-03,230,2024-03-24 16:26:13
47,3566,2024-03,186,2024-03-14 11:59:43
48,7145,2024-03,246,2024-03-04 14:13:56
49,5423,2024-01,239,2024-01-24 19:48:47
50,6227,2024-01,249,2024-01-06 17:37:46
51,6079,2024-02,129,2024-02-26 07:33:36
52,1557,2024-01,239,2024-01-01 19:23:30
53,2911,2024-01,68,2024-01-07 20:53:42
54,3734,2024-03,140,2024-03-03 12:46:52
55,3982,2024-03,140,2024-03-04 09:55:22
56,351,2024-01,237,2024-01-26 17:28:05
57,4373,2024-01,68,2024-01-30 12:19:43
58,1235,2024-03,138,2024-03-17 14:38:18
59,5947,2024-03,231,2024-03-18 21:24:29
60,5464,2024-02,144,2024-02-02 01:26:13
61,7380,2024-01,13,2024-01-27 15:59:01
62,5958,2024-03,211,2024-03-31 01:25:19
63,2933,2024-03,68,2024-03-18 08:50:14
64,7740,2024-03,114,2024-03-15 11:26:11
65,3287,2024-03,163,2024-03-14 12:46:04
66,2607,2024-03,238,2024-03-13 09:08:56
67,7244,2024-02,151,2024-02-20 09:01:51
68,2964,2024-02,107,2024-02-29 18:03:57
69,611,2024-02,237,2024-02-27 16:31:23
70,3756,2024-01,229,2024-01-20 17:19:30
71,6365,2024-03,161,2024-03-30 15:15:37
72,1516,2024-01,170,2024-01-25 19:17:56
73,3704,2024-03,230,2024-03-27 20:08:25
74,1040,2024-03,233,2024-03-01 17:23:52
75,5492,2024-01,237,2024-01-23 09:00:05
76,3806,2024-03,132,2024-03-20 06:47:39
77,2642,2024-03,239,2024-03-06 08:28:34
78,1816,2024-03,43,2024-03-07 14:21:04
79,4516,2024-02,141,2024-02-02 23:44:23
80,5358,2024-03,107,2024-03-05 10:14:13
81,7522,2024-03,88,2024-03-09 00:12:31
82,3497,2024-01,13,2024-01-05 16:16:41
83,1286,2024-02,68,2024-02-08 12:42:57
84,6661,2024-02,79,2024-02-03 00:22:35
85,5038,2024-03,140,2024-03-06 18:04:07
86,5602,2024-01,236,2024-01-21 14:19:00
87,778,2024-02,161,2024-02-06 13:49:54
88,2499,2024-02,132,2024-02-25 16:55:53
