from_zone_id,to_zone_id,distance_km
1.0,1.0,0.0
1.0,23.0,12.53
1.0,103.0,14.33
1.0,104.0,14.87
1.0,115.0,14.47
1.0,156.0,8.91
1.0,187.0,10.05
1.0,206.0,11.13
1.0,245.0,12.04
1.0,251.0,12.26
2.0,2.0,0.0
2.0,10.0,10.17
2.0,27.0,11.92
2.0,28.0,14.14
2.0,30.0,2.18
2.0,35.0,11.19
2.0,39.0,8.23
2.0,61.0,14.7
2.0,62.0,14.98
2.0,63.0,11.14
2.0,71.0,12.54
2.0,72.0,11.39
2.0,76.0,8.23
2.0,77.0,10.21
2.0,85.0,14.07
2.0,86.0,8.72
2.0,89.0,14.76
2.0,91.0,11.09
2.0,96.0,12.6
2.0,102.0,13.66
2.0,117.0,5.71
2.0,124.0,6.27
2.0,130.0,13.51
2.0,132.0,6.67
2.0,134.0,13.4
2.0,139.0,13.13
2.0,149.0,13.12
2.0,150.0,13.59
2.0,154.0,8.63
2.0,155.0,9.35
2.0,165.0,13.99
2.0,177.0,12.7
2.0,180.0,8.81
2.0,188.0,14.32
2.0,197.0,11.42
2.0,201.0,5.84
2.0,203.0,11.87
2.0,205.0,13.3
2.0,210.0,12.69
2.0,215.0,12.25
2.0,216.0,8.81
2.0,218.0,10.39
2.0,219.0,9.99
2.0,222.0,7.26
2.0,258.0,10.91
3.0,3.0,0.0
3.0,15.0,13.76
3.0,18.0,4.78
3.0,20.0,4.39
3.0,31.0,3.28
3.0,32.0,1.95
3.0,41.0,14.56
3.0,42.0,12.42
3.0,46.0,7.63
3.0,47.0,6.7
3.0,51.0,2.55
3.0,53.0,12.3
3.0,58.0,4.53
3.0,59.0,6.53
3.0,60.0,6.2
3.0,69.0,8.96
3.0,74.0,13.67
3.0,78.0,5.12
3.0,81.0,2.7
3.0,94.0,5.88
3.0,116.0,12.53
3.0,119.0,9.6
3.0,120.0,9.58
3.0,126.0,8.8
3.0,127.0,8.01
3.0,128.0,8.64
3.0,136.0,6.51
3.0,138.0,13.57
3.0,147.0,8.74
3.0,152.0,13.67
3.0,153.0,7.21
3.0,159.0,9.96
3.0,167.0,8.18
3.0,168.0,11.42
3.0,169.0,6.81
3.0,171.0,14.75
3.0,174.0,3.98
3.0,182.0,4.11
3.0,183.0,2.86
3.0,184.0,4.44
3.0,185.0,1.67
3.0,194.0,13.81
3.0,199.0,11.48
3.0,200.0,8.4
3.0,208.0,6.61
3.0,212.0,5.92
3.0,213.0,6.96
3.0,220.0,7.52
3.0,223.0,14.34
3.0,235.0,7.83
3.0,240.0,5.87
3.0,241.0,5.65
3.0,242.0,2.63
3.0,243.0,9.57
3.0,244.0,10.98
3.0,247.0,10.04
3.0,248.0,5.25
3.0,250.0,4.77
3.0,252.0,11.77
3.0,254.0,2.9
3.0,259.0,4.96
4.0,4.0,0.0
4.0,7.0,8.45
4.0,8.0,10.04
4.0,12.0,5.27
4.0,13.0,4.68
4.0,17.0,5.61
4.0,24.0,11.57
4.0,25.0,5.69
4.0,26.0,13.68
4.0,33.0,4.58
4.0,34.0,3.42
4.0,35.0,11.49
4.0,36.0,7.43
4.0,37.0,7.41
4.0,40.0,6.88
4.0,41.0,12.18
4.0,42.0,14.46
4.0,43.0,8.72
4.0,45.0,2.88
4.0,48.0,5.84
4.0,49.0,5.5
4.0,50.0,6.56
4.0,52.0,5.88
4.0,54.0,6.1
4.0,56.0,13.4
4.0,57.0,14.34
4.0,61.0,8.36
4.0,62.0,8.97
4.0,63.0,12.46
4.0,65.0,4.29
4.0,66.0,3.3
4.0,68.0,4.43
4.0,70.0,13.41
4.0,71.0,12.45
4.0,72.0,12.12
4.0,74.0,12.2
4.0,75.0,10.34
4.0,76.0,14.47
4.0,77.0,12.37
4.0,79.0,1.15
4.0,80.0,4.64
4.0,82.0,11.35
4.0,83.0,9.68
4.0,85.0,11.74
4.0,87.0,4.21
4.0,88.0,4.87
4.0,89.0,12.73
4.0,90.0,3.52
4.0,95.0,14.4
4.0,96.0,12.37
4.0,97.0,4.85
4.0,100.0,4.57
4.0,102.0,11.65
4.0,103.0,9.09
4.0,104.0,7.99
4.0,105.0,6.95
4.0,106.0,7.53
4.0,107.0,2.08
4.0,111.0,10.62
4.0,112.0,3.17
4.0,113.0,2.33
4.0,114.0,2.37
4.0,125.0,3.42
4.0,129.0,11.33
4.0,133.0,12.21
4.0,137.0,2.45
4.0,138.0,13.7
4.0,140.0,6.61
4.0,141.0,6.63
4.0,142.0,7.35
4.0,143.0,7.76
4.0,144.0,2.26
4.0,145.0,4.46
4.0,146.0,6.49
4.0,148.0,1.7
4.0,151.0,10.95
4.0,152.0,14.09
4.0,157.0,8.31
4.0,158.0,3.93
4.0,160.0,10.82
4.0,161.0,5.04
4.0,162.0,4.87
4.0,163.0,5.98
4.0,164.0,3.76
4.0,166.0,12.71
4.0,168.0,13.99
4.0,170.0,3.53
4.0,173.0,13.37
4.0,177.0,9.88
4.0,179.0,8.87
4.0,181.0,7.85
4.0,186.0,4.02
4.0,188.0,10.09
4.0,189.0,6.85
4.0,190.0,9.17
4.0,193.0,6.63
4.0,194.0,11.47
4.0,195.0,7.93
4.0,196.0,12.65
4.0,198.0,8.75
4.0,199.0,14.43
4.0,202.0,6.36
4.0,207.0,10.47
4.0,209.0,3.67
4.0,211.0,2.74
4.0,217.0,3.56
4.0,223.0,11.21
4.0,224.0,1.19
4.0,225.0,7.24
4.0,226.0,6.17
4.0,227.0,12.41
4.0,228.0,11.16
4.0,229.0,5.02
4.0,230.0,5.36
4.0,231.0,3.55
4.0,232.0,1.49
4.0,233.0,3.91
4.0,234.0,2.86
4.0,236.0,8.62
4.0,237.0,6.71
4.0,238.0,10.0
4.0,239.0,8.85
4.0,246.0,5.28
4.0,249.0,3.29
4.0,255.0,2.29
4.0,256.0,2.68
4.0,257.0,10.3
4.0,258.0,14.44
4.0,260.0,8.42
4.0,261.0,4.55
4.0,262.0,8.38
4.0,263.0,8.59
5.0,5.0,0.0
5.0,6.0,14.75
5.0,23.0,8.12
5.0,44.0,6.4
5.0,84.0,3.51
5.0,99.0,3.54
5.0,109.0,4.19
5.0,110.0,6.77
5.0,115.0,14.74
5.0,118.0,7.93
5.0,156.0,11.77
5.0,172.0,9.7
5.0,176.0,7.46
5.0,187.0,12.28
5.0,204.0,2.81
5.0,214.0,12.51
5.0,245.0,14.82
5.0,251.0,11.75
6.0,5.0,14.75
6.0,6.0,0.0
6.0,11.0,7.18
6.0,14.0,5.89
6.0,21.0,9.82
6.0,22.0,8.69
6.0,23.0,11.07
6.0,26.0,10.28
6.0,29.0,12.63
6.0,40.0,14.32
6.0,54.0,14.87
6.0,55.0,9.94
6.0,67.0,7.05
6.0,85.0,14.97
6.0,89.0,13.51
6.0,99.0,13.22
6.0,103.0,13.46
6.0,104.0,14.85
6.0,105.0,14.24
6.0,106.0,14.03
6.0,108.0,10.21
6.0,109.0,11.31
6.0,110.0,10.18
6.0,111.0,11.84
6.0,115.0,3.15
6.0,118.0,7.11
6.0,123.0,11.96
6.0,133.0,12.17
6.0,149.0,13.78
6.0,150.0,14.56
6.0,156.0,11.56
6.0,165.0,13.15
6.0,172.0,5.59
6.0,176.0,7.97
6.0,178.0,11.56
6.0,181.0,14.38
6.0,187.0,8.7
6.0,190.0,14.56
6.0,195.0,13.05
6.0,206.0,6.61
6.0,210.0,14.66
6.0,214.0,2.51
6.0,221.0,2.71
6.0,227.0,9.64
6.0,228.0,10.18
6.0,245.0,5.57
6.0,251.0,6.44
6.0,257.0,13.04
7.0,4.0,8.45
7.0,7.0,0.0
7.0,8.0,2.54
7.0,9.0,14.75
7.0,12.0,13.71
7.0,13.0,12.96
7.0,17.0,10.82
7.0,20.0,14.65
7.0,24.0,7.84
7.0,25.0,13.37
7.0,28.0,14.36
