employee_id,business_unit_id,review_date,rating,reviewer_id,review_cycle
EMP-0002,BU-01,2024-01-13,Exceeds,MGR-BU-01-16,Q1-2024
EMP-0003,BU-01,2024-01-30,Exceeds,MGR-BU-01-08,Q1-2024
EMP-0004,BU-01,2024-01-11,Meets,MGR-BU-01-07,Q1-2024
EMP-0005,BU-01,2024-01-26,Meets,MGR-BU-01-13,Q1-2024
EMP-0006,BU-01,2024-03-14,Meets,MGR-BU-01-06,Q1-2024
EMP-0007,BU-01,2024-03-29,Needs Improvement,MGR-BU-01-04,Q1-2024
EMP-0008,BU-01,2024-03-30,Meets,MGR-BU-01-06,Q1-2024
EMP-0009,BU-01,2024-02-12,Exceeds,MGR-BU-01-18,Q1-2024
EMP-0011,BU-01,2024-03-14,Meets,MGR-BU-01-10,Q1-2024
EMP-0012,BU-01,2024-01-10,Meets,MGR-BU-01-12,Q1-2024
EMP-0013,BU-01,2024-01-04,Meets,MGR-BU-01-20,Q1-2024
EMP-0014,BU-01,2024-02-25,Meets,MGR-BU-01-01,Q1-2024
EMP-0015,BU-01,2024-01-24,Needs Improvement,MGR-BU-01-01,Q1-2024
EMP-0016,BU-01,2024-01-08,Needs Improvement,MGR-BU-01-10,Q1-2024
EMP-0017,BU-01,2024-01-07,Exceeds,MGR-BU-01-02,Q1-2024
EMP-0018,BU-01,2024-02-23,Needs Improvement,MGR-BU-01-02,Q1-2024
EMP-0019,BU-01,2024-02-12,Needs Improvement,MGR-BU-01-07,Q1-2024
EMP-0020,BU-01,2024-02-04,Exceeds,MGR-BU-01-01,Q1-2024
EMP-0021,BU-01,2024-01-13,Needs Improvement,MGR-BU-01-01,Q1-2024
EMP-0022,BU-01,2024-01-17,Needs Improvement,MGR-BU-01-09,Q1-2024
EMP-0023,BU-01,2024-03-14,Needs Improvement,MGR-BU-01-11,Q1-2024
EMP-0024,BU-01,2024-03-29,Meets,MGR-BU-01-19,Q1-2024
EMP-0025,BU-01,2024-03-13,Exceeds,MGR-BU-01-15,Q1-2024
EMP-0026,BU-01,2024-01-13,Meets,MGR-BU-01-19,Q1-2024
EMP-0027,BU-01,2024-01-02,Needs Improvement,MGR-BU-01-15,Q1-2024
EMP-0028,BU-01,2024-03-02,Meets,MGR-BU-01-03,Q1-2024
EMP-0032,BU-01,2024-02-10,Meets,MGR-BU-01-18,Q1-2024
EMP-0033,BU-01,2024-03-06,Meets,MGR-BU-01-16,Q1-2024
EMP-0034,BU-01,2024-03-01,Exceeds,MGR-BU-01-19,Q1-2024
EMP-0035,BU-01,2024-02-18,Meets,MGR-BU-01-20,Q1-2024
EMP-0036,BU-01,2024-01-25,Exceeds,MGR-BU-01-11,Q1-2024
EMP-0037,BU-01,2024-03-21,Needs Improvement,MGR-BU-01-13,Q1-2024
EMP-0038,BU-01,2024-02-27,Exceeds,MGR-BU-01-07,Q1-2024
EMP-0039,BU-01,2024-01-14,Meets,MGR-BU-01-08,Q1-2024
EMP-0040,BU-01,2024-01-05,Needs Improvement,MGR-BU-01-17,Q1-2024
EMP-0041,BU-01,2024-03-22,Needs Improvement,MGR-BU-01-03,Q1-2024
EMP-0042,BU-01,2024-01-21,Exceeds,MGR-BU-01-16,Q1-2024
EMP-0043,BU-01,2024-01-19,Exceeds,MGR-BU-01-16,Q1-2024
EMP-0045,BU-01,2024-02-08,Meets,MGR-BU-01-08,Q1-2024
EMP-0046,BU-01,2024-02-22,Exceeds,MGR-BU-01-18,Q1-2024
EMP-0047,BU-01,2024-03-29,Meets,MGR-BU-01-13,Q1-2024
EMP-0048,BU-01,2024-02-11,Meets,MGR-BU-01-12,Q1-2024
EMP-0049,BU-01,2024-02-03,Meets,MGR-BU-01-17,Q1-2024
EMP-0050,BU-01,2024-02-07,Meets,MGR-BU-01-05,Q1-2024
EMP-0051,BU-01,2024-01-03,Meets,MGR-BU-01-13,Q1-2024
EMP-0052,BU-01,2024-03-02,Exceeds,MGR-BU-01-11,Q1-2024
EMP-0053,BU-01,2024-01-17,Meets,MGR-BU-01-15,Q1-2024
EMP-0054,BU-01,2024-03-26,Exceeds,MGR-BU-01-19,Q1-2024
EMP-0055,BU-01,2024-02-14,Meets,MGR-BU-01-09,Q1-2024
EMP-0056,BU-01,2024-01-12,Exceeds,MGR-BU-01-02,Q1-2024
EMP-0057,BU-01,2024-01-08,Meets,MGR-BU-01-14,Q1-2024
EMP-0058,BU-01,2024-03-27,Exceeds,MGR-BU-01-04,Q1-2024
EMP-0059,BU-01,2024-02-03,Meets,MGR-BU-01-19,Q1-2024
EMP-0060,BU-01,2024-01-29,Exceeds,MGR-BU-01-15,Q1-2024
EMP-0061,BU-01,2024-01-06,Needs Improvement,MGR-BU-01-11,Q1-2024
EMP-0062,BU-01,2024-01-05,Needs Improvement,MGR-BU-01-19,Q1-2024
EMP-0063,BU-01,2024-01-02,Meets,MGR-BU-01-14,Q1-2024
EMP-0064,BU-01,2024-03-24,Meets,MGR-BU-01-01,Q1-2024
EMP-0065,BU-01,2024-02-13,Meets,MGR-BU-01-05,Q1-2024
EMP-0066,BU-01,2024-01-27,Exceeds,MGR-BU-01-19,Q1-2024
EMP-0067,BU-01,2024-02-25,Exceeds,MGR-BU-01-08,Q1-2024
EMP-0068,BU-01,2024-02-05,Exceeds,MGR-BU-01-12,Q1-2024
EMP-0069,BU-01,2024-01-02,Needs Improvement,MGR-BU-01-19,Q1-2024
EMP-0070,BU-01,2024-01-03,Meets,MGR-BU-01-08,Q1-2024
EMP-0071,BU-01,2024-01-24,Needs Improvement,MGR-BU-01-04,Q1-2024
EMP-0073,BU-01,2024-02-12,Meets,MGR-BU-01-16,Q1-2024
EMP-0074,BU-01,2024-01-05,Meets,MGR-BU-01-05,Q1-2024
EMP-0075,BU-01,2024-02-05,Meets,MGR-BU-01-10,Q1-2024
EMP-0076,BU-01,2024-02-01,Needs Improvement,MGR-BU-01-10,Q1-2024
EMP-0077,BU-01,2024-01-06,Exceeds,MGR-BU-01-10,Q1-2024
EMP-0079,BU-01,2024-01-14,Meets,MGR-BU-01-19,Q1-2024
EMP-0080,BU-01,2024-03-30,Exceeds,MGR-BU-01-12,Q1-2024
EMP-0081,BU-01,2024-03-12,Exceeds,MGR-BU-01-05,Q1-2024
EMP-0082,BU-01,2024-01-23,Needs Improvement,MGR-BU-01-15,Q1-2024
EMP-0083,BU-01,2024-03-03,Exceeds,MGR-BU-01-11,Q1-2024
EMP-0084,BU-01,2024-03-20,Meets,MGR-BU-01-03,Q1-2024
EMP-0085,BU-01,2024-01-02,Meets,MGR-BU-01-15,Q1-2024
EMP-0086,BU-01,2024-03-26,Meets,MGR-BU-01-03,Q1-2024
EMP-0087,BU-01,2024-01-26,Meets,MGR-BU-01-16,Q1-2024
EMP-0088,BU-01,2024-02-26,Exceeds,MGR-BU-01-03,Q1-2024
EMP-0089,BU-01,2024-02-13,Needs Improvement,MGR-BU-01-04,Q1-2024
EMP-0090,BU-01,2024-02-07,Meets,MGR-BU-01-02,Q1-2024
EMP-0091,BU-01,2024-03-24,Meets,MGR-BU-01-03,Q1-2024
EMP-0094,BU-01,2024-03-09,Exceeds,MGR-BU-01-01,Q1-2024
EMP-0095,BU-01,2024-03-29,Needs Improvement,MGR-BU-01-10,Q1-2024
EMP-0096,BU-01,2024-03-17,Needs Improvement,MGR-BU-01-08,Q1-2024
EMP-0097,BU-01,2024-02-21,Meets,MGR-BU-01-03,Q1-2024
EMP-0098,BU-01,2024-02-02,Meets,MGR-BU-01-20,Q1-2024
EMP-0099,BU-01,2024-01-27,Exceeds,MGR-BU-01-04,Q1-2024
EMP-0100,BU-01,2024-02-02,Needs Improvement,MGR-BU-01-04,Q1-2024
EMP-0101,BU-01,2024-01-16,Exceeds,MGR-BU-01-07,Q1-2024
EMP-0103,BU-01,2024-02-16,Meets,MGR-BU-01-20,Q1-2024
EMP-0104,BU-01,2024-02-06,Meets,MGR-BU-01-10,Q1-2024
EMP-0105,BU-01,2024-03-25,Meets,MGR-BU-01-07,Q1-2024
EMP-0106,BU-01,2024-01-07,Needs Improvement,MGR-BU-01-16,Q1-2024
