employee_id,business_unit_id,event_date,event_type,documented_by,notes
EMP-0782,BU-04,2024-02-05,Coaching Session,MGR-BU-04-04,Attendance and punctuality concern
EMP-0543,BU-02,2024-02-26,Written Warning,MGR-BU-02-08,Performance below quarterly target
EMP-0156,BU-03,2024-03-05,Performance Review Meeting,MGR-BU-03-09,Missed key deliverable deadline
EMP-0493,BU-03,2024-02-29,Performance Review Meeting,MGR-BU-03-13,Missed key deliverable deadline
EMP-0489,BU-04,2024-01-10,HR Escalation,MGR-BU-04-05,Missed key deliverable deadline
EMP-0807,BU-02,2024-03-13,Written Warning,MGR-BU-02-01,Performance below quarterly target
EMP-0954,BU-03,2024-01-01,Written Warning,MGR-BU-03-12,Missed key deliverable deadline
EMP-0476,BU-03,2024-01-31,Written Warning,MGR-BU-03-01,Performance below quarterly target
EMP-0066,BU-01,2024-01-17,HR Escalation,MGR-BU-01-19,Performance below quarterly target
EMP-0502,BU-04,2024-01-30,Performance Review Meeting,MGR-BU-04-05,Performance below quarterly target
EMP-0452,BU-02,2024-01-22,Written Warning,MGR-BU-02-01,Attendance and punctuality concern
EMP-0309,BU-01,2024-02-25,HR Escalation,MGR-BU-01-16,Attendance and punctuality concern
EMP-0688,BU-04,2024-01-23,Written Warning,MGR-BU-04-01,Missed key deliverable deadline
EMP-0485,BU-02,2024-02-02,Coaching Session,MGR-BU-02-12,Performance below quarterly target
EMP-0858,BU-01,2024-01-17,Written Warning,MGR-BU-01-03,Missed key deliverable deadline
EMP-0583,BU-01,2024-01-17,Performance Review Meeting,MGR-BU-01-13,Performance below quarterly target
EMP-0288,BU-01,2024-01-03,Written Warning,MGR-BU-01-06,Performance below quarterly target
EMP-0514,BU-02,2024-03-15,Written Warning,MGR-BU-02-13,Missed key deliverable deadline
EMP-0087,BU-04,2024-03-15,HR Escalation,MGR-BU-04-18,Missed key deliverable deadline
EMP-0902,BU-01,2024-01-04,Written Warning,MGR-BU-01-09,Missed key deliverable deadline
EMP-0892,BU-04,2024-02-21,HR Escalation,MGR-BU-04-16,Missed key deliverable deadline
