entry_id,business_unit_id,facility_id,reporting_date,scope,transaction_type,emission_source,quantity_tco2e,method,preliminary_estimate_tco2e,original_entry_id,restatement_reason,source_document_id,entry_created_by,approval_status,data_quality_tier
ENT000001,BU-01,FAC-008,2024-01-31,Scope 1,verified_emission,Stationary Combustion - Boilers,68.56,,78.7,,,DOC-220930,D. Silveira,approved,Tier 2 - calculated
ENT000002,BU-01,FAC-008,2024-01-31,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,35.44,,35.82,,,DOC-214218,S. Okoye,approved,Tier 1 - metered
ENT000003,BU-01,FAC-008,2024-01-31,Scope 1,emission_restatement,Mobile Combustion - Fleet Vehicles,51.34,,,ENT000002,Utility invoice correction,DOC-218825,P. Iyer,approved,Tier 1 - metered
ENT000004,BU-01,FAC-008,2024-01-31,Scope 1,verified_emission,Process Emissions,8.92,,7.63,,,DOC-146720,D. Silveira,approved,Tier 1 - metered
ENT000005,BU-01,FAC-008,2024-01-31,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,12.19,,12.6,,,DOC-266722,D. Silveira,approved,Tier 2 - calculated
ENT000006,BU-01,FAC-008,2024-01-31,Scope 2,verified_emission,Purchased Electricity,74.31,location_based,75.8,,,DOC-340906,N. Petrova,approved,Tier 3 - estimated
ENT000007,BU-01,FAC-008,2024-01-31,Scope 2,verified_emission,Purchased Electricity,48.08,market_based,48.29,,,DOC-948359,R. Alvarez,approved,Tier 3 - estimated
ENT000008,BU-01,FAC-008,2024-01-31,Scope 2,verified_emission,Purchased Steam,22.02,location_based,21.41,,,DOC-945525,T. Nakamura,pending_review,Tier 3 - estimated
ENT000009,BU-01,FAC-008,2024-01-31,Scope 2,verified_emission,Purchased Steam,14.25,market_based,15.03,,,DOC-521917,S. Okoye,approved,Tier 3 - estimated
ENT000010,BU-01,FAC-008,2024-01-31,Scope 2,verified_emission,Purchased Cooling,8.08,location_based,7.35,,,DOC-927917,C. Osei,pending_review,Tier 3 - estimated
ENT000011,BU-01,FAC-008,2024-01-31,Scope 2,verified_emission,Purchased Cooling,5.23,market_based,5.18,,,DOC-891995,N. Petrova,approved,Tier 3 - estimated
ENT000012,BU-01,FAC-008,2024-02-29,Scope 1,verified_emission,Stationary Combustion - Boilers,70.56,,70.92,,,DOC-179894,N. Petrova,approved,Tier 3 - estimated
ENT000013,BU-01,FAC-008,2024-02-29,Scope 1,verified_emission,Mobile Combustion - Fleet Vehicles,50.61,,44.61,,,DOC-800808,V. Lindqvist,approved,Tier 3 - estimated
ENT000014,BU-01,FAC-008,2024-02-29,Scope 1,verified_emission,Process Emissions,22.06,,20.1,,,DOC-487921,N. Petrova,approved,Tier 1 - metered
ENT000015,BU-01,FAC-008,2024-02-29,Scope 1,verified_emission,Fugitive Emissions - Refrigerants,12.18,,12.98,,,DOC-938140,V. Lindqvist,approved,Tier 2 - calculated
ENT000016,BU-01,FAC-008,2024-02-29,Scope 2,verified_emission,Purchased Electricity,102.68,location_based,105.17,,,DOC-446207,J. Whitfield,approved,Tier 2 - calculated
ENT000017,BU-01,FAC-008,2024-02-29,Scope 2,verified_emission,Purchased Electricity,66.44,market_based,65.8,,,DOC-160914,S. Okoye,approved,Tier 2 - calculated
ENT000018,BU-01,FAC-008,2024-02-29,Scope 2,verified_emission,Purchased Steam,22.23,location_based,19.77,,,DOC-399033,S. Okoye,approved,Tier 3 - estimated
