correction_id,shift_id,corrected_hours,correction_date,status
COR00094,S007870,8.13,2024-04-04,Rejected
COR00034,S003827,9.27,2024-04-03,Approved
COR00049,S020469,6.08,2024-04-02,approved
COR00056,S021035,6.32,2024-04-03,approved
COR00133,S005299,7.31,2024-04-04,Approved
COR00153,S031766,8.53,2024-04-04,approved
COR00020,S001687,8.51,2024-04-03,approved
COR00005,S025802,4.64,2024-04-01,Approved
COR00134,S005299,6.0,2024-04-07,approved
COR00010,S022388,7.9,2024-04-01,approved
COR00027,S030716,7.45,2024-04-04,Approved
COR00008,S025418,6.09,2024-04-03,approved
COR00061,S002768,7.74,2024-04-04,approved
COR00016,S016574,5.42,2024-04-02,Approved
COR00095,S014588,7.68,2024-04-04,rejected
COR00114,S018207,7.43,2024-04-02,rejected
COR00159,S004513,8.79,2024-04-04,approved
COR00082,S013800,8.59,2024-04-04,pending
COR00037,S006252,5.82,2024-04-03,approved
COR00172,S029669,4.54,2024-04-02,Approved
COR00169,S004292,4.4,2024-04-02,approved
COR00129,S001229,7.99,2024-04-04,approved
COR00084,S018457,5.12,2024-04-04,Rejected
COR00125,S016002,6.5,2024-04-03,Approved
COR00067,S029295,7.32,2024-04-03,approved
COR00050,S008814,7.26,2024-04-04,approved
COR00136,S028555,6.58,2024-04-09,Approved
COR00106,S029624,7.52,2024-04-04,pending
COR00131,S006800,7.9,2024-04-03,approved
COR00147,S014440,8.3,2024-04-04,approved
COR00143,S022945,6.5,2024-04-03,Approved
COR00168,S021473,4.83,2024-04-02,approved
COR00111,S020290,5.56,2024-04-03,rejected
COR00146,S033143,7.01,2024-04-08,approved
COR00058,S014578,8.33,2024-04-04,Approved
COR00107,S013191,6.0,2024-04-02,pending
COR00073,S032653,6.47,2024-04-01,approved
COR00141,S008357,8.63,2024-04-03,approved
COR00057,S015111,7.41,2024-04-03,Approved
COR00148,S014440,6.79,2024-04-08,approved
COR00149,S003650,7.8,2024-04-03,approved
COR00015,S006197,5.94,2024-04-01,Approved
COR00003,S018787,8.03,2024-04-03,approved
COR00155,S034592,6.71,2024-04-04,approved
COR00046,S002805,9.27,2024-04-01,Approved
COR00069,S015978,6.14,2024-04-01,approved
COR00101,S016591,5.78,2024-04-02,rejected
COR00124,S023199,6.0,2024-04-08,approved
COR00138,S024968,6.0,2024-04-09,Approved
COR00119,S032380,8.68,2024-04-03,Rejected
COR00062,S020624,5.31,2024-04-04,approved
COR00128,S028217,6.0,2024-04-10,approved
COR00098,S018811,6.4,2024-04-02,rejected
COR00105,S020604,6.22,2024-04-04,pending
COR00087,S006219,8.47,2024-04-04,rejected
COR00007,S018431,6.31,2024-04-01,Approved
COR00023,S013736,6.87,2024-04-03,approved
COR00112,S007552,8.8,2024-04-02,pending
COR00167,S004424,3.08,2024-04-02,approved
COR00104,S024035,7.71,2024-04-02,pending
COR00002,S015833,4.82,2024-04-02,Approved
COR00039,S020138,5.29,2024-04-04,approved
COR00064,S000743,5.94,2024-04-01,approved
COR00110,S020344,7.63,2024-04-03,pending
COR00115,S003392,7.42,2024-04-03,Rejected
COR00076,S011743,7.68,2024-04-04,Approved
COR00055,S024346,5.33,2024-04-02,approved
COR00072,S000233,5.25,2024-04-01,approved
COR00127,S028217,6.5,2024-04-03,Approved
COR00161,S011953,5.13,2024-04-02,approved
COR00118,S027840,5.26,2024-04-02,rejected
COR00113,S020502,7.66,2024-04-03,rejected
COR00077,S017235,6.32,2024-04-01,approved
COR00103,S005158,5.6,2024-04-02,pending
COR00042,S004838,6.64,2024-04-01,Approved
COR00117,S010821,8.1,2024-04-04,Rejected
COR00122,S008354,6.73,2024-04-08,approved
COR00004,S032633,8.84,2024-04-03,approved
COR00071,S009829,4.59,2024-04-03,Approved
COR00132,S006800,6.17,2024-04-10,approved
COR00097,S012320,7.73,2024-04-03,rejected
COR00100,S028445,6.79,2024-04-03,pending
COR00140,S029404,6.0,2024-04-10,approved
COR00065,S033275,6.43,2024-04-04,Approved
COR00139,S029404,7.48,2024-04-04,approved
COR00160,S004513,7.17,2024-04-08,approved
COR00070,S027236,7.6,2024-04-04,Approved
COR00035,S032587,6.59,2024-04-03,approved
COR00156,S034592,6.0,2024-04-09,approved
COR00012,S012697,6.77,2024-04-02,Approved
COR00053,S024457,5.74,2024-04-02,approved
COR00109,S025737,6.11,2024-04-04,pending
COR00092,S030691,6.98,2024-04-02,pending
COR00033,S014886,7.26,2024-04-01,approved
COR00090,S020353,8.36,2024-04-04,pending
COR00135,S028555,7.73,2024-04-04,Approved
COR00171,S008947,3.61,2024-04-03,approved
COR00074,S011915,7.29,2024-04-01,approved
COR00121,S008354,8.46,2024-04-04,Approved
COR00048,S030359,7.99,2024-04-03,approved
COR00043,S030022,5.03,2024-04-03,approved
COR00088,S007826,7.73,2024-04-04,pending
COR00175,S007601,3.34,2024-04-02,Approved
COR00044,S004918,8.35,2024-04-02,approved
COR00152,S011689,6.69,2024-04-10,approved
COR00120,S010018,6.65,2024-04-02,rejected
COR00052,S006967,4.45,2024-04-03,Approved
COR00040,S006602,7.52,2024-04-03,approved
COR00164,S020368,4.75,2024-04-02,approved
COR00054,S000435,6.38,2024-04-03,Approved
COR00001,S020104,6.82,2024-04-01,approved
COR00145,S033143,9.0,2024-04-03,approved
COR00011,S020251,8.01,2024-04-02,Approved
COR00013,S029175,8.34,2024-04-01,approved
COR00099,S013634,5.39,2024-04-03,pending
COR00059,S035249,4.99,2024-04-03,approved
COR00014,S010396,4.79,2024-04-02,Approved
COR00170,S002623,4.8,2024-04-04,approved
COR00157,S030568,8.0,2024-04-04,approved
COR00158,S030568,6.5,2024-04-09,Approved
COR00150,S003650,6.52,2024-04-09,approved
COR00162,S009940,5.68,2024-04-03,approved
COR00144,S022945,6.0,2024-04-09,Approved
COR00151,S011689,7.39,2024-04-03,approved
COR00018,S018342,5.92,2024-04-01,approved
COR00142,S008357,6.81,2024-04-10,Approved
COR00066,S013816,6.14,2024-04-04,approved
COR00041,S006502,5.52,2024-04-02,approved
COR00045,S020958,8.07,2024-04-02,Approved
COR00130,S001229,7.09,2024-04-10,approved
COR00166,S013225,3.45,2024-04-02,approved
COR00116,S023541,7.64,2024-04-04,Rejected
COR00038,S005745,6.96,2024-04-01,Approved
COR00137,S024968,7.74,2024-04-03,approved
COR00081,S012935,7.45,2024-04-04,pending
COR00089,S020266,8.91,2024-04-03,pending
COR00075,S028724,6.94,2024-04-04,approved
COR00165,S031533,5.55,2024-04-03,Approved
COR00154,S031766,6.84,2024-04-09,approved
COR00078,S002394,7.4,2024-04-02,approved
COR00031,S018595,7.54,2024-04-01,Approved
COR00009,S024287,7.88,2024-04-03,approved
COR00096,S028908,8.71,2024-04-03,pending
COR00024,S002383,7.81,2024-04-01,approved
COR00080,S013423,8.41,2024-04-01,Approved
COR00068,S016729,7.13,2024-04-04,approved
COR00051,S002711,8.23,2024-04-03,approved
COR00021,S031069,5.84,2024-04-04,Approved
COR00079,S012323,7.37,2024-04-01,approved
COR00019,S027341,6.14,2024-04-01,approved
COR00047,S012566,4.28,2024-04-02,Approved
COR00126,S016002,6.0,2024-04-10,approved
COR00028,S014488,4.32,2024-04-01,approved
COR00030,S019230,5.33,2024-04-03,Approved
COR00108,S005410,6.64,2024-04-04,rejected
COR00083,S002769,6.21,2024-04-03,rejected
COR00102,S004373,8.17,2024-04-02,Rejected
COR00025,S015786,6.92,2024-04-03,approved
COR00085,S023571,5.59,2024-04-04,rejected
COR00029,S024131,8.4,2024-04-03,approved
COR00060,S003717,6.37,2024-04-02,Approved
COR00086,S020724,7.07,2024-04-03,pending
COR00091,S023002,5.8,2024-04-02,pending
COR00093,S032046,8.36,2024-04-02,rejected
COR00123,S023199,6.5,2024-04-03,approved
COR00036,S018801,7.82,2024-04-04,approved
COR00173,S005807,5.35,2024-04-04,Approved
COR00017,S024869,8.49,2024-04-03,approved
COR00032,S010993,8.14,2024-04-02,approved
COR00022,S000149,4.82,2024-04-03,Approved
COR00006,S016398,6.57,2024-04-03,approved
COR00174,S009767,4.31,2024-04-01,approved
COR00063,S019206,7.01,2024-04-02,Approved
COR00163,S008289,5.6,2024-04-01,approved
COR00026,S007362,6.13,2024-04-01,approved
