employee_id,department_id,hire_date,employment_status,employee_type,hourly_rate,pay_group_id
E0001,D01,2019-08-02,active,full_time,26.4,
E0002,D01,2016-01-14,Active,full_time,22.55,
E0003,D01,2022-11-20,ACTIVE,full_time,27.37,
E0004,D01,2022-05-10,active,full_time,25.52,
E0005,D01,2017-04-12,Active,full_time,18.58,
E0006,D01,2020-06-09,on_leave,full_time,28.72,
E0007,D01,2015-06-21,ACTIVE,full_time,26.25,
E0008,D01,2022-09-14,active,full_time,26.54,
E0009,D01,2015-10-11,Active,full_time,18.97,
E0010,D01,2017-08-27,ACTIVE,full_time,22.68,
E0011,D01,2023-04-21,active,full_time,21.76,
E0012,D01,2021-05-06,Active,full_time,28.16,
E0013,D01,2016-02-20,ACTIVE,full_time,24.9,
E0014,D01,2019-12-04,active,full_time,26.96,
E0015,D01,2020-09-27,Active,full_time,22.6,
E0016,D01,2018-06-27,ACTIVE,full_time,20.11,
E0017,D01,2020-08-28,active,full_time,23.88,
E0018,D01,2021-02-02,Active,full_time,18.23,
E0019,D01,2017-05-10,ACTIVE,full_time,27.02,
E0020,D01,2015-09-22,active,full_time,24.76,
E0021,D01,2018-05-28,terminated,full_time,26.22,
E0022,D01,2022-04-21,Active,full_time,21.58,
E0023,D01,2017-08-28,ACTIVE,full_time,28.66,
E0024,D01,2023-01-16,active,full_time,27.77,
E0025,D01,2020-06-09,Active,full_time,26.45,
E0026,D01,2015-02-28,ACTIVE,full_time,19.74,
E0027,D01,2020-08-07,active,full_time,22.87,
E0028,D01,2016-11-28,Active,full_time,18.0,
E0029,D01,2020-07-03,Terminated,full_time,19.27,
E0030,D01,2018-01-18,ACTIVE,full_time,25.36,
E0031,D01,2022-01-31,On_Leave,full_time,26.06,
E0032,D01,2021-03-03,active,full_time,28.63,
E0033,D01,2019-11-15,Active,full_time,21.25,
E0034,D01,2015-07-19,ACTIVE,full_time,21.76,PG02
E0035,D01,2019-01-09,active,full_time,22.9,
E0036,D01,2021-05-26,ON_LEAVE,full_time,19.68,
E0037,D01,2023-02-02,Active,full_time,18.99,
E0038,D01,2021-11-08,ACTIVE,full_time,22.97,
E0039,D01,2020-10-22,active,full_time,20.11,
E0040,D01,2023-12-18,Active,full_time,25.2,
C0001,D01,2020-09-22,ACTIVE,contractor,2280.87,
C0002,D01,2023-04-16,active,contractor,2715.95,
C0003,D01,2023-12-07,TERMINATED,contractor,2570.29,
C0004,D01,2019-01-20,Active,contractor,2143.6,
C0005,D01,2021-07-18,on_leave,contractor,2715.49,
C0006,D01,2015-06-06,ACTIVE,contractor,2685.24,
C0007,D01,2019-07-29,On_Leave,contractor,2226.23,
C0008,D01,2021-07-13,active,contractor,2117.16,
C0009,D01,2017-04-30,Active,contractor,2550.75,
C0010,D01,2018-02-15,ACTIVE,contractor,1953.73,
E0051,D09,2021-08-07,active,full_time,19.8,
E0052,D02,2022-05-11,ON_LEAVE,full_time,17.58,PG02
E0053,D02,2019-11-27,Active,full_time,26.55,
E0054,D02,2021-05-23,ACTIVE,full_time,25.15,
E0055,D02,2020-06-18,on_leave,full_time,25.61,
E0056,D02,2016-08-30,active,full_time,26.48,
E0057,D02,2015-05-08,Active,full_time,22.78,
E0058,D02,2021-03-31,ACTIVE,full_time,24.04,
E0059,D02,2020-03-23,active,full_time,19.11,
E0060,D02,2021-04-17,On_Leave,full_time,18.82,
E0061,D02,2022-07-30,ON_LEAVE,full_time,25.19,
E0062,D02,2019-02-06,Active,full_time,22.92,
E0063,D02,2015-06-13,ACTIVE,full_time,24.0,
E0064,D02,2017-03-29,active,full_time,26.3,
E0065,D02,2017-08-03,Active,full_time,24.8,PG02
E0066,D02,2022-05-30,ACTIVE,full_time,23.87,
E0067,D02,2020-02-17,active,full_time,23.93,
E0068,D02,2015-05-19,Active,full_time,21.0,PG02
E0069,D02,2020-09-11,ACTIVE,full_time,17.85,PG02
E0070,D02,2018-11-04,active,full_time,22.52,PG02
E0071,D02,2018-05-09,Active,full_time,19.97,PG02
E0072,D02,2020-03-23,ACTIVE,full_time,22.2,
E0073,D02,2018-02-19,active,full_time,27.31,
E0074,D02,2022-02-25,Active,full_time,20.19,PG02
E0075,D02,2017-09-30,ACTIVE,full_time,18.17,
E0076,D02,2015-02-24,terminated,full_time,20.74,
E0077,D02,2017-02-25,active,full_time,20.88,
E0078,D02,2019-07-05,Terminated,full_time,25.11,
E0079,D02,2023-06-10,Active,full_time,23.91,
E0080,D02,2015-06-05,ACTIVE,full_time,26.51,
E0081,D02,2021-06-20,active,full_time,25.14,
E0082,D02,2015-04-12,Active,full_time,22.17,
E0083,D02,2017-01-07,TERMINATED,full_time,26.86,
E0084,D02,2022-12-11,ACTIVE,full_time,19.42,
E0085,D02,2019-11-18,active,full_time,17.76,
E0086,D02,2021-04-10,Active,full_time,18.54,
E0087,D02,2023-07-20,ACTIVE,full_time,25.81,
E0088,D02,2022-12-12,active,full_time,22.81,
E0089,D02,2017-11-09,on_leave,full_time,19.35,
E0090,D02,2020-05-22,Active,full_time,23.26,
C0011,D02,2017-02-20,ACTIVE,contractor,1967.54,
C0012,D02,2015-01-30,terminated,contractor,2565.95,
C0013,D02,2015-09-03,active,contractor,2290.77,
C0014,D02,2015-02-22,Active,contractor,2219.12,
C0015,D02,2018-02-22,ACTIVE,contractor,2131.66,
C0016,D02,2020-03-05,active,contractor,2493.31,
C0017,D02,2020-03-08,Terminated,contractor,2197.99,
C0018,D02,2022-01-30,TERMINATED,contractor,1896.41,
C0019,D02,2022-12-15,Active,contractor,1929.81,
C0020,D02,2017-11-09,ACTIVE,contractor,2858.09,
E0101,D03,2023-06-16,active,full_time,27.95,
E0102,D03,2020-08-12,Active,full_time,25.55,
