employee_id,effective_date,rate_type,hourly_rate,approved_by,change_reason
C0004,2024-01-01,base_pay,1767.14,E0024,Q1 opening rate
C0004,2024-02-05,cola_adjustment,2143.6,E0460,Annual review increase
C0018,2024-01-01,base_pay,1593.77,E0323,Q1 opening rate
C0018,2024-02-05,merit_adjustment,1896.41,E0214,Annual review increase
C0049,2024-01-01,base_pay,1836.14,E0137,Q1 opening rate
C0049,2024-02-05,merit_adjustment,2211.6,E0157,Annual review increase
C0055,2024-01-01,base_pay,2554.39,E0165,Q1 opening rate
C0055,2024-02-05,merit_adjustment,2727.93,E0211,Annual review increase
C0064,2024-01-01,base_pay,2185.59,E0408,Q1 opening rate
C0064,2024-02-05,cola_adjustment,2453.05,E0282,Annual review increase
C0080,2024-01-01,base_pay,1916.35,E0302,Q1 opening rate
C0080,2024-02-05,merit_adjustment,2286.55,E0073,Annual review increase
E0005,2024-01-01,base_pay,15.0,E0420,Q1 opening rate
E0005,2024-02-05,cola_adjustment,18.58,E0057,Annual review increase
E0077,2024-01-01,base_pay,18.34,E0167,Q1 opening rate
E0077,2024-02-05,merit_adjustment,20.88,E0090,Annual review increase
E0087,2024-01-01,base_pay,23.65,E0374,Q1 opening rate
E0087,2024-02-05,merit_adjustment,25.81,E0170,Annual review increase
E0090,2024-01-01,base_pay,18.68,E0087,Q1 opening rate
E0090,2024-02-05,cola_adjustment,23.26,E0234,Annual review increase
E0127,2024-01-01,base_pay,18.72,E0016,Q1 opening rate
E0127,2024-02-05,merit_adjustment,21.29,E0477,Annual review increase
E0153,2024-01-01,base_pay,15.0,E0477,Q1 opening rate
E0153,2024-02-05,merit_adjustment,19.11,E0428,Annual review increase
E0189,2024-01-01,base_pay,22.89,E0161,Q1 opening rate
E0189,2024-02-05,merit_adjustment,26.09,E0453,Annual review increase
E0202,2024-01-01,base_pay,26.65,E0285,Q1 opening rate
E0202,2024-02-05,merit_adjustment,28.68,E0036,Annual review increase
E0222,2024-01-01,base_pay,19.33,E0384,Q1 opening rate
E0222,2024-02-05,merit_adjustment,23.12,E0205,Annual review increase
E0229,2024-01-01,base_pay,21.95,E0360,Q1 opening rate
E0229,2024-02-05,merit_adjustment,24.79,E0338,Annual review increase
E0233,2024-01-01,base_pay,25.52,E0114,Q1 opening rate
E0233,2024-02-05,merit_adjustment,28.61,E0286,Annual review increase
E0266,2024-01-01,base_pay,17.31,E0255,Q1 opening rate
E0266,2024-02-05,merit_adjustment,19.4,E0254,Annual review increase
E0283,2024-01-01,base_pay,16.82,E0288,Q1 opening rate
E0283,2024-02-05,merit_adjustment,20.22,E0015,Annual review increase
E0307,2024-01-01,base_pay,16.94,E0082,Q1 opening rate
E0307,2024-02-05,cola_adjustment,21.93,E0257,Annual review increase
E0323,2024-01-01,base_pay,19.09,E0106,Q1 opening rate
E0323,2024-02-05,cola_adjustment,21.28,E0261,Annual review increase
E0326,2024-01-01,base_pay,22.17,E0035,Q1 opening rate
E0326,2024-02-05,merit_adjustment,25.0,E0376,Annual review increase
E0327,2024-01-01,base_pay,24.64,E0452,Q1 opening rate
E0327,2024-02-05,merit_adjustment,26.75,E0379,Annual review increase
E0339,2024-01-01,base_pay,16.23,E0133,Q1 opening rate
E0339,2024-02-05,merit_adjustment,18.47,E0078,Annual review increase
E0381,2024-01-01,base_pay,21.59,E0467,Q1 opening rate
E0381,2024-02-05,cola_adjustment,23.86,E0324,Annual review increase
E0383,2024-01-01,base_pay,23.11,E0138,Q1 opening rate
E0383,2024-02-05,merit_adjustment,26.47,E0235,Annual review increase
E0385,2024-01-01,base_pay,18.14,E0283,Q1 opening rate
E0385,2024-02-05,merit_adjustment,21.83,E0071,Annual review increase
E0390,2024-01-01,base_pay,25.19,E0323,Q1 opening rate
E0390,2024-02-05,cola_adjustment,27.28,E0477,Annual review increase
E0422,2024-01-01,base_pay,15.0,E0266,Q1 opening rate
E0422,2024-02-05,cola_adjustment,17.92,E0028,Annual review increase
E0474,2024-01-01,base_pay,15.0,E0253,Q1 opening rate
E0474,2024-02-05,cola_adjustment,19.04,E0252,Annual review increase
