employee_id,week_start,to_dept_id,reassigned_hours,reassignment_reason
E0278,2024-02-05,D09,6.34,training
E0418,2024-02-12,D03,7.36,training
C0034,2024-01-15,D06,3.86,coverage
E0352,2024-03-18,D05,4.93,coverage
C0045,2024-01-15,D01,4.37,coverage
E0239,2024-03-04,D02,6.94,project_support
C0072,2024-01-22,D09,9.14,project_support
E0076,2024-02-19,D03,6.08,coverage
C0070,2024-02-12,D10,3.63,project_support
E0404,2024-03-18,D01,8.13,project_support
E0201,2024-03-18,D09,3.54,training
C0002,2024-03-18,D06,7.98,training
E0038,2024-03-18,D10,9.77,project_support
E0107,2024-01-08,D09,3.6,coverage
C0076,2024-01-29,D06,5.08,coverage
C0049,2024-03-11,D06,3.53,project_support
C0030,2024-01-29,D09,2.9,training
E0406,2024-02-05,D07,4.26,coverage
C0039,2024-03-04,D02,2.78,training
E0372,2024-02-19,D09,2.08,coverage
E0474,2024-01-15,D02,9.52,project_support
C0081,2024-01-01,D03,7.89,coverage
C0046,2024-03-18,D02,6.75,coverage
E0362,2024-03-04,D06,5.27,training
E0021,2024-02-05,D08,4.62,training
E0114,2024-01-22,D08,6.36,training
E0003,2024-03-04,D03,3.87,coverage
E0139,2024-02-12,D04,7.1,training
E0355,2024-01-15,D09,3.89,training
C0026,2024-01-08,D06,7.62,coverage
E0383,2024-03-11,D07,9.89,training
E0385,2024-02-26,D03,2.99,project_support
E0125,2024-01-08,D05,6.01,coverage
E0207,2024-02-05,D08,4.79,coverage
E0123,2024-02-12,D09,2.39,coverage
E0383,2024-02-26,D06,9.02,coverage
E0005,2024-03-04,D06,2.66,coverage
E0027,2024-01-29,D10,4.03,coverage
E0008,2024-01-08,D07,8.37,coverage
E0416,2024-03-25,D07,3.42,coverage
E0122,2024-01-01,D02,3.04,coverage
C0089,2024-03-25,D04,6.81,training
C0070,2024-01-01,D01,6.5,project_support
E0418,2024-02-12,D02,9.89,coverage
E0132,2024-03-25,D06,9.72,training
E0417,2024-02-05,D09,6.63,coverage
E0356,2024-01-01,D05,4.86,project_support
E0322,2024-03-04,D02,5.31,coverage
E0166,2024-02-26,D07,3.51,coverage
E0282,2024-02-05,D08,2.47,coverage
E0151,2024-03-04,D03,5.24,training
E0301,2024-01-08,D02,3.41,coverage
E0284,2024-01-22,D03,9.32,project_support
E0289,2024-02-12,D05,7.67,project_support
E0334,2024-02-12,D08,4.55,coverage
E0380,2024-03-04,D04,2.05,coverage
E0335,2024-01-22,D01,5.21,project_support
E0004,2024-03-11,D04,7.02,coverage
E0127,2024-01-08,D02,8.71,training
E0168,2024-01-29,D03,5.59,training
E0268,2024-01-22,D04,9.76,coverage
E0127,2024-03-04,D10,2.3,coverage
E0069,2024-01-15,D09,6.71,coverage
C0083,2024-01-22,D08,5.62,training
E0026,2024-03-04,D09,6.96,training
E0108,2024-01-22,D10,8.47,training
E0279,2024-03-18,D04,9.74,project_support
E0057,2024-02-05,D06,5.07,coverage
E0254,2024-03-04,D03,9.97,coverage
E0406,2024-03-18,D05,6.88,training
E0171,2024-03-25,D06,7.27,coverage
E0078,2024-01-15,D10,3.63,coverage
E0253,2024-01-15,D01,7.65,coverage
C0088,2024-01-15,D07,2.28,coverage
E0360,2024-03-25,D06,6.29,coverage
E0218,2024-02-12,D09,4.66,coverage
E0332,2024-01-08,D08,9.73,coverage
E0412,2024-02-19,D02,6.64,coverage
E0489,2024-02-19,D07,4.55,coverage
E0038,2024-02-05,D03,2.33,coverage
E0073,2024-03-25,D05,7.42,coverage
E0035,2024-01-08,D05,2.32,coverage
E0258,2024-03-04,D03,4.14,coverage
C0075,2024-03-18,D03,2.26,coverage
E0235,2024-02-19,D04,7.33,coverage
E0280,2024-03-18,D01,7.03,coverage
C0090,2024-01-22,D03,9.01,project_support
E0179,2024-01-01,D07,5.13,coverage
E0154,2024-03-18,D01,2.23,project_support
E0405,2024-02-12,D05,4.67,coverage
E0323,2024-02-26,D10,6.29,coverage
E0127,2024-03-04,D08,5.97,coverage
E0204,2024-02-26,D09,8.67,coverage
E0189,2024-01-22,D02,7.57,project_support
E0463,2024-03-04,D03,4.65,coverage
E0002,2024-03-11,D08,2.27,training
E0487,2024-01-08,D04,3.63,training
C0044,2024-01-22,D06,4.72,project_support
E0275,2024-03-11,D02,5.89,coverage
C0061,2024-02-05,D05,6.37,coverage
E0040,2024-01-15,D09,6.42,coverage
E0122,2024-03-04,D05,2.87,coverage
E0128,2024-01-08,D02,4.96,project_support
E0178,2024-02-12,D09,8.97,project_support
E0230,2024-02-26,D09,9.95,coverage
E0375,2024-02-12,D02,8.35,coverage
E0452,2024-02-05,D01,2.51,training
C0079,2024-02-19,D02,7.44,training
E0269,2024-03-11,D01,3.77,coverage
E0320,2024-02-12,D10,7.6,project_support
E0214,2024-02-12,D02,4.04,training
E0487,2024-02-12,D06,2.57,training
E0338,2024-01-29,D03,2.23,project_support
E0184,2024-01-01,D07,6.92,coverage
E0057,2024-01-29,D05,2.43,coverage
E0070,2024-03-18,D04,3.26,coverage
C0075,2024-02-26,D04,5.63,project_support
E0408,2024-03-18,D03,7.85,coverage
E0083,2024-01-29,D04,4.03,coverage
E0479,2024-01-08,D09,6.68,coverage
