shift_id,employee_id,shift_start,shift_end,break_minutes,zone_code,supervisor_id,job_code,work_order_id,schedule_type,assigned_at
S000001,E0001,2024-01-01 09:29:00,2024-01-01 17:29:54,45,ZONE-C,E0024,LOADER,WO0001,regular,2023-12-31 20:29:00
S000002,E0001,2024-01-02 06:46:00,2024-01-02 14:09:13,45,ZONE-D,E0036,Pick-er,WO0003,regular,2023-12-27 09:30:28
S000003,E0001,2024-01-03 23:48:00,2024-01-04 07:26:28,30,ZONE-A,E0013,SCANNER,WO0004,flex,2024-01-02 14:37:12
S000004,E0001,2024-01-04 09:43:00,2024-01-04 18:50:04,30,ZONE-C,E0019,LOADER,WO0001,regular,2023-12-27 15:15:39
S000005,E0001,2024-01-07 09:42:00,2024-01-07 19:02:06,45,ZONE-D,E0001,load_er,WO0001,regular,2024-01-06 20:42:00
S000006,E0001,2024-01-08 11:29:00,2024-01-08 19:45:59,30,ZONE-A,E0005,Super-visor,WO0003,flex,2024-01-07 22:29:00
S000007,E0001,2024-01-09 07:29:00,2024-01-09 16:29:04,30,ZONE-B,E0037,scanner,WO0002,regular,2024-01-08 18:29:00
S000008,E0001,2024-01-10 14:29:00,2024-01-10 23:43:56,45,ZONE-D,E0024,picker,WO0001,regular,2024-01-10 01:29:00
S000009,E0001,2024-01-11 13:43:00,2024-01-11 22:20:08,30,ZONE-C,E0001,LOADER,WO0001,regular,2024-01-07 19:50:13
S000010,E0001,2024-01-14 14:09:00,2024-01-14 21:35:44,30,ZONE-A,E0024,PICKER,WO0004,regular,2024-01-14 01:09:00
S000011,E0001,2024-01-15 11:18:00,2024-01-15 18:09:43,0,ZONE-D,E0034,Pick-er,WO0002,regular,2024-01-14 22:18:00
S000012,E0001,2024-01-16 22:23:00,2024-01-17 05:59:02,45,ZONE-B,E0259,Pick-er,WO0003,flex,2024-01-16 09:23:00
S000013,E0001,2024-01-17 10:17:00,2024-01-17 19:28:55,30,ZONE-B,E0013,picker,WO0002,regular,2024-01-16 21:17:00
S000014,E0001,2024-01-18 12:20:00,2024-01-18 18:53:35,30,ZONE-B,E0020,loader,WO0002,regular,2024-01-17 23:20:00
S000015,E0001,2024-01-19 08:23:00,2024-01-19 17:33:04,30,ZONE-B,E0022,loader,WO0003,regular,2024-01-17 02:38:31
S000016,E0001,2024-01-20 12:53:00,2024-01-20 21:00:58,45,ZONE-D,E0259,LOADER,WO0004,regular,2024-01-18 21:48:46
S000017,E0001,2024-01-21 15:25:00,2024-01-22 00:30:54,30,ZONE-B,E0019,pick_er,WO0004,regular,2024-01-21 02:25:00
S000018,E0001,2024-01-22 21:37:00,2024-01-23 05:45:27,45,ZONE-B,E0025,Pick-er,WO0001,regular,2024-01-22 08:37:00
S000019,E0001,2024-01-23 09:16:00,2024-01-23 16:00:49,45,ZONE-D,E0001,loader,WO0004,regular,2024-01-22 02:39:52
S000020,E0001,2024-01-24 15:55:00,2024-01-25 01:48:54,30,ZONE-B,E0033,Super-visor,WO0002,regular,2024-01-18 20:16:56
S000021,E0001,2024-01-27 14:08:00,2024-01-27 22:57:07,45,ZONE-C,E0015,LOADER,WO0004,regular,2024-01-27 01:08:00
S000022,E0001,2024-01-30 14:21:00,2024-01-30 20:53:01,0,ZONE-D,E0033,supervisor,WO0002,flex,2024-01-23 10:04:05
S000023,E0001,2024-01-31 09:26:00,2024-01-31 18:07:09,30,ZONE-B,E0035,pick_er,WO0002,regular,2024-01-28 14:21:05
S000024,E0001,2024-02-01 08:14:00,2024-02-01 17:00:13,30,ZONE-C,E0020,pick_er,WO0002,regular,2024-01-27 10:13:42
S000025,E0001,2024-02-02 14:00:00,2024-02-02 23:17:58,30,ZONE-B,E0010,Pick-er,WO0004,regular,2024-02-01 07:07:34
S000026,E0001,2024-02-03 15:57:00,2024-02-04 00:22:55,0,ZONE-B,E0017,loader,WO0001,regular,2024-02-02 18:38:58
S000027,E0001,2024-02-04 06:20:00,2024-02-04 15:53:07,30,ZONE-C,E0339,loader,WO0003,regular,2024-02-03 17:20:00
S000028,E0001,2024-02-05 06:23:00,2024-02-05 13:24:17,0,ZONE-B,E0035,PICKER,WO0004,regular,2024-01-26 06:23:00
S000029,E0001,2024-02-06 14:19:00,2024-02-06 22:06:44,30,ZONE-B,E0438,Load-er,WO0003,flex,2024-02-05 20:12:26
S000030,E0001,2024-02-07 15:49:00,2024-02-07 22:27:07,0,ZONE-A,E0034,Load-er,WO0004,regular,2024-02-07 02:49:00
S000031,E0001,2024-02-09 13:53:00,2024-02-09 23:36:53,30,ZONE-B,E0018,Pick-er,WO0001,regular,2024-02-09 00:53:00
S000032,E0001,2024-02-10 07:34:00,2024-02-10 15:53:44,30,ZONE-D,E0020,SUPERVISOR,WO0001,regular,2024-02-08 16:26:00
S000033,E0001,2024-02-11 11:32:00,2024-02-11 19:34:11,30,ZONE-A,E0004,SUPERVISOR,WO0002,regular,2024-02-10 09:22:05
S000034,E0001,2024-02-12 13:19:00,2024-02-12 22:34:19,30,ZONE-C,E0438,picker,WO0001,regular,2024-02-11 09:33:18
S000035,E0001,2024-02-13 06:18:00,2024-02-13 15:25:27,30,ZONE-C,E0038,Supervisor,WO0001,flex,2024-02-10 23:50:05
S000036,E0001,2024-02-14 13:13:00,2024-02-14 22:41:26,30,ZONE-A,E0021,pick_er,WO0002,flex,2024-02-12 23:50:29
S000037,E0001,2024-02-15 12:24:00,2024-02-15 18:58:12,45,ZONE-A,E0009,LOADER,WO0002,regular,2024-02-14 23:08:15
S000038,E0001,2024-02-16 13:28:00,2024-02-16 23:25:41,0,ZONE-D,E0014,Pick-er,WO0004,regular,2024-02-16 00:28:00
S000039,E0001,2024-02-18 10:28:00,2024-02-18 20:02:44,30,ZONE-B,E0001,Pick-er,WO0003,regular,2024-02-14 23:32:33
S000040,E0001,2024-02-19 09:17:00,2024-02-19 16:56:41,0,ZONE-D,E0032,picker,WO0004,flex,2024-02-18 20:17:00
S000041,E0001,2024-02-20 15:03:00,2024-02-20 22:40:09,30,ZONE-C,E0014,Pick-er,WO0002,regular,2024-02-19 23:13:33
S000042,E0001,2024-02-21 14:53:00,2024-02-21 21:42:41,0,ZONE-B,E0026,Scan-ner,WO0003,flex,2024-02-19 10:17:56
S000043,E0001,2024-02-22 14:08:00,2024-02-22 21:15:04,30,ZONE-A,E0035,load_er,WO0004,regular,2024-02-22 01:08:00
S000044,E0001,2024-02-23 11:25:00,2024-02-23 21:22:18,45,ZONE-B,E0034,PICKER,WO0004,regular,2024-02-18 22:36:05
S000045,E0001,2024-02-24 14:49:00,2024-02-25 00:14:03,45,ZONE-B,E0005,pick_er,WO0001,regular,2024-02-23 09:57:04
S000046,E0001,2024-02-25 14:05:00,2024-02-25 22:56:24,30,ZONE-D,E0016,PICKER,WO0003,flex,2024-02-25 01:05:00
S000047,E0001,2024-02-27 15:58:00,2024-02-28 01:57:24,0,ZONE-B,E0039,Scan-ner,WO0001,flex,2024-02-20 17:35:57
S000048,E0001,2024-02-28 14:15:00,2024-02-28 22:30:20,45,ZONE-C,E0026,Scan-ner,WO0001,regular,2024-02-25 00:09:16
S000049,E0001,2024-03-01 08:33:00,2024-03-01 18:19:49,0,ZONE-B,E0020,scanner,WO0002,regular,2024-02-29 04:25:17
S000050,E0001,2024-03-03 11:37:00,2024-03-03 19:19:48,45,ZONE-C,E0001,SCANNER,WO0001,regular,2024-03-02 04:29:43
S000051,E0001,2024-03-05 07:11:00,2024-03-05 17:07:48,30,ZONE-B,E0028,pick_er,WO0001,regular,2024-03-04 06:48:00
S000052,E0001,2024-03-06 09:31:00,2024-03-06 18:55:31,30,ZONE-C,E0018,Scan-ner,WO0003,regular,2024-03-03 11:30:54
