department_id,week_start,budgeted_hours,headcount_target,avg_hourly_rate,overtime_budget_pct
D01,2024-01-01,2666.0,72,23.8,9.8
D01,2024-01-08,2347.8,50,24.85,12.8
D01,2024-01-15,2238.9,67,21.57,15.0
D01,2024-01-22,2159.6,54,23.78,13.1
D01,2024-01-29,2652.0,60,23.36,6.1
D01,2024-02-05,2391.6,67,23.02,5.1
D01,2024-02-12,2056.1,73,24.3,7.8
D01,2024-02-19,2336.5,62,21.8,13.3
D01,2024-02-26,2020.0,65,22.2,12.2
D01,2024-03-04,2117.8,70,24.47,11.6
D01,2024-03-11,2756.1,67,22.44,13.6
D01,2024-03-18,2248.4,68,24.73,6.7
D01,2024-03-25,2201.9,64,22.3,12.0
D02,2024-01-01,2148.0,48,22.48,12.7
D02,2024-01-08,2084.7,47,22.81,6.4
D02,2024-01-15,2604.8,50,23.87,10.6
D02,2024-01-22,2008.0,73,24.68,11.8
D02,2024-01-29,2537.8,67,21.58,10.1
D02,2024-02-05,2037.5,65,21.14,9.6
D02,2024-02-12,2035.7,74,22.48,12.4
D02,2024-02-19,2679.1,67,21.83,7.7
D02,2024-02-26,2512.4,72,22.2,12.9
D02,2024-03-04,2495.9,65,22.89,7.7
D02,2024-03-11,2379.1,49,23.94,9.7
D02,2024-03-18,2397.8,50,22.13,10.3
D02,2024-03-25,2025.9,54,24.93,10.1
D03,2024-01-01,2449.0,70,24.34,7.0
D03,2024-01-08,2023.1,45,22.24,9.3
D03,2024-01-15,2007.4,63,24.11,14.8
D03,2024-01-22,2362.1,72,23.72,9.8
D03,2024-01-29,2462.9,71,24.57,6.8
D03,2024-02-05,2358.6,71,22.54,6.6
D03,2024-02-12,2265.8,54,24.68,13.2
D03,2024-02-19,2564.6,65,24.78,5.3
D03,2024-02-26,2037.2,62,23.5,5.9
D03,2024-03-04,2175.0,65,24.87,12.1
D03,2024-03-11,2592.1,47,23.15,5.6
D03,2024-03-18,2537.3,69,21.01,9.6
D03,2024-03-25,2496.1,65,23.47,6.9
D04,2024-01-01,2504.5,63,22.05,14.8
D04,2024-01-08,2293.8,55,21.43,8.3
D04,2024-01-15,2401.7,54,23.46,9.5
D04,2024-01-22,2370.3,60,24.32,6.5
D04,2024-01-29,2524.5,72,23.79,8.5
D04,2024-02-05,2533.8,65,21.25,8.8
D04,2024-02-12,2142.5,54,24.73,11.8
D04,2024-02-19,2341.8,57,22.68,7.0
D04,2024-02-26,2320.8,48,21.93,7.4
D04,2024-03-04,2644.6,58,23.8,9.7
D04,2024-03-11,2491.9,54,21.13,12.3
D04,2024-03-18,2513.8,73,24.22,7.0
D04,2024-03-25,2169.5,66,22.9,7.9
D05,2024-01-01,2664.9,48,21.07,14.3
D05,2024-01-08,2462.3,59,21.71,14.4
D05,2024-01-15,2779.6,71,22.89,11.1
D05,2024-01-22,2253.6,50,24.18,5.6
D05,2024-01-29,2662.2,65,24.71,14.6
D05,2024-02-05,2425.7,51,21.81,9.1
D05,2024-02-12,2757.1,54,23.63,9.7
D05,2024-02-19,2039.2,74,21.24,13.5
D05,2024-02-26,2743.3,50,22.25,13.8
D05,2024-03-04,2295.9,66,22.59,10.9
D05,2024-03-11,2146.1,60,24.85,8.7
D05,2024-03-18,2533.1,71,24.69,14.7
D05,2024-03-25,2074.3,57,21.19,14.6
D06,2024-01-01,2678.2,56,21.67,14.0
D06,2024-01-08,2315.5,58,24.46,9.7
D06,2024-01-15,2097.0,67,24.1,12.3
D06,2024-01-22,2053.9,60,21.87,13.8
D06,2024-01-29,2459.1,45,23.56,5.7
D06,2024-02-05,2318.7,54,24.79,11.0
D06,2024-02-12,2696.2,70,22.04,11.9
D06,2024-02-19,2752.4,57,22.79,9.9
D06,2024-02-26,2124.3,53,21.05,7.6
D06,2024-03-04,2671.5,64,24.11,6.0
D06,2024-03-11,2514.7,49,21.92,7.0
D06,2024-03-18,2195.9,57,21.57,9.6
D06,2024-03-25,2578.9,69,22.06,9.2
D07,2024-01-01,2414.5,55,21.81,9.8
D07,2024-01-08,2570.4,61,21.63,12.3
D07,2024-01-15,2409.4,74,23.67,6.1
D07,2024-01-22,2780.9,69,21.8,8.7
D07,2024-01-29,2762.1,54,24.91,5.0
D07,2024-02-05,2760.5,68,24.11,9.1
D07,2024-02-12,2246.4,56,22.93,10.9
D07,2024-02-19,2032.7,61,22.65,8.5
D07,2024-02-26,2109.3,50,21.25,6.6
D07,2024-03-04,2548.1,72,23.17,7.2
D07,2024-03-11,2289.0,73,24.33,9.0
D07,2024-03-18,2028.8,70,21.92,12.9
D07,2024-03-25,2474.6,51,21.57,8.7
D08,2024-01-01,2660.2,69,23.84,7.4
D08,2024-01-08,2617.7,58,23.91,10.7
D08,2024-01-15,2627.2,55,23.79,12.3
D08,2024-01-22,2239.5,71,24.77,11.4
D08,2024-01-29,2264.7,64,21.98,9.6
D08,2024-02-05,2223.9,73,21.25,12.2
D08,2024-02-12,2012.4,54,21.18,14.4
D08,2024-02-19,2291.3,60,23.22,10.4
D08,2024-02-26,2511.2,69,23.91,12.4
D08,2024-03-04,2130.8,61,22.31,9.7
D08,2024-03-11,2003.9,59,23.39,14.5
D08,2024-03-18,2554.4,59,22.12,10.0
D08,2024-03-25,2671.5,54,21.25,14.4
D09,2024-01-01,2121.6,65,23.53,13.8
D09,2024-01-08,2636.2,65,24.34,14.1
D09,2024-01-15,2090.1,45,21.65,5.9
D09,2024-01-22,2669.7,47,24.07,13.1
D09,2024-01-29,2085.4,47,23.2,8.7
D09,2024-02-05,2239.5,64,22.41,14.0
D09,2024-02-12,2662.1,67,23.05,12.8
D09,2024-02-19,2736.3,63,24.3,7.8
D09,2024-02-26,2206.6,55,24.8,7.4
