work_order_id,client_id,primary_dept_id,project_type,priority_level,estimated_hours
WO0001,CLT-048,D01,standard,medium,995
WO0002,CLT-029,D01,standard,medium,1208
WO0003,CLT-030,D01,standard,medium,995
WO0004,CLT-022,D01,maintenance,high,453
WO0005,CLT-023,D02,standard,medium,244
WO0006,CLT-012,D02,standard,low,1256
WO0007,CLT-025,D02,standard,medium,269
WO0008,CLT-038,D02,maintenance,low,788
WO0009,CLT-027,D03,standard,high,1935
WO0010,CLT-009,D03,standard,medium,1660
WO0011,CLT-042,D03,standard,low,1895
WO0012,CLT-022,D03,maintenance,low,295
WO0013,CLT-036,D04,standard,low,1974
WO0014,CLT-046,D04,standard,medium,1559
WO0015,CLT-050,D04,standard,high,844
WO0016,CLT-024,D04,maintenance,high,1754
WO0017,CLT-008,D05,standard,low,1021
WO0018,CLT-031,D05,standard,low,912
WO0019,CLT-019,D05,standard,high,1916
WO0020,CLT-003,D05,maintenance,low,1959
WO0021,CLT-020,D06,standard,medium,1824
WO0022,CLT-028,D06,standard,medium,1811
WO0023,CLT-016,D06,standard,low,1038
WO0024,CLT-018,D06,maintenance,high,360
WO0025,CLT-034,D07,standard,medium,715
WO0026,CLT-044,D07,standard,low,477
WO0027,CLT-040,D07,standard,high,1129
WO0028,CLT-037,D07,maintenance,low,1423
WO0029,CLT-047,D08,standard,medium,1975
WO0030,CLT-001,D08,standard,medium,1434
WO0031,CLT-037,D08,standard,medium,391
WO0032,CLT-015,D08,maintenance,high,1486
WO0033,CLT-017,D09,standard,medium,1927
WO0034,CLT-045,D09,standard,high,848
WO0035,CLT-033,D09,standard,low,1430
WO0036,CLT-004,D09,maintenance,medium,468
WO0037,CLT-024,D10,standard,medium,758
WO0038,CLT-003,D10,standard,low,954
WO0039,CLT-043,D10,standard,low,714
WO0040,CLT-012,D10,maintenance,medium,366
