department_id,category_id,budget_month,budgeted_amount
D01,C01,2024-01,395504.7
D01,C01,2024-02,395504.7
D01,C01,2024-03,395504.7
D01,C02,2024-01,25819.1
D01,C02,2024-02,25819.1
D01,C02,2024-03,25819.1
D01,C03,2024-01,292661.49
D01,C03,2024-02,292661.49
D01,C03,2024-03,292661.49
D01,C04,2024-01,7197.47
D01,C04,2024-02,7197.47
D01,C04,2024-03,7197.47
D01,C05,2024-01,32789.91
D01,C05,2024-02,32789.91
D01,C05,2024-03,32789.91
D01,C06,2024-01,15460.16
D01,C06,2024-02,15460.16
D01,C06,2024-03,15460.16
D02,C01,2024-01,328203.09
D02,C01,2024-02,328203.09
D02,C01,2024-03,328203.09
D02,C02,2024-01,24265.63
D02,C02,2024-02,24265.63
D02,C02,2024-03,24265.63
D02,C03,2024-01,187082.12
D02,C03,2024-02,187082.12
D02,C03,2024-03,187082.12
D02,C04,2024-01,5499.98
D02,C04,2024-02,5499.98
D02,C04,2024-03,5499.98
D02,C05,2024-01,30511.59
D02,C05,2024-02,30511.59
D02,C05,2024-03,30511.59
D02,C06,2024-01,12689.99
D02,C06,2024-02,12689.99
D02,C06,2024-03,12689.99
D03,C01,2024-01,252429.95
D03,C01,2024-02,252429.95
D03,C01,2024-03,252429.95
D03,C02,2024-01,19645.02
D03,C02,2024-02,19645.02
D03,C02,2024-03,19645.02
D03,C03,2024-01,169279.91
D03,C03,2024-02,169279.91
D03,C03,2024-03,169279.91
D03,C04,2024-01,4040.09
D03,C04,2024-02,4040.09
D03,C04,2024-03,4040.09
D03,C05,2024-01,26103.05
D03,C05,2024-02,26103.05
D03,C05,2024-03,26103.05
D03,C06,2024-01,7418.17
D03,C06,2024-02,7418.17
D03,C06,2024-03,7418.17
D04,C01,2024-01,234768.92
D04,C01,2024-02,234768.92
D04,C01,2024-03,234768.92
D04,C02,2024-01,16129.95
D04,C02,2024-02,16129.95
D04,C02,2024-03,16129.95
D04,C03,2024-01,165248.23
D04,C03,2024-02,165248.23
D04,C03,2024-03,165248.23
D04,C04,2024-01,3714.71
D04,C04,2024-02,3714.71
D04,C04,2024-03,3714.71
D04,C05,2024-01,26195.71
D04,C05,2024-02,26195.71
D04,C05,2024-03,26195.71
D04,C06,2024-01,8789.73
D04,C06,2024-02,8789.73
D04,C06,2024-03,8789.73
D05,C01,2024-01,165032.71
D05,C01,2024-02,165032.71
D05,C01,2024-03,165032.71
D05,C02,2024-01,9790.77
D05,C02,2024-02,9790.77
D05,C02,2024-03,9790.77
D05,C03,2024-01,106706.11
D05,C03,2024-02,106706.11
D05,C03,2024-03,106706.11
D05,C04,2024-01,2340.15
D05,C04,2024-02,2340.15
D05,C04,2024-03,2340.15
D05,C05,2024-01,14008.71
D05,C05,2024-02,14008.71
D05,C05,2024-03,14008.71
D05,C06,2024-01,5862.44
D05,C06,2024-02,5862.44
D05,C06,2024-03,5862.44
D06,C01,2024-01,146895.44
D06,C01,2024-02,146895.44
D06,C01,2024-03,146895.44
D06,C02,2024-01,11566.2
D06,C02,2024-02,11566.2
D06,C02,2024-03,11566.2
D06,C03,2024-01,91105.28
D06,C03,2024-02,91105.28
D06,C03,2024-03,91105.28
D06,C04,2024-01,2402.48
D06,C04,2024-02,2402.48
D06,C04,2024-03,2402.48
D06,C05,2024-01,14242.18
D06,C05,2024-02,14242.18
D06,C05,2024-03,14242.18
D06,C06,2024-01,4396.64
D06,C06,2024-02,4396.64
D06,C06,2024-03,4396.64
D07,C01,2024-01,104012.61
D07,C01,2024-02,104012.61
D07,C01,2024-03,104012.61
D07,C02,2024-01,8723.03
D07,C02,2024-02,8723.03
D07,C02,2024-03,8723.03
D07,C03,2024-01,77905.79
D07,C03,2024-02,77905.79
D07,C03,2024-03,77905.79
D07,C04,2024-01,2376.94
D07,C04,2024-02,2376.94
D07,C04,2024-03,2376.94
D07,C05,2024-01,12510.4
D07,C05,2024-02,12510.4
D07,C05,2024-03,12510.4
D07,C06,2024-01,4926.96
D07,C06,2024-02,4926.96
D07,C06,2024-03,4926.96
D08,C01,2024-01,289465.77
D08,C01,2024-02,289465.77
D08,C01,2024-03,289465.77
D08,C02,2024-01,18462.55
D08,C02,2024-02,18462.55
D08,C02,2024-03,18462.55
D08,C03,2024-01,217652.87
D08,C03,2024-02,217652.87
D08,C03,2024-03,217652.87
D08,C04,2024-01,5592.96
D08,C04,2024-02,5592.96
D08,C04,2024-03,5592.96
D08,C05,2024-01,27633.38
D08,C05,2024-02,27633.38
D08,C05,2024-03,27633.38
D08,C06,2024-01,9145.6
D08,C06,2024-02,9145.6
D08,C06,2024-03,9145.6
D09,C01,2024-01,239782.14
D09,C01,2024-02,239782.14
D09,C01,2024-03,239782.14
D09,C02,2024-01,14360.13
D09,C02,2024-02,14360.13
D09,C02,2024-03,14360.13
D09,C03,2024-01,144498.65
D09,C03,2024-02,144498.65
D09,C03,2024-03,144498.65
D09,C04,2024-01,3455.13
D09,C04,2024-02,3455.13
D09,C04,2024-03,3455.13
D09,C05,2024-01,26479.03
D09,C05,2024-02,26479.03
D09,C05,2024-03,26479.03
D09,C06,2024-01,8739.61
D09,C06,2024-02,8739.61
D09,C06,2024-03,8739.61
