employee_id,department_id,hourly_rate
E0001,D01,25.63
E0002,D01,22.11
E0003,D01,26.52
E0004,D01,24.82
E0005,D01,18.49
E0006,D01,27.74
E0007,D01,25.49
E0008,D01,25.75
E0009,D01,18.85
E0010,D01,22.23
E0011,D01,21.39
E0012,D01,27.23
E0013,D01,24.26
E0014,D01,26.14
E0015,D01,22.16
E0016,D01,19.89
E0017,D01,23.32
E0018,D01,18.17
E0019,D01,26.19
E0020,D01,24.13
E0021,D01,25.46
E0022,D01,21.22
E0023,D01,27.69
E0024,D01,26.88
E0025,D01,25.67
E0026,D01,19.54
E0027,D01,22.4
E0028,D01,17.96
E0029,D01,19.12
E0030,D01,24.67
E0031,D01,25.32
E0032,D01,27.66
E0033,D01,20.92
E0034,D01,21.39
E0035,D01,22.43
E0036,D01,19.49
E0037,D01,18.86
E0038,D01,22.49
E0039,D01,19.88
E0040,D01,24.53
E0041,D02,22.09
E0042,D02,26.24
E0043,D02,24.85
E0044,D02,20.78
E0045,D02,26.24
E0046,D02,25.95
E0047,D02,21.57
E0048,D02,20.53
E0049,D02,24.67
E0050,D02,18.97
E0051,D02,19.6
E0052,D02,17.58
E0053,D02,25.76
E0054,D02,24.48
E0055,D02,24.9
E0056,D02,25.7
E0057,D02,22.32
E0058,D02,23.47
E0059,D02,18.97
E0060,D02,18.7
E0061,D02,24.52
E0062,D02,22.45
E0063,D02,23.43
E0064,D02,25.53
E0065,D02,24.16
E0066,D02,23.31
E0067,D02,23.37
E0068,D02,20.69
E0069,D02,17.82
E0070,D02,22.09
E0071,D02,19.75
E0072,D02,21.79
E0073,D02,26.46
E0074,D02,19.96
E0075,D02,18.11
E0076,D02,20.45
E0077,D02,20.58
E0078,D02,24.45
E0079,D02,23.35
E0080,D02,25.73
E0081,D03,24.48
E0082,D03,21.77
E0083,D03,26.05
E0084,D03,19.25
E0085,D03,17.74
E0086,D03,18.45
E0087,D03,25.08
E0088,D03,22.35
E0089,D03,19.19
E0090,D03,22.76
E0091,D03,19.1
E0092,D03,24.81
E0093,D03,22.18
E0094,D03,21.5
E0095,D03,20.67
E0096,D03,24.12
E0097,D03,21.3
E0098,D03,18.42
E0099,D03,18.74
E0100,D03,27.6
E0101,D03,27.04
E0102,D03,24.85
E0103,D03,20.29
E0104,D03,27.68
E0105,D03,25.68
E0106,D03,25.03
E0107,D03,22.22
E0108,D03,20.36
E0109,D03,18.51
E0110,D03,26.98
E0111,D03,22.29
E0112,D03,19.62
E0113,D03,20.71
E0114,D03,23.58
E0115,D03,19.36
E0116,D03,26.49
E0117,D03,25.46
E0118,D03,25.05
E0119,D03,22.04
E0120,D03,24.09
E0121,D04,23.63
E0122,D04,24.32
E0123,D04,18.39
