expense_id,department_id,category_id,expense_date,payment_date,amount_usd,is_approved,vendor_id
EXP00001,D01,C01,2024-01-09,2024-01-14,5123.15,True,V045
EXP00002,D01,C01,2024-01-09,2024-01-09,6560.02,True,V006
EXP00003,D01,C01,2024-01-04,2024-01-07,4340.11,True,V044
EXP00004,D01,C01,2024-01-10,2024-01-16,4258.99,True,V035
EXP00005,D01,C01,2024-01-15,2024-01-21,6103.24,True,V030
EXP00006,D01,C01,2024-01-23,2024-01-28,5687.28,True,V026
EXP00007,D01,C01,2024-01-05,2024-01-09,5758.73,True,V038
EXP00008,D01,C01,2024-02-03,2024-02-09,3830.5,True,V025
EXP00009,D01,C01,2024-02-06,2024-02-09,4744.31,True,V040
EXP00010,D01,C01,2024-02-05,2024-02-10,5561.54,True,V007
EXP00011,D01,C01,2024-02-24,2024-02-25,6631.4,True,V060
EXP00012,D01,C01,2024-02-17,2024-02-20,5571.9,True,V021
EXP00013,D01,C01,2024-02-09,2024-02-09,6737.41,True,V026
EXP00014,D01,C01,2024-02-14,2024-02-17,3960.85,True,V047
EXP00015,D01,C01,2024-03-09,2024-03-12,5254.22,True,V027
EXP00016,D01,C01,2024-03-30,2024-04-09,4544.95,True,V029
EXP00017,D01,C01,2024-03-30,2024-04-06,5090.02,False,V018
EXP00018,D01,C01,2024-03-01,2024-03-03,6539.6,True,V050
EXP00019,D01,C01,2024-03-17,2024-03-18,5454.99,True,V019
EXP00020,D01,C01,2024-03-04,2024-03-09,4590.15,True,V041
EXP00021,D01,C01,2024-03-08,2024-03-13,6003.3,False,V057
EXP00022,D01,C02,2024-01-24,2024-01-26,1810.29,True,V007
EXP00023,D01,C02,2024-01-31,2024-02-03,1496.37,True,V033
EXP00024,D01,C02,2024-01-12,2024-01-14,1716.63,True,V050
EXP00025,D01,C02,2024-01-30,2024-01-30,1266.95,True,V038
EXP00026,D01,C02,2024-01-16,2024-01-23,1827.71,True,V016
EXP00027,D01,C02,2024-01-06,2024-01-07,1053.12,True,V018
EXP00028,D01,C02,2024-01-14,2024-01-21,1789.14,True,V060
EXP00029,D01,C02,2024-01-03,2024-01-08,1788.37,True,V014
EXP00030,D01,C02,2024-01-28,2024-01-31,1685.13,True,V019
EXP00031,D01,C02,2024-01-11,2024-01-16,1338.87,True,V054
EXP00032,D01,C02,2024-01-03,2024-01-08,1242.22,False,V045
EXP00033,D01,C02,2024-01-01,2024-01-08,1223.54,True,V002
EXP00034,D01,C02,2024-01-04,2024-01-04,1147.32,True,V050
EXP00035,D01,C02,2024-01-24,2024-01-25,1535.08,False,V044
EXP00036,D01,C02,2024-01-28,2024-01-30,1689.81,True,V019
EXP00037,D01,C02,2024-01-10,2024-01-17,1449.33,True,V027
EXP00038,D01,C02,2024-01-05,2024-01-12,1213.7,True,V001
EXP00039,D01,C02,2024-01-09,2024-01-10,1603.11,True,V059
EXP00040,D01,C02,2024-01-04,2024-01-06,1617.55,True,V031
EXP00041,D01,C02,2024-01-24,2024-01-28,1187.73,True,V052
EXP00042,D01,C02,2024-02-24,2024-02-24,1656.42,True,V043
EXP00043,D01,C02,2024-02-24,2024-02-25,1121.65,True,V035
EXP00044,D01,C02,2024-02-27,2024-02-27,1438.77,True,V019
EXP00045,D01,C02,2024-02-15,2024-02-20,1844.72,True,V032
EXP00046,D01,C02,2024-02-09,2024-02-16,1035.69,False,V056
EXP00047,D01,C02,2024-02-18,2024-02-22,1565.14,True,V051
EXP00048,D01,C02,2024-02-04,2024-02-09,1378.38,True,V009
EXP00049,D01,C02,2024-02-01,2024-02-08,1532.17,True,V011
EXP00050,D01,C02,2024-02-28,2024-02-28,1696.21,True,V029
