employee_id,week_start,to_dept_id,reassigned_hours
C0015,2024-02-05,D09,8.4
E0033,2024-03-18,D04,4.54
E0397,2024-01-08,D01,12.1
E0344,2024-03-11,D03,6.1
E0202,2024-03-18,D04,10.64
C0005,2024-02-05,D02,9.85
E0082,2024-03-11,D08,15.55
E0063,2024-01-29,D01,13.04
E0317,2024-03-04,D01,9.99
E0166,2024-03-25,D07,11.53
E0314,2024-01-29,D07,6.84
E0111,2024-02-19,D05,12.44
E0135,2024-03-25,D09,9.53
E0330,2024-01-22,D10,15.47
C0003,2024-02-19,D07,7.39
E0335,2024-01-15,D04,14.98
E0152,2024-01-22,D10,9.48
C0043,2024-02-19,D07,4.45
E0068,2024-01-15,D05,8.29
C0062,2024-01-08,D05,13.44
E0376,2024-03-11,D01,15.19
E0198,2024-03-11,D04,14.69
E0231,2024-03-18,D08,10.49
E0099,2024-03-11,D08,11.85
C0050,2024-02-19,D01,14.75
E0263,2024-01-29,D06,6.79
E0006,2024-01-08,D04,12.1
E0190,2024-03-11,D02,15.93
E0176,2024-02-12,D01,14.14
E0270,2024-03-18,D02,14.78
E0203,2024-03-04,D09,11.83
C0035,2024-01-15,D07,12.41
E0171,2024-01-15,D03,4.77
E0049,2024-01-15,D08,15.55
E0330,2024-01-08,D06,7.71
E0086,2024-03-11,D06,9.18
E0097,2024-03-11,D04,9.08
C0071,2024-01-15,D04,13.85
E0358,2024-03-25,D10,5.57
C0079,2024-01-22,D05,9.5
C0096,2024-03-25,D05,4.5
C0025,2024-01-01,D02,8.32
E0245,2024-02-26,D05,6.51
C0092,2024-01-01,D09,10.18
E0235,2024-02-26,D07,6.39
E0283,2024-01-01,D02,5.4
E0098,2024-02-05,D05,11.72
C0041,2024-03-18,D09,8.87
E0024,2024-01-08,D09,6.32
E0019,2024-02-19,D02,5.77
E0255,2024-01-08,D03,10.16
E0100,2024-01-01,D10,4.42
E0042,2024-01-29,D07,11.66
E0391,2024-03-11,D08,14.88
E0286,2024-03-18,D05,6.96
E0169,2024-01-15,D02,14.78
C0032,2024-02-12,D01,11.36
E0233,2024-01-08,D04,4.99
E0292,2024-01-01,D07,14.79
C0013,2024-02-05,D10,11.31
C0072,2024-03-11,D06,9.43
E0032,2024-03-11,D07,8.48
C0042,2024-01-08,D08,6.91
E0307,2024-01-08,D03,7.84
E0168,2024-03-11,D07,13.93
E0282,2024-01-01,D04,4.62
C0075,2024-01-29,D06,7.16
E0087,2024-02-05,D06,10.85
E0242,2024-01-22,D05,9.6
C0032,2024-01-08,D07,5.51
E0222,2024-03-25,D05,6.0
E0018,2024-02-12,D05,13.2
C0061,2024-02-05,D04,12.96
E0001,2024-03-25,D08,7.04
E0304,2024-03-11,D05,6.89
E0301,2024-01-15,D09,13.69
E0015,2024-01-01,D04,7.19
E0073,2024-03-18,D04,10.85
C0004,2024-02-12,D08,13.61
E0370,2024-03-18,D04,8.06
E0202,2024-01-01,D05,14.83
E0309,2024-02-05,D09,11.24
E0233,2024-02-12,D09,13.82
C0053,2024-01-08,D07,10.93
E0002,2024-02-19,D10,11.56
E0013,2024-01-01,D07,6.88
C0031,2024-02-12,D08,6.19
C0040,2024-03-18,D02,11.09
E0001,2024-03-04,D02,15.98
E0114,2024-03-25,D04,5.75
E0387,2024-03-04,D01,12.7
C0011,2024-03-11,D09,14.37
E0035,2024-03-04,D05,13.78
E0331,2024-02-19,D03,10.3
E0396,2024-01-22,D04,10.3
E0296,2024-01-29,D03,10.74
E0368,2024-01-15,D04,12.35
E0171,2024-01-22,D02,6.26
E0229,2024-03-04,D07,9.59
C0084,2024-03-25,D05,4.65
E0272,2024-01-22,D08,11.63
E0269,2024-01-22,D04,5.09
E0236,2024-03-25,D02,15.52
E0138,2024-02-12,D02,11.44
C0085,2024-01-15,D03,9.53
E0224,2024-03-11,D09,5.65
C0040,2024-03-11,D02,4.86
E0054,2024-01-22,D07,5.65
C0098,2024-01-01,D09,10.74
E0021,2024-01-01,D04,4.42
E0163,2024-01-08,D10,11.06
C0077,2024-03-25,D04,9.99
E0294,2024-01-15,D05,15.24
C0071,2024-01-22,D05,15.8
E0297,2024-01-15,D05,11.22
C0061,2024-03-04,D09,7.98
C0074,2024-03-18,D02,12.71
E0205,2024-02-05,D07,8.65
E0373,2024-03-11,D05,9.98
E0337,2024-03-25,D05,13.27
E0029,2024-02-12,D03,14.06
E0037,2024-02-26,D03,8.8
E0186,2024-01-01,D02,4.28
E0274,2024-02-26,D06,9.26
C0031,2024-01-08,D07,12.72
E0326,2024-03-18,D05,9.45
E0072,2024-03-04,D04,11.94
E0045,2024-02-26,D07,10.98
E0140,2024-01-22,D05,13.22
E0002,2024-03-04,D08,9.72
E0399,2024-02-05,D07,8.53
E0192,2024-01-01,D09,14.81
E0069,2024-03-25,D01,5.84
E0283,2024-03-25,D03,9.35
E0218,2024-02-26,D07,13.55
E0100,2024-02-26,D01,12.11
E0186,2024-03-18,D03,8.38
E0372,2024-01-08,D09,7.21
E0198,2024-03-04,D06,7.73
E0091,2024-02-12,D02,4.36
C0007,2024-03-25,D09,10.54
E0309,2024-02-26,D10,7.58
E0219,2024-02-26,D07,11.79
E0079,2024-01-08,D06,12.79
E0364,2024-03-04,D02,13.29
C0027,2024-03-25,D05,15.34
C0056,2024-01-29,D10,11.97
E0204,2024-02-26,D10,6.31
E0183,2024-01-22,D10,12.81
E0190,2024-01-08,D03,4.89
E0034,2024-02-26,D02,10.99
E0385,2024-01-22,D08,13.6
E0259,2024-03-18,D01,4.05
E0140,2024-01-01,D07,10.42
C0001,2024-02-26,D04,5.38
E0055,2024-03-25,D03,10.84
E0296,2024-01-22,D04,8.05
E0247,2024-03-18,D06,8.04
E0277,2024-02-05,D02,15.42
E0109,2024-03-11,D01,14.12
E0283,2024-01-15,D05,14.14
C0056,2024-02-19,D03,12.22
E0041,2024-03-18,D09,6.63
E0210,2024-03-25,D02,8.6
C0069,2024-02-26,D08,9.79
C0075,2024-03-18,D06,13.56
C0082,2024-01-01,D04,5.66
E0362,2024-03-11,D01,11.73
E0216,2024-03-18,D09,6.49
E0103,2024-02-26,D08,14.63
C0091,2024-03-18,D03,6.07
C0074,2024-01-08,D07,12.52
E0323,2024-01-29,D10,5.97
E0171,2024-03-18,D03,15.22
E0206,2024-02-05,D10,7.35
E0110,2024-03-04,D01,8.07
E0033,2024-03-25,D08,15.06
E0161,2024-03-04,D07,8.8
C0097,2024-03-25,D04,8.6
C0093,2024-01-01,D07,14.12
E0297,2024-01-29,D02,12.17
C0035,2024-03-04,D09,7.81
