shift_id,employee_id,shift_start,shift_end
S000001,E0001,2024-01-01 06:15:00,2024-01-01 20:18:00
S000002,E0001,2024-01-02 06:00:00,2024-01-02 20:05:24
S000003,E0001,2024-01-03 07:00:00,2024-01-03 20:48:00
S000004,E0001,2024-01-05 07:00:00,2024-01-05 19:52:48
S000005,E0001,2024-01-06 06:30:00,2024-01-06 20:26:59
S000006,E0001,2024-01-07 08:30:00,2024-01-07 21:29:24
S000007,E0001,2024-01-08 06:30:00,2024-01-08 19:57:36
S000008,E0001,2024-01-09 08:15:00,2024-01-09 22:09:00
S000009,E0001,2024-01-11 08:00:00,2024-01-11 22:06:00
S000010,E0001,2024-01-12 07:00:00,2024-01-12 22:28:12
S000011,E0001,2024-01-14 06:30:00,2024-01-14 21:13:12
S000012,E0001,2024-01-15 08:00:00,2024-01-15 22:52:48
S000013,E0001,2024-01-16 07:15:00,2024-01-16 22:00:00
S000014,E0001,2024-01-18 07:15:00,2024-01-18 20:23:24
S000015,E0001,2024-01-19 06:30:00,2024-01-19 20:18:36
S000016,E0001,2024-01-21 06:15:00,2024-01-21 18:45:36
S000017,E0001,2024-01-22 08:15:00,2024-01-22 21:55:48
S000018,E0001,2024-01-23 06:30:00,2024-01-23 19:57:36
S000019,E0001,2024-01-24 07:15:00,2024-01-24 21:07:48
S000020,E0001,2024-01-25 06:15:00,2024-01-25 20:33:00
S000021,E0001,2024-01-26 06:00:00,2024-01-26 21:21:00
S000022,E0001,2024-01-27 07:00:00,2024-01-27 20:01:47
S000023,E0001,2024-01-31 06:30:00,2024-01-31 21:15:00
S000024,E0001,2024-02-02 06:30:00,2024-02-02 20:35:24
S000025,E0001,2024-02-03 08:15:00,2024-02-03 21:39:36
S000026,E0001,2024-02-04 07:30:00,2024-02-04 21:06:00
S000027,E0001,2024-02-06 06:00:00,2024-02-06 20:26:24
S000028,E0001,2024-02-07 07:00:00,2024-02-07 20:43:12
S000029,E0001,2024-02-08 07:00:00,2024-02-08 19:52:48
S000030,E0001,2024-02-09 08:00:00,2024-02-09 22:30:00
S000031,E0001,2024-02-10 06:15:00,2024-02-10 20:44:24
S000032,E0001,2024-02-11 06:00:00,2024-02-11 19:28:48
S000033,E0001,2024-02-12 06:15:00,2024-02-12 19:36:00
S000034,E0001,2024-02-13 06:00:00,2024-02-13 21:13:48
S000035,E0001,2024-02-14 08:15:00,2024-02-14 22:22:48
S000036,E0001,2024-02-15 06:00:00,2024-02-15 21:21:36
S000037,E0001,2024-02-16 08:00:00,2024-02-16 21:16:12
S000038,E0001,2024-02-17 07:00:00,2024-02-17 20:27:36
S000039,E0001,2024-02-18 07:15:00,2024-02-18 20:56:59
