department_id,week_start,budgeted_hours,avg_hourly_rate
D01,2024-01-01,2271.2,23.68
D01,2024-01-08,2706.2,23.47
D01,2024-01-15,2447.2,22.2
D01,2024-01-22,2614.3,22.67
D01,2024-01-29,2544.3,23.42
D01,2024-02-05,2640.7,22.55
D01,2024-02-12,2336.2,23.18
D01,2024-02-19,2348.1,24.1
D01,2024-02-26,2408.0,23.46
D01,2024-03-04,2300.6,23.08
D01,2024-03-11,2253.4,23.71
D01,2024-03-18,2456.1,23.13
D01,2024-03-25,2471.2,22.31
D02,2024-01-01,2149.6,22.46
D02,2024-01-08,2307.2,21.87
D02,2024-01-15,2334.7,21.44
D02,2024-01-22,2217.0,22.16
D02,2024-01-29,2141.7,22.26
D02,2024-02-05,2275.5,22.7
D02,2024-02-12,2134.6,23.16
D02,2024-02-19,2120.7,23.01
D02,2024-02-26,2133.0,22.34
D02,2024-03-04,2240.3,21.88
D02,2024-03-11,2193.6,21.7
D02,2024-03-18,2328.2,21.55
D02,2024-03-25,2090.2,22.24
D03,2024-01-01,2683.6,22.71
D03,2024-01-08,2325.5,22.73
D03,2024-01-15,2279.0,22.72
D03,2024-01-22,2347.4,22.24
D03,2024-01-29,2414.3,21.7
D03,2024-02-05,2590.7,22.09
D03,2024-02-12,2437.7,22.95
D03,2024-02-19,2364.7,21.53
D03,2024-02-26,2288.4,23.29
D03,2024-03-04,2488.2,22.69
D03,2024-03-11,2720.5,23.47
D03,2024-03-18,2365.1,23.08
D03,2024-03-25,2392.9,22.25
D04,2024-01-01,2423.9,22.3
D04,2024-01-08,2550.8,22.39
D04,2024-01-15,2541.9,21.59
D04,2024-01-22,2467.1,22.97
D04,2024-01-29,2509.5,22.48
D04,2024-02-05,2307.2,22.47
D04,2024-02-12,2578.1,22.74
D04,2024-02-19,2485.9,22.5
D04,2024-02-26,2333.7,21.76
D04,2024-03-04,2245.9,21.98
D04,2024-03-11,2569.7,23.03
D04,2024-03-18,2345.8,23.48
D04,2024-03-25,2590.3,22.98
D05,2024-01-01,2314.9,22.39
D05,2024-01-08,2334.1,22.86
D05,2024-01-15,2319.0,23.26
D05,2024-01-22,2259.3,23.25
D05,2024-01-29,2118.3,22.56
D05,2024-02-05,2310.1,21.55
D05,2024-02-12,2354.5,22.68
D05,2024-02-19,2269.8,23.26
D05,2024-02-26,2314.5,22.03
D05,2024-03-04,2313.1,23.35
D05,2024-03-11,2190.6,21.58
D05,2024-03-18,2251.2,21.72
D05,2024-03-25,2154.7,22.45
D06,2024-01-01,2489.7,22.2
D06,2024-01-08,2659.8,22.44
D06,2024-01-15,2524.8,22.51
D06,2024-01-22,2821.9,22.34
D06,2024-01-29,2772.3,22.26
D06,2024-02-05,2907.0,22.32
D06,2024-02-12,2721.6,23.1
D06,2024-02-19,2644.3,22.8
D06,2024-02-26,2816.0,21.62
D06,2024-03-04,2671.6,22.77
D06,2024-03-11,2680.5,21.8
D06,2024-03-18,2675.4,21.8
D06,2024-03-25,2621.9,21.59
D07,2024-01-01,2627.5,21.52
D07,2024-01-08,2955.6,21.88
D07,2024-01-15,2754.8,21.35
D07,2024-01-22,2658.7,21.49
D07,2024-01-29,2862.4,22.19
D07,2024-02-05,2683.7,21.99
D07,2024-02-12,2741.8,21.81
D07,2024-02-19,2634.6,22.57
D07,2024-02-26,2780.9,22.53
D07,2024-03-04,2793.6,21.69
D07,2024-03-11,2546.1,21.41
D07,2024-03-18,2583.0,22.24
D07,2024-03-25,2610.3,22.77
D08,2024-01-01,2287.8,23.0
D08,2024-01-08,2376.4,22.79
D08,2024-01-15,2605.1,22.64
D08,2024-01-22,2324.5,23.32
D08,2024-01-29,2447.0,22.74
D08,2024-02-05,2480.0,24.13
D08,2024-02-12,2695.3,22.84
D08,2024-02-19,2345.9,22.38
D08,2024-02-26,2633.4,23.13
D08,2024-03-04,2504.3,23.36
D08,2024-03-11,2513.0,24.38
D08,2024-03-18,2364.8,23.97
D08,2024-03-25,2590.9,23.25
D09,2024-01-01,2247.9,23.44
D09,2024-01-08,2231.1,21.95
D09,2024-01-15,2370.0,22.51
D09,2024-01-22,2307.1,22.22
D09,2024-01-29,2145.1,23.31
D09,2024-02-05,2301.4,23.55
D09,2024-02-12,2462.0,21.86
D09,2024-02-19,2282.6,22.02
D09,2024-02-26,2376.3,22.13
D09,2024-03-04,2215.5,22.25
D09,2024-03-11,2231.6,22.64
D09,2024-03-18,2320.3,23.31
D09,2024-03-25,2286.4,21.98
D10,2024-01-01,2703.2,22.2
D10,2024-01-08,2816.0,23.21
D10,2024-01-15,2674.0,22.96
D10,2024-01-22,2631.8,22.05
D10,2024-01-29,2837.1,22.18
D10,2024-02-05,2707.1,22.65
D10,2024-02-12,2431.4,21.49
D10,2024-02-19,2540.8,22.42
D10,2024-02-26,2642.3,22.84
D10,2024-03-04,2760.2,21.92
D10,2024-03-11,2661.9,22.01
D10,2024-03-18,2569.3,22.62
D10,2024-03-25,2910.4,22.24
