product_id,test_id,lower_spec_limit,upper_spec_limit,target_value,spec_version,effective_from
P001,T01,0.88,1.12,1.0,V1,2023-01-01
P001,T02,6.5,7.5,7.0,V1,2023-01-01
P001,T03,80.0,160.0,120.0,V1,2023-01-01
P001,T04,0.0,300.0,50.0,V1,2023-01-01
P001,T05,0.0,50.0,5.0,V1,2023-01-01
P002,T01,0.88,1.12,1.0,V1,2023-01-01
P002,T02,6.5,7.5,7.0,V1,2023-01-01
P002,T03,80.0,160.0,120.0,V1,2023-01-01
P002,T04,0.0,300.0,50.0,V1,2023-01-01
P002,T05,0.0,50.0,5.0,V1,2023-01-01
P003,T01,0.85,1.15,1.0,V1,2023-01-01
P003,T01,0.9,1.1,1.0,V2,2024-02-01
P003,T02,6.5,7.5,7.0,V1,2023-01-01
P003,T03,80.0,160.0,120.0,V1,2023-01-01
P003,T04,0.0,300.0,50.0,V1,2023-01-01
P003,T05,0.0,50.0,5.0,V1,2023-01-01
P004,T01,0.88,1.12,1.0,V1,2023-01-01
P004,T02,6.5,7.5,7.0,V1,2023-01-01
P004,T03,80.0,160.0,120.0,V1,2023-01-01
P004,T04,0.0,300.0,50.0,V1,2023-01-01
P004,T05,0.0,50.0,5.0,V1,2023-01-01
P005,T01,0.88,1.12,1.0,V1,2023-01-01
P005,T02,6.5,7.5,7.0,V1,2023-01-01
P005,T03,80.0,160.0,120.0,V1,2023-01-01
P005,T04,0.0,300.0,50.0,V1,2023-01-01
P005,T05,0.0,50.0,5.0,V1,2023-01-01
P006,T01,0.85,1.15,1.0,V1,2023-01-01
P006,T01,0.9,1.1,1.0,V2,2024-02-01
P006,T02,6.5,7.5,7.0,V1,2023-01-01
P006,T03,80.0,160.0,120.0,V1,2023-01-01
P006,T04,0.0,300.0,50.0,V1,2023-01-01
P006,T05,0.0,50.0,5.0,V1,2023-01-01
P007,T01,0.88,1.12,1.0,V1,2023-01-01
P007,T02,6.5,7.5,7.0,V1,2023-01-01
P007,T03,80.0,160.0,120.0,V1,2023-01-01
P007,T04,0.0,300.0,50.0,V1,2023-01-01
P007,T05,0.0,50.0,5.0,V1,2023-01-01
P008,T01,0.88,1.12,1.0,V1,2023-01-01
P008,T02,6.5,7.5,7.0,V1,2023-01-01
P008,T03,80.0,160.0,120.0,V1,2023-01-01
P008,T04,0.0,300.0,50.0,V1,2023-01-01
P008,T05,0.0,50.0,5.0,V1,2023-01-01
P009,T01,0.85,1.15,1.0,V1,2023-01-01
P009,T01,0.9,1.1,1.0,V2,2024-02-01
P009,T02,6.5,7.5,7.0,V1,2023-01-01
P009,T03,80.0,160.0,120.0,V1,2023-01-01
P009,T04,0.0,300.0,50.0,V1,2023-01-01
P009,T05,0.0,50.0,5.0,V1,2023-01-01
P010,T01,0.88,1.12,1.0,V1,2023-01-01
P010,T02,6.5,7.5,7.0,V1,2023-01-01
P010,T03,80.0,160.0,120.0,V1,2023-01-01
