lot_id,product_id,line_id,batch_start_datetime,batch_end_datetime,quantity_produced
L01-0001,P007,L01,2024-01-01 06:16:00,2024-01-01 20:16:00,133
L01-0002,P014,L01,2024-01-01 16:04:00,2024-01-02 11:04:00,223
L01-0003,P002,L01,2024-01-01 18:45:00,2024-01-02 02:45:00,196
L01-0004,P012,L01,2024-01-01 22:32:00,2024-01-02 02:44:00,299
L01-0005,P004,L01,2024-01-01 11:58:00,2024-01-01 21:30:00,184
L01-0006,P002,L01,2024-01-01 07:28:00,2024-01-02 00:28:00,140
L01-0007,P009,L01,2024-01-01 23:28:00,2024-01-02 03:13:00,261
L01-0008,P016,L01,2024-01-01 15:09:00,2024-01-02 08:09:00,282
L01-0009,P012,L01,2024-01-01 15:46:00,2024-01-02 08:46:00,219
L01-0010,P013,L01,2024-01-01 17:53:00,2024-01-02 03:53:00,156
L01-0011,P012,L01,2024-01-01 23:49:00,2024-01-02 02:48:00,82
L01-0012,P013,L01,2024-01-01 16:39:00,2024-01-02 04:39:00,306
L01-0013,P009,L01,2024-01-01 13:27:00,2024-01-02 02:27:00,262
L01-0014,P003,L01,2024-01-01 22:06:00,2024-01-02 04:40:00,290
L01-0015,P014,L01,2024-01-01 12:04:00,2024-01-02 04:04:00,264
L01-0016,P008,L01,2024-01-01 14:05:00,2024-01-02 03:05:00,335
L01-0017,P009,L01,2024-01-01 22:20:00,2024-01-02 04:58:00,148
L01-0018,P006,L01,2024-01-01 19:51:00,2024-01-02 01:51:00,155
L01-0019,P003,L01,2024-01-01 23:16:00,2024-01-02 07:17:00,219
L01-0020,P015,L01,2024-01-01 15:30:00,2024-01-02 07:30:00,399
L01-0021,P013,L01,2024-01-01 15:25:00,2024-01-02 08:25:00,183
L01-0022,P011,L01,2024-01-01 22:06:00,2024-01-02 01:46:00,311
L01-0023,P007,L01,2024-01-01 16:09:00,2024-01-02 10:09:00,240
L01-0024,P014,L01,2024-01-01 12:41:00,2024-01-02 00:41:00,223
L01-0025,P009,L01,2024-01-01 09:18:00,2024-01-02 00:18:00,282
L01-0026,P008,L01,2024-01-01 19:05:00,2024-01-02 05:05:00,117
L01-0027,P008,L01,2024-01-01 11:54:00,2024-01-01 21:30:00,304
L01-0028,P004,L01,2024-01-01 16:58:00,2024-01-02 01:58:00,329
L01-0029,P002,L01,2024-01-01 17:26:00,2024-01-02 09:26:00,167
L01-0030,P009,L01,2024-01-01 22:54:00,2024-01-02 01:27:00,305
L01-0031,P015,L01,2024-01-01 08:48:00,2024-01-01 21:30:00,255
