result_id,lot_id,test_id,measured_value,units,analyst_id,tested_date
RES000001,L01-0001,T01,1.1261,%,AN05,2024-01-02
RES000002,L01-0001,T02,6.9116,pH units,AN05,2024-01-02
RES000003,L01-0001,T03,117.4982,cP,AN05,2024-01-02
RES000004,L01-0001,T04,49.8,particles/mL,AN05,2024-01-02
RES000005,L01-0001,T05,7.36,CFU/mL,AN05,2024-01-02
RES000006,L01-0002,T01,0.8952,%,AN09,2024-01-03
RES000007,L01-0002,T02,6.8594,pH units,AN09,2024-01-03
RES000008,L01-0002,T03,124.3825,cP,AN09,2024-01-03
RES000009,L01-0002,T04,76.99,particles/mL,AN09,2024-01-03
RES000010,L01-0002,T05,7.39,CFU/mL,AN09,2024-01-03
RES000011,L01-0003,T01,0.9497,%,AN01,2024-01-03
RES000012,L01-0003,T02,7.0431,pH units,AN01,2024-01-03
RES000013,L01-0003,T03,123.2945,cP,AN01,2024-01-03
RES000014,L01-0003,T04,67.93,particles/mL,AN01,2024-01-03
RES000015,L01-0003,T05,6.37,CFU/mL,AN01,2024-01-03
RES000016,L01-0004,T01,0.9398,%,AN12,2024-01-03
RES000017,L01-0004,T02,7.2701,pH units,AN12,2024-01-03
RES000018,L01-0004,T03,119.7521,cP,AN12,2024-01-03
RES000019,L01-0004,T04,0.0,particles/mL,AN12,2024-01-03
RES000020,L01-0004,T05,11.51,CFU/mL,AN12,2024-01-03
RES000021,L01-0005,T01,1.012,%,AN01,2024-01-04
RES000022,L01-0005,T02,7.1236,pH units,AN01,2024-01-04
RES000023,L01-0005,T03,125.0302,cP,AN01,2024-01-04
RES000024,L01-0005,T04,16.74,particles/mL,AN01,2024-01-04
RES000025,L01-0005,T05,4.9,CFU/mL,AN01,2024-01-04
RES000026,L01-0006,T01,1.1165,%,AN02,2024-01-05
RES000027,L01-0006,T02,6.7897,pH units,AN02,2024-01-05
RES000028,L01-0006,T03,122.7782,cP,AN02,2024-01-05
RES000029,L01-0006,T04,57.24,particles/mL,AN02,2024-01-05
RES000030,L01-0006,T05,2.64,CFU/mL,AN02,2024-01-05
RES000031,L01-0007,T01,0.9292,%,AN06,2024-01-05
RES000032,L01-0007,T02,7.4494,pH units,AN06,2024-01-05
RES000033,L01-0007,T03,125.9425,cP,AN06,2024-01-05
RES000034,L01-0007,T04,32.2,particles/mL,AN06,2024-01-05
RES000035,L01-0007,T05,0.49,CFU/mL,AN06,2024-01-05
RES000036,L01-0008,T01,0.9722,%,AN01,2024-01-03
RES000037,L01-0008,T02,6.6431,pH units,AN01,2024-01-03
RES000038,L01-0008,T03,109.8058,cP,AN01,2024-01-03
RES000039,L01-0008,T04,61.81,particles/mL,AN01,2024-01-03
RES000040,L01-0008,T05,6.81,CFU/mL,AN01,2024-01-03
RES000041,L01-0009,T01,1.0107,%,AN06,2024-01-03
RES000042,L01-0009,T02,7.0666,pH units,AN06,2024-01-03
RES000043,L01-0009,T03,134.6151,cP,AN06,2024-01-03
RES000044,L01-0009,T04,30.37,particles/mL,AN06,2024-01-03
RES000045,L01-0009,T05,2.97,CFU/mL,AN06,2024-01-03
RES000046,L01-0010,T01,0.9872,%,AN05,2024-01-03
RES000047,L01-0010,T02,7.0163,pH units,AN05,2024-01-03
RES000048,L01-0010,T03,111.9873,cP,AN05,2024-01-03
RES000049,L01-0010,T04,69.72,particles/mL,AN05,2024-01-03
RES000050,L01-0010,T05,5.48,CFU/mL,AN05,2024-01-03
RES000051,L01-0011,T01,0.9614,%,AN04,2024-01-05
RES000052,L01-0011,T02,6.7268,pH units,AN04,2024-01-05
RES000053,L01-0011,T03,123.532,cP,AN04,2024-01-05
RES000054,L01-0011,T04,54.48,particles/mL,AN04,2024-01-05
RES000055,L01-0011,T05,2.62,CFU/mL,AN04,2024-01-05
RES000056,L01-0012,T01,1.0463,%,AN03,2024-01-05
RES000057,L01-0012,T02,6.8851,pH units,AN03,2024-01-05
RES000058,L01-0012,T03,125.8496,cP,AN03,2024-01-05
RES000059,L01-0012,T04,49.56,particles/mL,AN03,2024-01-05
RES000060,L01-0012,T05,0.82,CFU/mL,AN03,2024-01-05
RES000061,L01-0013,T01,1.0432,%,AN06,2024-01-04
RES000062,L01-0013,T02,7.1583,pH units,AN06,2024-01-04
RES000063,L01-0013,T03,116.8716,cP,AN06,2024-01-04
RES000064,L01-0013,T04,63.1,particles/mL,AN06,2024-01-04
RES000065,L01-0013,T05,7.23,CFU/mL,AN06,2024-01-04
RES000066,L01-0014,T01,0.8468,%,AN04,2024-01-03
RES000067,L01-0014,T02,6.9426,pH units,AN04,2024-01-03
RES000068,L01-0014,T03,121.1435,cP,AN04,2024-01-03
RES000069,L01-0014,T04,35.32,particles/mL,AN04,2024-01-03
RES000070,L01-0014,T05,3.42,CFU/mL,AN04,2024-01-03
RES000071,L01-0015,T01,1.0484,%,AN10,2024-01-04
RES000072,L01-0015,T02,6.8805,pH units,AN10,2024-01-04
RES000073,L01-0015,T03,113.1467,cP,AN10,2024-01-04
RES000074,L01-0015,T04,84.11,particles/mL,AN10,2024-01-04
RES000075,L01-0015,T05,2.8,CFU/mL,AN10,2024-01-04
RES000076,L01-0016,T01,0.898,%,AN15,2024-01-03
RES000077,L01-0016,T02,7.288,pH units,AN15,2024-01-03
RES000078,L01-0016,T03,122.263,cP,AN15,2024-01-03
RES000079,L01-0016,T04,50.53,particles/mL,AN15,2024-01-03
RES000080,L01-0016,T05,7.11,CFU/mL,AN15,2024-01-03
RES000081,L01-0017,T01,0.8929,%,AN15,2024-01-03
RES000082,L01-0017,T02,7.3525,pH units,AN15,2024-01-03
RES000083,L01-0017,T03,119.1691,cP,AN15,2024-01-03
RES000084,L01-0017,T04,30.15,particles/mL,AN15,2024-01-03
RES000085,L01-0017,T05,6.04,CFU/mL,AN15,2024-01-03
RES000086,L01-0018,T01,0.9656,%,AN07,2024-01-05
RES000087,L01-0018,T02,7.0235,pH units,AN07,2024-01-05
RES000088,L01-0018,T03,126.5156,cP,AN07,2024-01-05
RES000089,L01-0018,T04,81.74,particles/mL,AN07,2024-01-05
RES000090,L01-0018,T05,2.74,CFU/mL,AN07,2024-01-05
RES000091,L01-0019,T01,0.9689,%,AN05,2024-01-05
RES000092,L01-0019,T02,6.7531,pH units,AN05,2024-01-05
RES000093,L01-0019,T03,115.9686,cP,AN05,2024-01-05
RES000094,L01-0019,T04,64.83,particles/mL,AN05,2024-01-05
RES000095,L01-0019,T05,7.84,CFU/mL,AN05,2024-01-05
RES000096,L01-0020,T01,0.9814,%,AN13,2024-01-03
RES000097,L01-0020,T02,7.1664,pH units,AN13,2024-01-03
RES000098,L01-0020,T03,120.1146,cP,AN13,2024-01-03
RES000099,L01-0020,T04,71.77,particles/mL,AN13,2024-01-03
RES000100,L01-0020,T05,8.57,CFU/mL,AN13,2024-01-03
RES000101,L01-0021,T01,0.9423,%,AN09,2024-01-05
RES000102,L01-0021,T02,7.3129,pH units,AN09,2024-01-05
RES000103,L01-0021,T03,122.2021,cP,AN09,2024-01-05
RES000104,L01-0021,T04,15.99,particles/mL,AN09,2024-01-05
RES000105,L01-0021,T05,6.58,CFU/mL,AN09,2024-01-05
RES000106,L01-0022,T01,0.9723,%,AN11,2024-01-05
RES000107,L01-0022,T02,6.8401,pH units,AN11,2024-01-05
RES000108,L01-0022,T03,114.2309,cP,AN11,2024-01-05
RES000109,L01-0022,T04,29.15,particles/mL,AN11,2024-01-05
RES000110,L01-0022,T05,5.37,CFU/mL,AN11,2024-01-05
RES000111,L01-0023,T01,1.0597,%,AN15,2024-01-05
RES000112,L01-0023,T02,7.1099,pH units,AN15,2024-01-05
RES000113,L01-0023,T03,119.0691,cP,AN15,2024-01-05
RES000114,L01-0023,T04,36.51,particles/mL,AN15,2024-01-05
