lot_id,rejection_date,rejection_reason,rework_possible,rework_cost_per_unit,disposal_cost_per_unit
L01-0129,2024-01-07,viscosity failure,True,16.51,51.97
L01-0165,2024-01-08,assay out of specification,True,19.96,55.25
L01-0172,2024-01-09,microbial contamination,False,19.37,70.34
L02-0134,2024-01-08,microbial contamination,False,15.06,48.51
L02-0138,2024-01-12,microbial contamination,False,18.79,71.78
L03-0123,2024-01-10,viscosity failure,False,19.85,71.13
L03-0137,2024-01-08,microbial contamination,False,14.37,70.12
L03-0138,2024-01-08,pH deviation,True,19.7,55.99
L01-0224,2024-01-10,particulate exceedance,False,19.24,48.6
L03-0144,2024-01-13,assay out of specification,False,14.41,48.15
L03-0155,2024-01-10,pH deviation,True,20.86,56.95
L01-0247,2024-01-15,particulate exceedance,False,16.65,55.74
L02-0163,2024-01-15,pH deviation,False,15.68,64.42
L02-0167,2024-01-13,microbial contamination,False,20.1,52.33
L02-0177,2024-01-11,assay out of specification,False,16.09,68.99
L03-0173,2024-01-13,particulate exceedance,True,16.28,62.33
L03-0177,2024-01-14,viscosity failure,True,14.48,64.55
L02-0194,2024-01-14,particulate exceedance,False,18.01,57.57
L02-0197,2024-01-15,particulate exceedance,False,17.12,59.14
L02-0200,2024-01-16,pH deviation,True,15.69,67.37
L02-0201,2024-01-16,viscosity failure,False,17.5,64.32
L01-0286,2024-01-15,assay out of specification,True,15.5,62.5
L01-0298,2024-01-13,particulate exceedance,True,18.37,69.88
L02-0214,2024-01-16,particulate exceedance,False,16.84,48.3
L01-0312,2024-01-14,pH deviation,True,17.63,70.13
L02-0218,2024-01-14,pH deviation,True,16.57,53.14
L02-0224,2024-01-18,particulate exceedance,False,19.88,48.1
L02-0230,2024-01-16,microbial contamination,True,14.16,71.78
L02-0236,2024-01-14,viscosity failure,True,19.46,63.31
L03-0232,2024-01-15,viscosity failure,True,15.71,64.08
L01-0327,2024-01-16,assay out of specification,False,15.71,66.41
L01-0328,2024-01-17,assay out of specification,False,14.64,50.5
L01-0339,2024-01-16,assay out of specification,False,15.32,56.72
L02-0251,2024-01-15,viscosity failure,True,15.32,64.07
L03-0267,2024-01-18,assay out of specification,False,17.56,70.42
L03-0273,2024-01-16,pH deviation,False,20.81,63.57
L03-0276,2024-01-19,pH deviation,True,18.49,61.65
L03-0277,2024-01-17,pH deviation,False,15.89,71.33
L03-0288,2024-01-17,microbial contamination,False,19.24,48.16
L03-0311,2024-01-20,pH deviation,False,21.37,52.59
L01-0376,2024-01-19,viscosity failure,True,19.57,69.01
L01-0385,2024-01-20,pH deviation,True,17.78,62.95
L01-0387,2024-01-20,particulate exceedance,False,21.35,50.75
L01-0389,2024-01-18,viscosity failure,True,21.46,66.21
L03-0332,2024-01-17,viscosity failure,False,14.9,63.93
L01-0414,2024-01-18,pH deviation,True,18.21,62.37
L02-0289,2024-01-21,microbial contamination,False,15.82,56.69
L02-0303,2024-01-22,viscosity failure,False,17.68,53.7
L03-0360,2024-01-21,viscosity failure,True,21.23,58.56
L01-0438,2024-01-23,microbial contamination,True,15.23,53.69
L02-0316,2024-01-21,particulate exceedance,False,17.85,66.89
L02-0319,2024-01-21,assay out of specification,False,18.8,55.97
L03-0364,2024-01-23,particulate exceedance,False,20.46,54.87
L03-0374,2024-01-21,microbial contamination,False,21.78,50.18
L03-0376,2024-01-22,microbial contamination,True,17.14,58.21
L01-0455,2024-01-23,pH deviation,False,15.95,68.4
L03-0409,2024-01-20,viscosity failure,True,14.6,58.02
L03-0410,2024-01-23,microbial contamination,False,15.66,61.22
L01-0493,2024-01-22,assay out of specification,True,16.24,65.54
L02-0351,2024-01-24,microbial contamination,True,15.35,52.71
L03-0424,2024-01-22,particulate exceedance,True,20.3,64.24
L01-0508,2024-01-22,microbial contamination,True,18.41,55.33
L01-0521,2024-01-21,particulate exceedance,True,15.57,49.98
L02-0372,2024-01-24,microbial contamination,False,21.84,64.45
L02-0379,2024-01-25,viscosity failure,True,20.42,53.43
L02-0383,2024-01-23,particulate exceedance,True,19.5,62.07
L02-0384,2024-01-26,microbial contamination,True,21.15,55.54
L03-0466,2024-01-26,assay out of specification,True,14.27,63.76
L01-0565,2024-01-28,assay out of specification,False,21.27,62.15
L01-0577,2024-01-26,microbial contamination,False,14.71,58.33
L03-0489,2024-01-25,particulate exceedance,True,19.0,60.3
L01-0583,2024-01-25,viscosity failure,False,19.7,69.72
L01-0603,2024-01-26,particulate exceedance,False,17.32,54.92
L02-0421,2024-01-28,microbial contamination,False,17.29,63.22
L03-0507,2024-01-26,viscosity failure,True,20.11,56.37
L01-0612,2024-01-26,viscosity failure,True,19.15,66.22
L01-0613,2024-01-27,assay out of specification,False,17.24,48.74
L02-0439,2024-01-28,microbial contamination,True,21.5,60.31
L01-0642,2024-01-28,viscosity failure,False,21.51,61.0
L02-0442,2024-01-29,pH deviation,True,16.03,69.73
L02-0453,2024-01-31,viscosity failure,True,16.05,52.87
L01-0659,2024-01-30,particulate exceedance,False,21.85,56.49
L01-0660,2024-01-30,particulate exceedance,False,14.12,66.97
L01-0677,2024-01-28,microbial contamination,False,21.71,61.6
L01-0680,2024-01-27,microbial contamination,False,20.75,61.96
L02-0468,2024-01-29,assay out of specification,True,21.01,50.0
L03-0577,2024-01-28,viscosity failure,False,20.48,57.65
L01-0683,2024-02-01,pH deviation,False,18.72,64.45
L01-0694,2024-01-29,viscosity failure,False,14.66,53.96
L01-0705,2024-01-30,microbial contamination,False,18.05,63.39
L03-0584,2024-01-30,microbial contamination,True,17.8,69.05
L03-0590,2024-01-29,assay out of specification,False,18.41,65.26
L03-0605,2024-02-01,viscosity failure,False,20.58,58.38
L01-0724,2024-01-30,assay out of specification,False,20.03,51.57
L02-0489,2024-01-31,microbial contamination,False,18.34,68.55
L02-0496,2024-01-31,viscosity failure,True,15.41,50.22
L02-0501,2024-01-31,viscosity failure,True,18.28,50.23
L03-0629,2024-01-30,particulate exceedance,False,15.86,64.33
L03-0631,2024-01-31,particulate exceedance,False,21.74,55.55
L01-0759,2024-02-03,viscosity failure,False,15.29,56.45
L02-0520,2024-02-03,pH deviation,False,16.13,54.71
L03-0635,2024-02-04,microbial contamination,False,19.88,59.91
