transaction_id,basket_id,customer_id,transaction_date,store_id,item_id,quantity,unit_price,transaction_type
T0013320,B012280,C00704,2024-07-18,5,1022,1,3.78,promo_bundle
T0004343,B004008,C02094,2024-11-27,16,4056,1,3.62,regular
T0011472,B010568,C01758,2024-06-10,18,1081,1,5.94,regular
T0002539,B002336,C04072,2024-05-03,16,1227,3,8.47,regular
T0001389,B001280,C01918,2024-09-27,18,4235,2,4.38,regular
T0013329,B012289,C02079,2024-01-25,8,1136,1,5.24,promo_bundle
T0007333,B006763,C04072,2024-12-11,18,4226,1,2.05,regular
T0024999,B004566,C02996,2024-10-14,19,1228,-1,5.56,regular
T0008760,B008069,C01380,2024-08-22,13,4152,2,4.84,regular
T0000388,B000360,C00872,2024-02-02,4,1031,2,4.22,regular
T0004480,B004132,C00622,2024-06-28,17,1118,1,12.08,regular
T0001676,B001544,C00227,2024-10-27,8,4207,1,8.95,regular
T0003364,B003108,C04916,2024-03-29,10,1235,1,4.38,regular
T0006568,B006053,C03172,2024-10-22,12,1081,1,5.94,regular
T0018538,B017498,C02785,2024-02-11,1,1214,-1,5.7,regular
T0012091,B011126,C03771,2024-04-13,20,1261,1,7.42,regular
T0002885,B002655,C01329,2024-05-05,3,1115,1,1.65,regular
T0012908,B011874,C02809,2024-05-14,19,1144,1,6.31,regular
T0004691,B004330,C04784,2024-01-23,18,1216,2,2.75,regular
T0009038,B008328,C04537,2024-09-26,7,4055,1,2.55,regular
T0008387,B007722,C01039,2024-03-08,19,1281,1,14.81,regular
T0006064,B005580,C03710,2024-11-10,5,4109,1,13.56,regular
T0005946,B005470,C02382,2024-10-26,18,1247,2,4.37,regular
T0001753,B001618,C00134,2024-12-13,8,1179,3,11.77,regular
T0012885,B011854,C03763,2024-12-30,13,4228,2,5.56,regular
T0009868,B009092,C01020,2024-11-04,19,1194,1,4.47,regular
T0011113,B010239,C01783,2024-09-16,20,4216,1,2.75,regular
T0007819,B007212,C01528,2024-09-07,11,4223,1,2.89,regular
T0005301,B004886,C02802,2024-01-12,15,1226,1,2.05,regular
T0005857,B005391,C04952,2024-10-01,9,4218,1,6.04,regular
T0012747,B011728,C04667,2024-05-30,8,1191,1,4.85,regular
T0007567,B006979,C04243,2024-11-12,11,1002,1,1.09,regular
T0009574,B008831,C00312,2024-11-27,19,4054,1,4.02,regular
T0003542,B003271,C00298,2024-03-21,10,1166,1,16.45,regular
T0000219,B000204,C04130,2024-06-13,13,1216,2,2.75,regular
T0006797,B006268,C01681,2024-10-21,14,4136,1,5.24,regular
T0012193,B011220,C01815,2024-02-22,1,1051,2,6.92,regular
T0014759,B013719,C00350,2024-09-28,20,1275,-1,6.78,regular
T0022179,B021139,C01302,2024-08-04,6,4138,-1,2.96,regular
T0002650,B002437,C02244,2024-07-29,9,1035,2,2.5,regular
T0009249,B008528,C02600,2024-02-11,16,1224,1,6.34,regular
T0001182,B001093,C00846,2024-02-09,19,1039,3,4.44,regular
T0004212,B003891,C03854,2024-11-09,14,1167,3,12.48,regular
T0010089,B009301,C04352,2024-11-13,11,4058,1,3.94,regular
T0009518,B008781,C01404,2024-07-06,15,4123,1,8.4,regular
T0002110,B001942,C00819,2024-10-05,10,1009,1,2.68,regular
T0008130,B007490,C00701,2024-05-15,12,1051,1,6.92,regular
T0009189,B008472,C03989,2024-05-13,4,1218,1,6.04,regular
T0010728,B009888,C02702,2024-12-28,17,4137,2,4.44,regular
T0009073,B008361,C04889,2024-07-01,12,1166,3,16.45,regular
T0006717,B006194,C01681,2024-04-20,16,1238,1,6.38,regular
T0013138,B012098,C00446,2024-10-20,17,4207,1,8.95,promo_bundle
T0000240,B000224,C01147,2024-05-23,18,1031,1,4.22,regular
T0004445,B004101,C02252,2024-12-03,19,4068,1,7.09,regular
T0004733,B004364,C04454,2024-09-14,17,1240,1,1.78,regular
T0002052,B001891,C00336,2024-08-08,20,4058,1,3.94,regular
T0012717,B011699,C02019,2024-03-02,4,1239,1,8.86,regular
T0021127,B020087,C02088,2024-01-28,16,1225,-1,2.7,regular
T0005419,B004991,C03692,2024-11-28,3,1037,2,4.31,regular
T0003149,B002903,C01814,2024-12-29,11,4229,1,4.77,regular
T0000505,B000468,C02952,2024-12-10,16,1009,3,2.68,regular
T0010498,B009674,C00104,2024-11-19,17,1031,1,4.22,regular
T0008420,B007752,C00952,2024-07-15,2,1168,1,4.0,regular
T0009802,B009035,C02069,2024-09-05,9,1081,1,5.94,regular
T0012301,B011315,C03418,2024-04-02,18,1151,1,5.0,regular
T0008081,B007449,C03294,2024-04-15,13,1229,1,4.77,regular
T0000329,B000306,C03798,2024-03-13,15,1115,1,1.65,regular
T0009270,B008547,C00698,2024-05-11,20,1002,1,1.09,regular
T0000301,B000279,C02643,2024-05-24,14,1054,2,4.02,regular
T0000757,B000700,C04088,2024-01-05,5,1061,1,4.58,regular
T0002407,B002212,C00860,2024-09-19,18,4068,1,7.09,regular
T0024546,B003094,C02318,2024-08-02,12,4116,1,2.53,promo_bundle
T0003943,B003645,C04185,2024-10-20,7,4151,1,5.0,regular
T0007796,B007190,C01275,2024-01-06,19,1008,1,1.34,regular
T0006366,B005866,C02485,2024-09-04,17,1009,1,2.68,regular
T0005729,B005276,C04039,2024-07-02,4,1031,1,4.22,regular
T0005395,B004970,C01584,2024-10-08,12,4056,3,3.62,regular
T0012018,B011059,C04050,2024-09-09,18,4051,1,6.92,regular
T0002454,B002255,C03047,2024-09-22,3,1166,1,16.45,regular
T0008439,B007768,C04602,2024-03-31,15,1262,1,11.6,regular
T0002204,B002029,C03519,2024-02-21,9,1210,3,5.13,regular
T0003825,B003539,C00488,2024-12-10,2,1031,1,4.22,regular
T0001069,B000987,C01563,2024-11-26,14,4126,1,1.15,regular
T0000039,B000036,C02889,2024-01-22,20,1068,3,7.09,regular
T0010889,B010033,C03752,2024-01-17,9,1216,1,2.75,regular
T0020599,B019559,C01639,2024-01-19,4,1089,-1,2.91,regular
T0008921,B008222,C03500,2024-06-18,19,1241,1,4.21,regular
T0011789,B010857,C04997,2024-12-04,4,4232,1,2.51,regular
T0009140,B008426,C02956,2024-07-16,2,1017,1,1.87,regular
T0016895,B015855,C02707,2024-04-15,11,1138,-1,2.96,regular
T0010810,B009960,C01649,2024-03-29,19,1238,1,6.38,regular
T0000016,B000015,C03623,2024-08-28,10,1009,1,2.68,regular
T0004835,B004458,C03266,2024-11-27,4,4104,1,4.7,regular
T0010121,B009330,C00744,2024-07-03,17,4056,1,3.62,regular
T0000795,B000734,C00294,2024-03-13,8,1209,1,4.49,regular
T0006003,B005523,C03115,2024-11-11,11,4109,1,13.56,regular
T0002195,B002021,C04147,2024-02-12,2,1137,2,4.44,regular
T0006238,B005745,C00518,2024-12-14,18,4207,2,8.95,regular
T0007374,B006800,C03594,2024-10-28,14,4235,3,4.38,regular
T0011242,B010357,C03998,2024-08-21,2,1013,2,1.1,regular
T0016050,B015010,C02591,2024-01-14,4,1188,-1,3.89,regular
T0008974,B008272,C03762,2024-12-29,12,1009,1,2.68,regular
T0004765,B004393,C03860,2024-09-10,12,4120,1,1.88,regular
T0012292,B011309,C02838,2024-03-13,7,1137,1,4.44,regular
T0023404,B022364,C03274,2024-03-13,5,1012,-1,3.01,regular
T0005033,B004637,C00104,2024-09-21,3,4228,1,5.56,regular
T0005477,B005044,C00997,2024-01-09,9,1116,1,2.53,regular
T0000862,B000797,C02116,2024-04-17,7,1216,1,2.75,regular
T0000732,B000676,C04346,2024-11-26,12,1033,1,3.13,regular
T0002181,B002007,C00127,2024-10-22,7,4218,1,6.04,regular
