conversion_id,user_id,conversion_timestamp,revenue
CONV001276,U0595,2024-02-26 11:52:09.007365,259.55
CONV001802,U0501,2024-01-01 22:33:43.000000,20.09
CONV001505,U0430,2024-01-14 08:50:40.000000,214.25
CONV001849,U0299,2024-01-27 20:27:13.000000,374.71
CONV000392,U0112,2024-01-06 07:00:45.275180,387.33
CONV002506,U0021,2024-01-30 02:46:13.000000,221.13
CONV002062,U0428,2024-01-16 09:24:30.000000,289.06
CONV001299,U0606,2024-02-15 12:45:27.827673,150.89
CONV001278,U0596,2024-02-09 23:47:56.964448,282.66
CONV000722,U0285,2024-03-04 03:20:54.475164,222.26
CONV003217,U0024,2024-01-27 16:29:39.000000,77.09
CONV000884,U0370,2024-03-25 08:27:27.041561,204.51
CONV000252,U0032,2024-02-27 17:37:19.204991,258.44
CONV000984,U0428,2024-03-08 12:08:14.990761,-435.93
CONV002679,U0375,2024-03-13 13:25:47.000000,116.85
CONV002808,U0350,2024-03-26 10:36:09.000000,131.07
CONV002027,U0402,2024-03-31 00:12:12.000000,83.99
CONV000952,U0407,2024-01-19 07:32:30.712967,118.41
CONV000336,U0077,2024-01-15 05:05:27.781664,465.43
CONV002809,U0564,2024-01-17 14:31:18.000000,189.66
CONV002416,U0116,2024-02-28 18:08:11.000000,132.07
CONV001242,U0577,2024-03-03 16:17:11.369256,462.34
CONV000631,U0238,2024-03-17 23:29:26.164934,325.5
CONV000331,U0074,2024-03-02 16:04:32.878921,394.66
CONV003277,U0433,2024-02-09 03:18:48.000000,72.3
CONV001819,U0534,2024-01-16 00:34:31.000000,394.41
CONV002188,U0291,2024-01-24 05:23:03.000000,93.68
CONV001289,U0601,2024-01-06 08:38:36.391652,272.68
CONV000388,U0110,2024-01-28 09:58:27.463542,317.77
CONV003094,U0003,2024-01-05 05:03:47.000000,80.43
CONV001895,U0404,2024-03-20 06:07:00.000000,155.44
CONV000269,U0041,2024-03-29 00:20:23.948430,93.41
CONV000130,T0065,2024-02-16 17:30:13.814883,113.76
CONV000914,U0388,2024-01-28 03:41:30.855644,338.75
CONV002453,U0477,2024-01-15 22:05:04.000000,44.94
CONV002784,U0422,2024-03-05 19:43:13.000000,92.09
