touchpoint_id,user_id,channel,timestamp,touchpoint_type
TP010622,U1107,display,2024-01-01 04:55:04,click
TP005072,U0526,organic_social,2024-01-01 05:21:46,click
TP003192,U0331,email,2024-01-01 09:47:35,click
TP011052,U1148,display,2024-01-01 10:47:21,impression
TP003193,U0331,direct,2024-01-01 11:01:45,click
TP002473,U0252,display,2024-01-01 14:54:37,click
TP005073,U0526,paid_search,2024-01-01 14:55:40,click
TP010936,U1137,paid_search,2024-01-01 18:41:31,click
TP001864,U0190,organic_social,2024-01-01 19:43:47,click
TP005074,U0526,paid_search,2024-01-01 20:41:42,click
TP005416,U0562,email,2024-01-01 21:42:45,click
TP005075,U0526,display,2024-01-01 22:47:01,click
TP001865,U0190,email,2024-01-01 23:58:49,click
TP010949,U1137,paid_search,2024-01-02 01:24:40,impression
TP010901,U1134,email,2024-01-02 02:08:59,click
TP006383,U0664,email,2024-01-02 02:09:30,click
TP004277,U0446,organic_social,2024-01-02 02:12:03,impression
TP004195,U0438,paid_search,2024-01-02 02:25:51,impression
TP004364,U0454,email,2024-01-02 03:11:40,click
TP000595,U0064,organic_social,2024-01-02 03:28:16,click
TP011454,U1188,paid_search,2024-01-02 03:33:51,click
TP004365,U0454,email,2024-01-02 04:16:47,click
TP008491,U0887,paid_search,2024-01-02 04:26:59,click
TP006384,U0664,paid_search,2024-01-02 05:31:15,click
TP004170,U0436,email,2024-01-02 05:38:13,click
TP002300,U0233,display,2024-01-02 06:28:35,click
TP005076,U0526,display,2024-01-02 07:38:28,click
TP005077,U0526,direct,2024-01-02 10:01:28,click
TP006385,U0664,paid_search,2024-01-02 10:49:49,click
TP002301,U0233,organic_social,2024-01-02 11:28:02,click
TP010902,U1134,paid_search,2024-01-02 12:16:09,click
TP006386,U0664,paid_search,2024-01-02 13:50:42,click
TP006387,U0664,paid_search,2024-01-02 13:56:18,click
TP011542,U1196,organic_social,2024-01-02 14:58:29,click
TP007591,U0787,email,2024-01-02 15:56:21,impression
TP004114,U0430,email,2024-01-02 17:26:13,click
TP005078,U0526,display,2024-01-02 17:33:37,click
TP010903,U1134,display,2024-01-02 17:37:01,click
TP004115,U0430,organic_social,2024-01-02 17:41:11,click
TP005974,U0623,display,2024-01-02 19:57:18,click
TP004276,U0446,email,2024-01-02 20:04:58,impression
TP005079,U0526,direct,2024-01-02 20:22:47,click
TP008492,U0887,paid_search,2024-01-02 21:00:46,click
TP004265,U0446,email,2024-01-02 21:26:57,click
TP004266,U0446,email,2024-01-02 21:28:59,click
TP004116,U0430,direct,2024-01-02 22:04:44,click
TP002436,U0248,organic_social,2024-01-02 23:33:45,click
TP005080,U0526,email,2024-01-02 23:51:16,click
TP004117,U0430,direct,2024-01-03 00:51:57,click
TP000273,U0028,email,2024-01-03 01:11:09,click
TP001471,U0150,display,2024-01-03 01:18:28,click
TP011301,U1173,paid_search,2024-01-03 01:35:18,click
TP011543,U1196,organic_social,2024-01-03 01:38:17,click
TP010362,U1080,paid_search,2024-01-03 02:07:29,click
TP003776,U0394,paid_search,2024-01-03 02:27:30,click
TP005417,U0562,email,2024-01-03 03:25:54,click
TP000387,U0041,email,2024-01-03 03:32:18,click
TP001221,U0126,paid_search,2024-01-03 04:30:23,click
TP011302,U1173,direct,2024-01-03 04:30:57,click
TP004171,U0436,email,2024-01-03 05:10:11,click
TP010451,U1089,paid_search,2024-01-03 05:49:44,click
