order_id,line_id,product_id,quantity_ordered,unit_price,discount_pct,line_status,created_at
ORD-000001,1,PRD-00196,17,19.54,0.05,Closed,2024-01-12
ORD-000002,1,PRD-00705,467,200.31,0.0,Closed,2024-06-16
ORD-000003,1,PRD-00026,467,84.03,0.0,Closed,2023-10-23
ORD-000003,2,PRD-00271,192,344.94,0.0,Closed,2023-10-23
ORD-000003,3,PRD-00381,227,244.17,0.0,Closed,2023-10-23
ORD-000004,1,PRD-00843,282,398.98,0.0,Closed,2023-12-21
ORD-000005,1,PRD-00094,435,264.77,0.0,Closed,2024-04-29
ORD-000006,1,PRD-00731,202,358.28,0.0,Closed,2023-10-13
ORD-000007,1,PRD-00958,203,281.19,0.0,Closed,2024-02-21
ORD-000008,1,PRD-00385,205,42.39,0.0,Closed,2024-04-24
ORD-000008,2,PRD-00358,164,347.3,0.0,Closed,2024-04-24
ORD-000009,1,PRD-00940,208,24.15,0.0,Closed,2024-03-22
ORD-000010,1,PRD-00817,122,364.35,0.05,Closed,2024-01-14
ORD-000010,2,PRD-01393,35,316.95,0.05,Open,2024-01-14
ORD-000011,1,PRD-01443,120,223.18,0.0,Open,2023-12-05
ORD-000011,2,PRD-00899,87,245.53,0.1,Closed,2023-12-05
ORD-000011,3,PRD-00382,296,175.28,0.1,Closed,2023-12-05
ORD-000012,1,PRD-01109,320,328.5,0.0,Closed,2023-11-08
ORD-000012,2,PRD-01477,376,55.12,0.0,Closed,2023-11-08
ORD-000013,1,PRD-00890,303,201.83,0.0,Closed,2024-04-02
ORD-000014,1,PRD-00429,86,244.99,0.1,Closed,2024-01-20
ORD-000014,2,PRD-01111,433,367.48,0.05,Closed,2024-01-20
ORD-000015,1,PRD-00614,278,239.33,0.0,Closed,2024-01-06
ORD-000015,2,PRD-01197,302,347.2,0.0,Closed,2024-01-06
ORD-000015,3,PRD-00952,325,266.4,0.0,Closed,2024-01-06
ORD-000016,1,PRD-01299,434,263.38,0.0,Closed,2023-12-18
ORD-000017,1,PRD-00155,134,218.97,0.1,Open,2023-11-06
ORD-000017,2,PRD-01182,414,92.13,0.05,Closed,2023-11-06
ORD-000018,1,PRD-01126,182,14.06,0.05,Closed,2023-12-17
ORD-000019,1,PRD-01017,455,313.42,0.0,Closed,2024-03-08
ORD-000019,2,PRD-00957,463,395.93,0.0,Closed,2024-03-08
ORD-000020,1,PRD-01260,394,374.01,0.05,Open,2024-05-03
ORD-000021,1,PRD-00920,474,236.43,0.1,Closed,2024-04-03
ORD-000021,2,PRD-01327,69,335.16,0.05,Closed,2024-04-03
ORD-000021,3,PRD-00652,230,350.23,0.0,Closed,2024-04-03
ORD-000022,1,PRD-00983,6,238.99,0.05,Open,2023-12-30
ORD-000023,1,PRD-00895,241,231.59,0.05,Closed,2024-05-12
ORD-000024,1,PRD-00695,72,315.18,0.1,Closed,2023-11-19
ORD-000025,1,PRD-01030,253,89.04,0.0,Closed,2023-11-09
ORD-000026,1,PRD-00076,182,84.06,0.0,Closed,2024-03-21
ORD-000026,2,PRD-01419,111,300.04,0.05,Closed,2024-03-21
