order_id,customer_id,order_date,requested_ship_date,promised_delivery_date,assigned_warehouse_id,sales_channel,payment_terms,currency,order_total_value,created_by,created_at,po_number,notes
ORD-000001,CUST-00907,2023-11-19,2023-11-23,2023-12-01,WH-11,Distributor,Net30,USD,3280.82,user048,2023-11-19,PO-253016,
ORD-000002,CUST-00964,2023-11-22,2023-11-23,2023-12-02,WH-10,Direct,Net60,CAD,11843.75,user003,2023-11-22,PO-674570,
ORD-000003,CUST-00070,2024-02-11,2024-02-13,2024-02-17,WH-16,Online,Net30,USD,20802.47,user050,2024-02-11,PO-556462,
ORD-000004,CUST-01110,2023-10-06,2023-10-10,2023-10-18,WH-09,Distributor,Net45,USD,15578.59,user059,2023-10-06,PO-132057,
ORD-000005,CUST-00959,2024-01-21,2024-01-22,2024-01-27,WH-13,Direct,Net30,USD,6748.46,user073,2024-01-21,PO-218740,
ORD-000006,CUST-01185,2024-03-08,2024-03-11,2024-03-19,WH-14,Direct,Net60,USD,13613.68,user031,2024-03-08,PO-415071,
ORD-000007,CUST-01157,2024-02-02,2024-02-06,2024-02-09,WH-02,Direct,Net30,CAD,11442.25,user059,2024-02-02,PO-999976,
ORD-000008,CUST-00708,2024-05-05,2024-05-08,2024-05-11,WH-01,Distributor,Net45,EUR,2505.74,user070,2024-05-05,PO-877903,
ORD-000009,CUST-00021,2023-10-30,2023-11-01,2023-11-10,WH-02,Direct,Net45,CAD,7302.59,user055,2023-10-30,PO-661686,
ORD-000010,CUST-00669,2024-02-09,2024-02-10,2024-02-13,WH-15,Online,Net60,USD,11304.67,user060,2024-02-09,PO-984414,
ORD-000011,CUST-00971,2024-05-03,2024-05-04,2024-05-06,WH-16,Online,Net45,USD,7509.53,user024,2024-05-03,PO-354152,
ORD-000012,CUST-00436,2023-12-29,2024-01-01,2024-01-03,WH-04,Online,Net60,USD,644.94,user033,2023-12-29,PO-350686,
ORD-000013,CUST-00658,2024-02-15,2024-02-17,2024-02-24,WH-17,Distributor,Net30,CAD,5447.04,user066,2024-02-15,PO-100724,
ORD-000014,CUST-00733,2024-05-06,2024-05-08,2024-05-12,WH-08,Online,Net30,EUR,9471.5,user073,2024-05-06,PO-539298,
ORD-000015,CUST-00619,2023-11-05,2023-11-07,2023-11-15,WH-11,Direct,Net60,USD,18014.02,user073,2023-11-05,PO-981281,
ORD-000016,CUST-00131,2023-10-27,2023-10-28,2023-11-05,WH-14,Direct,Net30,USD,21524.25,user047,2023-10-27,PO-971312,
ORD-000017,CUST-00781,2023-12-05,2023-12-07,2023-12-10,WH-01,Online,Net60,EUR,12665.01,user006,2023-12-05,PO-761949,
ORD-000018,CUST-01038,2024-05-27,2024-05-30,2024-06-01,WH-08,Distributor,Net60,USD,18359.4,user051,2024-05-27,PO-158969,
ORD-000019,CUST-00340,2024-02-23,2024-02-27,2024-03-07,WH-10,Direct,Net60,USD,24103.28,user004,2024-02-23,PO-640737,
ORD-000020,CUST-00628,2024-05-01,2024-05-04,2024-05-08,WH-05,Distributor,Net45,EUR,7360.65,user014,2024-05-01,PO-953443,
ORD-000021,CUST-00845,2024-05-02,2024-05-04,2024-05-13,WH-09,Direct,Net45,USD,4223.61,user074,2024-05-02,PO-873924,
ORD-000022,CUST-01007,2024-06-15,2024-06-19,2024-06-21,WH-05,Online,Net30,CAD,4858.66,user070,2024-06-15,PO-632883,
ORD-000023,CUST-01050,2024-06-30,2024-07-01,2024-07-10,WH-17,Distributor,Net30,USD,17421.32,user006,2024-06-30,PO-859618,
ORD-000024,CUST-00053,2024-06-13,2024-06-14,2024-06-22,WH-07,Direct,Net60,USD,21859.56,user053,2024-06-13,PO-172998,
ORD-000025,CUST-00441,2024-03-12,2024-03-15,2024-03-19,WH-09,Distributor,Net60,USD,22959.54,user044,2024-03-12,PO-511299,
ORD-000026,CUST-00816,2024-06-22,2024-06-23,2024-06-29,WH-15,Distributor,Net30,USD,1574.29,user061,2024-06-22,PO-745968,
ORD-000027,CUST-00141,2024-06-02,2024-06-05,2024-06-11,WH-14,Distributor,Net30,USD,17319.74,user012,2024-06-02,PO-548998,
ORD-000028,CUST-00269,2024-04-14,2024-04-17,2024-04-21,WH-05,Direct,Net60,USD,15234.44,user038,2024-04-14,PO-769462,
ORD-000029,CUST-00036,2024-06-10,2024-06-14,2024-06-23,WH-14,Direct,Net60,USD,2031.57,user067,2024-06-10,PO-623925,
ORD-000030,CUST-00975,2024-02-29,2024-03-01,2024-03-07,WH-06,Online,Net45,USD,3539.47,user028,2024-02-29,PO-679832,
ORD-000031,CUST-00318,2023-11-25,2023-11-28,2023-12-07,WH-16,Direct,Net30,USD,14302.54,user069,2023-11-25,PO-559655,
ORD-000032,CUST-00014,2023-12-07,2023-12-11,2023-12-16,WH-17,Online,Net30,USD,16404.39,user044,2023-12-07,PO-237673,
ORD-000033,CUST-01038,2023-12-22,2023-12-23,2023-12-30,WH-05,Direct,Net60,USD,18253.06,user070,2023-12-22,PO-458876,
ORD-000034,CUST-00670,2024-04-30,2024-05-03,2024-05-11,WH-10,Online,Net45,USD,12698.38,user054,2024-04-30,PO-386697,
ORD-000035,CUST-00100,2023-10-13,2023-10-17,2023-10-26,WH-06,Distributor,Net45,USD,6125.84,user025,2023-10-13,PO-492868,
ORD-000036,CUST-00945,2023-12-11,2023-12-12,2023-12-19,WH-06,Direct,Net30,USD,23527.89,user030,2023-12-11,PO-814912,
ORD-000037,CUST-01060,2024-01-16,2024-01-17,2024-01-21,WH-05,Distributor,Net60,CAD,1884.9,user041,2024-01-16,PO-729147,
ORD-000038,CUST-00611,2024-04-12,2024-04-13,2024-04-19,WH-06,Direct,Net30,USD,15201.4,user034,2024-04-12,PO-201075,
ORD-000039,CUST-00984,2023-10-23,2023-10-26,2023-11-04,WH-14,Direct,Net30,USD,9044.04,user012,2023-10-23,PO-139279,
ORD-000040,CUST-00211,2024-05-10,2024-05-13,2024-05-20,WH-16,Online,Net60,USD,17416.31,user064,2024-05-10,PO-519864,
ORD-000041,CUST-00391,2023-10-17,2023-10-19,2023-10-24,WH-17,Distributor,Net45,CAD,8064.81,user050,2023-10-17,PO-331844,
ORD-000042,CUST-00488,2023-11-02,2023-11-03,2023-11-09,WH-14,Distributor,Net30,USD,7165.54,user006,2023-11-02,PO-800720,
ORD-000043,CUST-00013,2024-01-09,2024-01-12,2024-01-15,WH-03,Direct,Net45,EUR,3255.75,user052,2024-01-09,PO-519015,
ORD-000044,CUST-00571,2024-03-19,2024-03-22,2024-03-31,WH-07,Direct,Net45,USD,1576.27,user034,2024-03-19,PO-938414,
ORD-000045,CUST-00007,2023-10-20,2023-10-24,2023-11-01,WH-01,Direct,Net60,EUR,17001.8,user045,2023-10-20,PO-281455,
ORD-000046,CUST-01185,2024-01-07,2024-01-08,2024-01-14,WH-12,Direct,Net45,EUR,5216.46,user057,2024-01-07,PO-109304,
ORD-000047,CUST-00515,2023-11-26,2023-11-30,2023-12-02,WH-06,Direct,Net45,CAD,6724.52,user003,2023-11-26,PO-843839,
ORD-000048,CUST-00753,2024-01-16,2024-01-17,2024-01-23,WH-09,Online,Net60,EUR,8031.3,user034,2024-01-16,PO-963598,
ORD-000049,CUST-01114,2024-02-01,2024-02-05,2024-02-12,WH-01,Direct,Net60,CAD,22729.99,user016,2024-02-01,PO-103341,
ORD-000050,CUST-00385,2024-02-16,2024-02-18,2024-02-27,WH-13,Direct,Net60,USD,24200.46,user077,2024-02-16,PO-117624,
ORD-000051,CUST-01175,2023-12-03,2023-12-06,2023-12-15,WH-13,Direct,Net30,EUR,21117.56,user044,2023-12-03,PO-989965,
ORD-000052,CUST-00326,2024-02-16,2024-02-20,2024-02-22,WH-03,Direct,Net45,USD,5609.01,user028,2024-02-16,PO-856115,
ORD-000053,CUST-00996,2024-03-03,2024-03-04,2024-03-08,WH-04,Distributor,Net60,USD,3853.09,user050,2024-03-03,PO-416991,
ORD-000054,CUST-01064,2024-03-04,2024-03-06,2024-03-11,WH-05,Distributor,Net30,USD,7018.86,user010,2024-03-04,PO-690437,
ORD-000055,CUST-00175,2024-02-09,2024-02-11,2024-02-16,WH-16,Direct,Net30,CAD,13433.46,user044,2024-02-09,PO-304298,
ORD-000056,CUST-00785,2023-11-05,2023-11-09,2023-11-15,WH-18,Distributor,Net60,USD,15622.43,user073,2023-11-05,PO-891702,
ORD-000057,CUST-00050,2024-02-16,2024-02-20,2024-02-23,WH-08,Direct,Net30,USD,1282.24,user062,2024-02-16,PO-598238,
ORD-000058,CUST-01111,2024-06-04,2024-06-05,2024-06-07,WH-11,Direct,Net30,USD,11130.86,user076,2024-06-04,PO-774003,
ORD-000059,CUST-00506,2024-05-26,2024-05-28,2024-06-05,WH-12,Online,Net60,USD,18457.42,user063,2024-05-26,PO-113213,
ORD-000060,CUST-00278,2024-02-11,2024-02-15,2024-02-24,WH-09,Online,Net30,EUR,3883.97,user003,2024-02-11,PO-142292,
ORD-000061,CUST-00824,2023-11-09,2023-11-12,2023-11-17,WH-02,Online,Net45,USD,8795.31,user044,2023-11-09,PO-675812,
ORD-000062,CUST-00267,2024-03-03,2024-03-07,2024-03-09,WH-11,Online,Net60,USD,21155.8,user069,2024-03-03,PO-821735,
ORD-000063,CUST-01017,2024-02-08,2024-02-09,2024-02-12,WH-07,Direct,Net60,EUR,7309.3,user020,2024-02-08,PO-156732,
ORD-000064,CUST-00706,2024-03-16,2024-03-17,2024-03-20,WH-06,Online,Net60,CAD,18441.44,user006,2024-03-16,PO-960341,
ORD-000065,CUST-00294,2024-03-04,2024-03-05,2024-03-11,WH-10,Direct,Net45,USD,19563.66,user009,2024-03-04,PO-471817,
ORD-000066,CUST-00170,2023-10-13,2023-10-16,2023-10-22,WH-11,Distributor,Net60,USD,736.48,user033,2023-10-13,PO-900084,
ORD-000067,CUST-00579,2023-10-21,2023-10-25,2023-10-27,WH-04,Distributor,Net30,CAD,4684.77,user025,2023-10-21,PO-756641,
ORD-000068,CUST-00797,2023-11-16,2023-11-20,2023-11-23,WH-06,Direct,Net60,EUR,12458.57,user028,2023-11-16,PO-484882,
ORD-000069,CUST-01052,2024-02-05,2024-02-06,2024-02-10,WH-18,Direct,Net30,CAD,17602.46,user050,2024-02-05,PO-841251,
ORD-000070,CUST-00405,2024-05-07,2024-05-10,2024-05-15,WH-07,Direct,Net30,USD,8813.6,user057,2024-05-07,PO-395284,
ORD-000071,CUST-01138,2023-10-30,2023-10-31,2023-11-08,WH-13,Direct,Net30,USD,18423.4,user073,2023-10-30,PO-550808,
ORD-000072,CUST-00695,2024-03-07,2024-03-11,2024-03-18,WH-02,Distributor,Net45,USD,23911.92,user034,2024-03-07,PO-308236,
ORD-000073,CUST-00655,2024-05-06,2024-05-09,2024-05-18,WH-10,Direct,Net30,USD,5432.81,user062,2024-05-06,PO-964506,
