product_id,product_name,category,subcategory,unit_of_measure,unit_weight_kg,unit_cost,list_price,supplier_id,hazmat_flag,created_at
PRD-00001,Desks Item 00001,Furniture,Desks,EA,5.63,73.51,108.79,SUP-0170,True,2023-04-10
PRD-00002,Accessories Item 00002,Apparel,Accessories,CS,31.24,176.88,303.0,SUP-0126,False,2022-05-03
PRD-00003,Paper Goods Item 00003,Office Supplies,Paper Goods,CS,22.63,167.76,333.59,SUP-0118,False,2022-04-28
PRD-00004,Boxes Item 00004,Packaging,Boxes,CS,1.28,77.38,131.01,SUP-0245,False,2020-11-17
PRD-00005,Storage Units Item 00005,Furniture,Storage Units,PLT,11.29,60.02,93.89,SUP-0015,False,2020-07-08
PRD-00006,Tape Item 00006,Packaging,Tape,PLT,16.29,166.75,338.94,SUP-0080,True,2020-09-07
PRD-00007,Cables Item 00007,Electronics,Cables,PLT,6.49,181.15,317.18,SUP-0116,False,2022-01-15
PRD-00008,Footwear Item 00008,Apparel,Footwear,CS,12.1,96.49,180.17,SUP-0152,False,2021-06-26
PRD-00009,Fasteners Item 00009,Industrial Parts,Fasteners,CS,28.0,240.55,370.27,SUP-0227,False,2021-01-30
PRD-00010,Outerwear Item 00010,Apparel,Outerwear,PLT,10.93,113.44,157.31,SUP-0112,False,2023-09-15
PRD-00011,Outerwear Item 00011,Apparel,Outerwear,PLT,7.11,77.88,161.29,SUP-0145,False,2022-01-09
PRD-00012,Footwear Item 00012,Apparel,Footwear,CS,23.38,157.57,297.0,SUP-0157,False,2020-05-06
PRD-00013,Outerwear Item 00013,Apparel,Outerwear,EA,5.82,124.51,173.45,SUP-0083,False,2023-04-05
PRD-00014,Paper Goods Item 00014,Office Supplies,Paper Goods,PLT,13.91,146.1,267.63,SUP-0074,False,2020-02-04
PRD-00015,Bearings Item 00015,Industrial Parts,Bearings,EA,19.49,196.12,341.57,SUP-0021,False,2020-08-29
