warehouse_id,shipment_id,order_id,line_id,quantity
WH-11,21855,ORD-000001,1,249
WH-10,2680,ORD-000002,1,121
WH-16,13629,ORD-000003,1,289
WH-09,195425,ORD-000004,1,216
WH-09,195426,ORD-000004,1,-216
WH-13,40038,ORD-000005,1,207
WH-14,158195,ORD-000006,1,127
WH-02,104760,ORD-000007,1,252
WH-01,154603,ORD-000008,1,388
WH-01,154604,ORD-000008,1,160
WH-02,104761,ORD-000009,1,434
WH-02,104762,ORD-000009,2,12
WH-15,171183,ORD-000010,1,121
WH-15,171184,ORD-000010,1,166
WH-15,171185,ORD-000010,1,55
WH-16,13630,ORD-000011,1,396
WH-16,13631,ORD-000011,2,276
WH-16,13632,ORD-000011,2,206
WH-04,117478,ORD-000012,1,307
WH-17,107805,ORD-000013,1,296
WH-08,5787,ORD-000014,1,320
WH-08,5788,ORD-000014,2,376
WH-08,5789,ORD-000014,2,-85
WH-11,21856,ORD-000015,1,303
WH-14,158196,ORD-000016,1,86
WH-14,158197,ORD-000016,2,433
WH-01,154605,ORD-000017,1,278
WH-01,154606,ORD-000017,2,302
WH-01,154607,ORD-000017,3,325
WH-01,154608,ORD-000017,3,-325
WH-01,154609,ORD-000017,3,147
WH-08,5790,ORD-000018,1,434
WH-10,2681,ORD-000019,1,134
WH-10,2682,ORD-000019,2,414
WH-05,123100,ORD-000020,1,123
WH-05,123101,ORD-000020,1,59
WH-09,195427,ORD-000021,1,455
WH-09,195428,ORD-000021,2,463
WH-05,123102,ORD-000022,1,206
WH-05,123103,ORD-000022,1,188
WH-17,107806,ORD-000023,1,474
WH-17,107807,ORD-000023,2,41
WH-17,107808,ORD-000023,2,28
WH-17,107809,ORD-000023,3,93
WH-17,107810,ORD-000023,3,137
WH-17,107811,ORD-000023,3,56
WH-07,5230,ORD-000024,1,3
WH-07,5231,ORD-000024,1,3
WH-09,195429,ORD-000025,1,241
WH-15,171186,ORD-000026,1,72
WH-14,158198,ORD-000027,1,253
WH-05,123104,ORD-000028,1,182
WH-05,123105,ORD-000028,2,111
WH-05,123106,ORD-000028,2,-33
WH-05,123107,ORD-000028,3,35
WH-14,158199,ORD-000029,1,237
WH-14,158200,ORD-000029,2,36
WH-14,158201,ORD-000029,2,19
WH-14,158202,ORD-000029,3,55
WH-14,158203,ORD-000029,3,25
WH-06,116815,ORD-000030,1,14
WH-06,116816,ORD-000030,1,11
WH-06,116817,ORD-000030,2,371
WH-16,13633,ORD-000031,1,158
WH-17,107812,ORD-000032,1,203
WH-05,123108,ORD-000033,1,490
WH-05,123109,ORD-000033,2,60
WH-05,123110,ORD-000033,2,38
WH-10,2683,ORD-000034,1,203
WH-10,2684,ORD-000034,2,203
WH-06,116818,ORD-000035,1,423
WH-06,116819,ORD-000036,1,29
WH-06,116820,ORD-000036,1,-29
WH-06,116821,ORD-000036,2,457
WH-06,116822,ORD-000036,3,278
WH-05,123111,ORD-000037,1,246
WH-05,123112,ORD-000037,2,63
WH-05,123113,ORD-000037,2,39
WH-06,116823,ORD-000038,1,213
WH-06,116824,ORD-000038,1,-213
WH-06,116825,ORD-000038,2,274
WH-06,116826,ORD-000038,2,182
WH-14,158204,ORD-000039,1,63
WH-16,13634,ORD-000040,1,108
WH-17,107813,ORD-000041,1,254
WH-14,158205,ORD-000042,1,71
WH-03,82916,ORD-000043,1,226
WH-03,82917,ORD-000043,2,168
WH-03,82918,ORD-000043,3,478
WH-07,5232,ORD-000044,1,93
WH-07,5233,ORD-000044,1,102
WH-07,5234,ORD-000044,1,-195
WH-07,5235,ORD-000044,2,163
WH-07,5236,ORD-000044,2,216
WH-01,154610,ORD-000045,1,127
WH-01,154611,ORD-000045,1,118
WH-01,154612,ORD-000045,2,352
WH-12,106449,ORD-000046,1,479
WH-06,116827,ORD-000047,1,430
WH-06,116828,ORD-000047,2,201
WH-06,116829,ORD-000047,2,202
WH-06,116830,ORD-000047,3,299
WH-06,116831,ORD-000047,3,198
WH-09,195430,ORD-000048,1,27
WH-09,195431,ORD-000048,1,22
WH-09,195432,ORD-000048,2,226
WH-01,154613,ORD-000049,1,430
WH-13,40039,ORD-000050,1,418
WH-13,40040,ORD-000050,2,449
WH-13,40041,ORD-000050,2,-199
WH-13,40042,ORD-000051,1,394
WH-03,82919,ORD-000052,1,238
WH-03,82920,ORD-000052,2,441
WH-04,117479,ORD-000053,1,66
WH-04,117480,ORD-000053,2,388
WH-04,117481,ORD-000053,3,44
WH-04,117482,ORD-000053,3,44
WH-05,123114,ORD-000054,1,496
WH-16,13635,ORD-000055,1,278
WH-16,13636,ORD-000055,1,84
WH-18,124054,ORD-000056,1,296
WH-18,124055,ORD-000056,2,452
WH-18,124056,ORD-000056,3,492
WH-08,5791,ORD-000057,1,249
WH-08,5792,ORD-000057,1,111
WH-08,5793,ORD-000057,2,155
WH-08,5794,ORD-000057,3,139
WH-11,21857,ORD-000058,1,35
WH-12,106450,ORD-000059,1,129
WH-09,195433,ORD-000060,1,57
WH-09,195434,ORD-000060,1,28
WH-09,195435,ORD-000060,2,307
WH-02,104763,ORD-000061,1,333
WH-02,104764,ORD-000061,2,84
WH-02,104765,ORD-000061,2,78
WH-02,104766,ORD-000061,2,-162
WH-11,21858,ORD-000062,1,140
WH-11,21859,ORD-000062,1,166
WH-11,21860,ORD-000062,1,134
WH-07,5237,ORD-000063,1,357
WH-07,5238,ORD-000063,2,101
WH-07,5239,ORD-000063,2,53
WH-06,116832,ORD-000064,1,305
WH-06,116833,ORD-000064,2,53
WH-10,2685,ORD-000065,1,305
WH-11,21861,ORD-000066,1,224
WH-04,117483,ORD-000067,1,317
WH-04,117484,ORD-000067,2,202
WH-04,117485,ORD-000067,2,279
WH-06,116834,ORD-000068,1,312
WH-06,116835,ORD-000068,2,14
WH-06,116836,ORD-000068,2,16
