shipment_id,order_id,line_id,warehouse_id,carrier_id,transaction_type,quantity,event_date,tracking_number,freight_cost,carrier_service_level,created_at
SHP-0000001,ORD-000001,1,WH-13,CAR-15,Shipment,17,2024-01-17,TRK000000001,84.41,Ground,2024-01-17
SHP-0000002,ORD-000002,1,WH-04,CAR-03,Shipment,467,2024-06-23,TRK000000002,95.54,Ground,2024-06-23
SHP-0000003,ORD-000002,1,WH-04,CAR-15,Return,-467,2024-07-10,TRK000000003,27.39,Freight,2024-07-10
SHP-0000004,ORD-000003,1,WH-07,CAR-19,Shipment,467,2023-10-27,TRK000000004,83.0,Freight,2023-10-27
SHP-0000005,ORD-000003,2,WH-07,CAR-07,Shipment,192,2023-10-27,TRK000000005,80.3,Express,2023-10-27
SHP-0000006,ORD-000003,3,WH-07,CAR-13,Shipment,107,2023-10-26,TRK000000006,187.05,Freight,2023-10-26
SHP-0000007,ORD-000003,3,WH-07,CAR-06,Shipment,120,2023-11-12,TRK000000007,204.86,Freight,2023-11-12
SHP-0000008,ORD-000004,1,WH-03,CAR-15,Shipment,282,2023-12-25,TRK000000008,121.66,Express,2023-12-25
SHP-0000009,ORD-000004,1,WH-03,CAR-16,Return,-282,2024-01-13,TRK000000009,6.65,Express,2024-01-13
SHP-0000010,ORD-000005,1,WH-17,CAR-04,Shipment,435,2024-05-06,TRK000000010,153.45,Express,2024-05-06
SHP-0000011,ORD-000006,1,WH-03,CAR-19,Shipment,202,2023-10-16,TRK000000011,102.71,Express,2023-10-16
SHP-0000012,ORD-000007,1,WH-09,CAR-18,Shipment,86,2024-02-25,TRK000000012,12.42,Ground,2024-02-25
SHP-0000013,ORD-000007,1,WH-09,CAR-11,Shipment,117,2024-03-10,TRK000000013,177.64,Express,2024-03-10
SHP-0000014,ORD-000008,1,WH-03,CAR-12,Shipment,84,2024-04-29,TRK000000014,69.34,Freight,2024-04-29
SHP-0000015,ORD-000008,1,WH-03,CAR-20,Shipment,121,2024-05-20,TRK000000015,66.49,Express,2024-05-20
SHP-0000016,ORD-000008,2,WH-03,CAR-09,Shipment,94,2024-05-01,TRK000000016,159.35,Ground,2024-05-01
SHP-0000017,ORD-000008,2,WH-03,CAR-09,Shipment,70,2024-05-06,TRK000000017,107.06,Freight,2024-05-06
SHP-0000018,ORD-000009,1,WH-05,CAR-12,Shipment,142,2024-03-27,TRK000000018,45.72,Freight,2024-03-27
SHP-0000019,ORD-000009,1,WH-05,CAR-16,Shipment,66,2024-04-13,TRK000000019,54.8,Express,2024-04-13
SHP-0000020,ORD-000010,1,WH-10,CAR-06,Shipment,122,2024-01-21,TRK000000020,96.9,Freight,2024-01-21
SHP-0000021,ORD-000010,2,WH-10,CAR-09,Shipment,35,2024-01-18,TRK000000021,40.18,Freight,2024-01-18
SHP-0000022,ORD-000010,2,WH-10,CAR-04,Cancellation,-35,2024-02-02,TRK000000022,21.45,Freight,2024-02-02
SHP-0000023,ORD-000011,1,WH-08,CAR-02,Shipment,120,2023-12-09,TRK000000023,195.91,Freight,2023-12-09
SHP-0000024,ORD-000011,1,WH-08,CAR-13,Return,-120,2023-12-22,TRK000000024,31.89,Ground,2023-12-22
SHP-0000025,ORD-000011,2,WH-08,CAR-02,Shipment,87,2023-12-09,TRK000000025,121.63,Freight,2023-12-09
SHP-0000026,ORD-000011,3,WH-08,CAR-18,Shipment,195,2023-12-12,TRK000000026,28.66,Express,2023-12-12
SHP-0000027,ORD-000011,3,WH-08,CAR-13,Shipment,101,2023-12-27,TRK000000027,98.29,Express,2023-12-27
SHP-0000028,ORD-000012,1,WH-11,CAR-10,Shipment,320,2023-11-17,TRK000000028,129.2,Freight,2023-11-17
SHP-0000029,ORD-000012,2,WH-11,CAR-07,Shipment,192,2023-11-13,TRK000000029,146.51,Ground,2023-11-13
SHP-0000030,ORD-000012,2,WH-11,CAR-06,Shipment,184,2023-12-03,TRK000000030,89.64,Express,2023-12-03
SHP-0000031,ORD-000013,1,WH-12,CAR-11,Shipment,303,2024-04-07,TRK000000031,88.39,Ground,2024-04-07
SHP-0000032,ORD-000013,1,WH-12,CAR-13,Return,-303,2024-05-16,TRK000000032,18.8,Express,2024-05-16
SHP-0000033,ORD-000014,1,WH-02,CAR-02,Shipment,61,2024-01-26,TRK000000033,144.39,Freight,2024-01-26
SHP-0000034,ORD-000014,1,WH-02,CAR-08,Shipment,25,2024-02-11,TRK000000034,44.82,Ground,2024-02-11
SHP-0000035,ORD-000014,2,WH-02,CAR-17,Shipment,433,2024-01-23,TRK000000035,66.08,Express,2024-01-23
SHP-0000036,ORD-000015,1,WH-12,CAR-20,Shipment,128,2024-01-10,TRK000000036,184.97,Ground,2024-01-10
SHP-0000037,ORD-000015,1,WH-12,CAR-18,Shipment,150,2024-01-21,TRK000000037,139.76,Freight,2024-01-21
SHP-0000038,ORD-000015,2,WH-12,CAR-20,Shipment,204,2024-01-14,TRK000000038,192.73,Ground,2024-01-14
SHP-0000039,ORD-000015,2,WH-12,CAR-05,Shipment,98,2024-01-20,TRK000000039,61.31,Freight,2024-01-20
SHP-0000040,ORD-000015,3,WH-12,CAR-19,Shipment,325,2024-01-13,TRK000000040,82.65,Ground,2024-01-13
SHP-0000041,ORD-000016,1,WH-13,CAR-15,Shipment,219,2023-12-24,TRK000000041,39.12,Express,2023-12-24
SHP-0000042,ORD-000016,1,WH-13,CAR-01,Shipment,215,2024-01-06,TRK000000042,160.95,Freight,2024-01-06
SHP-0000043,ORD-000017,1,WH-15,CAR-16,Shipment,70,2023-11-12,TRK000000043,187.56,Express,2023-11-12
SHP-0000044,ORD-000017,1,WH-15,CAR-08,Shipment,64,2023-11-21,TRK000000044,17.63,Freight,2023-11-21
SHP-0000045,ORD-000017,2,WH-15,CAR-13,Shipment,414,2023-11-10,TRK000000045,63.99,Ground,2023-11-10
SHP-0000046,ORD-000018,1,WH-16,CAR-04,Shipment,182,2023-12-26,TRK000000046,139.53,Ground,2023-12-26
SHP-0000047,ORD-000019,1,WH-09,CAR-05,Shipment,455,2024-03-14,TRK000000047,126.48,Express,2024-03-14
SHP-0000048,ORD-000019,2,WH-09,CAR-10,Shipment,187,2024-03-12,TRK000000048,98.66,Freight,2024-03-12
SHP-0000049,ORD-000019,2,WH-09,CAR-07,Shipment,276,2024-03-20,TRK000000049,58.12,Express,2024-03-20
SHP-0000050,ORD-000020,1,WH-15,CAR-10,Shipment,394,2024-05-06,TRK000000050,174.64,Ground,2024-05-06
SHP-0000051,ORD-000020,1,WH-15,CAR-15,Return,-394,2024-05-10,TRK000000051,29.87,Freight,2024-05-10
SHP-0000052,ORD-000021,1,WH-05,CAR-01,Shipment,474,2024-04-10,TRK000000052,209.48,Ground,2024-04-10
SHP-0000053,ORD-000021,2,WH-05,CAR-07,Shipment,69,2024-04-10,TRK000000053,136.91,Freight,2024-04-10
SHP-0000054,ORD-000021,3,WH-05,CAR-08,Shipment,230,2024-04-10,TRK000000054,54.46,Express,2024-04-10
SHP-0000055,ORD-000021,3,WH-05,CAR-14,Return,-58,2024-04-22,TRK000000055,18.91,Ground,2024-04-22
SHP-0000056,ORD-000022,1,WH-07,CAR-05,Shipment,6,2024-01-07,TRK000000056,8.47,Express,2024-01-07
SHP-0000057,ORD-000023,1,WH-01,CAR-12,Shipment,159,2024-05-16,TRK000000057,138.36,Express,2024-05-16
SHP-0000058,ORD-000023,1,WH-01,CAR-08,Shipment,82,2024-05-28,TRK000000058,192.28,Express,2024-05-28
SHP-0000059,ORD-000024,1,WH-01,CAR-13,Shipment,72,2023-11-25,TRK000000059,133.28,Ground,2023-11-25
SHP-0000060,ORD-000025,1,WH-06,CAR-10,Shipment,253,2023-11-18,TRK000000060,41.15,Freight,2023-11-18
SHP-0000061,ORD-000026,1,WH-18,CAR-19,Shipment,182,2024-03-25,TRK000000061,38.34,Ground,2024-03-25
SHP-0000062,ORD-000026,1,WH-18,CAR-11,Return,-57,2024-04-11,TRK000000062,7.55,Express,2024-04-11
SHP-0000063,ORD-000026,2,WH-18,CAR-05,Shipment,76,2024-03-25,TRK000000063,152.68,Express,2024-03-25
SHP-0000064,ORD-000026,2,WH-18,CAR-20,Shipment,35,2024-04-15,TRK000000064,53.19,Ground,2024-04-15
SHP-0000065,ORD-000026,3,WH-18,CAR-02,Shipment,35,2024-03-26,TRK000000065,118.75,Freight,2024-03-26
SHP-0000066,ORD-000027,1,WH-01,CAR-11,Shipment,237,2023-11-17,TRK000000066,33.05,Freight,2023-11-17
SHP-0000067,ORD-000027,2,WH-01,CAR-02,Shipment,55,2023-11-16,TRK000000067,13.14,Express,2023-11-16
SHP-0000068,ORD-000027,3,WH-01,CAR-12,Shipment,56,2023-11-15,TRK000000068,143.09,Freight,2023-11-15
SHP-0000069,ORD-000027,3,WH-01,CAR-11,Shipment,24,2023-11-28,TRK000000069,163.74,Freight,2023-11-28
SHP-0000070,ORD-000028,1,WH-05,CAR-14,Shipment,25,2024-04-15,TRK000000070,219.6,Ground,2024-04-15
SHP-0000071,ORD-000028,1,WH-05,CAR-03,Cancellation,-13,2024-04-23,TRK000000071,9.61,Express,2024-04-23
SHP-0000072,ORD-000028,2,WH-05,CAR-14,Shipment,371,2024-04-13,TRK000000072,177.01,Express,2024-04-13
SHP-0000073,ORD-000029,1,WH-15,CAR-14,Shipment,158,2024-02-23,TRK000000073,203.72,Express,2024-02-23
SHP-0000074,ORD-000030,1,WH-14,CAR-06,Shipment,119,2024-06-02,TRK000000074,199.24,Freight,2024-06-02
SHP-0000075,ORD-000030,1,WH-14,CAR-20,Shipment,84,2024-06-10,TRK000000075,72.62,Ground,2024-06-10
SHP-0000076,ORD-000031,1,WH-14,CAR-05,Shipment,490,2023-11-22,TRK000000076,190.5,Express,2023-11-22
SHP-0000077,ORD-000032,1,WH-06,CAR-01,Shipment,203,2024-02-27,TRK000000077,55.88,Express,2024-02-27
SHP-0000078,ORD-000032,2,WH-06,CAR-11,Shipment,203,2024-02-21,TRK000000078,43.72,Freight,2024-02-21
SHP-0000079,ORD-000033,1,WH-01,CAR-18,Shipment,423,2024-06-17,TRK000000079,135.48,Express,2024-06-17
SHP-0000080,ORD-000034,1,WH-17,CAR-08,Shipment,29,2023-11-30,TRK000000080,103.8,Express,2023-11-30
SHP-0000081,ORD-000034,2,WH-17,CAR-17,Shipment,457,2023-12-04,TRK000000081,47.76,Ground,2023-12-04
SHP-0000082,ORD-000034,2,WH-17,CAR-08,Return,-189,2024-05-03,TRK000000082,16.21,Ground,2024-05-03
SHP-0000083,ORD-000034,3,WH-17,CAR-18,Shipment,278,2023-12-01,TRK000000083,181.78,Express,2023-12-01
SHP-0000084,ORD-000035,1,WH-18,CAR-01,Shipment,120,2024-04-18,TRK000000084,29.68,Ground,2024-04-18
SHP-0000085,ORD-000035,1,WH-18,CAR-05,Shipment,126,2024-04-28,TRK000000085,35.14,Freight,2024-04-28
SHP-0000086,ORD-000035,2,WH-18,CAR-20,Shipment,102,2024-04-21,TRK000000086,179.61,Ground,2024-04-21
SHP-0000087,ORD-000035,2,WH-18,CAR-06,Cancellation,-60,2024-05-06,TRK000000087,16.98,Ground,2024-05-06
SHP-0000088,ORD-000036,1,WH-08,CAR-08,Shipment,213,2024-05-18,TRK000000088,128.42,Express,2024-05-18
SHP-0000089,ORD-000036,2,WH-08,CAR-19,Shipment,456,2024-05-21,TRK000000089,50.39,Freight,2024-05-21
SHP-0000090,ORD-000037,1,WH-08,CAR-20,Shipment,63,2023-10-23,TRK000000090,189.9,Express,2023-10-23
SHP-0000091,ORD-000037,1,WH-08,CAR-17,Return,-27,2023-11-03,TRK000000091,11.49,Ground,2023-11-03
SHP-0000092,ORD-000038,1,WH-16,CAR-19,Shipment,108,2023-11-25,TRK000000092,22.72,Ground,2023-11-25
SHP-0000093,ORD-000039,1,WH-02,CAR-05,Shipment,108,2023-11-02,TRK000000093,174.37,Express,2023-11-02
SHP-0000094,ORD-000039,1,WH-02,CAR-05,Shipment,146,2023-11-18,TRK000000094,104.56,Express,2023-11-18
SHP-0000095,ORD-000039,1,WH-02,CAR-19,Return,-137,2023-12-05,TRK000000095,36.23,Ground,2023-12-05
SHP-0000096,ORD-000040,1,WH-06,CAR-01,Shipment,71,2024-04-02,TRK000000096,43.78,Freight,2024-04-02
SHP-0000097,ORD-000040,1,WH-06,CAR-03,Return,-71,2024-04-18,TRK000000097,20.6,Express,2024-04-18
SHP-0000098,ORD-000041,1,WH-01,CAR-17,Shipment,102,2024-04-18,TRK000000098,43.74,Freight,2024-04-18
SHP-0000099,ORD-000041,1,WH-01,CAR-02,Shipment,124,2024-04-27,TRK000000099,72.33,Freight,2024-04-27
SHP-0000100,ORD-000041,2,WH-01,CAR-07,Shipment,168,2024-04-20,TRK000000100,74.34,Freight,2024-04-20
SHP-0000101,ORD-000041,2,WH-01,CAR-17,Return,-168,2024-05-08,TRK000000101,30.81,Express,2024-05-08
SHP-0000102,ORD-000041,3,WH-01,CAR-07,Shipment,478,2024-04-22,TRK000000102,109.88,Ground,2024-04-22
SHP-0000103,ORD-000042,1,WH-07,CAR-07,Shipment,195,2024-02-17,TRK000000103,196.8,Express,2024-02-17
SHP-0000104,ORD-000042,2,WH-07,CAR-20,Shipment,379,2024-02-17,TRK000000104,192.61,Freight,2024-02-17
SHP-0000105,ORD-000043,1,WH-15,CAR-11,Shipment,245,2023-11-23,TRK000000105,126.42,Express,2023-11-23
SHP-0000106,ORD-000043,2,WH-15,CAR-05,Shipment,352,2023-11-27,TRK000000106,76.49,Ground,2023-11-27
SHP-0000107,ORD-000044,1,WH-09,CAR-02,Shipment,479,2024-04-26,TRK000000107,80.36,Express,2024-04-26
SHP-0000108,ORD-000045,1,WH-17,CAR-08,Shipment,259,2024-03-17,TRK000000108,196.83,Freight,2024-03-17
SHP-0000109,ORD-000045,1,WH-17,CAR-10,Shipment,171,2024-04-03,TRK000000109,197.55,Express,2024-04-03
SHP-0000110,ORD-000045,2,WH-17,CAR-10,Shipment,181,2024-03-17,TRK000000110,154.99,Ground,2024-03-17
SHP-0000111,ORD-000045,2,WH-17,CAR-03,Shipment,222,2024-03-27,TRK000000111,167.05,Ground,2024-03-27
SHP-0000112,ORD-000045,3,WH-17,CAR-14,Shipment,497,2024-03-17,TRK000000112,199.57,Express,2024-03-17
SHP-0000113,ORD-000046,1,WH-17,CAR-16,Shipment,49,2024-07-02,TRK000000113,185.24,Express,2024-07-02
SHP-0000114,ORD-000046,2,WH-17,CAR-16,Shipment,133,2024-07-01,TRK000000114,125.41,Ground,2024-07-01
SHP-0000115,ORD-000046,2,WH-17,CAR-10,Shipment,93,2024-07-23,TRK000000115,86.89,Express,2024-07-23
SHP-0000116,ORD-000047,1,WH-13,CAR-16,Shipment,210,2023-11-10,TRK000000116,148.37,Ground,2023-11-10
SHP-0000117,ORD-000047,1,WH-13,CAR-14,Shipment,220,2023-11-20,TRK000000117,11.44,Freight,2023-11-20
SHP-0000118,ORD-000048,1,WH-08,CAR-07,Shipment,418,2024-06-21,TRK000000118,133.89,Ground,2024-06-21
SHP-0000119,ORD-000048,2,WH-08,CAR-09,Shipment,449,2024-06-21,TRK000000119,25.37,Freight,2024-06-21
SHP-0000120,ORD-000049,1,WH-02,CAR-19,Shipment,394,2023-10-17,TRK000000120,25.65,Freight,2023-10-17
SHP-0000121,ORD-000050,1,WH-13,CAR-20,Shipment,238,2024-05-29,TRK000000121,72.15,Ground,2024-05-29
SHP-0000122,ORD-000050,2,WH-13,CAR-01,Shipment,275,2024-06-02,TRK000000122,169.3,Freight,2024-06-02
SHP-0000123,ORD-000050,2,WH-13,CAR-10,Shipment,166,2024-06-08,TRK000000123,103.79,Freight,2024-06-08
SHP-0000124,ORD-000051,1,WH-03,CAR-18,Shipment,66,2024-01-22,TRK000000124,63.73,Freight,2024-01-22
SHP-0000125,ORD-000051,2,WH-03,CAR-05,Shipment,388,2024-01-20,TRK000000125,49.07,Express,2024-01-20
SHP-0000126,ORD-000051,3,WH-03,CAR-19,Shipment,88,2024-01-18,TRK000000126,32.99,Ground,2024-01-18
SHP-0000127,ORD-000052,1,WH-02,CAR-19,Shipment,257,2024-04-17,TRK000000127,92.81,Freight,2024-04-17
SHP-0000128,ORD-000052,1,WH-02,CAR-12,Shipment,239,2024-04-27,TRK000000128,17.22,Express,2024-04-27
SHP-0000129,ORD-000053,1,WH-06,CAR-17,Shipment,166,2024-05-18,TRK000000129,113.18,Ground,2024-05-18
SHP-0000130,ORD-000053,1,WH-06,CAR-05,Shipment,112,2024-06-04,TRK000000130,128.5,Ground,2024-06-04
SHP-0000131,ORD-000054,1,WH-17,CAR-19,Shipment,296,2023-10-13,TRK000000131,178.24,Ground,2023-10-13
SHP-0000132,ORD-000054,2,WH-17,CAR-11,Shipment,452,2023-10-17,TRK000000132,46.2,Express,2023-10-17
SHP-0000133,ORD-000054,2,WH-17,CAR-09,Return,-183,2023-11-01,TRK000000133,18.66,Ground,2023-11-01
SHP-0000134,ORD-000054,3,WH-17,CAR-19,Shipment,492,2023-10-13,TRK000000134,98.52,Express,2023-10-13
SHP-0000135,ORD-000055,1,WH-04,CAR-05,Shipment,249,2023-12-18,TRK000000135,210.88,Express,2023-12-18
SHP-0000136,ORD-000055,2,WH-04,CAR-17,Shipment,80,2023-12-20,TRK000000136,169.85,Freight,2023-12-20
SHP-0000137,ORD-000055,2,WH-04,CAR-11,Shipment,75,2024-01-01,TRK000000137,123.3,Freight,2024-01-01
SHP-0000138,ORD-000055,3,WH-04,CAR-06,Shipment,139,2023-12-17,TRK000000138,210.47,Ground,2023-12-17
SHP-0000139,ORD-000056,1,WH-01,CAR-10,Shipment,35,2024-02-09,TRK000000139,68.2,Freight,2024-02-09
SHP-0000140,ORD-000058,1,WH-04,CAR-11,Shipment,85,2024-06-22,TRK000000140,28.58,Ground,2024-06-22
SHP-0000141,ORD-000058,2,WH-04,CAR-19,Shipment,307,2024-06-22,TRK000000141,65.82,Express,2024-06-22
SHP-0000142,ORD-000059,1,WH-13,CAR-10,Shipment,190,2023-10-13,TRK000000142,21.1,Express,2023-10-13
SHP-0000143,ORD-000059,1,WH-13,CAR-18,Shipment,143,2023-10-26,TRK000000143,34.51,Express,2023-10-26
SHP-0000144,ORD-000059,2,WH-13,CAR-17,Shipment,162,2023-10-10,TRK000000144,32.93,Ground,2023-10-10
SHP-0000145,ORD-000060,1,WH-14,CAR-11,Shipment,158,2024-02-19,TRK000000145,101.62,Express,2024-02-19
SHP-0000146,ORD-000060,1,WH-14,CAR-01,Shipment,148,2024-02-29,TRK000000146,111.68,Express,2024-02-29
SHP-0000147,ORD-000060,1,WH-14,CAR-04,Return,-306,2024-03-03,TRK000000147,3.55,Ground,2024-03-03
SHP-0000148,ORD-000061,1,WH-16,CAR-14,Shipment,163,2024-06-25,TRK000000148,172.16,Freight,2024-06-25
SHP-0000149,ORD-000061,1,WH-16,CAR-18,Shipment,194,2024-07-19,TRK000000149,37.48,Express,2024-07-19
SHP-0000150,ORD-000061,2,WH-16,CAR-15,Shipment,154,2024-06-26,TRK000000150,149.07,Express,2024-06-26
SHP-0000151,ORD-000062,1,WH-11,CAR-18,Shipment,132,2024-04-28,TRK000000151,59.22,Ground,2024-04-28
SHP-0000152,ORD-000062,1,WH-11,CAR-20,Shipment,173,2024-05-07,TRK000000152,184.41,Ground,2024-05-07
SHP-0000153,ORD-000062,2,WH-11,CAR-20,Shipment,53,2024-04-27,TRK000000153,89.47,Ground,2024-04-27
SHP-0000154,ORD-000063,1,WH-11,CAR-02,Shipment,305,2024-05-23,TRK000000154,187.53,Ground,2024-05-23
SHP-0000155,ORD-000064,1,WH-14,CAR-14,Shipment,224,2023-11-03,TRK000000155,207.65,Freight,2023-11-03
SHP-0000156,ORD-000065,1,WH-12,CAR-04,Shipment,317,2023-11-26,TRK000000156,92.17,Express,2023-11-26
SHP-0000157,ORD-000065,2,WH-12,CAR-05,Shipment,481,2023-11-30,TRK000000157,165.85,Freight,2023-11-30
SHP-0000158,ORD-000066,1,WH-12,CAR-20,Shipment,312,2023-10-11,TRK000000158,134.28,Express,2023-10-11
SHP-0000159,ORD-000066,1,WH-12,CAR-06,Return,-116,2023-10-26,TRK000000159,33.6,Freight,2023-10-26
SHP-0000160,ORD-000066,2,WH-12,CAR-20,Shipment,30,2023-10-06,TRK000000160,150.96,Express,2023-10-06
SHP-0000161,ORD-000066,2,WH-12,CAR-11,Return,-16,2023-10-13,TRK000000161,33.17,Express,2023-10-13
SHP-0000162,ORD-000067,1,WH-05,CAR-07,Shipment,70,2024-05-01,TRK000000162,147.19,Express,2024-05-01
SHP-0000163,ORD-000067,1,WH-05,CAR-12,Return,-70,2024-05-20,TRK000000163,31.97,Express,2024-05-20
SHP-0000164,ORD-000068,1,WH-01,CAR-17,Shipment,101,2024-06-18,TRK000000164,159.4,Freight,2024-06-18
SHP-0000165,ORD-000068,1,WH-01,CAR-16,Shipment,139,2024-07-10,TRK000000165,89.33,Ground,2024-07-10
SHP-0000166,ORD-000069,1,WH-18,CAR-04,Shipment,220,2024-05-28,TRK000000166,128.12,Express,2024-05-28
SHP-0000167,ORD-000069,2,WH-18,CAR-19,Shipment,90,2024-05-30,TRK000000167,84.73,Freight,2024-05-30
SHP-0000168,ORD-000069,3,WH-18,CAR-11,Shipment,333,2024-05-28,TRK000000168,174.16,Ground,2024-05-28
SHP-0000169,ORD-000070,1,WH-01,CAR-03,Shipment,187,2023-11-16,TRK000000169,98.06,Freight,2023-11-16
SHP-0000170,ORD-000071,1,WH-07,CAR-10,Shipment,464,2024-03-31,TRK000000170,151.93,Express,2024-03-31
SHP-0000171,ORD-000072,1,WH-02,CAR-19,Shipment,348,2023-10-13,TRK000000171,178.82,Ground,2023-10-13
SHP-0000172,ORD-000073,1,WH-18,CAR-11,Shipment,395,2024-06-14,TRK000000172,149.46,Freight,2024-06-14
SHP-0000173,ORD-000073,2,WH-18,CAR-02,Shipment,270,2024-06-12,TRK000000173,63.94,Ground,2024-06-12
