case_id,gateway_id,transaction_id
CASE-0001,BRAVO,TXN-200294
CASE-0002,ALPHA,TXN-100911
CASE-0003,BRAVO,TXN-203197
CASE-0004,CHARLIE,TXN-302424
CASE-0005,CHARLIE,TXN-300964
CASE-0006,BRAVO,TXN-200001
CASE-0007,ALPHA,TXN-103469
CASE-0008,BRAVO,TXN-202835
CASE-0009,BRAVO,TXN-200392
CASE-0010,ALPHA,TXN-101726
CASE-0011,CHARLIE,TXN-301645
CASE-0012,BRAVO,TXN-200632
CASE-0013,BRAVO,TXN-202864
CASE-0014,BRAVO,TXN-203426
CASE-0015,ALPHA,TXN-900064
CASE-0016,BRAVO,TXN-200270
CASE-0017,BRAVO,TXN-201952
CASE-0018,ALPHA,TXN-101312
CASE-0019,BRAVO,TXN-200576
CASE-0020,BRAVO,TXN-201969
CASE-0021,BRAVO,TXN-200156
CASE-0022,CHARLIE,TXN-303093
CASE-0023,BRAVO,TXN-202995
CASE-0024,BRAVO,TXN-202727
CASE-0025,CHARLIE,TXN-301845
CASE-0026,BRAVO,TXN-201788
CASE-0027,BRAVO,TXN-202537
CASE-0028,CHARLIE,TXN-300465
CASE-0029,BRAVO,TXN-202581
CASE-0030,CHARLIE,TXN-301706
CASE-0031,BRAVO,TXN-203374
CASE-0032,BRAVO,TXN-203041
CASE-0033,ALPHA,TXN-101298
CASE-0034,ALPHA,TXN-103052
CASE-0035,BRAVO,TXN-200359
CASE-0036,ALPHA,TXN-103150
CASE-0037,BRAVO,TXN-202625
CASE-0038,ALPHA,TXN-103467
CASE-0039,ALPHA,TXN-100672
CASE-0040,BRAVO,TXN-900131
CASE-0041,BRAVO,TXN-200908
CASE-0042,ALPHA,TXN-900076
CASE-0043,CHARLIE,TXN-301630
CASE-0044,ALPHA,TXN-102184
CASE-0045,ALPHA,TXN-100200
CASE-0046,CHARLIE,TXN-302840
CASE-0047,CHARLIE,TXN-300872
CASE-0048,BRAVO,TXN-200900
CASE-0049,BRAVO,TXN-202296
CASE-0050,CHARLIE,TXN-301576
CASE-0051,BRAVO,TXN-202110
CASE-0052,ALPHA,TXN-101760
CASE-0053,ALPHA,TXN-102910
CASE-0054,ALPHA,TXN-101475
CASE-0055,CHARLIE,TXN-302381
CASE-0056,BRAVO,TXN-202714
CASE-0057,ALPHA,TXN-102493
CASE-0058,ALPHA,TXN-100830
CASE-0059,ALPHA,TXN-100433
CASE-0060,CHARLIE,TXN-302896
CASE-0061,CHARLIE,TXN-302349
CASE-0062,BRAVO,TXN-202052
CASE-0063,CHARLIE,TXN-300528
CASE-0064,ALPHA,TXN-100884
CASE-0065,BRAVO,TXN-202676
CASE-0066,BRAVO,TXN-203372
CASE-0067,ALPHA,TXN-103138
CASE-0068,BRAVO,TXN-201900
CASE-0069,CHARLIE,TXN-300409
CASE-0070,ALPHA,TXN-100444
CASE-0071,BRAVO,TXN-202495
CASE-0072,CHARLIE,TXN-302744
CASE-0073,CHARLIE,TXN-301622
CASE-0074,BRAVO,TXN-200533
CASE-0075,ALPHA,TXN-101355
CASE-0076,CHARLIE,TXN-302039
CASE-0077,ALPHA,TXN-101495
CASE-0078,ALPHA,TXN-101667
CASE-0079,ALPHA,TXN-103412
CASE-0080,BRAVO,TXN-200455
CASE-0081,BRAVO,TXN-200367
CASE-0082,CHARLIE,TXN-301694
CASE-0083,BRAVO,TXN-202042
CASE-0084,CHARLIE,TXN-300733
CASE-0085,BRAVO,TXN-201520
CASE-0086,BRAVO,TXN-201872
CASE-0087,ALPHA,TXN-101663
CASE-0088,ALPHA,TXN-101956
CASE-0089,BRAVO,TXN-202572
CASE-0090,CHARLIE,TXN-302565
CASE-0091,ALPHA,TXN-103357
CASE-0092,BRAVO,TXN-900072
CASE-0093,BRAVO,TXN-200782
CASE-0094,BRAVO,TXN-202043
CASE-0095,ALPHA,TXN-100874
CASE-0096,ALPHA,TXN-102188
CASE-0097,ALPHA,TXN-100712
CASE-0098,CHARLIE,TXN-300405
CASE-0099,CHARLIE,TXN-301402
CASE-0100,ALPHA,TXN-102573
CASE-0101,ALPHA,TXN-101574
CASE-0102,BRAVO,TXN-200221
CASE-0103,ALPHA,TXN-102383
CASE-0104,CHARLIE,TXN-301498
CASE-0105,BRAVO,TXN-202543
CASE-0106,CHARLIE,TXN-300843
CASE-0107,ALPHA,TXN-101954
CASE-0108,CHARLIE,TXN-302616
CASE-0109,CHARLIE,TXN-300266
CASE-0110,CHARLIE,TXN-300834
CASE-0111,CHARLIE,TXN-300140
CASE-0112,BRAVO,TXN-201797
CASE-0113,ALPHA,TXN-101561
CASE-0114,BRAVO,TXN-200283
CASE-0115,CHARLIE,TXN-301553
CASE-0116,CHARLIE,TXN-300316
CASE-0117,BRAVO,TXN-203121
CASE-0118,CHARLIE,TXN-300326
CASE-0119,ALPHA,TXN-100648
CASE-0120,ALPHA,TXN-100340
CASE-0121,BRAVO,TXN-202740
CASE-0122,BRAVO,TXN-203057
CASE-0123,ALPHA,TXN-101227
CASE-0124,CHARLIE,TXN-301475
CASE-0125,BRAVO,TXN-202185
CASE-0126,BRAVO,TXN-900106
CASE-0127,ALPHA,TXN-102564
CASE-0128,ALPHA,TXN-900022
CASE-0129,BRAVO,TXN-200588
CASE-0130,CHARLIE,TXN-302976
CASE-0131,ALPHA,TXN-100504
CASE-0132,CHARLIE,TXN-301103
CASE-0133,CHARLIE,TXN-300956
CASE-0134,CHARLIE,TXN-302081
CASE-0135,BRAVO,TXN-200483
CASE-0136,BRAVO,TXN-202660
CASE-0137,CHARLIE,TXN-301485
CASE-0138,BRAVO,TXN-200665
CASE-0139,ALPHA,TXN-100331
CASE-0140,BRAVO,TXN-200565
CASE-0141,BRAVO,TXN-202580
CASE-0142,BRAVO,TXN-203434
CASE-0143,CHARLIE,TXN-302955
CASE-0144,BRAVO,TXN-201613
CASE-0145,ALPHA,TXN-100667
CASE-0146,CHARLIE,TXN-302804
CASE-0147,ALPHA,TXN-101905
CASE-0148,ALPHA,TXN-100118
CASE-0149,CHARLIE,TXN-302541
CASE-0150,CHARLIE,TXN-302228
CASE-0151,BRAVO,TXN-200235
CASE-0152,BRAVO,TXN-200713
CASE-0153,BRAVO,TXN-202116
CASE-0154,CHARLIE,TXN-300462
CASE-0155,CHARLIE,TXN-301079
CASE-0156,ALPHA,TXN-100515
CASE-0157,CHARLIE,TXN-302800
CASE-0158,BRAVO,TXN-200569
CASE-0159,ALPHA,TXN-101936
