case_id,resolution_status,resolution_date,case_status
CASE-0001,lost,2024-04-02 03:29:15,open
CASE-0002,lost,2024-03-24 08:44:51,closed
CASE-0002,won,2024-05-10 08:44:51,open
CASE-0003,lost,2024-01-19 12:47:07,closed
CASE-0003,won,2024-03-16 12:47:07,closed
CASE-0004,won,2024-01-23 21:25:29,closed
CASE-0005,lost,2024-02-17 03:06:17,closed
CASE-0005,won,2024-03-28 03:06:17,open
CASE-0006,lost,2024-02-22 22:21:36,open
CASE-0007,lost,2024-04-26 19:04:56,open
CASE-0008,lost,2024-04-03 20:57:04,open
CASE-0008,won,2024-05-05 20:57:04,open
CASE-0009,lost,2024-04-06 07:01:07,open
CASE-0010,lost,2024-03-08 02:18:49,open
CASE-0011,lost,2024-03-02 00:52:37,closed
CASE-0011,won,2024-04-17 00:52:37,open
CASE-0012,open,2024-01-29 00:37:38,open
CASE-0013,lost,2024-02-02 22:30:05,closed
CASE-0013,won,2024-03-06 22:30:05,open
CASE-0014,lost,2024-02-05 10:16:14,closed
CASE-0015,lost,2024-03-30 08:43:52,open
CASE-0016,lost,2024-04-22 06:25:20,open
CASE-0017,won,2024-01-16 16:02:32,closed
CASE-0017,lost,2024-02-18 16:02:32,open
CASE-0018,lost,2024-03-23 01:25:00,open
CASE-0019,won,2024-04-27 20:54:47,open
CASE-0020,lost,2024-03-19 20:49:08,open
CASE-0021,open,2024-04-13 02:09:19,open
CASE-0021,lost,2024-06-08 02:09:19,open
CASE-0022,won,2024-03-10 23:01:11,open
CASE-0023,lost,2024-01-23 16:47:10,closed
CASE-0023,won,2024-03-06 16:47:10,closed
CASE-0024,lost,2024-02-26 16:19:49,closed
CASE-0024,won,2024-04-09 16:19:49,closed
CASE-0025,lost,2024-04-12 12:47:20,open
CASE-0026,open,2024-05-05 04:40:38,open
CASE-0027,won,2024-04-07 20:05:09,closed
CASE-0028,lost,2024-02-11 13:57:59,closed
CASE-0029,open,2024-04-12 19:37:00,open
CASE-0030,lost,2024-04-25 12:41:48,open
CASE-0031,lost,2024-03-29 19:06:15,open
CASE-0032,lost,2024-04-01 11:22:20,closed
CASE-0033,lost,2024-04-07 09:10:16,closed
CASE-0034,open,2024-04-07 13:44:17,open
CASE-0034,lost,2024-06-03 13:44:17,open
CASE-0035,open,2024-02-17 11:35:39,open
CASE-0036,won,2024-04-08 14:23:57,open
CASE-0037,lost,2024-03-23 07:27:52,open
CASE-0038,open,2024-02-12 03:32:44,open
CASE-0039,lost,2024-04-18 18:04:25,open
CASE-0040,lost,2024-02-05 19:49:02,closed
CASE-0041,open,2024-02-23 10:05:11,open
CASE-0041,lost,2024-04-05 10:05:11,open
CASE-0042,open,2024-04-03 20:04:04,open
CASE-0042,lost,2024-05-23 20:04:04,open
CASE-0043,lost,2024-01-24 02:19:47,closed
CASE-0043,won,2024-03-22 02:19:47,open
CASE-0044,won,2024-04-04 02:22:17,open
CASE-0045,lost,2024-02-22 15:29:27,closed
CASE-0046,lost,2024-01-27 18:25:22,closed
CASE-0046,won,2024-03-01 18:25:22,closed
CASE-0047,won,2024-02-24 23:01:10,closed
CASE-0048,lost,2024-02-25 17:40:52,closed
CASE-0049,lost,2024-02-27 17:01:31,closed
CASE-0050,lost,2024-05-06 03:19:39,closed
CASE-0051,lost,2024-02-13 23:02:53,closed
CASE-0052,lost,2024-03-13 02:23:56,open
CASE-0053,lost,2024-02-29 14:42:43,closed
CASE-0054,lost,2024-04-07 11:48:23,open
CASE-0055,won,2024-03-14 08:14:05,open
CASE-0056,lost,2024-01-21 17:40:20,closed
CASE-0057,lost,2024-04-01 08:18:57,open
CASE-0058,lost,2024-04-21 04:47:44,closed
CASE-0059,lost,2024-02-01 05:02:38,closed
CASE-0060,lost,2024-02-14 22:34:48,closed
CASE-0060,won,2024-03-22 22:34:48,open
CASE-0061,lost,2024-03-27 03:30:08,closed
CASE-0062,lost,2024-02-21 22:17:10,closed
CASE-0063,lost,2024-04-13 05:20:12,open
CASE-0063,won,2024-05-22 05:20:12,open
CASE-0064,lost,2024-03-31 00:54:14,open
CASE-0065,open,2024-04-10 21:15:54,open
CASE-0066,lost,2024-04-04 23:48:19,open
CASE-0067,lost,2024-04-13 02:09:45,open
CASE-0068,won,2024-02-11 05:09:47,closed
CASE-0069,lost,2024-03-04 16:13:05,closed
CASE-0070,lost,2024-03-20 23:29:56,open
CASE-0071,lost,2024-03-05 05:16:11,closed
CASE-0071,won,2024-03-28 05:16:11,closed
CASE-0072,lost,2024-04-17 13:15:57,open
CASE-0073,won,2024-04-12 19:11:31,open
CASE-0073,lost,2024-06-10 19:11:31,open
CASE-0074,lost,2024-03-27 22:40:38,open
CASE-0074,won,2024-04-26 22:40:38,open
CASE-0075,lost,2024-03-29 18:11:19,open
CASE-0076,won,2024-03-29 11:32:17,closed
CASE-0077,lost,2024-04-10 14:18:10,closed
CASE-0078,open,2024-04-30 10:37:51,open
CASE-0079,lost,2024-02-19 15:07:32,closed
CASE-0080,won,2024-02-21 06:26:30,closed
CASE-0081,lost,2024-01-31 02:55:42,closed
CASE-0081,won,2024-02-27 02:55:42,closed
CASE-0082,lost,2024-04-02 08:30:07,open
CASE-0083,open,2024-02-18 17:08:40,open
CASE-0084,lost,2024-03-31 07:05:53,open
CASE-0085,lost,2024-04-18 04:41:26,open
CASE-0086,lost,2024-01-30 18:04:26,closed
CASE-0086,won,2024-02-29 18:04:26,closed
CASE-0087,lost,2024-04-29 03:45:40,open
CASE-0088,won,2024-03-04 09:45:18,closed
CASE-0088,lost,2024-04-18 09:45:18,open
CASE-0089,open,2024-04-15 12:04:57,open
CASE-0090,lost,2024-02-05 18:34:12,closed
CASE-0091,lost,2024-02-17 20:50:01,closed
CASE-0092,open,2024-02-26 19:10:36,open
CASE-0093,lost,2024-02-19 00:50:48,closed
CASE-0093,won,2024-04-14 00:50:48,open
CASE-0094,won,2024-02-24 00:05:38,open
CASE-0095,won,2024-02-22 06:08:33,closed
CASE-0096,lost,2024-03-25 00:05:20,open
CASE-0097,lost,2024-03-29 23:53:32,closed
CASE-0097,won,2024-05-21 23:53:32,open
CASE-0098,lost,2024-03-11 07:48:42,open
CASE-0099,open,2024-02-08 18:55:02,open
CASE-0100,won,2024-02-08 05:41:40,closed
CASE-0101,lost,2024-03-27 03:47:48,open
CASE-0102,lost,2024-05-10 20:55:38,open
CASE-0103,lost,2024-01-28 04:30:31,closed
CASE-0104,won,2024-04-05 18:11:18,open
CASE-0105,won,2024-03-06 05:33:11,closed
CASE-0106,won,2024-04-26 14:12:11,closed
CASE-0107,open,2024-03-18 20:26:57,open
CASE-0108,withdrawn,2024-05-04 20:27:56,open
CASE-0109,open,2024-04-13 16:21:01,open
CASE-0110,lost,2024-02-26 13:18:28,closed
CASE-0111,won,2024-05-03 12:48:04,open
CASE-0112,lost,2024-03-06 22:16:45,closed
CASE-0113,withdrawn,2024-04-10 09:43:48,open
CASE-0114,won,2024-01-22 05:38:40,closed
