case_id,reason_code,reported_gateway_id,reported_transaction_id,filed_date
CASE-0001,fraud_account_takeover,BRAVO,TXN-200294,2024-03-20 19:43:57
CASE-0002,fraud_card_not_present,ALPHA,TXN-100911,2024-01-26 01:15:47
CASE-0003,fraud_card_not_present,BRAVO,TXN-203197,2024-01-27 23:44:05
CASE-0004,fraud_account_takeover,CHARLIE,TXN-302424,2024-02-07 23:27:16
CASE-0005,fraud_lost_stolen_card,CHARLIE,TXN-300964,2024-04-01 00:15:56
CASE-0006,fraud_lost_stolen_card,BRAVO,TXN-200001,2024-02-08 05:50:51
CASE-0007,fraud_card_not_present,ALPHA,TXN-103469,2024-01-30 05:33:01
CASE-0008,fraud_lost_stolen_card,BRAVO,TXN-202835,2024-01-12 02:42:55
CASE-0009,fraud_account_takeover,BRAVO,TXN-200392,2024-02-14 07:41:21
CASE-0010,fraud_card_not_present,ALPHA,TXN-101726,2024-01-30 02:35:57
CASE-0011,fraud_account_takeover,CHARLIE,TXN-301645,2024-02-20 10:40:57
CASE-0012,fraud_card_not_present,BRAVO,TXN-200632,2024-02-21 19:45:04
CASE-0013,fraud_lost_stolen_card,BRAVO,TXN-202864,2024-01-26 18:13:37
CASE-0014,fraud_lost_stolen_card,BRAVO,TXN-203426,2024-01-16 14:05:01
CASE-0015,fraud_lost_stolen_card,ALPHA,TXN-900064,2024-01-14 01:41:30
CASE-0016,fraud_card_not_present,BRAVO,TXN-200270,2024-02-19 18:19:23
CASE-0017,fraud_account_takeover,BRAVO,TXN-201952,2024-02-07 07:05:08
CASE-0018,fraud_account_takeover,ALPHA,TXN-101312,2024-04-06 23:41:35
CASE-0019,fraud_lost_stolen_card,BRAVO,TXN-200576,2024-03-21 14:46:17
CASE-0020,fraud_account_takeover,BRAVO,TXN-201969,2024-01-21 14:30:59
CASE-0021,fraud_account_takeover,BRAVO,TXN-200156,2024-02-28 17:03:10
CASE-0022,fraud_account_takeover,CHARLIE,TXN-303093,2024-03-05 01:24:59
CASE-0023,fraud_card_not_present,BRAVO,TXN-202995,2024-01-15 09:18:15
CASE-0024,fraud_lost_stolen_card,BRAVO,TXN-202727,2024-01-18 19:54:44
CASE-0025,fraud_lost_stolen_card,CHARLIE,TXN-301845,2024-02-19 21:29:24
CASE-0026,fraud_card_not_present,BRAVO,TXN-201788,2024-01-08 01:28:10
CASE-0027,fraud_account_takeover,BRAVO,TXN-202537,2024-02-04 06:34:40
CASE-0028,fraud_lost_stolen_card,CHARLIE,TXN-300465,2024-02-06 11:24:00
CASE-0029,fraud_card_not_present,BRAVO,TXN-202581,2024-03-10 16:20:26
CASE-0030,fraud_account_takeover,CHARLIE,TXN-301706,2024-03-20 16:03:10
CASE-0031,fraud_account_takeover,BRAVO,TXN-203374,2024-02-03 23:11:01
CASE-0032,fraud_account_takeover,BRAVO,TXN-203041,2024-02-09 22:31:40
CASE-0033,fraud_account_takeover,ALPHA,TXN-101298,2024-01-21 07:44:49
CASE-0034,fraud_lost_stolen_card,ALPHA,TXN-103052,2024-02-23 15:36:48
CASE-0035,fraud_card_not_present,BRAVO,TXN-200359,2024-02-25 00:06:12
CASE-0036,fraud_card_not_present,ALPHA,TXN-103150,2024-02-23 20:58:01
CASE-0037,fraud_account_takeover,BRAVO,TXN-202625,2024-01-30 05:59:53
CASE-0038,fraud_lost_stolen_card,ALPHA,TXN-103467,2024-03-18 02:08:20
CASE-0039,fraud_account_takeover,ALPHA,TXN-100672,2024-01-16 17:29:22
CASE-0040,fraud_card_not_present,BRAVO,TXN-900131,2024-02-09 05:10:13
CASE-0041,fraud_card_not_present,BRAVO,TXN-200908,2024-03-17 08:45:14
CASE-0042,fraud_lost_stolen_card,ALPHA,TXN-900076,2024-04-06 03:21:57
CASE-0043,fraud_card_not_present,CHARLIE,TXN-301630,2024-01-27 16:28:30
CASE-0044,fraud_card_not_present,ALPHA,TXN-102184,2024-02-12 19:53:08
CASE-0045,fraud_account_takeover,ALPHA,TXN-100200,2024-01-30 08:18:55
CASE-0046,fraud_account_takeover,CHARLIE,TXN-302840,2024-03-17 01:24:50
CASE-0047,fraud_card_not_present,CHARLIE,TXN-300872,2024-03-16 14:49:16
CASE-0048,fraud_card_not_present,BRAVO,TXN-200900,2024-01-25 17:12:22
CASE-0049,fraud_card_not_present,BRAVO,TXN-202296,2024-01-25 18:37:27
CASE-0050,fraud_account_takeover,CHARLIE,TXN-301576,2024-02-17 07:36:54
CASE-0051,fraud_lost_stolen_card,BRAVO,TXN-202110,2024-02-19 13:57:21
CASE-0052,fraud_card_not_present,ALPHA,TXN-101760,2024-02-03 06:34:32
CASE-0053,fraud_account_takeover,ALPHA,TXN-102910,2024-02-02 23:13:05
CASE-0054,fraud_card_not_present,ALPHA,TXN-101475,2024-02-14 11:25:52
CASE-0055,fraud_lost_stolen_card,CHARLIE,TXN-302381,2024-01-28 21:08:52
CASE-0056,fraud_card_not_present,BRAVO,TXN-202714,2024-03-07 03:30:23
CASE-0057,fraud_card_not_present,ALPHA,TXN-102493,2024-03-29 10:37:37
CASE-0058,fraud_card_not_present,ALPHA,TXN-100830,2024-02-15 12:40:09
