merchant_id,risk_tier,tier_effective_from,tier_effective_to
MCH-001,Standard,2022-09-24,
MCH-002,High,2021-04-15,2023-06-16
MCH-002,Standard,2023-06-17,2024-12-31
MCH-003,Standard,2021-09-05,2024-12-31
MCH-004,High,2021-08-03,2024-12-31
MCH-005,Standard,2022-08-04,
MCH-006,Standard,2022-10-06,2024-12-31
MCH-007,High,2022-10-03,2023-08-17
MCH-007,Standard,2023-08-18,2024-12-31
MCH-008,Elevated,2023-04-08,2024-12-31
MCH-009,Elevated,2022-11-09,2023-07-10
MCH-009,Standard,2023-07-11,
MCH-010,Elevated,2021-10-10,2024-12-31
MCH-011,Elevated,2021-04-05,2024-12-31
MCH-012,Elevated,2022-06-26,2024-12-31
MCH-013,High,2023-03-19,2023-03-06
MCH-013,Standard,2023-03-07,2024-12-31
MCH-014,Standard,2023-05-10,2023-09-22
MCH-014,Elevated,2023-09-23,
MCH-015,Elevated,2021-07-22,2024-12-31
MCH-016,Standard,2021-07-28,2023-08-24
MCH-016,Elevated,2023-08-25,
MCH-017,Standard,2021-02-02,2024-12-31
MCH-018,Standard,2021-05-05,
MCH-019,Standard,2022-05-04,2024-12-31
MCH-020,Standard,2022-04-27,
MCH-021,Standard,2021-11-23,
MCH-022,Standard,2021-10-01,2024-12-31
MCH-023,Standard,2023-01-02,2024-12-31
MCH-024,High,2022-02-10,2023-08-31
MCH-024,Elevated,2023-09-01,2024-12-31
MCH-025,Elevated,2022-12-14,2023-02-12
MCH-025,Standard,2023-02-13,2024-12-31
MCH-026,High,2023-04-29,2024-12-31
MCH-027,High,2021-10-07,2023-02-09
MCH-027,Elevated,2023-02-10,2024-12-31
MCH-028,Standard,2021-06-28,2024-12-31
MCH-029,Standard,2023-04-20,2023-11-02
MCH-029,Elevated,2023-11-03,2024-12-31
MCH-030,Standard,2022-07-14,2024-12-31
MCH-031,High,2021-09-14,
MCH-032,Standard,2022-07-02,2024-12-31
MCH-033,Elevated,2022-03-30,
MCH-034,Standard,2023-03-09,
MCH-035,Standard,2021-08-14,2024-12-31
MCH-036,High,2023-05-24,2023-05-11
MCH-036,Standard,2023-05-12,2024-12-31
MCH-037,Standard,2023-04-05,2023-04-09
MCH-037,High,2023-04-10,2024-12-31
MCH-038,Elevated,2021-06-09,2024-12-31
MCH-039,Standard,2021-05-26,2024-12-31
MCH-040,Standard,2022-04-15,2024-12-31
MCH-041,Standard,2021-02-09,2024-12-31
MCH-042,Standard,2021-09-21,2024-12-31
MCH-043,Standard,2022-01-19,2024-12-31
MCH-044,Standard,2023-05-05,
MCH-045,High,2023-05-25,2023-06-10
MCH-045,Elevated,2023-06-11,2024-12-31
MCH-046,Standard,2021-05-14,2023-08-06
MCH-046,High,2023-08-07,2024-12-31
MCH-047,Standard,2023-02-25,
MCH-048,High,2021-03-22,2023-11-11
MCH-048,Standard,2023-11-12,2024-12-31
MCH-049,Standard,2022-10-22,
MCH-050,Elevated,2023-01-16,
