gateway_id,transaction_id,merchant_id,transaction_date,amount_usd,payment_instrument_id
ALPHA,TXN-870009,MCH-012,2023-12-31 11:27:27.790557114,67.32,PMT-BND-DJ0002
ALPHA,TXN-870000,MCH-002,2023-12-31 11:40:20.609388427,47.94,PMT-BND-DJ0000
ALPHA,TXN-870001,MCH-036,2023-12-31 15:20:45.939126220,125.09,PMT-BND-DJ0000
ALPHA,TXN-100660,MCH-008,2024-01-01 00:43:47.000000000,197.96,PMT-001464
ALPHA,TXN-101410,MCH-012,2024-01-01 01:10:03.000000000,28.34,PMT-002418
ALPHA,TXN-102334,MCH-036,2024-01-01 01:45:46.000000000,203.31,PMT-007320
ALPHA,TXN-101065,MCH-011,2024-01-01 02:10:24.000000000,117.26,PMT-002073
ALPHA,TXN-100097,MCH-002,2024-01-01 02:39:58.000000000,86.99,PMT-000275
ALPHA,TXN-102104,MCH-032,2024-01-01 03:05:56.000000000,77.53,PMT-006427
ALPHA,TXN-100275,MCH-005,2024-01-01 04:14:24.000000000,69.47,PMT-000844
ALPHA,TXN-101839,MCH-031,2024-01-01 04:36:00.000000000,218.58,PMT-006162
ALPHA,TXN-101904,MCH-031,2024-01-01 04:56:07.000000000,250.0,PMT-006227
ALPHA,TXN-102360,MCH-036,2024-01-01 05:17:39.000000000,156.57,PMT-007346
ALPHA,TXN-102112,MCH-032,2024-01-01 05:37:49.000000000,48.06,PMT-006435
ALPHA,TXN-870006,MCH-002,2024-01-01 05:50:19.893349887,173.31,PMT-BND-DJ0001
ALPHA,TXN-101661,MCH-029,2024-01-01 06:14:45.000000000,143.7,PMT-005786
ALPHA,TXN-103444,MCH-050,2024-01-01 06:44:21.000000000,208.73,PMT-010238
ALPHA,TXN-100008,MCH-002,2024-01-01 07:11:06.000000000,58.62,PMT-000186
ALPHA,TXN-101098,MCH-011,2024-01-01 07:12:27.000000000,126.18,PMT-002106
ALPHA,TXN-102218,MCH-036,2024-01-01 07:21:57.000000000,111.66,PMT-007204
ALPHA,TXN-100112,MCH-002,2024-01-01 07:44:23.000000000,62.99,PMT-000290
