invoice_id,vendor_id,invoice_date,amount,currency,description,po_number,approver_id,business_unit,payment_status,gl_account
INV-100747,V-L009,2024-08-01,6366.11,USD,Utilities - Monthly,PO-52520,AP-005,BU_EAST,Paid,5050-Professional Svc
INV-101678,V-L031,2024-08-25,23340.06,USD,Equipment Maintenance,PO-91839,AP-011,BU_SOUTH,Paid,5070-Raw Materials
INV-101859,V-L035,2024-08-21,1662.2,USD,Temporary Staffing,PO-51884,AP-003,BU_SOUTH,Partial,5070-Raw Materials
INV-101658,V-L031,2024-08-09,390.18,USD,Raw Materials - Batch,PO-72503,AP-006,BU_SOUTH,Pending,5040-Maintenance
INV-100480,V-L003,2024-08-07,1000.0,USD,Shipping & Freight,PO-78084,AP-013,BU_EAST,Paid,5060-Logistics
INV-101731,V-L032,2024-08-31,1978.34,USD,IT Hardware,PO-20353,AP-001,BU_SOUTH,Pending,5030-Consulting
INV-101453,V-L026,2024-09-23,4825.32,USD,Temporary Staffing,PO-73762,AP-004,BU_NORTH,Paid,5060-Logistics
INV-100906,V-L012,2024-08-23,3344.64,USD,Advertising - Digital,PO-16779,AP-015,BU_WEST,Pending,5060-Logistics
INV-100606,V-L006,2024-09-06,444.29,USD,IT Hardware,PO-16762,AP-009,BU_EAST,Paid,5060-Logistics
INV-100671,V-L007,2024-09-12,6000.0,USD,Building Repairs,PO-66246,AP-012,BU_EAST,Paid,5070-Raw Materials
INV-101509,V-L027,2024-08-23,1000.24,USD,Shipping & Freight,PO-40475,AP-002,BU_NORTH,Partial,5020-IT Services
INV-100362,V-L001,2024-07-03,1126.1,USD,Network Equipment,PO-31663,AP-002,BU_EAST,Partial,5070-Raw Materials
INV-100097,V-2001,2024-09-21,5400.0,USD,Consulting Services,PO-53936,AP-010,BU_WEST,Paid,5030-Consulting
INV-100255,V-5001,2024-07-28,2000.0,USD,Project Management,PO-46229,AP-009,BU_SOUTH,Paid,5030-Consulting
INV-100789,V-L010,2024-09-12,246.78,USD,Printing Services,PO-13538,AP-004,BU_EAST,Paid,5020-IT Services
INV-100136,V-3001,2024-08-03,4400.0,USD,IT Consulting,PO-86519,AP-008,BU_SOUTH,Paid,5050-Professional Svc
INV-100030,V-1002,2024-07-13,3850.0,USD,Professional Services,PO-47633,AP-008,BU_EAST,Paid,5050-Professional Svc
INV-102046,V-L038,2024-08-29,915.51,USD,Catering Services,PO-74894,AP-006,BU_SOUTH,Paid,5020-IT Services
INV-101668,V-L031,2024-09-17,1268.88,USD,Printing Services,PO-65186,AP-012,BU_SOUTH,Partial,5020-IT Services
INV-102153,V-L040,2024-08-29,1000.0,USD,Network Equipment,PO-97338,AP-009,BU_SOUTH,Paid,5030-Consulting
INV-100618,V-L006,2024-09-13,6771.28,USD,Printing Services,PO-98198,AP-011,BU_EAST,Paid,5020-IT Services
INV-101201,V-L019,2024-07-21,2130.34,USD,Vehicle Maintenance,PO-22259,AP-014,BU_WEST,Paid,5040-Maintenance
INV-101126,V-L018,2024-09-25,8712.51,USD,Insurance Premium,PO-33772,AP-014,BU_WEST,Paid,5030-Consulting
INV-101028,V-L015,2024-08-23,4461.8,USD,Temporary Staffing,PO-22065,AP-009,BU_WEST,Paid,5010-Office Supplies
INV-100720,V-L008,2024-09-06,1757.93,USD,Shipping & Freight,PO-45035,AP-008,BU_EAST,Paid,5070-Raw Materials
INV-100451,V-L003,2024-08-29,11737.92,USD,Utilities - Monthly,PO-49582,AP-012,BU_EAST,Partial,5030-Consulting
INV-102150,V-L040,2024-08-10,461.73,USD,Catering Services,PO-60199,AP-008,BU_SOUTH,Paid,5010-Office Supplies
INV-101541,V-L028,2024-08-28,541.35,USD,Building Repairs,PO-36493,AP-013,BU_NORTH,Paid,5030-Consulting
INV-101732,V-L032,2024-08-28,2201.91,USD,Training Materials,PO-66151,AP-004,BU_SOUTH,Paid,5050-Professional Svc
INV-101425,V-L025,2024-08-29,1000.0,USD,Equipment Maintenance,PO-31219,AP-013,BU_NORTH,Pending,5070-Raw Materials
INV-100669,V-L007,2024-08-13,5568.34,USD,Vehicle Maintenance,PO-82203,AP-005,BU_EAST,Partial,5060-Logistics
INV-101926,V-L036,2024-07-07,3379.26,USD,Office Supplies - Monthly,PO-73948,AP-014,BU_SOUTH,Paid,5040-Maintenance
INV-100112,V-2002,2024-08-03,5250.0,USD,IT Consulting,PO-27838,AP-001,BU_WEST,Pending,5030-Consulting
INV-100291,V-5002,2024-08-25,1000.0,USD,Project Management,PO-21816,AP-010,BU_SOUTH,Paid,5050-Professional Svc
INV-101090,V-L017,2024-07-04,9000.0,USD,Training Materials,PO-84129,AP-009,BU_WEST,Paid,5040-Maintenance
INV-101877,V-L035,2024-08-08,1599.06,USD,Software License Renewal,PO-51780,AP-010,BU_SOUTH,Pending,5040-Maintenance
INV-100612,V-L006,2024-09-16,259.73,USD,Equipment Maintenance,PO-32063,AP-013,BU_EAST,Partial,5050-Professional Svc
INV-101928,V-L036,2024-09-13,2000.0,USD,Network Equipment,PO-96473,AP-009,BU_SOUTH,Paid,5040-Maintenance
INV-100975,V-L014,2024-09-03,483.62,USD,Cleaning Services,PO-67498,AP-015,BU_WEST,Paid,5060-Logistics
INV-101794,V-L033,2024-09-07,155.65,USD,Security Services,PO-67874,AP-009,BU_SOUTH,Paid,5060-Logistics
INV-101966,V-L037,2024-09-10,1668.92,USD,Legal Services,PO-58266,AP-010,BU_SOUTH,Paid,5040-Maintenance
INV-100533,V-L005,2024-07-07,3279.17,USD,Printing Services,PO-84471,AP-001,BU_EAST,Paid,5030-Consulting
INV-101522,V-L027,2024-08-27,4090.97,USD,Advertising - Digital,,AP-007,BU_NORTH,Pending,5070-Raw Materials
INV-101804,V-L034,2024-09-28,1270.97,USD,Office Supplies - Monthly,PO-37840,AP-011,BU_SOUTH,Paid,5060-Logistics
INV-101458,V-L026,2024-09-03,2218.87,USD,Building Repairs,PO-92852,AP-012,BU_NORTH,Partial,5060-Logistics
INV-100483,V-L003,2024-09-30,1051.17,USD,Software License Renewal,PO-58254,AP-012,BU_EAST,Paid,5010-Office Supplies
INV-101289,V-L022,2024-09-11,227.61,USD,Advertising - Digital,PO-64166,AP-011,BU_NORTH,Partial,5030-Consulting
INV-100839,V-L011,2024-07-25,1765.68,USD,Building Repairs,PO-54063,AP-015,BU_WEST,Partial,5060-Logistics
INV-101955,V-L037,2024-07-20,4903.03,USD,Equipment Maintenance,,AP-012,BU_SOUTH,Partial,5080-Utilities
INV-101754,V-L032,2024-07-05,1088.78,USD,Building Repairs,,AP-015,BU_SOUTH,Partial,5030-Consulting
INV-100773,V-L010,2024-09-06,4031.27,USD,Raw Materials - Batch,,AP-004,BU_EAST,Paid,5030-Consulting
INV-101394,V-L024,2024-08-27,1166.64,USD,Accounting Services,,AP-001,BU_NORTH,Paid,5030-Consulting
INV-100169,V-3002,2024-09-21,6600.0,USD,Project Management,PO-41184,AP-001,BU_SOUTH,Paid,5030-Consulting
INV-100304,V-6001,2024-07-20,1750.0,USD,Project Management,PO-68033,AP-010,BU_EAST,Paid,5030-Consulting
INV-100135,V-3001,2024-07-28,2000.0,USD,Technical Support,PO-96558,AP-008,BU_SOUTH,Pending,5050-Professional Svc
INV-100787,V-L010,2024-09-06,1000.0,USD,Software License Renewal,PO-99912,AP-001,BU_EAST,Partial,5040-Maintenance
INV-100998,V-L015,2024-08-27,1474.18,USD,Catering Services,PO-98405,AP-010,BU_WEST,Paid,5010-Office Supplies
INV-100423,V-L002,2024-09-24,984.44,USD,Raw Materials - Batch,PO-80819,AP-011,BU_EAST,Paid,5050-Professional Svc
INV-100110,V-2002,2024-07-21,600.0,USD,Project Management,PO-66097,AP-002,BU_WEST,Paid,5050-Professional Svc
INV-101773,V-L033,2024-09-16,516.44,USD,IT Hardware,PO-28355,AP-001,BU_SOUTH,Paid,5030-Consulting
INV-100333,V-6002,2024-07-27,4500.0,USD,Operational Support,PO-45362,AP-003,BU_WEST,Pending,5050-Professional Svc
INV-102114,V-L040,2024-08-08,224.98,USD,Network Equipment,PO-98358,AP-001,BU_SOUTH,Partial,5080-Utilities
