payment_id,bank_account_token,payment_date,amount,vendor_id,business_unit,batch_id,payment_method
PAY-200568,TKN-2C4A465DFC73B6D8,2024-09-09,28139.79,V-L016,BU_WEST,BATCH-20240909-12,ACH
PAY-201326,TKN-15A308FCCBF587B2,2024-10-02,426.67,V-L034,BU_SOUTH,BATCH-20241002-02,ACH
PAY-201351,TKN-21AB9E2101A73A02,2024-11-01,9949.41,V-L004,BU_EAST,BATCH-20241101-12,Wire
PAY-200116,TKN-56FA90433DC9F13E,2024-10-17,3138.03,V-L036,BU_SOUTH,BATCH-20241017-19,Check
PAY-200454,TKN-8F6150DB3D331262,2024-07-27,4248.72,V-L002,BU_EAST,BATCH-20240727-18,ACH
PAY-201369,TKN-4BE95D6A6198BFB5,2024-08-01,943.41,V-L012,BU_WEST,BATCH-20240801-10,ACH
PAY-200484,TKN-1AD8564EF7F8A95F,2024-07-09,3043.26,V-L038,BU_SOUTH,BATCH-20240709-18,ACH
PAY-200615,TKN-1054BDE195270D33,2024-09-11,4000.0,V-L032,BU_SOUTH,BATCH-20240911-03,ACH
PAY-201186,TKN-56FA90433DC9F13E,2024-08-03,7571.01,V-L036,BU_SOUTH,BATCH-20240803-15,ACH
PAY-200916,TKN-81C9A022002FCABD,2024-10-03,5250.0,V-3002,BU_SOUTH,BATCH-20241003-05,ACH
PAY-200415,TKN-2C4A465DFC73B6D8,2024-09-08,4266.91,V-L016,BU_WEST,BATCH-20240908-11,Wire
PAY-200786,TKN-4BE95D6A6198BFB5,2024-09-10,1827.34,V-L012,BU_WEST,BATCH-20240910-09,ACH
PAY-200839,TKN-D20C58445CF68EE0,2024-09-08,4734.67,V-L030,BU_NORTH,BATCH-20240908-13,ACH
PAY-201690,TKN-1AD8564EF7F8A95F,2024-10-02,3000.0,V-L038,BU_SOUTH,BATCH-20241002-16,Check
PAY-200966,TKN-0C3516518BC321B0,2024-09-26,4466.53,V-L019,BU_WEST,BATCH-20240926-17,Check
PAY-201651,TKN-A33E6A14CA9F1D1B,2024-08-25,636.61,V-L035,BU_SOUTH,BATCH-20240825-17,Wire
PAY-200911,TKN-48EDFC26DC16E10D,2024-09-12,78.22,V-L022,BU_NORTH,BATCH-20240912-01,ACH
PAY-200340,TKN-09EDCFBE46A53DD2,2024-09-03,1050.0,V-5001,BU_SOUTH,BATCH-20240903-19,Check
PAY-200619,TKN-AC65057922F81A94,2024-10-27,12575.91,V-L015,BU_WEST,BATCH-20241027-17,ACH
PAY-200024,TKN-A3D5A2952B5FEC52,2024-09-10,461.73,V-L040,BU_SOUTH,BATCH-20240910-15,ACH
PAY-201232,TKN-4BE95D6A6198BFB5,2024-09-25,1526.97,V-L012,BU_WEST,BATCH-20240925-07,Check
PAY-200781,TKN-A33E6A14CA9F1D1B,2024-07-25,930.01,V-L035,BU_SOUTH,BATCH-20240725-02,Check
PAY-200427,TKN-4234DCDEE24D843A,2024-10-11,1335.3,V-L020,BU_WEST,BATCH-20241011-09,Check
PAY-201564,TKN-1054BDE195270D33,2024-10-06,1711.18,V-L032,BU_SOUTH,BATCH-20241006-11,ACH
PAY-201652,TKN-4C60DFF373752966,2024-08-28,3466.6,V-L033,BU_SOUTH,BATCH-20240828-05,ACH
PAY-200272,TKN-A0DBF207304841D9,2024-09-26,6600.0,V-2002,BU_WEST,BATCH-20240926-15,ACH
PAY-201572,TKN-5F53880E4DB24CFE,2024-11-03,1350.0,V-4001,BU_NORTH,BATCH-20241103-16,Check
PAY-200174,TKN-A33E6A14CA9F1D1B,2024-08-09,2118.9,V-L035,BU_SOUTH,BATCH-20240809-10,ACH
PAY-200345,TKN-4234DCDEE24D843A,2024-09-23,1000.0,V-L020,BU_WEST,BATCH-20240923-15,Wire
PAY-201007,TKN-817D1A9933704238,2024-09-08,4488.01,V-L025,BU_NORTH,BATCH-20240908-13,ACH
PAY-200241,TKN-A33E6A14CA9F1D1B,2024-09-15,1875.53,V-L035,BU_SOUTH,BATCH-20240915-07,Check
PAY-201330,TKN-AC65057922F81A94,2024-08-08,221.65,V-L015,BU_WEST,BATCH-20240808-09,Check
PAY-200204,TKN-5F53880E4DB24CFE,2024-10-14,5400.0,V-4002,BU_NORTH,BATCH-20241014-05,ACH
PAY-200368,TKN-817D1A9933704238,2024-09-07,666.3,V-L025,BU_NORTH,BATCH-20240907-02,Check
PAY-200451,TKN-11F3DE591C63624A,2024-10-11,9578.64,V-L007,BU_EAST,BATCH-20241011-02,ACH
PAY-200375,TKN-09E8916C02DA72FA,2024-11-12,251.75,V-L039,BU_SOUTH,BATCH-20241112-13,ACH
PAY-201264,TKN-41919200D161AF9E,2024-10-18,5500.0,V-3003,BU_EAST,BATCH-20241018-16,Check
PAY-201584,TKN-E6316F607B123ACD,2024-08-15,988.61,V-L027,BU_NORTH,BATCH-20240815-08,Wire
PAY-200603,TKN-EBFE0BAD5162A916,2024-09-05,1400.0,V-6001,BU_EAST,BATCH-20240905-18,Wire
PAY-200621,TKN-81AF144DE43C96A0,2024-09-11,454.0,V-L008,BU_EAST,BATCH-20240911-04,ACH
PAY-200414,TKN-776A501F68B9461E,2024-08-14,173.58,V-L003,BU_EAST,BATCH-20240814-02,Wire
PAY-201693,TKN-4E22EE139384365C,2024-10-10,3600.0,V-1001,BU_EAST,BATCH-20241010-05,Check
PAY-200812,TKN-EBFE0BAD5162A916,2024-09-24,2750.0,V-6001,BU_EAST,BATCH-20240924-04,ACH
PAY-201002,TKN-A0DBF207304841D9,2024-07-27,2400.0,V-2002,BU_WEST,BATCH-20240727-03,ACH
PAY-200507,TKN-2C4A465DFC73B6D8,2024-09-15,1876.01,V-L016,BU_WEST,BATCH-20240915-03,ACH
PAY-200248,TKN-A33E6A14CA9F1D1B,2024-10-20,763.91,V-L035,BU_SOUTH,BATCH-20241020-08,Check
PAY-201053,TKN-0C3CB92313DFFD23,2024-10-12,1100.67,V-L010,BU_EAST,BATCH-20241012-03,ACH
PAY-201054,TKN-0C3CB92313DFFD23,2024-09-22,624.92,V-L009,BU_EAST,BATCH-20240922-04,ACH
PAY-200352,TKN-56FA90433DC9F13E,2024-08-19,475.15,V-L036,BU_SOUTH,BATCH-20240819-11,ACH
PAY-201610,TKN-9E9D30C81FF23CAC,2024-08-30,858.35,V-L006,BU_EAST,BATCH-20240830-01,ACH
PAY-200238,TKN-5F53880E4DB24CFE,2024-09-10,3000.0,V-4001,BU_NORTH,BATCH-20240910-05,ACH
PAY-201504,TKN-93AE6358218DA24A,2024-08-16,470.82,V-L031,BU_SOUTH,BATCH-20240816-03,Check
PAY-200472,TKN-09E8916C02DA72FA,2024-09-01,583.5,V-L039,BU_SOUTH,BATCH-20240901-14,ACH
PAY-200050,TKN-8F6150DB3D331262,2024-10-02,984.44,V-L002,BU_EAST,BATCH-20241002-01,ACH
PAY-200535,TKN-502C2E18DBA84884,2024-08-29,2000.0,V-L011,BU_WEST,BATCH-20240829-10,ACH
PAY-200661,TKN-4234DCDEE24D843A,2024-10-13,1042.31,V-L020,BU_WEST,BATCH-20241013-12,ACH
PAY-200304,TKN-56FA90433DC9F13E,2024-10-03,938.77,V-L036,BU_SOUTH,BATCH-20241003-11,Check
PAY-201107,TKN-B3FBCDADBDB277A0,2024-10-25,2963.8,V-L017,BU_WEST,BATCH-20241025-02,ACH
PAY-200694,TKN-56FA90433DC9F13E,2024-10-17,1000.0,V-L036,BU_SOUTH,BATCH-20241017-05,ACH
PAY-200186,TKN-27039B6F7B661D17,2024-08-30,252.84,V-L014,BU_WEST,BATCH-20240830-19,Check
PAY-200941,TKN-4E22EE139384365C,2024-07-29,5400.0,V-1001,BU_EAST,BATCH-20240729-19,ACH
PAY-201604,TKN-817D1A9933704238,2024-08-15,6651.8,V-L025,BU_NORTH,BATCH-20240815-09,Wire
PAY-200409,TKN-0C3CB92313DFFD23,2024-10-21,363.2,V-L009,BU_EAST,BATCH-20241021-19,ACH
PAY-200594,TKN-1AD8564EF7F8A95F,2024-07-21,1000.0,V-L038,BU_SOUTH,BATCH-20240721-14,ACH
PAY-201011,TKN-48EDFC26DC16E10D,2024-08-05,14501.79,V-L022,BU_NORTH,BATCH-20240805-08,ACH
PAY-201293,TKN-09EDCFBE46A53DD2,2024-08-31,3000.0,V-5002,BU_SOUTH,BATCH-20240831-02,Check
PAY-201377,TKN-B3FBCDADBDB277A0,2024-09-27,125.16,V-L017,BU_WEST,BATCH-20240927-05,ACH
PAY-200942,TKN-48EDFC26DC16E10D,2024-10-13,74.12,V-L022,BU_NORTH,BATCH-20241013-10,Wire
PAY-201674,TKN-30D620713DA80782,2024-08-10,2481.2,V-L029,BU_NORTH,BATCH-20240810-01,ACH
PAY-201318,TKN-D20C58445CF68EE0,2024-10-05,3046.49,V-L030,BU_NORTH,BATCH-20241005-12,Wire
PAY-200079,TKN-5F53880E4DB24CFE,2024-09-21,3600.0,V-4002,BU_NORTH,BATCH-20240921-16,Check
PAY-200592,TKN-0C3CB92313DFFD23,2024-11-03,1459.3,V-L010,BU_EAST,BATCH-20241103-01,Wire
PAY-200367,TKN-8F6150DB3D331262,2024-09-17,1525.88,V-L002,BU_EAST,BATCH-20240917-16,Check
PAY-200071,TKN-79D10C23D9DC1EF8,2024-09-26,1211.17,V-L024,BU_NORTH,BATCH-20240926-02,Wire
PAY-200136,TKN-21AB9E2101A73A02,2024-10-15,432.96,V-L004,BU_EAST,BATCH-20241015-11,ACH
PAY-200070,TKN-EBFE0BAD5162A916,2024-08-14,3150.0,V-6001,BU_EAST,BATCH-20240814-10,ACH
PAY-201191,TKN-59BEB7DEC80045CC,2024-07-29,1066.71,V-L028,BU_NORTH,BATCH-20240729-02,ACH
PAY-200383,TKN-4C60DFF373752966,2024-10-06,4348.02,V-L033,BU_SOUTH,BATCH-20241006-04,ACH
PAY-201491,TKN-1054BDE195270D33,2024-08-24,371.83,V-L032,BU_SOUTH,BATCH-20240824-11,Wire
PAY-200755,TKN-1054BDE195270D33,2024-10-11,13533.23,V-L032,BU_SOUTH,BATCH-20241011-16,ACH
PAY-200600,TKN-2C4A465DFC73B6D8,2024-10-14,3421.74,V-L016,BU_WEST,BATCH-20241014-02,ACH
PAY-200808,TKN-60DA1CD973502BED,2024-08-31,1835.48,V-L037,BU_SOUTH,BATCH-20240831-02,ACH
PAY-200990,TKN-1054BDE195270D33,2024-10-28,101.89,V-L032,BU_SOUTH,BATCH-20241028-07,Check
PAY-200066,TKN-79D10C23D9DC1EF8,2024-07-27,925.59,V-L024,BU_NORTH,BATCH-20240727-02,Wire
PAY-201683,TKN-9E9D30C81FF23CAC,2024-08-06,1872.46,V-L006,BU_EAST,BATCH-20240806-17,ACH
PAY-200545,TKN-4C60DFF373752966,2024-09-22,4000.0,V-L033,BU_SOUTH,BATCH-20240922-12,ACH
PAY-200412,TKN-4BE95D6A6198BFB5,2024-09-06,7718.88,V-L012,BU_WEST,BATCH-20240906-11,ACH
PAY-200498,TKN-263FC1BCC18E47D2,2024-09-22,3938.31,V-L026,BU_NORTH,BATCH-20240922-16,ACH
PAY-201442,TKN-21AB9E2101A73A02,2024-07-24,939.31,V-L004,BU_EAST,BATCH-20240724-02,Check
PAY-200768,TKN-A9429345671A5713,2024-08-24,434.13,V-L005,BU_EAST,BATCH-20240824-03,ACH
PAY-201325,TKN-4234DCDEE24D843A,2024-10-04,659.35,V-L020,BU_WEST,BATCH-20241004-12,ACH
PAY-200290,TKN-0C3516518BC321B0,2024-10-13,1282.32,V-L019,BU_WEST,BATCH-20241013-07,Check
PAY-200030,TKN-B3FBCDADBDB277A0,2024-07-15,9000.0,V-L017,BU_WEST,BATCH-20240715-11,ACH
PAY-200917,TKN-09EDCFBE46A53DD2,2024-09-23,600.0,V-5001,BU_SOUTH,BATCH-20240923-18,Wire
PAY-200544,TKN-9E9D30C81FF23CAC,2024-08-20,3160.85,V-L006,BU_EAST,BATCH-20240820-09,Check
PAY-200301,TKN-4C60DFF373752966,2024-08-06,2503.39,V-L033,BU_SOUTH,BATCH-20240806-19,ACH
PAY-201010,TKN-B3FBCDADBDB277A0,2024-09-04,1031.03,V-L017,BU_WEST,BATCH-20240904-03,Wire
PAY-200707,TKN-93AE6358218DA24A,2024-08-28,6000.0,V-L031,BU_SOUTH,BATCH-20240828-18,ACH
PAY-200031,TKN-9E9D30C81FF23CAC,2024-09-20,217.81,V-L006,BU_EAST,BATCH-20240920-04,Check
PAY-201086,TKN-263FC1BCC18E47D2,2024-10-22,1515.15,V-L026,BU_NORTH,BATCH-20241022-10,ACH
PAY-200906,TKN-96871116180AFE23,2024-08-13,1743.72,V-L023,BU_NORTH,BATCH-20240813-06,ACH
PAY-200479,TKN-D4FABCCC216B15D5,2024-09-29,1739.11,V-L021,BU_NORTH,BATCH-20240929-19,ACH
PAY-200416,TKN-11F3DE591C63624A,2024-09-07,1129.45,V-L007,BU_EAST,BATCH-20240907-05,ACH
PAY-200262,TKN-11F3DE591C63624A,2024-09-22,123.71,V-L007,BU_EAST,BATCH-20240922-09,ACH
PAY-200343,TKN-9E9D30C81FF23CAC,2024-09-02,1823.75,V-L006,BU_EAST,BATCH-20240902-13,Wire
PAY-201156,TKN-56FA90433DC9F13E,2024-08-13,7191.03,V-L036,BU_SOUTH,BATCH-20240813-19,ACH
PAY-201629,TKN-30D620713DA80782,2024-10-02,1139.13,V-L029,BU_NORTH,BATCH-20241002-08,Check
PAY-200100,TKN-96871116180AFE23,2024-07-30,1370.64,V-L023,BU_NORTH,BATCH-20240730-03,Wire
PAY-201468,TKN-0C3CB92313DFFD23,2024-10-15,8055.95,V-L009,BU_EAST,BATCH-20241015-15,ACH
PAY-201444,TKN-2C4A465DFC73B6D8,2024-09-02,633.79,V-L016,BU_WEST,BATCH-20240902-09,ACH
PAY-200742,TKN-5F53880E4DB24CFE,2024-11-03,600.0,V-4001,BU_NORTH,BATCH-20241103-14,ACH
PAY-200931,TKN-5F53880E4DB24CFE,2024-08-14,4500.0,V-4002,BU_NORTH,BATCH-20240814-11,Check
PAY-200731,TKN-2EADDE56632643BD,2024-08-30,1456.94,V-L013,BU_WEST,BATCH-20240830-10,ACH
PAY-200608,TKN-A33E6A14CA9F1D1B,2024-08-11,1662.94,V-L035,BU_SOUTH,BATCH-20240811-12,ACH
PAY-201316,TKN-B31AC7D73F3D7751,2024-09-16,369.62,V-L001,BU_EAST,BATCH-20240916-03,ACH
PAY-200860,TKN-15A308FCCBF587B2,2024-09-24,3541.69,V-L034,BU_SOUTH,BATCH-20240924-06,Check
PAY-201510,TKN-4E22EE139384365C,2024-09-02,5500.0,V-1001,BU_EAST,BATCH-20240902-10,ACH
PAY-201079,TKN-4E22EE139384365C,2024-08-27,5400.0,V-1002,BU_EAST,BATCH-20240827-09,ACH
PAY-201180,TKN-81C9A022002FCABD,2024-10-14,3000.0,V-3002,BU_SOUTH,BATCH-20241014-16,ACH
PAY-201091,TKN-79D10C23D9DC1EF8,2024-08-20,1056.9,V-L024,BU_NORTH,BATCH-20240820-10,ACH
PAY-200382,TKN-EBFE0BAD5162A916,2024-09-09,3850.0,V-6001,BU_EAST,BATCH-20240909-07,Wire
PAY-200317,TKN-4E22EE139384365C,2024-10-10,1600.0,V-1001,BU_EAST,BATCH-20241010-01,ACH
PAY-200536,TKN-21AB9E2101A73A02,2024-08-14,2032.1,V-L004,BU_EAST,BATCH-20240814-09,Wire
PAY-200211,TKN-AC65057922F81A94,2024-09-04,332.34,V-L015,BU_WEST,BATCH-20240904-04,ACH
PAY-200189,TKN-9E445FE9A1581A22,2024-09-30,1400.0,V-1003,BU_NORTH,BATCH-20240930-11,ACH
PAY-200033,TKN-27039B6F7B661D17,2024-10-05,483.62,V-L014,BU_WEST,BATCH-20241005-13,ACH
PAY-201635,TKN-93AE6358218DA24A,2024-10-19,759.32,V-L031,BU_SOUTH,BATCH-20241019-12,ACH
PAY-201415,TKN-81C9A022002FCABD,2024-08-23,8250.0,V-3002,BU_SOUTH,BATCH-20240823-01,ACH
PAY-201106,TKN-81C9A022002FCABD,2024-10-11,6600.0,V-3001,BU_SOUTH,BATCH-20241011-09,ACH
PAY-200678,TKN-263FC1BCC18E47D2,2024-07-14,3791.13,V-L026,BU_NORTH,BATCH-20240714-19,ACH
PAY-200866,TKN-09EDCFBE46A53DD2,2024-09-06,2250.0,V-5002,BU_SOUTH,BATCH-20240906-14,ACH
PAY-201294,TKN-0C3516518BC321B0,2024-10-16,127.86,V-L019,BU_WEST,BATCH-20241016-03,Wire
PAY-200847,TKN-56FA90433DC9F13E,2024-10-12,1383.3,V-L036,BU_SOUTH,BATCH-20241012-03,Wire
PAY-200706,TKN-AC65057922F81A94,2024-08-25,366.6,V-L015,BU_WEST,BATCH-20240825-13,ACH
PAY-200434,TKN-A77930C9ACD03ACF,2024-10-21,6600.0,V-6002,BU_WEST,BATCH-20241021-06,Wire
PAY-200399,TKN-1054BDE195270D33,2024-09-13,2116.32,V-L032,BU_SOUTH,BATCH-20240913-17,ACH
PAY-200533,TKN-09E8916C02DA72FA,2024-08-26,4643.31,V-L039,BU_SOUTH,BATCH-20240826-18,Wire
PAY-200045,TKN-79D10C23D9DC1EF8,2024-10-06,1166.64,V-L024,BU_NORTH,BATCH-20241006-15,ACH
PAY-200728,TKN-B3FBCDADBDB277A0,2024-10-15,2429.73,V-L017,BU_WEST,BATCH-20241015-02,Wire
PAY-201404,TKN-0C3CB92313DFFD23,2024-10-09,1000.0,V-L009,BU_EAST,BATCH-20241009-17,Wire
PAY-200902,TKN-93AE6358218DA24A,2024-08-15,10032.41,V-L031,BU_SOUTH,BATCH-20240815-14,ACH
PAY-200819,TKN-1054BDE195270D33,2024-08-15,4592.55,V-L032,BU_SOUTH,BATCH-20240815-07,Wire
PAY-200060,TKN-79D10C23D9DC1EF8,2024-09-18,1347.38,V-L024,BU_NORTH,BATCH-20240918-13,ACH
PAY-201481,TKN-48EDFC26DC16E10D,2024-07-22,391.39,V-L022,BU_NORTH,BATCH-20240722-12,Wire
PAY-200846,TKN-B3FBCDADBDB277A0,2024-09-30,10003.09,V-L017,BU_WEST,BATCH-20240930-02,Wire
PAY-201221,TKN-2C4A465DFC73B6D8,2024-10-13,5500.93,V-L016,BU_WEST,BATCH-20241013-05,Check
PAY-200514,TKN-B31AC7D73F3D7751,2024-09-24,263.4,V-L001,BU_EAST,BATCH-20240924-08,ACH
PAY-201378,TKN-502C2E18DBA84884,2024-10-14,6830.91,V-L011,BU_WEST,BATCH-20241014-13,ACH
PAY-201114,TKN-817D1A9933704238,2024-10-10,288.51,V-L025,BU_NORTH,BATCH-20241010-12,ACH
PAY-200722,TKN-776A501F68B9461E,2024-10-18,555.52,V-L003,BU_EAST,BATCH-20241018-01,ACH
