baseline_id,project_id,work_package_id,baseline_revision,scope_revision_reference,bac_usd,baseline_effective_from,baseline_effective_to,approved_date,approved_by,change_reason,contingency_included,currency,baseline_source,notes
BL-00001,P001,WP-001,original,,1432451.56,2023-10-01,2024-01-15,2023-10-01,PMO-Director,,False,USD,Original PMB,Superseded by approved change order BCR-2024-001
BL-00002,P001,WP-001,revised,BCR-2024-001,1970088.55,2024-01-15,,2024-01-15,PMO-Director,Scope increase from additional survey requirements,False,USD,Approved Change Order,Current active baseline
BL-00003,P001,WP-002,original,,982928.69,2023-10-01,2024-01-15,2023-10-01,Project-Sponsor,,False,USD,Original PMB,Superseded by approved change order BCR-2024-001
BL-00004,P001,WP-002,revised,BCR-2024-001,1360111.83,2024-01-15,,2024-01-15,Project-Sponsor,Scope increase from additional survey requirements,False,USD,Approved Change Order,Current active baseline
BL-00005,P001,WP-003,original,,288911.29,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00006,P001,WP-004,original,,1454531.44,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00007,P001,WP-005,original,,420408.05,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00008,P001,WP-006,original,,591459.5,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00009,P001,WP-007,original,,311960.86,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00010,P001,WP-008,original,,705036.57,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00011,P001,WP-009,original,,2349140.73,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00012,P001,WP-010,original,,856312.81,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00013,P001,WP-011,original,,367604.36,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00014,P001,WP-012,original,,186411.69,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00015,P001,WP-013,original,,859508.02,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00016,P001,WP-014,original,,1323656.23,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00017,P001,WP-015,original,,348214.18,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00018,P001,WP-016,original,,1529784.3,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00019,P001,WP-017,original,,2173744.76,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00020,P001,WP-018,original,,297622.88,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00021,P001,WP-019,original,,562572.52,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00022,P001,WP-020,original,,862937.85,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00023,P001,WP-021,original,,261431.37,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00024,P001,WP-022,original,,147749.13,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00025,P001,WP-023,original,,2304647.74,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00026,P001,WP-024,original,,562323.41,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00027,P001,WP-025,original,,1329906.52,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00028,P001,WP-026,original,,350828.78,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00029,P001,WP-027,original,,1708427.5,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00030,P001,WP-028,original,,996549.27,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00031,P001,WP-029,original,,197912.58,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00032,P001,WP-030,original,,516665.0,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00033,P001,WP-031,original,,136796.71,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00034,P001,WP-032,original,,100780.79,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00035,P001,WP-033,original,,363085.65,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00036,P001,WP-034,original,,316302.27,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00037,P001,WP-035,original,,560376.02,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00038,P001,WP-036,original,,1881761.72,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00039,P001,WP-037,original,,1155968.11,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00040,P001,WP-038,original,,712479.93,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00041,P001,WP-039,original,,1265230.51,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00042,P001,WP-040,original,,258178.28,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00043,P002,WP-001,original,,1167652.62,2023-10-01,2024-01-15,2023-10-01,Project-Sponsor,,True,USD,Original PMB,Superseded by approved change order BCR-2024-001
BL-00044,P002,WP-001,revised,BCR-2024-001,1474137.81,2024-01-15,,2024-01-15,Project-Sponsor,Scope increase from additional survey requirements,True,USD,Approved Change Order,Current active baseline
BL-00045,P002,WP-002,original,,505996.57,2023-10-01,2024-01-15,2023-10-01,PMO-Director,,False,USD,Original PMB,Superseded by approved change order BCR-2024-001
BL-00046,P002,WP-002,revised,BCR-2024-001,716222.03,2024-01-15,,2024-01-15,PMO-Director,Scope increase from additional survey requirements,True,USD,Approved Change Order,Current active baseline
BL-00047,P002,WP-003,original,,1595135.07,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00048,P002,WP-004,original,,585024.41,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00049,P002,WP-005,original,,261221.48,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00050,P002,WP-006,original,,240571.15,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00051,P002,WP-007,original,,94673.33,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00052,P002,WP-008,original,,839492.25,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00053,P002,WP-009,original,,1266074.37,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00054,P002,WP-010,original,,590231.87,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00055,P002,WP-011,original,,847003.05,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00056,P002,WP-012,original,,1650201.95,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00057,P002,WP-013,original,,835988.97,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00058,P002,WP-014,original,,254481.68,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00059,P002,WP-015,original,,1590354.52,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00060,P002,WP-016,original,,1103601.54,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00061,P002,WP-017,original,,1357937.38,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00062,P002,WP-018,original,,1207594.66,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00063,P002,WP-019,original,,1268576.77,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00064,P002,WP-020,original,,813319.74,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00065,P002,WP-021,original,,729795.78,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00066,P002,WP-022,original,,698457.69,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00067,P002,WP-023,original,,629174.0,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00068,P002,WP-024,original,,1070322.49,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00069,P002,WP-025,original,,1705621.91,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00070,P002,WP-026,original,,892523.08,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00071,P002,WP-027,original,,661033.48,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00072,P002,WP-028,original,,245946.23,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00073,P002,WP-029,original,,1223123.29,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00074,P002,WP-030,original,,1118043.71,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00075,P002,WP-031,original,,1185274.33,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00076,P002,WP-032,original,,1346304.36,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00077,P002,WP-033,original,,613973.58,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00078,P002,WP-034,original,,315317.33,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00079,P002,WP-035,original,,404010.67,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00080,P002,WP-036,original,,483930.84,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00081,P002,WP-037,original,,380781.39,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00082,P002,WP-038,original,,647593.53,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00083,P002,WP-039,original,,714015.8,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00084,P002,WP-040,original,,1248261.12,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00085,P003,WP-001,original,,658666.01,2023-10-01,2024-01-15,2023-10-01,PMO-Director,,True,USD,Original PMB,Superseded by approved change order BCR-2024-001
BL-00086,P003,WP-001,revised,BCR-2024-001,802658.3,2024-01-15,,2024-01-15,PMO-Director,Scope increase from additional survey requirements,True,USD,Approved Change Order,Current active baseline
BL-00087,P003,WP-002,original,,871609.21,2023-10-01,2024-01-15,2023-10-01,PMO-Director,,True,USD,Original PMB,Superseded by approved change order BCR-2024-001
BL-00088,P003,WP-002,revised,BCR-2024-001,1147378.88,2024-01-15,,2024-01-15,PMO-Director,Scope increase from additional survey requirements,True,USD,Approved Change Order,Current active baseline
BL-00089,P003,WP-003,original,,911997.68,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00090,P003,WP-004,original,,1599610.22,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00091,P003,WP-005,original,,164954.39,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00092,P003,WP-006,original,,817445.6,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00093,P003,WP-007,original,,1460926.64,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00094,P003,WP-008,original,,701930.01,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00095,P003,WP-009,original,,448595.55,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00096,P003,WP-010,original,,1682457.38,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00097,P003,WP-011,original,,1175352.53,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00098,P003,WP-012,original,,1310721.12,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00099,P003,WP-013,original,,858266.33,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00100,P003,WP-014,original,,603585.35,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00101,P003,WP-015,original,,266685.32,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00102,P003,WP-016,original,,538053.59,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00103,P003,WP-017,original,,1125190.03,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00104,P003,WP-018,original,,1318663.34,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00105,P003,WP-019,original,,424979.44,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00106,P003,WP-020,original,,1986216.48,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00107,P003,WP-021,original,,948716.73,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00108,P003,WP-022,original,,1694892.73,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00109,P003,WP-023,original,,144592.16,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00110,P003,WP-024,original,,868266.68,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00111,P003,WP-025,original,,160364.2,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00112,P003,WP-026,original,,718984.57,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00113,P003,WP-027,original,,413480.46,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00114,P003,WP-028,original,,1695582.27,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00115,P003,WP-029,original,,936379.97,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00116,P003,WP-030,original,,638610.23,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00117,P003,WP-031,original,,1226868.67,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00118,P003,WP-032,original,,118362.82,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00119,P003,WP-033,original,,1315782.79,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00120,P003,WP-034,original,,1427852.39,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
