change_order_id,project_id,description,submitted_date,approved_date,status,cost_impact_usd,schedule_impact_days,approved_by,contract_value_change,notes
BCR-2024-001,P002,Scope change 1: Design modification,2023-12-06,2023-12-12,approved,189475.09,-2,Change Control Board,True,
BCR-2024-002,P001,Scope change 2: Regulatory compliance update,2023-12-09,2023-12-25,approved,43978.63,21,Change Control Board,True,
BCR-2024-003,P002,Scope change 3: Design modification,2023-11-13,2023-11-18,approved,255534.86,22,Change Control Board,False,
BCR-2024-004,P003,Scope change 4: Design modification,2023-12-24,2024-01-09,approved,26041.41,18,Change Control Board,True,
BCR-2024-005,P003,Scope change 5: Geotechnical condition change,2023-12-28,2024-01-13,approved,284768.29,19,Change Control Board,True,
BCR-2024-006,P001,Scope change 6: Regulatory compliance update,2023-11-01,2023-11-09,approved,328054.06,2,Change Control Board,True,
BCR-2024-007,P003,Scope change 7: Regulatory compliance update,2023-12-24,2024-01-07,approved,162251.33,3,Change Control Board,True,
BCR-2024-008,P001,Scope change 8: Regulatory compliance update,2024-01-18,2024-02-05,approved,467952.38,20,Change Control Board,False,
BCR-2024-009,P001,Scope change 9: Client requested addition,2024-01-21,2024-02-01,approved,444693.95,26,Change Control Board,False,
BCR-2024-010,P001,Scope change 10: Additional survey requirements,2023-11-25,2023-12-04,approved,148624.66,-3,Change Control Board,True,
BCR-2024-011,P005,Scope change 11: Material substitution,2023-11-19,2023-12-05,approved,86435.51,-1,Change Control Board,True,
BCR-2024-012,P002,Scope change 12: Client requested addition,2023-11-26,2023-12-14,approved,319755.1,-1,Change Control Board,True,
BCR-2024-013,P005,Scope change 13: Regulatory compliance update,2023-12-27,2024-01-15,approved,457224.45,-4,Change Control Board,False,
BCR-2024-014,P001,Scope change 14: Client requested addition,2024-01-06,2024-01-11,approved,346700.02,23,Change Control Board,False,
BCR-2024-015,P001,Scope change 15: Client requested addition,2024-01-01,2024-01-13,approved,185865.01,5,Change Control Board,False,
BCR-2024-016,P005,Scope change 16: Regulatory compliance update,2023-12-08,2023-12-19,approved,464480.12,11,Change Control Board,True,
BCR-2024-017,P002,Scope change 17: Regulatory compliance update,2023-11-14,2023-12-02,approved,420350.39,7,Change Control Board,False,
BCR-2024-018,P005,Scope change 18: Additional survey requirements,2023-12-11,2023-12-26,approved,388319.92,0,Change Control Board,True,
BCR-2024-019,P005,Scope change 19: Design modification,2023-12-31,2024-01-16,approved,-43356.78,8,Change Control Board,False,
BCR-2024-020,P001,Scope change 20: Design modification,2023-11-20,2023-11-26,approved,162510.24,17,Change Control Board,False,
BCR-2024-021,P003,Scope change 21: Design modification,2023-12-05,2023-12-15,approved,349361.57,12,Change Control Board,False,
BCR-2024-022,P002,Scope change 22: Regulatory compliance update,2024-01-04,2024-01-16,approved,287273.1,2,Change Control Board,True,
BCR-2024-023,P005,Scope change 23: Additional survey requirements,2023-12-25,2024-01-12,approved,187113.21,5,Change Control Board,True,
