pv_entry_id,project_id,work_package_id,control_account_id,reporting_period,cumulative_pv_usd,bac_usd,schedule_revision,schedule_effective_from,pv_calculation_method
PV-000001,P001,WP-001,CA-P001-01,2024-01,403690.89,1432451.56,original,2023-10-01,Linear interpolation
PV-000002,P001,WP-001,CA-P001-01,2024-02,592514.05,1432451.56,original,2023-10-01,Linear interpolation
PV-000003,P001,WP-001,CA-P001-01,2024-03,794359.5,1432451.56,original,2023-10-01,Linear interpolation
PV-000004,P001,WP-001,CA-P001-01,2024-01,555206.77,1970088.55,revised,2024-01-15,Linear interpolation
PV-000005,P001,WP-001,CA-P001-01,2024-02,814900.26,1970088.55,revised,2024-01-15,Linear interpolation
PV-000006,P001,WP-001,CA-P001-01,2024-03,1092503.65,1970088.55,revised,2024-01-15,Linear interpolation
PV-000007,P001,WP-002,CA-P001-01,2024-01,620508.06,982928.69,original,2023-10-01,Linear interpolation
PV-000008,P001,WP-002,CA-P001-01,2024-02,779753.49,982928.69,original,2023-10-01,Linear interpolation
PV-000009,P001,WP-002,CA-P001-01,2024-03,949981.36,982928.69,original,2023-10-01,Linear interpolation
PV-000010,P001,WP-002,CA-P001-01,2024-01,858618.08,1360111.83,revised,2024-01-15,Linear interpolation
PV-000011,P001,WP-002,CA-P001-01,2024-02,1078971.4,1360111.83,revised,2024-01-15,Linear interpolation
PV-000012,P001,WP-002,CA-P001-01,2024-03,1314521.49,1360111.83,revised,2024-01-15,Linear interpolation
PV-000013,P001,WP-003,CA-P001-01,2024-01,116578.24,288911.29,original,2023-10-01,Linear interpolation
PV-000014,P001,WP-003,CA-P001-01,2024-02,153325.73,288911.29,original,2023-10-01,Linear interpolation
PV-000015,P001,WP-003,CA-P001-01,2024-03,192607.53,288911.29,original,2023-10-01,Linear interpolation
PV-000016,P001,WP-004,CA-P001-01,2024-01,533571.83,1454531.44,original,2023-10-01,Linear interpolation
PV-000017,P001,WP-004,CA-P001-01,2024-02,745538.73,1454531.44,original,2023-10-01,Linear interpolation
PV-000018,P001,WP-004,CA-P001-01,2024-03,972124.03,1454531.44,original,2023-10-01,Linear interpolation
PV-000019,P001,WP-005,CA-P001-01,2024-01,420408.05,420408.05,original,2023-10-01,Linear interpolation
PV-000020,P001,WP-005,CA-P001-01,2024-02,420408.05,420408.05,original,2023-10-01,Linear interpolation
PV-000021,P001,WP-005,CA-P001-01,2024-03,420408.05,420408.05,original,2023-10-01,Linear interpolation
PV-000022,P001,WP-006,CA-P001-02,2024-01,529849.14,591459.5,original,2023-10-01,Linear interpolation
PV-000023,P001,WP-006,CA-P001-02,2024-02,591459.5,591459.5,original,2023-10-01,Linear interpolation
PV-000024,P001,WP-006,CA-P001-02,2024-03,591459.5,591459.5,original,2023-10-01,Linear interpolation
PV-000025,P001,WP-007,CA-P001-02,2024-01,150078.47,311960.86,original,2023-10-01,Linear interpolation
PV-000026,P001,WP-007,CA-P001-02,2024-02,198980.44,311960.86,original,2023-10-01,Linear interpolation
PV-000027,P001,WP-007,CA-P001-02,2024-03,251254.96,311960.86,original,2023-10-01,Linear interpolation
PV-000028,P001,WP-008,CA-P001-02,2024-01,258842.1,705036.57,original,2023-10-01,Linear interpolation
PV-000029,P001,WP-008,CA-P001-02,2024-02,330331.82,705036.57,original,2023-10-01,Linear interpolation
