entry_id,project_id,work_package_id,control_account_id,reporting_period,percent_complete,report_type,completion_status,physical_progress_description,submitted_by,submitted_date,approved_by,approved_date,forecast_completion_date,schedule_risk,cost_risk,notes
PE-000001,P001,WP-001,CA-P001-01,2024-01,12.4,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0001,2024-01-28,CAM-P001-01,2024-01-30,2024-07-07,None,Low,
PE-000002,P001,WP-001,CA-P001-01,2024-02,22.1,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0001,2024-02-28,CAM-P001-01,2024-03-01,2024-07-07,None,None,
PE-000003,P001,WP-001,CA-P001-01,2024-03,38.3,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0001,2024-03-28,CAM-P001-01,2024-03-30,2024-07-07,None,None,
PE-000004,P001,WP-002,CA-P001-01,2024-01,5.7,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0002,2024-01-28,CAM-P001-01,2024-01-30,2024-04-06,Medium,Low,
PE-000005,P001,WP-002,CA-P001-01,2024-02,14.2,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0002,2024-02-28,CAM-P001-01,2024-03-01,2024-04-06,None,Low,
PE-000006,P001,WP-002,CA-P001-01,2024-03,24.2,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0002,2024-03-28,CAM-P001-01,2024-03-30,2024-04-06,Low,None,
PE-000007,P001,WP-003,CA-P001-01,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0003,2024-01-28,CAM-P001-01,2024-01-30,2024-06-15,Medium,None,
PE-000008,P001,WP-003,CA-P001-01,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0003,2024-02-28,CAM-P001-01,2024-03-01,2024-06-15,Low,None,
PE-000009,P001,WP-003,CA-P001-01,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0003,2024-03-28,CAM-P001-01,2024-03-30,2024-06-15,High,High,
PE-000010,P001,WP-004,CA-P001-01,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0004,2024-01-28,CAM-P001-01,2024-01-30,2024-06-05,Low,None,
PE-000011,P001,WP-004,CA-P001-01,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0004,2024-02-28,CAM-P001-01,2024-03-01,2024-06-05,None,Medium,
PE-000012,P001,WP-004,CA-P001-01,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0004,2024-03-28,CAM-P001-01,2024-03-30,2024-06-05,Low,None,
PE-000013,P001,WP-005,CA-P001-01,2024-01,11.8,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0005,2024-01-28,CAM-P001-01,2024-01-30,2024-01-17,None,Medium,
PE-000014,P001,WP-005,CA-P001-01,2024-02,29.3,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0005,2024-02-28,CAM-P001-01,2024-03-01,2024-01-17,Low,Low,
PE-000015,P001,WP-005,CA-P001-01,2024-03,39.1,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0005,2024-03-28,CAM-P001-01,2024-03-30,2024-01-17,None,None,
PE-000016,P001,WP-006,CA-P001-02,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0006,2024-01-28,CAM-P001-01,2024-01-30,2024-02-10,Medium,None,
PE-000017,P001,WP-006,CA-P001-02,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0006,2024-02-28,CAM-P001-01,2024-03-01,2024-02-10,None,None,
PE-000018,P001,WP-006,CA-P001-02,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0006,2024-03-28,CAM-P001-01,2024-03-30,2024-02-10,None,Low,
PE-000019,P001,WP-007,CA-P001-02,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0007,2024-01-28,CAM-P001-01,2024-01-30,2024-05-06,None,None,
PE-000020,P001,WP-007,CA-P001-02,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0007,2024-02-28,CAM-P001-01,2024-03-01,2024-05-06,Medium,None,
PE-000021,P001,WP-007,CA-P001-02,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0007,2024-03-28,CAM-P001-01,2024-03-30,2024-05-06,None,None,
PE-000022,P001,WP-008,CA-P001-02,2024-01,0.0,confirmed,not_started,Progress update for 2024-01,ENG-P001-0008,2024-01-28,CAM-P001-01,2024-01-30,2024-07-30,Medium,None,
