assignment_id,resource_id,project_id,revision_number,effective_start_date,effective_end_date,planned_allocation_pct,submitted_date,approval_status
ASG00001,R0001,PRJ1152,1,2024-02-14,2024-04-03,52,2024-02-14,approved
ASG00001,R0001,PRJ1152,2,2024-04-04,2024-04-30,67,2024-04-04,approved
ASG00002,R0002,PRJ1332,1,2024-02-07,2024-04-13,77,2024-02-07,approved
ASG00002,R0002,PRJ1332,2,2024-04-12,2024-04-13,90,2024-04-14,approved
ASG00003,R0003,PRJ2120,1,2024-02-12,2024-04-30,88,2024-02-12,approved
ASG00003,R0003,PRJ2120,2,2024-03-20,2024-04-30,90,2024-03-21,rejected
ASG00004,R0004,PRJ1921,1,2024-02-24,2024-04-30,59,2024-02-24,approved
ASG00005,R0004,PRJ1488,1,2024-01-12,2024-04-30,75,2024-01-12,approved
ASG00006,R0004,PRJ1874,1,2024-02-23,2024-04-30,14,2024-02-23,approved
ASG00007,R0005,PRJ3486,1,2024-01-28,2024-04-30,82,2024-01-28,approved
ASG00008,R0006,PRJ2292,1,2024-01-23,2024-03-08,86,2024-01-23,approved
ASG00009,R0007,PRJ2462,1,2024-02-28,2024-04-04,56,2024-02-28,approved
ASG00009,R0007,PRJ2462,2,2024-04-05,2024-04-30,71,2024-04-05,approved
ASG00010,R0008,PRJ3504,1,2024-02-02,2024-04-30,59,2024-02-02,approved
ASG00010,R0008,PRJ3504,2,2024-04-16,2024-04-30,79,2024-04-17,approved
ASG00011,R0008,PRJ0001,1,2024-01-13,2024-04-30,6,2024-01-13,approved
ASG00011,R0008,PRJ0001,2,2024-02-27,2024-04-30,5,2024-03-01,approved
ASG00012,R0009,PRJ1049,1,2024-03-11,2024-04-30,87,2024-03-11,approved
ASG00013,R0010,PRJ1663,1,2024-02-25,2024-04-30,40,2024-02-25,approved
ASG00014,R0011,PRJ3199,1,2024-02-28,2024-04-30,60,2024-02-28,approved
ASG00015,R0012,PRJ2250,1,2024-01-04,2024-04-11,45,2024-01-04,approved
ASG00016,R0012,PRJ2160,1,2024-01-26,2024-04-12,47,2024-01-26,approved
ASG00016,R0012,PRJ2160,2,2024-04-13,2024-04-30,77,2024-04-13,approved
ASG00017,R0012,PRJ2819,1,2024-01-17,2024-04-30,16,2024-01-17,approved
ASG00017,R0012,PRJ2819,2,2024-04-20,2024-04-30,5,2024-04-23,approved
ASG00018,R0013,PRJ2722,1,2024-02-01,2024-04-30,73,2024-02-01,approved
ASG00018,R0013,PRJ2722,2,2024-02-18,2024-04-30,90,2024-02-21,rejected
ASG00019,R0014,PRJ1849,1,2024-03-07,2024-04-09,55,2024-03-07,approved
ASG00020,R0014,PRJ1166,1,2024-03-14,2024-04-30,50,2024-03-14,approved
ASG00021,R0015,PRJ1175,1,2024-01-27,2024-04-30,85,2024-01-27,approved
