project_id,project_name,client_name,region,engagement_type,contract_type,contracted_hour_cap
PRJ1674,Client Engagement 01,Client-A,AMER,client_billable,time_and_materials,
PRJ2456,Client Engagement 02,Client-B,EMEA,client_billable,time_and_materials,
PRJ2008,Client Engagement 03,Client-C,EMEA,client_billable,time_and_materials,
PRJ1131,Client Engagement 04,Client-D,AMER,client_billable,time_and_materials,
PRJ1861,Client Engagement 05,Client-E,AMER,client_billable,time_and_materials,
PRJ2188,Client Engagement 06,Client-F,EMEA,client_billable,fixed_fee,192.3
PRJ1752,Client Engagement 07,Client-G,AMER,client_billable,time_and_materials,
PRJ2589,Client Engagement 08,Client-H,EMEA,client_billable,time_and_materials,
PRJ3975,Client Engagement 09,Client-I,APAC,client_billable,time_and_materials,
PRJ1123,Client Engagement 10,Client-J,AMER,client_billable,time_and_materials,
PRJ1647,Client Engagement 11,Client-K,AMER,client_billable,time_and_materials,
PRJ1432,Client Engagement 12,Client-L,AMER,client_billable,time_and_materials,
PRJ2981,Client Engagement 13,Client-M,EMEA,client_billable,time_and_materials,
PRJ1246,Client Engagement 14,Client-N,AMER,client_billable,time_and_materials,
PRJ1959,Client Engagement 15,Client-O,AMER,client_billable,time_and_materials,
PRJ3774,Client Engagement 16,Client-P,APAC,client_billable,time_and_materials,
PRJ2031,Client Engagement 17,Client-Q,EMEA,client_billable,fixed_fee,325.8
PRJ2558,Client Engagement 18,Client-R,EMEA,client_billable,time_and_materials,
PRJ2840,Client Engagement 19,Client-S,EMEA,client_billable,time_and_materials,
PRJ2235,Client Engagement 20,Client-T,EMEA,client_billable,time_and_materials,
PRJ2640,Client Engagement 21,Client-U,EMEA,client_billable,time_and_materials,
PRJ2318,Client Engagement 22,Client-V,EMEA,client_billable,time_and_materials,
PRJ2502,Client Engagement 23,Client-W,EMEA,client_billable,time_and_materials,
PRJ1504,Client Engagement 24,Client-X,AMER,client_billable,fixed_fee,315.4
PRJ2419,Client Engagement 25,Client-Y,EMEA,client_billable,time_and_materials,
PRJ1866,Client Engagement 26,Client-Z,AMER,client_billable,time_and_materials,
PRJ1921,Client Engagement 27,Client-A1,AMER,client_billable,time_and_materials,
PRJ1049,Client Engagement 28,Client-B1,AMER,client_billable,time_and_materials,
PRJ3684,Client Engagement 29,Client-C1,APAC,client_billable,time_and_materials,
PRJ1494,Client Engagement 30,Client-D1,AMER,client_billable,time_and_materials,
PRJ1706,Client Engagement 31,Client-E1,AMER,client_billable,time_and_materials,
PRJ1981,Client Engagement 32,Client-F1,AMER,client_billable,time_and_materials,
PRJ2462,Client Engagement 33,Client-G1,EMEA,client_billable,time_and_materials,
PRJ1284,Client Engagement 34,Client-H1,AMER,client_billable,time_and_materials,
PRJ2236,Client Engagement 35,Client-I1,EMEA,client_billable,time_and_materials,
PRJ2002,Client Engagement 36,Client-J1,EMEA,client_billable,time_and_materials,
PRJ1155,Client Engagement 37,Client-K1,AMER,client_billable,time_and_materials,
PRJ2747,Client Engagement 38,Client-L1,EMEA,client_billable,fixed_fee,104.6
PRJ2397,Client Engagement 39,Client-M1,EMEA,client_billable,time_and_materials,
PRJ2025,Client Engagement 40,Client-N1,EMEA,client_billable,time_and_materials,
PRJ3998,Client Engagement 41,Client-O1,APAC,client_billable,time_and_materials,
PRJ1243,Client Engagement 42,Client-P1,AMER,client_billable,time_and_materials,
PRJ3099,Client Engagement 43,Client-Q1,APAC,client_billable,time_and_materials,
PRJ2161,Client Engagement 44,Client-R1,EMEA,client_billable,time_and_materials,
PRJ2212,Client Engagement 45,Client-S1,EMEA,client_billable,time_and_materials,
PRJ2038,Client Engagement 46,Client-T1,EMEA,client_billable,time_and_materials,
PRJ2304,Client Engagement 47,Client-U1,EMEA,client_billable,time_and_materials,
PRJ3827,Client Engagement 48,Client-V1,APAC,client_billable,time_and_materials,
PRJ1163,Client Engagement 49,Client-W1,AMER,client_billable,time_and_materials,
PRJ3843,Client Engagement 50,Client-X1,APAC,client_billable,time_and_materials,
PRJ3191,Client Engagement 51,Client-Y1,APAC,client_billable,time_and_materials,
PRJ1834,Client Engagement 52,Client-Z1,AMER,client_billable,time_and_materials,
PRJ1490,Client Engagement 53,Client-A2,AMER,client_billable,time_and_materials,
PRJ2663,Client Engagement 54,Client-B2,EMEA,client_billable,time_and_materials,
PRJ3791,Client Engagement 55,Client-C2,APAC,client_billable,fixed_fee,253.6
PRJ3675,Client Engagement 56,Client-D2,APAC,client_billable,fixed_fee,579.9
PRJ2673,Client Engagement 57,Client-E2,EMEA,client_billable,time_and_materials,
PRJ2426,Client Engagement 58,Client-F2,EMEA,client_billable,time_and_materials,
PRJ2913,Client Engagement 59,Client-G2,EMEA,client_billable,time_and_materials,
PRJ3852,Client Engagement 60,Client-H2,APAC,client_billable,time_and_materials,
PRJ2972,Client Engagement 61,Client-I2,EMEA,client_billable,fixed_fee,351.8
PRJ1730,Client Engagement 62,Client-J2,AMER,client_billable,time_and_materials,
PRJ1133,Client Engagement 63,Client-K2,AMER,client_billable,time_and_materials,
PRJ1979,Client Engagement 64,Client-L2,AMER,client_billable,time_and_materials,
PRJ1916,Client Engagement 65,Client-M2,AMER,client_billable,time_and_materials,
PRJ1332,Client Engagement 66,Client-N2,AMER,client_billable,time_and_materials,
PRJ2339,Client Engagement 67,Client-O2,EMEA,client_billable,time_and_materials,
PRJ3924,Client Engagement 68,Client-P2,APAC,client_billable,time_and_materials,
PRJ2366,Client Engagement 69,Client-Q2,EMEA,client_billable,time_and_materials,
PRJ1700,Client Engagement 70,Client-R2,AMER,client_billable,time_and_materials,
PRJ3895,Client Engagement 71,Client-S2,APAC,client_billable,time_and_materials,
PRJ1218,Client Engagement 72,Client-T2,AMER,client_billable,time_and_materials,
PRJ3153,Client Engagement 73,Client-U2,APAC,client_billable,time_and_materials,
